"Export time:  2/11/2024, 3:08:59 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09KR7WXJF","ComSaf Glass Storage Containers with Lids 37fl.oz, Glass Jars with Bamboo Lids, Clear Food Storage Jar, Glass Canister For Pantry Noodles Flour Cereal Rice Sugar Tea Coffee Beans, Square Set of 4","ComSaf","$34.99","3,561","138","$124,599","10/31/2021","$22.71","4.5","3,563","$12.28","1,461","6","FBA","7","Kitchen & Dining","Standard","9.76 x 14.8 x 5.39 in","3.92 lb","https://www.amazon.com/dp/B09KR7WXJF"
"Storage Containers with Bamboo Lids","","B0C853Y1LY","Utile Thick Glass Food Jar Set with Pine Wood Lid, Vol.630ml/21.3oz, Vol.1410ml/47.7oz, 2 pcs of Each Size, Sturdy Glass Airtight Canisters set for Cookie, Pasta, Coffee Beans, 4045.2004.1","Utile","$26.99","","","$0.00","06/14/2023","$15.91","4.4","9","$11.08","1,195,643","7","FBA","1","Kitchen & Dining","Standard","6.4 x 3.1 x 8.6 in","5.21 lb","https://www.amazon.com/dp/B0C853Y1LY"
"Average Monthly Sales: 969","","B0C85561NJ","Utile Thick Glass Food Jar with Pine Wood Lid, 6 PCS of Vol.290ml/9.8oz, Sturdy Glass Airtight Canisters set for Cookie, Pasta, Coffee Beans, 4045.0101.6","Utile","$24.99","","","$0.00","06/14/2023","$15.56","4.1","13","$9.43","331,737","6","FBA","1","Kitchen & Dining","Standard","4.7 x 2.1 x 8.2 in","3.16 lb","https://www.amazon.com/dp/B0C85561NJ"
"Average Revenue: $28,495","","B0CC5TTFRC","AISIPRIN Glass Food Storage Containers with Bamboo Lids,5 Pack Airtight Glass Jars with Screw On Lid, Pasta, Cereal, Sugar Flour Containers Storage, Kitchen Canisters 80oz 50oz 27oz With 42 Lables","","$29.51","390","13","$11,509","10/03/2023","","4.7","85","","20,921","","FBA","","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CC5TTFRC"
"Average Price: $30.68","","B0BVMJ4MVK","Hudgan Plastic Storage Containers with Bamboo Lids, Medicine Cabinet Organizer Drawer Organizers Clear Bins with Lids for Organizing Pantry or Bathroom - 4.5 Inches Tall - Set Of 4","Hudgan","$29.99","357","14","$10,706","03/24/2023","$19.70","4.7","101","$10.29","19,996","6","FBA","1","Kitchen & Dining","Standard","6.7 x 4.5 x 11.2 in","1 lb","https://www.amazon.com/dp/B0BVMJ4MVK"
"Average No. of Ratings: 709","","B0B27X7HFZ","Vtopmart Glass Food Storage Jars, 7 Pack Food Containers with Airtight Bamboo Wooden Lids for Pasta, Cookies, Nuts, Coffee Beans, Cereal, Glass Canisters for Kitchen, Pantry Organization, BPA Free","Vtopmart","$26.99","2,691","95","$72,630","05/24/2022","$15.91","4.5","1,230","$11.08","2,428","6","FBA","2","Kitchen & Dining","Standard","3.93 x 11.81 x 11.81 in","5.35 lb","https://www.amazon.com/dp/B0B27X7HFZ"
"Average Sales Rank: 78,921","","B0CN4MNXX7","Spreccio Set of 6 Airtight Glass Jars with Bamboo Lids and Spoons, 22 OZ Glass Food Storage Jars Perfect for Coffee, Tea, Sugar, Spices, Beans, and More","Spreccio","$27.99","172","6","$4,814","11/10/2023","$18.00","5","1","$9.99","47,067","7","FBA","1","Kitchen & Dining","Standard","3.34 x 4.72 x 3.34 in","2.87 lb","https://www.amazon.com/dp/B0CN4MNXX7"
"Average Rating Number: 4.5","","B084H7K9LY","Glass Food Storage Containers with Bamboo Lids (4 Pack, 36 Ounce) Eco Friendly Meal Prep Containers Airtight  Plastic Free, BPA Free","Verel","$38.97","1,773","49","$69,094","05/03/2020","$25.49","4.4","1,975","$13.48","5,364","6","FBA","3","Kitchen & Dining","Standard","9.2 x 11.7 x 7.1 in","7.851 lb","https://www.amazon.com/dp/B084H7K9LY"
"","","B09Y8X2167","Citylife 2 PCS Storage Bins with Bamboo Lids Plastic Storage Containers for Organizing Stackable Storage Box with Handle, 15.12 x 10.67 x 5.98 inch","ITYLIFE CITYLIFE","$39.97","1,379","49","$55,119","04/18/2022","$21.23","4.4","505","$18.74","18,363","6","FBA","5","Home & Kitchen","Oversize","11.42 x 8.46 x 15.55 in","5.8 lb","https://www.amazon.com/dp/B09Y8X2167"
"","","B0C4FRNN4G","BAMOTTO Lidded Bamboo Storage Bins & Box/Cube/Basket, Home Kitchen and Office Storage Boxes with Handles & Stackable for Organizer Tableware, Crafts, Office Shelf Books, Large, 14.6x10.2x9.6","BAMOTTO CRAFTBAMBOO","$49.99","180","6","$8,998","05/04/2023","","4.4","14","","14,720","6","FBA","1","Baby","","","","https://www.amazon.com/dp/B0C4FRNN4G"
"","","B0CHR6P45F","EOENVIVS Storage Bins With Lids Organization and StorageContainers with Bamboo Lids Storage Baskets Organizer for Shelves Drawers Desktop Bedroom Closet Playroom Classroom Office, Pack of 4","EOENVIVS","$32.99","764","29","$25,204","09/10/2023","$21.31","4.4","133","$11.68","31,851","6","FBA","2","Home & Kitchen","Standard","7.2 x 6.4 x 10.4 in","4.22 lb","https://www.amazon.com/dp/B0CHR6P45F"
