"Export time:  2/11/2024, 3:06:34 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CGHBVLFH","TYRON Adhesive Curtain Track Ceiling or Wall Mount(32'/ 2.7 FT), Ceiling Track Room Divider, Self Adhesive Curtain Rod No Drill, Screws or Tools, Curtain Hangers No Damage","TYRON TYRON","$16.99","657","29","$11,162","08/23/2023","$10.90","4.5","30","$6.09","32,356","6","FBA","1","Home & Kitchen","Standard","0.8 x 0.8 x 16 in","5.3 oz","https://www.amazon.com/dp/B0CGHBVLFH"
"TYRO--dhesive Curtain Track Ceiling or Wall Mount(128"/ 10.7 FT) Ceiling Track Room Divider Self Adhesive Curtain Rod No Drill Screws or Tools Curtain Hangers No Damage","","B0CHJ41GT1","KXLife Self Adhesive Ceiling & Wall Curtain Track 12 FT, Curtain Track Ceiling Mount, Adhesive Curtain Rods No drilling, Screws or Tools, Curtain Rail Track No Damage","KXLIFE","$27.99","264","14","$7,389","09/06/2023","$18.65","3.9","19","$9.34","67,499","6","FBA","1","Home & Kitchen","Standard","0.8 x 0.8 x 16 in","1.04 lb","https://www.amazon.com/dp/B0CHJ41GT1"
"Average Monthly Sales: 384","","B0927BK927","UrbanRed Self Adhesive Curtain Track 9.8FT (3m) for Smooth Ceiling Or Wall- No Drill, Screws, Ceiling Curtain Track, Curtain Rods, Ceiling Mount, Adhesive Curtain Rod (Non-Flexible)","UrbanRed","$34.99","1,110","48","$38,839","03/29/2019","$20.80","3.8","960","$14.19","18,886","7","FBA","1","Home & Kitchen","Oversize","10.24 x 10.24 x 11.81 in","12.3 oz","https://www.amazon.com/dp/B0927BK927"
"Average Revenue: $14,603","","B0BV7DRBJS","UrbanRed Self Adhesive Curtain Track (16.4 FT, 5 Meters) For Smooth Ceiling Or Wall- No Drill, Screws, No Damage Curtain Track, Curtain Hangers, Adhesive Curtain Rod (Non-Flexible)","UrbanRed","$44.99","325","10","$14,622","04/13/2023","$-43.18","3.6","94","$88.17","94,025","7","FBA","2","Home & Kitchen","Oversize","12.7 x 12.7 x 196.77 in","1.28 lb","https://www.amazon.com/dp/B0BV7DRBJS"
"Average Price: $29.53","","B0BYJ5C3PD","KOLAKO Ceiling Curtain Track, 10Ft Flexible Bendable Curtain Track Ceiling Wall Mount Black Curved Heavy Duty RV Sliding Curtain Rail System Room Divider, Ceiling Track for Curtains","KOLAKO","$15.99","1,272","54","$20,339","03/14/2023","$8.45","4.3","937","$7.54","16,440","7","FBA","1","Home & Kitchen","Standard","0.5 x 0.5 x 1 in","1.8 lb","https://www.amazon.com/dp/B0BYJ5C3PD"
"Average No. of Ratings: 543","","B0CMP5G947","NDSWKR Flexible Curved Ceiling Curtain Track, 16.4 Ft / 5 Meter Bendable Track Curtains Ceiling Mount, Sliding RV Curtain Track for Room Divider L U Shape Bay Windows, White","NDSWKR","$20.99","30","1","$629.70","12/27/2023","","4","1","","556,771","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CMP5G947"
"Average Sales Rank: 445,944","","B0C5MCLMFL","Ceiling Curtain Track, Black Flexible Bendable Curtain Track 12 Ft Curved Curtain Rail Ceiling Wall Mount Sliding Curtain Ceiling Track System Set for Bay Window, Room Divider","SEGNAYEN","$16.99","101","2","$1,716","05/17/2023","$-67.77","4.1","198","$84.76","383,457","7","FBA","1","Home & Kitchen","Oversize","0.9 x 0.9 x 144 in","2.25 lb","https://www.amazon.com/dp/B0C5MCLMFL"
"Average Rating Number: 4.2","","B09NM3HP5J","Ceiling Curtain Track Flexible Bendable Curtain Track Ceiling Wall Mount Curved Ceiling Curtain Track 10 Ft Ceiling Track for Curtains Rail Track Set System for RV Room Divider White","TOKPLNU","$16.49","780","26","$12,862","12/13/2021","$8.23","4.3","560","$8.26","36,497","7","FBA","1","Home & Kitchen","Standard","12.205 x 13.425 x 2.284 in","1.711 lb","https://www.amazon.com/dp/B09NM3HP5J"
"","","B0CCYDDHL6","SOMINS Curtain Track, Ceiling Curtain Track, Room Divider Curtain Track, Ceiling Track for Curtains - Comes with Roller Hooks, for 6ft - 9ft (White)","SOMINS","$53.99","236","13","$12,742","07/26/2023","$34.67","4.4","10","$19.32","70,390","6","FBA","1","Home & Kitchen","Oversize","4.72 x 4.72 x 38.97 in","2.55 lb","https://www.amazon.com/dp/B0CCYDDHL6"
"","","B09SGJ375V","MERJULAN Aluminium alloy Ceiling Track for Curtains, Room Divider, Ceiling Curtain Track, Room Divider Curtain Rod, Numerous Hooks with End Hook, Easy Install, for Spaces (3ft - 6ft, Silver)","MERJULAN","$51.99","120","4","$6,239","02/13/2022","$28.62","4.4","143","$23.37","203,763","7","FBA","1","Home & Kitchen","Oversize","5 x 38.6 x 4.9 in","2.05 lb","https://www.amazon.com/dp/B09SGJ375V"
"","","B0C1YVWH8X","5 Meters (16.4FT) Flexible Bendable Ceiling Curtain Track,room divider, window treatment or bay, shower track, trailer motorhome Curtain Track, Room Divider, Ceiling Track for Curtains","Manwetye","$19.98","30","1","$599.40","06/09/2023","$11.19","4.3","17","$8.79","420,598","7","FBA","1","Home & Kitchen","Standard","0.1 x 0.1 x 0.1 in","2.6 lb","https://www.amazon.com/dp/B0C1YVWH8X"
"","","B08N6ZQP4N","UrbanRed Flexible Bendable Ceiling Curtain Track, 39.4FT (12m), Ceiling Mount for Curtain Rail with Track Curtain System, Room Divider, Ceiling Curtain Rod, RV Ceiling Track for Curtains, White","UrbanRed","$69.97","3,013","97","$210,820","03/29/2019","$47.49","4.4","8,646","$22.48","8,249","7","FBA","1","Home & Kitchen","Oversize","10.24 x 10.24 x 11.81 in","1.5 lb","https://www.amazon.com/dp/B08N6ZQP4N"
"","","B0BBFWNDG5","Lawei Flexible Ceiling Curtain Track, 5 Meters/16.4 Ft Curved Curtain Track Ceiling Mount, Curtain Rail with Mute Rollers, For Window Room Divider, Wall Divider Curtain, RV Curtain Track, Black","Lawei","$19.99","90","4","$1,799","08/21/2022","$11.20","4.1","36","$8.79","200,803","7","FBA","1","Home & Kitchen","Standard","11.5 x 2.91 x 11.61 in","2.64 lb","https://www.amazon.com/dp/B0BBFWNDG5"
"","","B0CHW32D11","Hoeflife Bendable Aluminum Ceiling Curtain Track, Flexible Curved Room Divider Track Curtain Rail, Ceiling or Wall Mount for Privacy Room Separation, L Shape U Shape Bay Windows, RV Curtain (9FT)","","$38.99","30","1","$1,170","","","4.4","8","","670,846","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0CHW32D11"
"","","B09XQ3N524","Ceiling Curtain Track, Room Dividers Ceiling Track for Curtains, Flexible Bendable Curtain Track Ceiling Mount 10ft, Curved Sliding Curtain Rail Ceiling Wall Mount for Bay Window, RV, Hospital System","Suimlmta","$16.49","127","4","$2,094","04/11/2022","$0.52","4.3","150","$15.97","226,481","7","FBA","1","Home & Kitchen","Oversize","11.8 x 11.8 x 12.6 in","1.7 lb","https://www.amazon.com/dp/B09XQ3N524"
"","","B0CH8WDBTY","Self Adhesive Ceiling & Wall Track (12FT) for Sheer Curtain, No Drilling, Screws or Tools Curtain Rod for Window, Bedroom, Shower, Closet and RV - Easy to Install Curtain Rail with Curtain Clips","FSLGEFUL","$27.59","90","3","$2,483","09/03/2023","$13.45","3.9","20","$14.14","263,648","","FBA","1","Home & Kitchen","Standard","0.59 x 0.59 x 17 in","1.98 lb","https://www.amazon.com/dp/B0CH8WDBTY"
"","","B0BPSCF7CF","Ceiling Curtain Track, Flexible Bendable Curved Curtain Track, Black 10Ft Ceiling Track for Curtain Rail Track Ceiling Wall Mount Curtain Track System Set for RV, Room Divider","BSAOCRT","$16.49","300","10","$4,947","12/11/2022","","4.2","331","","94,264","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BPSCF7CF"
"","","B0C816YQP3","ZSTARR Flexible Bendable Ceiling Curtain Track, Curved Ceiling Curtain Track Ceiling Wall Mount for Shower Bay Window RV Room Divider (8.2FT 2 Pack)","ZSTARR","$38.99","344","8","$13,413","06/13/2023","$-49.07","4.5","149","$88.06","106,406","6","FBA","1","Home & Kitchen","Oversize","0.9 x 0.9 x 196.8 in","2.97 lb","https://www.amazon.com/dp/B0C816YQP3"
"","","B0C7ZPFMTJ","Hoeflife Ceiling Curtain Track, Curtain Track Ceiling Mount, Room Divider Curtain Rod or Wall with Rolling Hooks, Ceiling Shower Curtain Tracks Perfect for Privacy in Open Rooms (3-6ft, White)","","$48.99","300","10","$14,697","","","4.5","28","","92,282","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0C7ZPFMTJ"
