"Export time:  2/17/2024, 7:44:17 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CCNZMSBP","D DACCKIT Toploader Binder, Holds 384 Toploaders - 12 Pocket Top Loader Binder for 3' x 4' Rigid Card Holders for Trading Cards or Sports Cards - Classic Black","D DACCKIT","$42.99","68","4","$2,923","07/23/2023","$25.70","4.7","73","$17.29","52,689","7","FBA","1","Office Products","Oversize","16.34 x 2.32 x 19.21 in","3.87 lb","https://www.amazon.com/dp/B0CCNZMSBP"
"Toploader Binder","","B09QKG547H","TopDeck 200 TopLoader Binder - 9 Pocket Card Binder Album - TCG Secure Storage Sleeves - Compatible with Yugioh, Magic the Gathering, Pokemon and More - Trading and Sports Card Holder","TopDeck","$69.99","312","10","$21,837","01/16/2022","$49.03","4.6","384","$20.96","23,084","7","FBA","6","Sports & Outdoors","Oversize","14.3 x 1.1 x 19.5 in","2.29 lb","https://www.amazon.com/dp/B09QKG547H"
"Average Monthly Sales: 803","","B0CJBQ7F5C","Premium Top Loader Binder for 216 Cards - 9 Pocket Double Sided Pages - 12 Page Ringless Card Binder with Vintage Outer Cover - Quality Long Term Toploader Storage by Infinity Vault","Infinity Vault","$25.99","440","29","$11,436","09/18/2023","$16.30","5","2","$9.69","7,094","7","FBA","1","Sports & Outdoors","Standard","13.3 x 1.93 x 15.83 in","2.83 lb","https://www.amazon.com/dp/B0CJBQ7F5C"
"Average Revenue: $18,551","","B0BZH5FC6F","Rayvol Toploader Binder, Holds 300+ Toploaders 9-Pocket Top Loader Card Storage Album, Ringless Double-Sided Pockets for Cards in 3 x 4'' Toploaders","Rayvol","$39.99","100","4","$3,999","03/23/2023","$28.20","4.6","55","$11.79","52,006","6","FBA","2","Office Products","Standard","13.23 x 1.61 x 16.1 in","2.7 lb","https://www.amazon.com/dp/B0BZH5FC6F"
"Average Price: $29.19","","B0BZP8H14B","D DACCKIT Toploader Binder, Holds 288 Toploaders, 9 Pocket Top Loader Binders with Sleeves for 3' x 4' Rigid Card Holders for Trading Cards or Sports Cards in 3 x 4'' Toploaders - Black","D DACCKIT","$29.99","1,363","54","$40,876","03/26/2023","","4.7","247","","3,334","7","FBA","5","Sports & Outdoors","","","","https://www.amazon.com/dp/B0BZP8H14B"
"Average No. of Ratings: 400","","B0CJTH3FB3","Toploader Binder,Toploader Hard Cases, 9-Pocket Pages Sleeves Hold up 288 Cards.Toploader Card Binder with Sleeves for 34 rigidCard Holder(blue)","CARDBINDER","$20.99","678","17","$14,231","10/23/2023","$11.41","4.6","53","$9.58","13,231","6","FBA","1","Sports & Outdoors","Standard","13 x 2.16 x 16 in","2.53 lb","https://www.amazon.com/dp/B0CJTH3FB3"
"Average Sales Rank: 67,988","","B0CJBN849W","Premium Top Loader Binder for 216 Cards - 9 Pocket Double Sided Pages - 12 Page Ringless Card Binder with Scratch Resistant Outer Cover - Quality Long Term Toploader Storage by Infinity Vault","Infinity Vault","$29.99","870","29","$26,091","09/18/2023","$19.70","5","2","$10.29","7,094","7","FBA","1","Sports & Outdoors","Standard","13.66 x 1.77 x 16.3 in","2.25 lb","https://www.amazon.com/dp/B0CJBN849W"
"Average Rating Number: 4.7","","B0C5R8KRWV","FORZAROCKET Toploader Binder, Holds 252 Cards in Toploaders, 8 INCLUDED, Waterproof PU Leather, Ringless Double-Sided Pages, Archival Safe Pockets, Pleasurable Inner Lining (9 pocket, Jeans Black)","FORZAROCKET","$29.95","281","23","$8,416","05/19/2023","$19.67","4.9","69","$10.28","9,348","7","FBA","1","Sports & Outdoors","Standard","13 x 2 x 15.5 in","2.4 lb","https://www.amazon.com/dp/B0C5R8KRWV"
"","","B0CHDHRQ2B","Rayvol 16-Pocket Toploader Binder, Holds 512 Toploaders 16 Pocket Top Loader Card Storage Case, 500 + Ringless Double-Sided Pockets for Cards in 3 x 4'' Toploaders","Rayvol","$54.99","491","15","$27,000","12/08/2023","","4.6","55","","14,478","6","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0CHDHRQ2B"
"","","B0B6BRGCNN","Rayvol Toploader Binder, Holds 252 Toploaders 9-Pocket Top Loader Card Storage Case, Ringless Double-Sided Pockets for Cards in 3 x 4'' Toploaders","Rayvol","$29.99","446","11","$13,376","07/11/2022","$19.70","4.7","239","$10.29","22,286","6","FBA","2","Office Products","Standard","1.57 x 12.6 x 15.75 in","2.48 lb","https://www.amazon.com/dp/B0B6BRGCNN"
"","","B0C6T5TYJW","360 Pockets Toploaders Binder, 9 Pocket Toploaders Trading Card Binder for 3x4 Rigid Hard Card Holders with Double-Sided Sleeves Fit for Baseball Cards Yugioh, MTC, TCG, Game Cards, Sports Cards","Homthy","$25.99","510","17","$13,255","05/31/2023","","4.5","52","","13,289","7","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0C6T5TYJW"
"","","B0CCP2M6D4","D DACCKIT Toploader Binder, Holds 360 Toploaders - 9 Pocket Top Loader Binder for 3' x 4' Rigid Card Holders for Trading Cards or Sports Cards - Classic Black","D DACCKIT","$36.99","105","5","$3,884","07/23/2023","","4.7","107","","42,749","7","FBA","1","Office Products","","13.86 x 2.13 x 16.1 in","","https://www.amazon.com/dp/B0CCP2M6D4"
"","","B0CQLFFNFM","Trading Card Binder with 50 Heavy Duty Sleeves, Top Loader Collectible Book for Cards, Yellow Display Album 400 Pockets, Card Holder Each Page 4 Pocket for Storage TCG Yugioh Trading Sports Game Cards","Coollypeak","$13.99","","","","12/18/2023","","","","","","7","FBA","1","","","","","https://www.amazon.com/dp/B0CQLFFNFM"
"","","B0CL64JYM1","GERMUN Toploader Binder, Holds 288 Toploaders, 9 Pocket Top Loader Binders with Sleeves for 3 x 4'' Toploaders, Double-Sided Pocket Top Loader Storage Binder, Trading Card Binder - Carton Black","GERMUN","$18.99","4,320","144","$82,037","12/23/2023","","4.7","440","","825","","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0CL64JYM1"
"","","B0BZCCHTSM","KUOOKING Toploader Binder, Holds 112+ Toploaders, 4 Pocket Top Loader Card Storage Case, Double-Sided Pockets for trading card in 3 x 4'' Toploaders","KUOOKING","$19.99","250","10","$4,998","04/22/2023","","4.6","49","","22,321","6","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0BZCCHTSM"
"","","B0CHP2TMYV","GERMUN Toploader Binder, Holds 288 Toploaders, 9 Pocket Top Loader Binders for 3 x 4'' Toploaders, Double-Sided Pocket Toploader Binders for TCG, MTG, Toploader Card Binder - Black","GERMUN","$18.99","1,650","55","$31,333","05/31/2023","$5.32","4.7","146","$13.67","3,250","7","FBA","1","Sports & Outdoors","Oversize","14.21 x 2.05 x 16.45 in","2.64 lb","https://www.amazon.com/dp/B0CHP2TMYV"
"","","B0CKS55TRY","TEFONIA Toploader Binder, Holds 252 Top Loaders, 9 Pocket Pages for 3' X 4' Toploaders, Vegan Leather, Ringless, Double-Sided, Top Loader Binder for Cards, Top Loader Card Storage, Sports, MTG, Black","TEFONIA","$29.99","30","1","$899.70","01/01/2024","","4.9","14","","113,384","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CKS55TRY"
