"Export time:  2/8/2024, 3:46:55 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0B6BQLZY1","Rayvol Premium 1000+ Pockets Card Binder, 16-Pocket Ringless Trading Card Album Folder - Side Loading UltraSonic-161024 Tech Zip Binder for TCG -Black","Rayvol","$54.99","627","15","$34,479","07/11/2022","","4.8","208","","15,279","6","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0B6BQLZY1"
"Trading Card Binder","","B0C5D5L2BB","MORABTO Premium 1000+ Pockets Card Binder,16 Pockets Trading Card Binder Ringless Side Loading Trading Card Album Folder for TCG -Black","MORABTO","$49.99","422","16","$21,096","04/05/2023","$35.76","4.8","106","$14.23","13,604","6","FBA","1","Sports & Outdoors","Standard","13.74 x 2.13 x 17.76 in","4.53 lb","https://www.amazon.com/dp/B0C5D5L2BB"
"Average Monthly Sales: 1,158","","B09SVDS33W","WOT I Trading Card Binder, 900 Pockets Sleeves with Zipper, Double Sided Pockets Card Holder Carry Case for Baseball Card, Football Card","WOT I","$24.99","2,024","63","$50,580","02/17/2022","$15.45","4.7","940","$9.54","3,767","7","FBA","2","Office Products","Standard","10.83 x 14.17 x 1.85 in","2.271 lb","https://www.amazon.com/dp/B09SVDS33W"
"Average Revenue: $22,391","","B0CMF64RB6","Pro Support premium trading card binder| 16 pocket pages | holds over 1,000 cards| Ringless Side Loading | compatible with Pokemon Cards, Magic The Gathering, and other non-sports cards.","PRO SUPPORT TRADING CARD ACCESSORIES","$42.99","76","5","$3,267","11/01/2023","$29.81","4.8","34","$13.18","48,996","7","FBA","1","Sports & Outdoors","Standard","13 x 2 x 17 in","4.16 lb","https://www.amazon.com/dp/B0CMF64RB6"
"Average Price: $23.93","","B0BY49QBY1","GERMUN 9 Pocket Card Binder, Premium Zip Trading Card Binder, 720 Double Sided Pocket PU Collection Binder, Collector Album, Card Folder for MTG, TCG, Sports Cards, (Black)","GERMUN","$16.99","3,247","100","$55,167","12/31/2022","$8.65","4.7","415","$8.34","1,439","7","FBA","1","Sports & Outdoors","Standard","10 x 1.7 x 13 in","2.2 lb","https://www.amazon.com/dp/B0BY49QBY1"
"Average No. of Ratings: 593","","B0CKVVT1F1","Fabmaker Card Binder, 396 Pockets Trading Card Binder, Sturdy Card Album for Collectible Cards, Side-Loading Card Collection Folder for TCG, MTG, Yugioh, Other Game Cards, Sport Cards, Black","Fabmaker","$7.99","2,400","80","$19,176","12/30/2023","","4.6","111","","1,974","","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0CKVVT1F1"
"Average Sales Rank: 18,440","","B09QKG547H","TopDeck 200 TopLoader Binder - 9 Pocket Card Binder Album - TCG Secure Storage Sleeves - Compatible with Yugioh, Magic the Gathering, Pokemon and More - Trading and Sports Card Holder","TopDeck","$69.99","328","9","$22,957","01/16/2022","$49.03","4.6","384","$20.96","25,350","7","FBA","6","Sports & Outdoors","Oversize","14.3 x 1.1 x 19.5 in","2.29 lb","https://www.amazon.com/dp/B09QKG547H"
"Average Rating Number: 4.7","","B0CKMGWNJ6","KUOOKING 1000+ Pockets Trading Card Binder, 16-Pocket Card Ablum Compatible with MTG,Sports Cards & Other Standard Size Trading Card (BLUE)","KUOOKING","$49.99","465","14","$23,245","","","4.8","127","","15,479","","FBA","","Sports & Outdoors","","","","https://www.amazon.com/dp/B0CKMGWNJ6"
"","","B08TV4ZZWC","TopDeck 1000 Card Binder - TCG Portfolio - 16 Pocket Card Binder - Ringless Binder Compatible with Pokemon Cards, Yu-Gi-Oh, Magic the Gathering, and More - Side Load Sleeves - Cards Album (Black)","TopDeck","$79.99","714","22","$57,113","01/23/2021","$62.20","4.7","823","$17.79","9,492","7","FBA","3","Sports & Outdoors","Standard","17.9 x 1.5 x 13.2 in","2.79 lb","https://www.amazon.com/dp/B08TV4ZZWC"
"","","B0CDCH1629","GERMUN 4 Pocket Card Binder, Premium Zip Trading Card Binder, 400 Double Sided Pocket PU Card Collection Binder, Collector Card Album, Card Folder for MTG, TCG, Sports Cards, Game Cards (Blue)","GERMUN","$9.99","1,500","52","$14,985","12/31/2022","$3.35","4.7","141","$6.64","3,499","7","FBA","1","Sports & Outdoors","Standard","7.3 x 1.7 x 9.3 in","1.12 lb","https://www.amazon.com/dp/B0CDCH1629"
