"Export time:  2/17/2024, 2:52:29 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CC5D75CR","Extra Large Trash Bag Holder with Lid, Hudgan Acrylic Garbage Bag Dispenser with Handles for Kitchen Organization, Under Sink","Hudgan","$26.99","1,938","67","$52,307","08/10/2023","$16.66","4.6","111","$10.33","1,765","6","FBA","1","Industrial & Scientific","Standard","7 x 7 x 12 in","2 lb","https://www.amazon.com/dp/B0CC5D75CR"
"Trash Bag Organizer","","B0CB8N14ZX","Extra Large Trash Bag Dispenser Roll Holder,Garbage Bag Dispenser Holder Under Sink, Bamboo Wall Mounted Kitchen Trash Bag Dispenser,Organization and Storage,Trash Bags Holder","KOCWELL","$23.99","651","19","$15,617","07/05/2023","$13.66","4.7","76","$10.33","14,336","7","FBA","1","Kitchen & Dining","Standard","7.5 x 7.5 x 10 in","3.27 lb","https://www.amazon.com/dp/B0CB8N14ZX"
"Average Monthly Sales: 781","","B0C1X9NPP5","Libreshine 2 in 1 Trash Bag Dispenser Roll Holder 13 Gallon, Garbage Bag Storage Dispenser, Trash Bag Organizer Under Sink, Wall Mount Bamboo Garbage Bag Organizer for 2 Rolls of Plastic Bags","Libreshine","$39.98","988","24","$39,500","12/13/2022","","4.4","225","","11,640","7","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0C1X9NPP5"
"Average Revenue: $21,200","","B0BJPP7V7X","Aphbrada Trash Bag Dispenser Roll Holder, Wall Mount Acrylic Garbage Bag Dispenser Roll Holder for Kitchen Cabinet, Trash Can Liners Organizer for Under Sink, Clear","Aphbrada","$25.97","550","17","$14,284","10/18/2022","$15.64","4.3","100","$10.33","53,631","6","FBA","1","Home & Kitchen","Standard","6.73 x 6.46 x 11.57 in","1.41 lb","https://www.amazon.com/dp/B0BJPP7V7X"
"Average Price: $27.57","","B0BLN6TFFL","Libreshine Trash Bag Organizer for Kitchen, Garbage Bag Dispenser Roll Holder Under Sink, Bamboo Trash Bag Dispenser Wall Mount (Standard)","Libreshine","$25.98","1,076","24","$27,954","12/08/2022","","4.4","225","","11,640","7","FBA","4","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BLN6TFFL"
"Average No. of Ratings: 681","","B0BQ1RSDYQ","Dear Sally Extra Large Trash Bag Dispenser for Kitchen | Garbage Bag Holder for Cabinet | Under Sink Organizer | Bamboo Trash Bag Organizer Wall Mount and Hooks | Fits 13, 30 & 33 Gallon Bags","Dear Sally","$29.99","192","11","$5,758","12/13/2022","","4.5","55","","25,401","6","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BQ1RSDYQ"
"Average Sales Rank: 79,795","","B0CC1VRHVY","Grocery Bag Holder & Trash Bag Dispenser-2 in 1-Bamboo Plastic Bag Holder with Large Storage Capacity and Wall-Mounted Design, Grocery Plastic Bag Dispenser for Kitchen Organization","Okvpajdo","$39.99","259","12","$10,357","07/16/2023","","4.6","31","","22,682","7","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CC1VRHVY"
"Average Rating Number: 4.5","","B0BKZ94N7M","Large Trash Bag Dispenser, Garbage Bag Roll Holder for Kitchen,Cabinet and So on, Bamboo Trash Bag Holder Organizer Under Sink for Big and Small Trash Bag Rolls, Wall Mounted or on Countertop","ZZYZSFUS","$32.99","175","6","$5,773","10/30/2022","","4.7","191","","46,398","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BKZ94N7M"
"","","B0CF58WCYY","DRASTAR Trash Bag Dispenser, Trash Bag Organizer Wall Mount, Wooden Trash Bag Roll Holder for Plastic Bags Countertop, Under Kitchen Sink Organization","DRASTAR","$22.95","558","16","$12,806","10/06/2023","$13.72","4.4","37","$9.23","16,847","7","FBA","2","Kitchen & Dining","Standard","5.5 x 5.5 x 10.2 in","1.48 lb","https://www.amazon.com/dp/B0CF58WCYY"
"","","B0BNZT8GDD","SEANADO Trash Bag Dispenser Roll Holder, 2 Compartment Wall Mount Acrylic Kitchen Double Side Loaded Organizer Storage Box Holder for Garbage Bag Grocery Bag Plastic Bag(10.4 x 5.5 x 11inches)","SEANADO","$39.99","650","19","$25,994","12/04/2022","","4.4","181","","14,590","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BNZT8GDD"
"","","B0BZPK4F82","Hudgan Clear Stackable Storage Bins Acrylic Open Front with Lids for Home Edit and Kitchen Organization, Trash Bag Holder Dispenser Containers","Hudgan","$30.99","1,027","36","$31,827","05/09/2023","","4.6","151","","25,945","6","FBA","5","Home & Kitchen","","","","https://www.amazon.com/dp/B0BZPK4F82"
"","","B0B5M38FTT","Libreshine Extra Large Trash Bag Holder Dispenser, Garbage Bag Dispenser Roll Holder Under Sink, Bamboo Wall Mounted Kitchen Trash Bag Dispenser Organizer","Libreshine","$29.98","878","23","$26,322","07/29/2022","$19.05","4.5","454","$10.93","12,331","7","FBA","1","Kitchen & Dining","Standard","7 x 10.1 x 7 in","2.2 lb","https://www.amazon.com/dp/B0B5M38FTT"
"","","B0CKMZVYHL","Trash Bag Holder, Metal Trash Bag Dispenser Roll Holder, Kitchen Trash Bag Organizer for Cabinet, Countertop, Wall Mounted or Freestanding, Black","STWWO","$24.99","1,079","9","$26,964","10/06/2023","$15.45","4.6","40","$9.54","97,841","6","FBA","1","Home & Kitchen","Standard","5.1 x 5.1 x 9 in","2.16 lb","https://www.amazon.com/dp/B0CKMZVYHL"
