"Export time:  2/13/2024, 12:28:21 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07JGWSB8T","Amazon Basics Under Bed Fabric Storage Container Bags with Window and Handles - 2-Pack, 18 x 42 x 6 Inches, Gray","Amazon Basics","$15.75","","","","05/16/2019","$6.66","4.4","20,569","$9.09","575","6","AMZ","2","Our Brands","Standard","10.8 x 17.1 x 3.3 in","3.45 lb","https://www.amazon.com/dp/B07JGWSB8T"
"Under Bed Storage Containers","","B0922M88FJ","StorageWorks Underbed Storage Box, Under Bed Clothes Organizer With Sturdy Structure and Ultra Thick Fabric, Ivory White, Large, 2 pack","StorageWorks","$31.99","5,116","174","$163,661","04/07/2021","$20.16","4.8","1,228","$11.83","3,746","6","FBA","3","Home & Kitchen","Standard","13.071 x 17.323 x 3.661 in","5.445 lb","https://www.amazon.com/dp/B0922M88FJ"
"Average Monthly Sales: 2,314","","B0BY1MRHWB","StorageWorks Under Bed Shoe Storage Organizer, Underbed Shoes Container with Adjustable Dividers, Beige, 2-Pack, Fits 24 Pairs","StorageWorks","$41.99","1,254","33","$52,655","06/27/2023","","4.6","340","","28,073","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BY1MRHWB"
"Average Revenue: $152,937","","B0CJNNRG7R","TidyCorner Under Bed Storage Containers, Foldable Under Bed Storage Bags for Clothing, Blankets, Toys, Underbed Storage with Clear Window, Strong Zipper, 33' L x 17.5' W x 4.7' H, Beige, 2 Pack","TidyCorner","$22.99","637","23","$14,645","09/22/2023","","4","48","","41,617","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CJNNRG7R"
"Average Price: $43.65","","B09Q38H2J4","Budding Joy 90L Under Bed Storage Containers, Closet Organizers and Storage Bins, Collapsible Underbed Storage Bags for Blankets, Towels, Comforter, Sweaters, Linen Sheets, Wrapping Paper","Budding Joy","$25.99","12,932","308","$336,103","01/09/2022","$15.06","4.2","6,199","$10.93","1,573","7","FBA","1","Home & Kitchen","Standard","12.874 x 14.095 x 4.567 in","2.56 lb","https://www.amazon.com/dp/B09Q38H2J4"
"Average No. of Ratings: 2,687","","B01MRZE720","Sterilite 56 Qt Wheeled Latching Storage Box, Stackable Bin with Latch Lid, Organize Clothes, Blankets, Shoes Underbed, Clear with White Lid, (Pack of 4)","Sterilite","$71.09","8,900","275","$632,701","12/19/2016","$40.83","4.6","11,075","$30.26","1,888","7","AMZ","13","Home & Kitchen","Oversize","18.75 x 7 x 33.88 in","5.25 lb","https://www.amazon.com/dp/B01MRZE720"
"Average Sales Rank: 70,216","","B0B5WKNGBL","HAIXIN Storage Cabinet, Plastic Shelves Organizer, Folding Storage Box, Collapsible Totes Containers For Storage, 8.4 Gal Clear Storage Bins, Stackable Under Bed Storage Container, 6 Pack Bookshelf","HAIXIN","$259.99","8,892","195","$2.31M","07/05/2022","$207.03","4.5","3,591","$52.96","3,183","6","FBA","1","Home & Kitchen","Oversize","13 x 25 x 19 in","1 lb","https://www.amazon.com/dp/B0B5WKNGBL"
"Average Rating Number: 4.4","","B0B6FWSTR4","PHINOX Under Bed Storage, Under the Bed Storage Containers with Wheels, Under Bed Shoe Storage Organizer Drawer for Bedroom Clothes Shoes Blankets -2Pack","PHINOX","$49.88","2,703","65","$134,826","07/12/2022","$27.38","4.6","1,969","$22.50","13,232","7","FBA","6","Home & Kitchen","Oversize","15.7 x 6.22 x 23.6 in","8.77 lb","https://www.amazon.com/dp/B0B6FWSTR4"
"","","B078JJ3C61","Zober Under Bed Storage - Pack of 2 Under Bed Storage Containers for Clothes, Blankets, Winter Clothing, & Shoes - Under The Bed Storage with Handles, Dual Zippers, & Clear Top (Gray)","ZOBER","$13.99","7,037","196","$98,448","11/08/2016","$-9.21","4.3","22,325","$23.20","3,165","6","FBA","1","Home & Kitchen","Oversize","18 x 6 x 41.97 in","1.07 lb","https://www.amazon.com/dp/B078JJ3C61"
"","","B0CG7X2L76","Beainbox Under Bed Storage with Wheels, 2 Pack UnderBed Storage Containers Organizer, Dorm Room Under the Bed Storage with Clear Lid, 6 4/5' High","Beainbox","$29.99","675","16","$20,243","10/05/2023","$7.81","4.5","49","$22.18","59,767","7","FBA","1","Home & Kitchen","Oversize","16.2 x 6.8 x 30 in","10.65 lb","https://www.amazon.com/dp/B0CG7X2L76"
"","","B09L8BR9FP","punemi Under Bed Storage With Lids, 2 Pack Large Underbed Storage Containers Clothes W/ 3 Handles, Foldable Low Profile Stackable Drawer Organizer Bins Box for Blanket Shoe Bedroom, 31.1*15.7*6inch","punemi","$34.87","2,572","55","$89,686","11/14/2021","$22.01","4.4","1,053","$12.86","15,991","7","FBA","5","Home & Kitchen","Standard","12.48 x 17.68 x 4.76 in","4.559 lb","https://www.amazon.com/dp/B09L8BR9FP"
"","","B09KHBH229","Amazon Basics Fabric Underbed Storage Bag Organizer with Handles - Black, 30.2'L x 20.1'W x 5.7'H, Pack of 2","Amazon Basics","$28.49","","","","06/21/2022","$17.49","4.4","654","$11.00","3,519","6","AMZ","3","Our Brands","Standard","6.969 x 15.63 x 4.567 in","4.453 lb","https://www.amazon.com/dp/B09KHBH229"
"","","B0CJHPRF57","YheenLf Under Bed Storage Containers Bin with Lids Handle, Foldable Sturdy Storage Bags with Handles for Organizing Clothes, Shoes, Blankets, Pillows, Beige, 1-Pack, 23.6' L x 11.8' W x 5.9' H","YheenLf","$15.99","120","4","$1,919","12/22/2023","","3.8","8","","187,075","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CJHPRF57"
"","","B0BKSJZ4J4","Yawinhe Under Bed Storage Containers with Handles, Sturdy Zipper und Label Holders, Foldable Blanket Storage Bags, for Comforter, Clothing, 23.6''Lx11.8''Wx6''H, 2-Pack, Beige SNH002BES-2","Yawinhe","$31.99","159","5","$5,086","10/27/2022","","4.3","74","","176,974","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BKSJZ4J4"
"","","B0B4G4X43M","HAIXIN Storage Bins with Lids, Collapsible Storage Bins, Wardrobe Closet Organizer, 19 Gal Stackable Toy Storage, Foldable Plastic Storage Container with Door, Crate for Book Storage (3 Pack)","HAIXIN","$199.99","8,833","195","$1.77M","07/28/2022","$106.22","4.5","3,591","$93.77","3,183","6","FBA","3","Home & Kitchen","Oversize","15 x 43 x 25 in","14 lb","https://www.amazon.com/dp/B0B4G4X43M"
"","","B004I8Q6RQ","IRIS USA 50 Qt Plastic Under Bed Storage Bin with Lids and Durable Buckles, Multi-Purpose Container Box for Clothes, Shoes, and Duvets, Clear","IRIS","$35.99","1,837","53","$66,114","06/29/2017","$11.85","4.1","1,655","$24.14","16,746","7","AMZ","11","Home & Kitchen","Oversize","17.8 x 32.5 x 6.3 in","4.101 lb","https://www.amazon.com/dp/B004I8Q6RQ"
"","","B07SK9TMWY","NestNeatly SmartCube Underbed Storage Bag, 3 Large Bins with Reinforced Handles Foldable Containers","NestNeatly","$22.88","4,198","117","$96,050","05/29/2019","$12.72","4.3","13,310","$10.16","6,456","6","FBA","2","Home & Kitchen","Standard","11.575 x 14.449 x 3.622 in","1.537 lb","https://www.amazon.com/dp/B07SK9TMWY"
"","","B0BNX9DW7X","Yoleduo Under Bed Storage With Wheels Under bed Storage Containers Large Metal Foldable Space-saving Under Bed Drawer Shoe Storage Organizer on Wheels for Clothes(2 pieces, Black)","Yoleduo","$35.99","2,733","108","$98,361","12/02/2022","$15.57","4.5","499","$20.42","7,203","6","FBA","4","Home & Kitchen","Oversize","15.7 x 6.22 x 23.6 in","3.86 lb","https://www.amazon.com/dp/B0BNX9DW7X"
"","","B0C7QLKC6L","LANDNEOO 2 Pack Under Bed Storage Containers Bins, Moisture-Proof Plastic Underbed Storage Bins, Clothes Storage and Organization Bags, Under the Bed Blanket Storage with Handles for Clothes, Bedroom","LANDNEOO","$9.99","1,822","62","$18,202","06/11/2023","","4.2","114","","14,072","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C7QLKC6L"
"","","B0C84TH2XH","foriy 2 Pack Under Bed Storage with Wheels Underbed Storage Containers Transparent Visual Tool-free Rolling Under Drawers Organizer Cart with Handle for Bedroom Clothes Shoes Blankets Black","foriy","$32.28","","","$0.00","06/14/2023","","5","1","","1,159,240","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C84TH2XH"
"","","B0BZPNKK87","Yawinhe Underbed Storage Box,2-Pack Foldable Storage Containers,With Transparent Windows and 4 Reinforced Handles,Used for Storing Clothes,Blankets,Pillows,23.6x11.8x5.9In,Beige","Yawinhe","$21.99","86","3","$1,891","03/26/2023","","4.2","51","","274,754","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BZPNKK87"
"","","B0B82Q7M2Q","Yawinhe Under Bed Storage Containers, 2 Pack Under Bed Clothes Organizer with Sturdy Zipper, Clear Window and Reinforced Handles, for Blanket, Bedding, 31.5''Lx15.7''Wx6''H, Beige SNH001BEL-2","Yawinhe","$29.99","176","5","$5,278","07/28/2022","","4.6","256","","174,189","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0B82Q7M2Q"
"","","B0C3CX5W6J","3rd Generation Under Bed Storage with Wheels 2-in-1 Underbed Storage Bins Containers Label Shoe Storage Organizer Drawer Bag Clear Window Solid Fabric for Bedroom Clothes Shoe Blanket (two-grey)","JIYINGDUO","$33.99","1,392","45","$47,314","04/23/2023","","4.5","233","","20,088","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C3CX5W6J"
"","","B0C1Z145Y2","Fulpower Under Bed Storage with Wheels, 2 Pack Under Bed Storage Containers, Large Under Bed Rolling Storage with Lid, Bedroom Storage Organizer for Clothes, Shoes,Toys, Books, Blankets BLACK","Fulpower","$34.99","1,719","46","$60,148","04/09/2023","","4.4","385","","19,649","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0C1Z145Y2"
"","","B0CC5MR9HP","BlissTotes Foldable Storage Bins - Durable Under Bed Containers for Clothing Organization, 75L/2 Pack/Grey","BlissTotes","$9.99","4,043","73","$40,390","09/11/2023","$3.35","3.9","107","$6.64","11,603","6","FBA","1","Home & Kitchen","Standard","6.34 x 2.95 x 7.8 in","1.78 lb","https://www.amazon.com/dp/B0CC5MR9HP"
"","","B0CGX2FTHR","Hoyula Deep Under Bed Storage Container, 2 Pack 10' High 31' Long Large Underbed Box Storage Bins with Lids and Hard Bottom, for Closet, Bedroom, Dorms, Clothes, Bed sheets, blankets, Dark Gray","Hoyula","$42.99","519","12","$22,312","08/29/2023","$13.92","4.1","70","$29.07","74,785","7","FBA","1","Home & Kitchen","Oversize","16 x 10 x 31.5 in","4 lb","https://www.amazon.com/dp/B0CGX2FTHR"
"","","B0CH3LRNJ8","oylik 2 Pack Under Bed Storage with Wheels, Under Bed Shoe Storage Larger Capacity with PVC Clear Window & Label, Under the Bed Storage Containers for Shoe Clothes Toy Book(Black)","oylik","$34.98","270","9","$9,445","10/19/2023","","4.2","52","","97,452","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CH3LRNJ8"
"","","B07ZCW9S5P","Onlyeasy Large Underbed Storage Bags Organizer Container (2 Pack) with 4 Handles and 2 Sturdy Zippers, Blankets Clothes Comforters Foldable Storage Bags with Clear Window, Herringbone Grey, MXRUBBP2","Onlyeasy","$10.62","5,259","183","$55,851","11/26/2019","$3.24","4.4","18,217","$7.38","3,500","7","FBA","1","Home & Kitchen","Standard","6.8 x 13.2 x 3.4 in","1.151 lb","https://www.amazon.com/dp/B07ZCW9S5P"
"","","B0BB7GCBVK","Under Bed Storage, Large Underbed Storage Containers with Lids, Foldable Clothes Storage Bins W/ Reinforced Handle for Bedroom Organization, Closet Organizers for Blanket, Shoe, Pillow -2 Pack, Black","boailydi","$26.99","886","25","$23,913","09/14/2022","","4.5","313","","37,864","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BB7GCBVK"
"","","B0C32S1J3F","Under Bed Storage Containers, Stackable Under Bed Rolling Storage Plastic Containers, 11.5Gal Storage Bins with Wheels, Multi-purpose Storage Bins with Lids for Clothes, Shoes, And Duvets","Luseba","$69.99","803","36","$56,202","04/29/2023","","4.5","141","","25,371","6","FBA","4","Home & Kitchen","","","","https://www.amazon.com/dp/B0C32S1J3F"
"","","B0060A06HG","Rubbermaid RMCC410001, 41-Quart, Clear, Modern Storage Box, Bamboo","Rubbermaid","$145.00","614","40","$89,030","07/04/2014","$109.27","4.4","301","$35.73","23,186","4","FBM","24","Home & Kitchen","Oversize","18.4 x 14.2 x 32.1 in","21.6 lb","https://www.amazon.com/dp/B0060A06HG"
"","","B09LM8KPYN","StorageRight Storage Bins,3-Pack Clothes Storage, Foldable Blanket Storage Bags, Under Bed Storage Containers for Organizing, Clothing, Bedroom, Comforter, Closet, Dorm, Quilts, Organizer,Grey","StorageRight","$16.99","3,924","93","$66,669","01/02/2022","$8.01","4.2","5,979","$8.98","8,650","6","FBA","3","Home & Kitchen","Standard","10.079 x 12.047 x 3.583 in","1.041 lb","https://www.amazon.com/dp/B09LM8KPYN"
"","","B0CBPR26J5","Under Bed Storage 2 Pack, Stackable Under Bed Storage Containers with Wheels, Folding Plastic Storage Box with LidUnder Bed Storage Bins Drawer for Clothes, Shoes,Blankets","Corbyles","$63.99","816","17","$52,216","08/21/2023","$36.71","4.4","118","$27.28","55,026","7","FBA","2","Home & Kitchen","Oversize","15.74 x 6.49 x 32.28 in","12.98 lb","https://www.amazon.com/dp/B0CBPR26J5"
"","","B0BWN4XJW9","Supowin Underbed Storage Containers 3 Pack, Large Under Bed Storage Bins with Lids, Foldable Sturdy Under the Bed Storage Drawer for Organizing Clothes, Shoes, Blankets, Pillows-Grey","Supowin","$39.99","570","17","$22,794","04/18/2023","","4.6","244","","53,967","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BWN4XJW9"
"","","B0BXX1PZV2","StorageRight Storage Bags,Under bed Storage Containers With Durable Handles,Large Capacity Bins,Foldable Storage Organizers For Clothes,Bedding and Toys-75L/6 Pack/Grey","StorageRight","$24.99","1,739","36","$43,458","05/02/2023","","4","927","","26,055","7","FBA","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0BXX1PZV2"
"","","B0CJ2LZYNY","Under Bed Storage with Wheels, Under Bed Storage Containers Metal Foldable Space-Saving Under Bed Drawer Shoe Storage Bins Organizer on Wheels for Clothes Books (2 Pack Black)","DTUQYX","$25.99","458","8","$11,903","09/13/2023","$14.46","4.4","53","$11.53","115,512","7","FBA","1","Home & Kitchen","Standard","10 x 2 x 12 in","7.92 lb","https://www.amazon.com/dp/B0CJ2LZYNY"
"","","B08HR4K9Y5","Rubbermaid Cleverstore Clear 41 Qt/10.25 Gal, Pack of 4 Stackable Plastic Containers with Durable Latching Clear Lids, Visible, Great for Craft, Tool, and Toy Storage","Rubbermaid","$77.39","10,344","231","$800,522","09/08/2020","$39.74","4.3","15,564","$37.65","2,469","7","AMZ","9","Home & Kitchen","Oversize","18.4 x 29.3 x 11.7 in","17.099 lb","https://www.amazon.com/dp/B08HR4K9Y5"
"","","B0C2BQQ24Q","Under Bed Storage Containers,Underbed Storage 4.5 Inches Low Profile with Sturdy Sidewalls/Bottom for Clothes, Blanket, Pillows and Shoes,Storage Organizer with Lids, Under the Bed Storage Bags 2Pack","YearningHome","$29.99","621","14","$18,624","04/12/2023","","4.5","149","","65,718","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C2BQQ24Q"
