"Export time:  2/3/2024, 4:19:39 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C9PL48DM","BIKTIC SheetCube Bed Sheet Organizers and Storage,4 Pack Sheet Folder Organizer (Queen or King Size), Linen Closet Organizer for Bedding Sheets,Duvet Covers and Pillow cases,Grey","BIKTIC","$49.99","1,516","38","$75,785","07/31/2023","","4.8","372","","24,503","7","FBA","4","Home & Kitchen","","","","https://www.amazon.com/dp/B0C9PL48DM"
"Under Bed Storage with Wheels","","B0CMX7533M","Aokeyee Under Bed Storage with Wheels - Rolling Underbed Storage Containers with Clear Lids for Shoe, Clothes, Blankets, Sheets, Pillows, Dorm Room (Grey)","Aokeyee","$35.99","354","14","$12,740","11/29/2023","","4.9","23","","67,329","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CMX7533M"
"Average Monthly Sales: 1,196","","B0CKVP2MVH","Memobarco Under Bed Storage with Wheels and Lids, 2pcs Under Bed Storage Containers, Rolling Underbed Shoe Storage Organizer Metal Drawers, Under Bed Storage Basket & Cart with Bag Cover, Clear Window","","$35.99","150","5","$5,399","","","4.2","39","","163,603","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0CKVP2MVH"
"Average Revenue: $54,858","","B0CN32RXKL","Bellzacasa Under Bed Storage with Wheels (Grey)","Bellzacasa","$39.99","111","4","$4,439","11/09/2023","","4.7","46","","215,845","5","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CN32RXKL"
"Average Price: $44.94","","B0C7K8GFL7","Innotic Under Bed Storage, Under Bed Storage with Wheels, Foldable Under Bed Shoe Storage Containers, Tool-free Assembly, Metal Underbed Storage Drawer For Clothes, Shoes, Books, Toys - 2 PACK","Innotic","$29.49","242","35","$7,137","06/06/2023","","4.8","7","","26,611","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0C7K8GFL7"
"Average No. of Ratings: 823","","B01MRZE720","Sterilite 56 Qt Wheeled Latching Storage Box, Stackable Bin with Latch Lid, Organize Clothes, Blankets, Shoes Underbed, Clear with White Lid, (Pack of 4)","Sterilite","$63.99","9,152","295","$585,636","12/19/2016","$10.42","4.6","11,031","$53.57","1,683","7","AMZ","12","Home & Kitchen","Oversize","18.9 x 33.8 x 15.5 in","20.201 lb","https://www.amazon.com/dp/B01MRZE720"
"Average Sales Rank: 139,116","","B0B6G1X86L","Under Bed Storage Containers with Wheels, Under Bed Shoe Storage Organizer Drawer, Tool-free Assembly Metal Storage Containers for Bedroom Clothes Shoes Blankets -2PCK","PHINOX","$35.98","2,869","70","$103,227","07/12/2022","$15.56","4.6","1,949","$20.42","12,191","7","FBA","2","Home & Kitchen","Oversize","15.7 x 6.22 x 23.6 in","8.78 lb","https://www.amazon.com/dp/B0B6G1X86L"
"Average Rating Number: 4.4","","B0C9QB47R2","SpaceAid 8 Pack Bed Sheet Organizers and Storage, Foldable Sheet Organizer for Linen Closet, Sheets Set Folder Keeper with Window XL (Queen & King Size) Organizing Bedding Container, Beige","SpaceAid","$62.98","1,312","","","06/28/2023","","4.4","127","","18,158","6","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0C9QB47R2"
"","","B0C9Q61MDQ","SpaceAid 6 Pack Bed Sheet Organizers and Storage, Foldable Sheet Organizer for Linen Closet, Sheets Set Folder Keeper with Window XL (Queen & King Size) Organizing Bedding Container, Black","SpaceAid","$49.98","1,028","33","$51,379","06/28/2023","","4.6","132","","28,511","6","FBA","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0C9Q61MDQ"
"","","B0C5CZYMMZ","punemi Under Bed Storage With Wheels Lids 2 Pack, 8.7 inch Tall Large 50L Underbed Storage Containers W/Side & Metal Bottom Support, Clothes Storage Drawer Organizer Bin For Clothing Blanket, Grey","punemi","$52.99","522","18","$27,661","05/15/2023","","4.5","105","","52,265","7","FBA","5","Home & Kitchen","","","","https://www.amazon.com/dp/B0C5CZYMMZ"
