"Export time:  2/3/2024, 4:20:09 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07JGWSB8T","Amazon Basics Under Bed Fabric Storage Container Bags with Window and Handles - 2-Pack, 18 x 42 x 6 Inches, Gray","Amazon Basics","$15.74","","","","05/16/2019","$6.65","4.4","20,508","$9.09","663","6","AMZ","3","Our Brands","Standard","10.8 x 17.1 x 3.3 in","3.45 lb","https://www.amazon.com/dp/B07JGWSB8T"
"Under Bed Storage","","B0CMX7533M","Aokeyee Under Bed Storage with Wheels - Rolling Underbed Storage Containers with Clear Lids for Shoe, Clothes, Blankets, Sheets, Pillows, Dorm Room (Grey)","Aokeyee","$35.99","354","14","$12,740","11/29/2023","","4.9","23","","67,329","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CMX7533M"
"Average Monthly Sales: 2,143","","B0C7C15QV9","Under Bed Storage - 2 Packs Plastic Under the Bed Storage Containers with Wheels Stackable Under Bed Rolling Storage with Lid for Clothes Blanket Pillow Underwear(31.5x15.75x7.88LxWxH)-13.5Gal)","gerritfany","$112.99","189","","$21,355","06/06/2023","","4.3","52","","701,021","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C7C15QV9"
"Average Revenue: $74,121","","B0B6G1X86L","Under Bed Storage Containers with Wheels, Under Bed Shoe Storage Organizer Drawer, Tool-free Assembly Metal Storage Containers for Bedroom Clothes Shoes Blankets -2PCK","PHINOX","$35.98","2,869","70","$103,227","07/12/2022","$15.56","4.6","1,949","$20.42","12,191","7","FBA","2","Home & Kitchen","Oversize","15.7 x 6.22 x 23.6 in","8.78 lb","https://www.amazon.com/dp/B0B6G1X86L"
"Average Price: $38.94","","B09Q38H2J4","Budding Joy 90L Under Bed Storage Containers, Closet Organizers and Storage Bins, Collapsible Underbed Storage Bags for Blankets, Towels, Comforter, Sweaters, Linen Sheets, Wrapping Paper","Budding Joy","$19.50","15,750","409","$307,125","01/09/2022","$8.57","4.2","6,078","$10.93","973","7","FBA","1","Home & Kitchen","Standard","12.874 x 14.095 x 4.567 in","2.56 lb","https://www.amazon.com/dp/B09Q38H2J4"
"Average No. of Ratings: 2,184","","B01MRZE720","Sterilite 56 Qt Wheeled Latching Storage Box, Stackable Bin with Latch Lid, Organize Clothes, Blankets, Shoes Underbed, Clear with White Lid, (Pack of 4)","Sterilite","$63.99","9,152","295","$585,636","12/19/2016","$10.42","4.6","11,031","$53.57","1,683","7","AMZ","12","Home & Kitchen","Oversize","18.9 x 33.8 x 15.5 in","20.201 lb","https://www.amazon.com/dp/B01MRZE720"
"Average Sales Rank: 108,698","","B0C7K8GFL7","Innotic Under Bed Storage, Under Bed Storage with Wheels, Foldable Under Bed Shoe Storage Containers, Tool-free Assembly, Metal Underbed Storage Drawer For Clothes, Shoes, Books, Toys - 2 PACK","Innotic","$29.49","242","35","$7,137","06/06/2023","","4.8","7","","26,611","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0C7K8GFL7"
"Average Rating Number: 4.4","","B078JJ3C61","Zober Under Bed Storage - Pack of 2 Under Bed Storage Containers for Clothes, Blankets, Winter Clothing, & Shoes - Under The Bed Storage with Handles, Dual Zippers, & Clear Top (Gray)","ZOBER","$13.99","8,379","204","$117,222","11/08/2016","$-9.21","4.3","22,292","$23.20","2,972","6","FBA","1","Home & Kitchen","Oversize","18 x 6 x 41.97 in","1.07 lb","https://www.amazon.com/dp/B078JJ3C61"
"","","B0CC5MR9HP","BlissTotes Foldable Storage Bins - Durable Under Bed Containers for Clothing Organization, 75L/2 Pack/Grey","BlissTotes","$13.99","4,060","88","$56,799","09/11/2023","$6.75","3.8","89","$7.24","9,309","6","FBA","1","Home & Kitchen","Standard","6.34 x 2.95 x 7.8 in","1.78 lb","https://www.amazon.com/dp/B0CC5MR9HP"
"","","B09KHBH229","Amazon Basics Fabric Underbed Storage Bag Organizer with Handles - Black, 30.2'L x 20.1'W x 5.7'H, Pack of 2","Amazon Basics","$28.49","","","","06/21/2022","$17.49","4.4","639","$11.00","3,554","6","AMZ","6","Our Brands","Standard","6.969 x 15.63 x 4.567 in","4.453 lb","https://www.amazon.com/dp/B09KHBH229"
"","","B0BB7GCBVK","Under Bed Storage, Large Underbed Storage Containers with Lids, Foldable Clothes Storage Bins W/ Reinforced Handle for Bedroom Organization, Closet Organizers for Blanket, Shoe, Pillow -2 Pack, Black","boailydi","$26.99","932","20","$25,155","09/14/2022","","4.5","307","","47,224","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BB7GCBVK"
"","","B0CFFGCSNC","PHINOX Under Bed Storage Containers with Wheels, Under Bed Shoe Storage Bins Organizer with Clear Window Reinforced Handles, Large Underbed Storage Drawer for Clothes, Blankets, Sheet, Bedroom-2 Pack","PHINOX","$49.98","210","7","$10,496","10/18/2023","","4.5","85","","121,295","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CFFGCSNC"
"","","B0BNX9DW7X","Yoleduo Under Bed Storage With Wheels Under bed Storage Containers Large Metal Foldable Space-saving Under Bed Drawer Shoe Storage Organizer on Wheels for Clothes(2 pieces, Black)","Yoleduo","$35.99","2,670","106","$96,093","12/02/2022","$15.57","4.5","478","$20.42","7,322","6","FBA","4","Home & Kitchen","Oversize","15.7 x 6.22 x 23.6 in","3.86 lb","https://www.amazon.com/dp/B0BNX9DW7X"
"","","B0922M88FJ","StorageWorks Underbed Storage Box, Under Bed Clothes Organizer With Sturdy Structure and Ultra Thick Fabric, Ivory White, Large, 2 pack","StorageWorks","$39.99","5,226","137","$208,988","04/07/2021","$26.96","4.8","1,218","$13.03","5,256","6","FBA","3","Home & Kitchen","Standard","13.071 x 17.323 x 3.661 in","5.445 lb","https://www.amazon.com/dp/B0922M88FJ"
"","","B0C7QLKC6L","LANDNEOO 2 Pack Under Bed Storage Containers Bins, Moisture-Proof Plastic Underbed Storage Bins, Clothes Storage and Organization Bags, Under the Bed Blanket Storage with Handles for Clothes, Bedroom","LANDNEOO","$9.99","1,588","59","$15,864","06/11/2023","","4.2","102","","15,021","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C7QLKC6L"
"","","B0BCVFGN7M","90L 4 Pack Under Bed Storage Containers, Lifewit Large Capacity Blanket Storage Bags with Reinforced Handle, Organization and Storage for Comforters, Sheets, Clothes, Bedroom, College Dorm, Grey","Lifewit","$25.99","500","23","$12,995","12/01/2022","","4.3","2,387","","41,626","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BCVFGN7M"
"","","B0C7JKH3X5","Hefty HI-RISE Stackable Storage Bins - Under Bed Storage Containers with Lids, Shoe Organizer, Plastic Storage Bins, Clear Shoe Boxes with XL Lid-Locking Latches, Durable Double Rim - 18qt (8 Pack)","Hefty","$69.99","810","27","$56,692","06/07/2023","","4.5","262","","34,679","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C7JKH3X5"
"","","B0C3R2N7KQ","Fixwal Under Bed Storage Containers 90L Toy Organizers and Wrapping Paper Storage Bags 6 Pack of Durable, Breathable Bags with Clear Windows and Reinforced Handles for Blankets, Clothes, and More","Fixwal","$24.99","208","8","$5,198","04/26/2023","","4","119","","108,024","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C3R2N7KQ"
"","","B0C9QBRQB4","SpaceAid 4 Pack Bed Sheet Organizers and Storage, Foldable Sheet Organizer for Linen Closet, Sheets Set Folder Keeper with Window XL (Queen & King Size) Organizing Bedding Container, Gray","SpaceAid","$33.98","6,519","294","$221,516","06/28/2023","","4.6","241","","1,692","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C9QBRQB4"
"","","B09L8BR9FP","punemi Under Bed Storage With Lids, 2 Pack Large Underbed Storage Containers Clothes W/ 3 Handles, Foldable Low Profile Stackable Drawer Organizer Bins Box for Blanket Shoe Bedroom, 31.1*15.7*6inch","punemi","$34.87","3,189","68","$111,200","11/14/2021","$22.01","4.4","1,041","$12.86","12,570","7","FBA","4","Home & Kitchen","Standard","12.48 x 17.68 x 4.76 in","4.559 lb","https://www.amazon.com/dp/B09L8BR9FP"
"","","B0CP1PJW1D","KIEUIENK Under Bed Storage with Wheels, 2 Pack Rolling Under Bed Storage Containers with Clear Lids, 45L Extra Large Under the Bed Shoe Storage Clothes Toy Book Drawers Bins with Handles","KIEUIENK","$49.99","","","$0.00","11/26/2023","$26.71","5","1","$23.28","1,000,811","7","FBA","1","Home & Kitchen","Oversize","16.4 x 6.4 x 24.4 in","5.79 lb","https://www.amazon.com/dp/B0CP1PJW1D"
"","","B0C32S1J3F","Under Bed Storage Containers, Stackable Under Bed Rolling Storage Plastic Containers, 11.5Gal Storage Bins with Wheels, Multi-purpose Storage Bins with Lids for Clothes, Shoes, And Duvets","Luseba","$69.99","883","26","$61,801","04/29/2023","","4.5","136","","35,584","6","FBA","4","Home & Kitchen","","","","https://www.amazon.com/dp/B0C32S1J3F"
"","","B0CDWPGRZQ","ZLLZUU Under Bed Storage Containers, Plastic Under the bed Storage Bins with Wheels, Stackable Rolling Drawers Shoe Organizer with Lids, Lagre Foldable Storage Box for Clothes, Blanket, 6.5' H, 3 Pack","ZLLZUU","$119.99","60","2","$7,199","12/30/2023","","3.6","15","","331,178","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CDWPGRZQ"
"","","B0CKVP2MVH","Memobarco Under Bed Storage with Wheels and Lids, 2pcs Under Bed Storage Containers, Rolling Underbed Shoe Storage Organizer Metal Drawers, Under Bed Storage Basket & Cart with Bag Cover, Clear Window","","$35.99","150","5","$5,399","","","4.2","39","","163,603","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0CKVP2MVH"
"","","B0CG3T5H9R","Liliadon 90L Under Bed Storage Containers for Clothes Storage,Reinforced Handles,Pockets, Declutter Collapsible Fabric Storage Bin for Blankets, Comforter, Sweaters, Shoes, Linen Sheets(Pack 6)","Liliadon","$27.99","960","32","$26,870","12/23/2023","","4.7","19","","29,305","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CG3T5H9R"
"","","B07SK9TMWY","NestNeatly SmartCube Underbed Storage Bag, 3 Large Bins with Reinforced Handles Foldable Containers","NestNeatly","$22.88","4,438","132","$101,541","05/29/2019","$12.72","4.3","13,276","$10.16","5,525","6","FBA","3","Home & Kitchen","Standard","11.575 x 14.449 x 3.622 in","1.537 lb","https://www.amazon.com/dp/B07SK9TMWY"
"","","B0C1Z145Y2","Fulpower Under Bed Storage with Wheels, 2 Pack Under Bed Storage Containers, Large Under Bed Rolling Storage with Lid, Bedroom Storage Organizer for Clothes, Shoes,Toys, Books, Blankets BLACK","Fulpower","$34.99","1,865","53","$65,256","04/09/2023","","4.4","373","","16,912","7","FBA","4","Home & Kitchen","","","","https://www.amazon.com/dp/B0C1Z145Y2"
"","","B0CFV682TJ","Wocst Under Bed Storage,Upgraded 31.5' Large Under Bed Rolling Storage with Lid,2 Pack Under Bed Shoe Storage for Clothes Toy Book Blanket(Black)","Wocst","$36.99","324","9","$11,985","01/06/2023","$14.14","4.5","96","$22.85","98,015","6","FBA","1","Home & Kitchen","Oversize","15.8 x 6.22 x 31.5 in","7.34 lb","https://www.amazon.com/dp/B0CFV682TJ"
"","","B09LM8KPYN","StorageRight Storage Bins,3-Pack Clothes Storage, Foldable Blanket Storage Bags, Under Bed Storage Containers for Organizing, Clothing, Bedroom, Comforter, Closet, Dorm, Quilts, Organizer,Grey","StorageRight","$16.99","4,692","120","$79,717","01/02/2022","$8.01","4.2","5,938","$8.98","6,273","6","FBA","3","Home & Kitchen","Standard","10.079 x 12.047 x 3.583 in","1.041 lb","https://www.amazon.com/dp/B09LM8KPYN"
"","","B0BW8Y1B9V","Teblei 3 Pack Under Bed Storage with Wheels & 3 Dust Bags, Under Bed Storage Containers, Tool-free Assembly Metal Under the Bed Storage, Rolling Underbed Storage For Clothes, Shoes, Blankets, Toys","Teblei","$39.99","253","9","$10,117","04/11/2023","","4.2","32","","103,779","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BW8Y1B9V"
"","","B0BXX1PZV2","StorageRight Storage Bags,Under bed Storage Containers With Durable Handles,Large Capacity Bins,Foldable Storage Organizers For Clothes,Bedding and Toys-75L/6 Pack/Grey","StorageRight","$18.99","2,175","63","$41,303","05/02/2023","","4","909","","13,903","7","FBA","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0BXX1PZV2"
"","","B0CBPR26J5","Under Bed Storage 2 Pack, Stackable Under Bed Storage Containers with Wheels, Folding Plastic Storage Box with LidUnder Bed Storage Bins Drawer for Clothes, Shoes,Blankets","Corbyles","$63.99","823","26","$52,664","08/21/2023","$37.72","4.5","113","$26.27","36,295","7","FBA","2","Home & Kitchen","Oversize","15.74 x 6.49 x 32.28 in","12.98 lb","https://www.amazon.com/dp/B0CBPR26J5"
"","","B07ZCW9S5P","Onlyeasy Large Underbed Storage Bags Organizer Container (2 Pack) with 4 Handles and 2 Sturdy Zippers, Blankets Clothes Comforters Foldable Storage Bags with Clear Window, Herringbone Grey, MXRUBBP2","Onlyeasy","$13.97","5,822","179","$81,333","11/26/2019","$6.08","4.4","18,195","$7.89","3,599","7","FBA","1","Home & Kitchen","Standard","6.8 x 13.2 x 3.4 in","1.151 lb","https://www.amazon.com/dp/B07ZCW9S5P"
"","","B0C7KG76SZ","Under Bed Storage with Wheels and Lid, Under Bed Rolling Storage with XXL Large Capacity, Under the Bed Storage for Bedroom Under Bed Storage Containers for Clothes Shoe Blanket Toy Book byAUING,2Pack","AUING","$42.99","574","28","$24,676","06/13/2023","","4.3","262","","33,557","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0C7KG76SZ"
"","","B09LCY8RCB","Under Bed Storage Bins Frame Storage Box Oxford Fabric Sturdy Underbed Container Foldable Stackable Large Capacity Clothes Organizer","CYhom","$35.99","283","8","$10,185","12/14/2021","$17.85","4.7","259","$18.14","106,984","7","FBA","1","Home & Kitchen","Oversize","18.07 x 25.31 x 3.19 in","9.129 lb","https://www.amazon.com/dp/B09LCY8RCB"
"","","B09M393DH2","Supowin Underbed Storage Containers Bin with Lids (Set of 2) Large Under Bed Storage Organizer Box with Handle, Foldable Under the Storage Bags for Organizing Clothes, Shoes, Blankets, Pillows-Grey","Supowin","$34.99","1,840","57","$64,382","02/18/2022","$23.01","4.5","1,394","$11.98","15,395","7","FBA","2","Home & Kitchen","Standard","10.6 x 3.6 x 17 in","4.4 lb","https://www.amazon.com/dp/B09M393DH2"
"","","B0C6FB96QN","Fixwal Black Underbed Storage Bags with Clear Window and 2 Reinforced Handles Under Bed Storage Containers for Clothing, Bedding, Comforter2 Pack","Fixwal","$9.99","1,398","56","$13,966","05/22/2023","","4.2","921","","15,713","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C6FB96QN"
"","","B08LPQLZTN","storageLAB Under Bed Storage Containers, Closet Organizers and Storage Bins, 2 Pack Underbed Clothes Storage Organizer with Sturdy Handles for use Under the Bed, End of Bed, Bed Accessories, Comforter","storageLAB","$29.99","2,082","55","$62,439","10/22/2020","$18.46","4.7","13,323","$11.53","16,218","7","FBA","1","Home & Kitchen","Standard","11.654 x 17.52 x 3.583 in","3.807 lb","https://www.amazon.com/dp/B08LPQLZTN"
"","","B0C645VJT8","Feverdes Under Bed Storage with Wheels, Rolling Drawers Shoe Organizer with HandlesClear Window & Solid FabricUnder Bed Storage Containers for Clothes, Toy, Book (2 PACK)","Feverdes","$27.99","1,155","11","$32,328","05/23/2023","","4.4","82","","81,934","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C645VJT8"
"","","B09B2FCBNT","TidyCorner 2-Pack Under Bed Storage Containers, 4.5 Inches Tall Low Profile Underbed Clothes Storage Organizer Bin with Sturdy Sidewalls/Bottom, Underbed Storage Bins 2 Storage Thin Bins","TidyCorner","$31.99","2,641","66","$84,486","07/21/2021","$20.16","4.7","1,420","$11.83","13,080","7","FBA","7","Home & Kitchen","Standard","11.693 x 17.362 x 4.095 in","3.644 lb","https://www.amazon.com/dp/B09B2FCBNT"
"","","B002BA5F4I","Sterilite 41 Qt Underbed Storage Box, Stackable Bin with Lid, Plastic Container to Organize Bedroom, Clear Base and White Lid, 6-Pack","Sterilite","$70.59","9,769","351","$689,594","11/21/2007","$32.06","4.6","835","$38.53","1,264","5","AMZ","8","Home & Kitchen","Oversize","17.1 x 35.2 x 11.6 in","23.55 lb","https://www.amazon.com/dp/B002BA5F4I"
"","","B0C9ZRJMMG","LEHOM Under Bed Storage Organizer Metal Underbed Bins with Wheels and Lid Metal Underbed Storage Containers Under Bed Rolling Storage for Bedroom Clothes, Bedding, Shoes, Blankets (1 Pack)","LEHOM","$29.99","632","44","$18,954","07/02/2023","","4.3","93","","20,469","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C9ZRJMMG"
"","","B0CJ2LZYNY","Under Bed Storage with Wheels, Under Bed Storage Containers Metal Foldable Space-Saving Under Bed Drawer Shoe Storage Bins Organizer on Wheels for Clothes Books (2 Pack Black)","DTUQYX","$25.99","622","11","$16,166","09/13/2023","$14.46","4.2","43","$11.53","84,533","7","FBA","2","Home & Kitchen","Standard","10 x 2 x 12 in","7.92 lb","https://www.amazon.com/dp/B0CJ2LZYNY"
"","","B0C1GH5LW6","VyGrow Under Bed Storage with Wheels 2Pack & Removable Dust Bags 2Pack, Metal Under Bed Shoe Storage, Tool-free Assembly Under Bed Storage Containers for Clothes, Shoes, Blankets","VyGrow","$32.99","404","8","$13,328","12/29/2022","","4.3","157","","114,733","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C1GH5LW6"
