"Export time:  2/3/2024, 4:20:41 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07JGWSB8T","Amazon Basics Under Bed Fabric Storage Container Bags with Window and Handles - 2-Pack, 18 x 42 x 6 Inches, Gray","Amazon Basics","$15.74","","","","05/16/2019","$6.65","4.4","20,508","$9.09","663","6","AMZ","3","Our Brands","Standard","10.8 x 17.1 x 3.3 in","3.45 lb","https://www.amazon.com/dp/B07JGWSB8T"
"UnderBed Storage","","B07SK9TMWY","NestNeatly SmartCube Underbed Storage Bag, 3 Large Bins with Reinforced Handles Foldable Containers","NestNeatly","$22.88","4,438","132","$101,541","05/29/2019","$12.72","4.3","13,276","$10.16","5,525","6","FBA","3","Home & Kitchen","Standard","11.575 x 14.449 x 3.622 in","1.537 lb","https://www.amazon.com/dp/B07SK9TMWY"
"Average Monthly Sales: 2,188","","B0CG3T5H9R","Liliadon 90L Under Bed Storage Containers for Clothes Storage,Reinforced Handles,Pockets, Declutter Collapsible Fabric Storage Bin for Blankets, Comforter, Sweaters, Shoes, Linen Sheets(Pack 6)","Liliadon","$27.99","960","32","$26,870","12/23/2023","","4.7","19","","29,305","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CG3T5H9R"
"Average Revenue: $72,569","","B09M393DH2","Supowin Underbed Storage Containers Bin with Lids (Set of 2) Large Under Bed Storage Organizer Box with Handle, Foldable Under the Storage Bags for Organizing Clothes, Shoes, Blankets, Pillows-Grey","Supowin","$34.99","1,840","57","$64,382","02/18/2022","$23.01","4.5","1,394","$11.98","15,395","7","FBA","2","Home & Kitchen","Standard","10.6 x 3.6 x 17 in","4.4 lb","https://www.amazon.com/dp/B09M393DH2"
"Average Price: $35.22","","B094J8QKF3","90L Under Bed Storage Containers, 6 Pack Underbed Closet Storage Organizer System, Moving Bags with Clear Window and Reinforced Handles for Bedding Pillows Blanket Clothes Wardrobe Bedroom","Budding Joy","$29.98","16,317","409","$489,184","05/09/2021","$19.05","4.2","6,078","$10.93","973","7","FBA","1","Home & Kitchen","Standard","10.51 x 11.42 x 4.49 in","3.841 lb","https://www.amazon.com/dp/B094J8QKF3"
"Average No. of Ratings: 2,681","","B078JJ3C61","Zober Under Bed Storage - Pack of 2 Under Bed Storage Containers for Clothes, Blankets, Winter Clothing, & Shoes - Under The Bed Storage with Handles, Dual Zippers, & Clear Top (Gray)","ZOBER","$13.99","8,379","204","$117,222","11/08/2016","$-9.21","4.3","22,292","$23.20","2,972","6","FBA","1","Home & Kitchen","Oversize","18 x 6 x 41.97 in","1.07 lb","https://www.amazon.com/dp/B078JJ3C61"
"Average Sales Rank: 67,957","","B0C1Z145Y2","Fulpower Under Bed Storage with Wheels, 2 Pack Under Bed Storage Containers, Large Under Bed Rolling Storage with Lid, Bedroom Storage Organizer for Clothes, Shoes,Toys, Books, Blankets BLACK","Fulpower","$34.99","1,865","53","$65,256","04/09/2023","","4.4","373","","16,912","7","FBA","4","Home & Kitchen","","","","https://www.amazon.com/dp/B0C1Z145Y2"
"Average Rating Number: 4.4","","B0922M88FJ","StorageWorks Underbed Storage Box, Under Bed Clothes Organizer With Sturdy Structure and Ultra Thick Fabric, Ivory White, Large, 2 pack","StorageWorks","$39.99","5,226","137","$208,988","04/07/2021","$26.96","4.8","1,218","$13.03","5,256","6","FBA","3","Home & Kitchen","Standard","13.071 x 17.323 x 3.661 in","5.445 lb","https://www.amazon.com/dp/B0922M88FJ"
"","","B09L8BR9FP","punemi Under Bed Storage With Lids, 2 Pack Large Underbed Storage Containers Clothes W/ 3 Handles, Foldable Low Profile Stackable Drawer Organizer Bins Box for Blanket Shoe Bedroom, 31.1*15.7*6inch","punemi","$34.87","3,189","68","$111,200","11/14/2021","$22.01","4.4","1,041","$12.86","12,570","7","FBA","4","Home & Kitchen","Standard","12.48 x 17.68 x 4.76 in","4.559 lb","https://www.amazon.com/dp/B09L8BR9FP"
"","","B09B2FCBNT","TidyCorner 2-Pack Under Bed Storage Containers, 4.5 Inches Tall Low Profile Underbed Clothes Storage Organizer Bin with Sturdy Sidewalls/Bottom, Underbed Storage Bins 2 Storage Thin Bins","TidyCorner","$31.99","2,641","66","$84,486","07/21/2021","$20.16","4.7","1,420","$11.83","13,080","7","FBA","7","Home & Kitchen","Standard","11.693 x 17.362 x 4.095 in","3.644 lb","https://www.amazon.com/dp/B09B2FCBNT"
