"Export time:  2/14/2024, 2:14:20 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07NVZ5657","LUXSWAY Wireless Picture Light Battery Operated, Remote Control Painting Light with Rotatable Light Tube, Dimmable and Timer Off Art Display Light for Picture Frame Artworking Portrait -Orange Gold","LUXSWAY","$28.99","6,808","176","$197,364","02/17/2019","$20.12","4.3","7,735","$8.87","1,293","7","FBA","1","Tools & Home Improvement","Standard","6.97 x 1.55 x 17.3 in","12.8 oz","https://www.amazon.com/dp/B07NVZ5657"
"Wireless Picture Light","","B0BBR2D5ZR","RAIFOOLLY Picture Light, 16in Battery Operated Picture Lights for Paintings,Metal Remote Control Display Art Light with Timer and Dimmable for Wall Painting,Frame, Portrait, Dartboard-Brass","RAIFOOLLY","$35.99","10,160","313","$365,658","08/23/2022","$24.80","4.3","870","$11.19","515","7","FBA","4","Tools & Home Improvement","Standard","3 x 6.5 x 16 in","1 lb","https://www.amazon.com/dp/B0BBR2D5ZR"
"Average Monthly Sales: 1,070","","B0951YXJJ7","FUNCHDAY Picture Light,5000mAh Battery Operated Picture Light for Wall,Wireless Remote Painting Light with Timer and Dimmable,16Metal Art Light for Display,Artwork,Portrait,Gallery-Gold","FUNCHDAY","$33.99","5,432","134","$184,634","05/15/2021","$24.37","4.2","1,606","$9.62","1,910","6","FBA","2","Tools & Home Improvement","Standard","5 x 5 x 16 in","15.36 oz","https://www.amazon.com/dp/B0951YXJJ7"
"Average Revenue: $34,484","","B0BVC1M892","Picture Light Battery Operated, 16In Wireless Picture Light for Paintings, Remote Control Display Art Light with Timer and Color Modes and Dimmable for Wall Paintings, Dartboard, Picture Frame","BETMONE","$27.99","390","13","$10,916","","","4.4","226","","28,801","","FBA","","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0BVC1M892"
"Average Price: $45.27","","B01C354EZ6","Method Lights ML200 Plus Wireless Picture Light, Ceiling Mounted LED, Long Life Rechargeable Battery & Remote Control","Method Lights","$289.95","45","2","$13,048","02/21/2016","$240.03","4.3","132","$49.92","169,078","7","FBA","2","Tools & Home Improvement","Standard","6.4 x 10.1 x 5.6 in","3.801 lb","https://www.amazon.com/dp/B01C354EZ6"
"Average No. of Ratings: 428","","B0C9D47FW2","Bridika Picture Light Battery Operated, Wireless Picture Light with Remote, 3 Color Modes and Dimmable Classic Art Lights for Paintings, Gallery, Wall, Dartboard, Bedroom, Bathroom with Timer Gold 1","Bridika","$29.99","736","16","$22,073","10/24/2023","$20.97","4.7","36","$9.02","22,401","7","FBA","1","Tools & Home Improvement","Standard","3.54 x 2.75 x 13.77 in","15.2 oz","https://www.amazon.com/dp/B0C9D47FW2"
"Average Sales Rank: 65,232","","B0CDLTYPR5","3Pack Picture Light Battery Operated Painting Lights for Wall Wireless Magnetic Display Art Light with Remote Controls,Dimmable&Timer Portrait Light for Art Frame Artworking,Wall Decor Puck Light-Gold","Xuolder","$22.98","1,509","43","$34,677","08/02/2023","$15.01","4.5","87","$7.97","7,961","6","FBA","1","Tools & Home Improvement","Standard","3 x 1 x 2 in","14.07 oz","https://www.amazon.com/dp/B0CDLTYPR5"
"Average Rating Number: 4.3","","B0CP3WTF4D","Yuichoy Picture Lights Battery Operated, Wireless LED Display Art Lights for Wall with Remote, 16' Dimmable 5200mAh Painting Light for Frame, Portrait, Gallery, Library, Brass","Yuichoy","$23.99","587","17","$14,082","11/27/2023","$15.25","4.6","5","$8.74","21,730","7","FBA","1","Tools & Home Improvement","Standard","16.5 x 2 x 7.5 in","1.41 lb","https://www.amazon.com/dp/B0CP3WTF4D"
"","","B0B25FHSCM","HOWMZON Picture Light, Battery Picture Light with Remote, 16' Art Light for Paintings, Rechargeable Picture Light for Wall Gallery Portrait Artwork (Brass)","HOWMZON","$35.88","1,828","48","$65,589","05/23/2022","$25.36","4.1","770","$10.52","6,984","7","FBA","2","Tools & Home Improvement","Standard","1.4 x 7.1 x 16 in","1 lb","https://www.amazon.com/dp/B0B25FHSCM"
"","","B0CB7XHW6Q","LYTARA Dimmable Wireless Picture Light with Remote Control and Timer, Rechargeable 5000mAh Battery Wall Sconce for Wall Pictures, Gallery Artwork, Paintings, Portraits, Dartboards","LYTARA","$32.95","972","35","$32,027","07/30/2023","$23.49","4.7","59","$9.46","9,960","7","FBA","1","Tools & Home Improvement","Standard","6.3 x 6.3 x 14 in","15.2 oz","https://www.amazon.com/dp/B0CB7XHW6Q"
"","","B0C4YXY2GX","lsvgoe 23' Wireless Picture Lights, Rechargeable Battery Art Display Light with Remote Control, Dimmable/Timer Off Dartboard Light, 3 Lighting Modes Full Metal Painting Display Lights(Gold)","lsvgoe","$63.99","397","10","$25,404","06/24/2023","$45.07","3.9","70","$18.92","36,128","7","FBA","30","Tools & Home Improvement","Oversize","1.57 x 1.1 x 23 in","1.7 lb","https://www.amazon.com/dp/B0C4YXY2GX"
"","","B0CC4T6WLT","PESUTEN Picture Light Battery Operated, 16in Wireless Art Light for Paintings 3CCT Dimmable Recharging Battery Picture Light with Remote Control for Gallery Dartboard Art Bedroom Bathroom","PESUTEN","$34.99","1,413","39","$49,441","08/20/2023","$24.60","4.4","137","$10.39","8,768","7","FBA","1","Tools & Home Improvement","Standard","6.2 x 1.6 x 16 in","1.48 lb","https://www.amazon.com/dp/B0CC4T6WLT"
"","","B0937C137V","TINTINDOC Wireless LED Picture Light with Remote,Rechargeable Battery Painting Light for Display Art Work,300Lumens Brightness Adjustable Highlight Picture Painting Arts Dartboard with Metal Body","TINTINDOC","$26.99","2,643","70","$71,335","04/21/2021","$18.42","4.3","3,297","$8.57","4,507","6","FBA","1","Tools & Home Improvement","Standard","2 x 7 x 13 in","15.52 oz","https://www.amazon.com/dp/B0937C137V"
"","","B0CLXVD3TJ","Mocalido Wireless Picture Light Battery Operated Rechargeable 5200mAh, LED Art Light for Wall with Remote, 16' Dimmable Painting Light with Timer, Display Gallery Lighting, Brass","Mocalido","$22.99","176","6","$4,046","10/26/2023","$14.40","3.8","13","$8.59","61,857","6","FBA","1","Tools & Home Improvement","Standard","16.7 x 2 x 7.3 in","1.3 lb","https://www.amazon.com/dp/B0CLXVD3TJ"
"","","B09NPN7NHQ","YAQIIHOME Brass Picture Light Rechargeable for Paintings,Battery Operated Display Art Light with Remote,Metal Led Picture Light 400LM with Dimmer Timmer,Accent Light for Dartboard Gallery-Brass","YAQIIHOME","$26.59","","","$0.00","12/23/2023","","","","","418,543","","FBA","1","Tools & Home Improvement","","","","https://www.amazon.com/dp/B09NPN7NHQ"
"","","B0CNSNZL1W","YQNLIFA Picture Light, 5200mAh Rechargeable Picture Light for Wall with Remote Control and Timer, 300LM 16' Metal 3000K Warm Light Dimmable Art Light for Frame, Artwork, Painting AMD Photos(Gold)","YQNLIFA","$22.99","216","5","$4,966","11/21/2023","$14.40","4.3","7","$8.59","70,058","6","FBA","1","Tools & Home Improvement","Standard","8.15 x 1.47 x 16.7 in","1.41 lb","https://www.amazon.com/dp/B0CNSNZL1W"
"","","B0BZ8HCTMY","GINATY Ultra Bright Wireless Picture Light with Remote 350 Lumens, Fast Charge Battery Operated Up to 11H W/Timer, Digital Display Art Painting Light Stepless Dimming for Portrait Wall Gallery","GINATY","$29.98","521","19","$15,620","03/21/2023","$20.34","4.6","291","$9.64","18,716","7","FBA","2","Tools & Home Improvement","Standard","2.21 x 7.28 x 16.89 in","1.41 lb","https://www.amazon.com/dp/B0BZ8HCTMY"
"","","B0BXS31MC5","Joossnwell Wireless Picture Light Battery Operated with Remote LED Art Lights for Paintings Rechargeable Dimmable and Timer 15.5' Brass Picture Lights for Wall Gallery Light with Adjustable Swing Arm","Joossnwell","$54.77","702","17","$38,449","06/13/2023","$40.76","4","82","$14.01","21,352","6","FBA","30","Tools & Home Improvement","Standard","11.02 x 1.97 x 15.51 in","2.36 lb","https://www.amazon.com/dp/B0BXS31MC5"
"","","B0C98L923P","JOFIOS Battery Operated Wireless Picture Light, Gold Picture Light for Wall with Remote Control and Timer, Adjustable Brightness and Color Art Painting Light for Wall Painting, Gallery, Portrait.","JOFIOS","$29.99","870","29","$26,091","12/17/2023","","4.3","49","","12,154","","FBA","1","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0C98L923P"
"","","B0C57F6W5F","SEEDIQ Picture Light Dimmable 24 Inch Painting Light, Golden-Like Brass Finish Picture Frame Light, 12W, Warm 2800k, CRI90+, Hardwired Connection, Art Light for Paintings","SEEDIQ","$100.00","62","2","$6,200","05/13/2023","$74.54","4.2","18","$25.46","172,573","7","FBA","30","Tools & Home Improvement","Oversize","5.9 x 4.3 x 24.01 in","2.45 lb","https://www.amazon.com/dp/B0C57F6W5F"
"","","B0C6XRFNRB","SEEDIQ Wireless Picture Light Battery Operated, 5W 16 inch Metal Brass Artwork Wall Lamp with Remote Control Dimmable and Timer Off, Rotatable Light Head, CRI90+, 2800K, Art Lights for Paintings","SEEDIQ","$76.88","85","2","$6,535","06/01/2023","$58.62","4.9","11","$18.26","138,352","7","FBA","30","Tools & Home Improvement","Standard","9.05 x 4.3 x 16.14 in","2.4 lb","https://www.amazon.com/dp/B0C6XRFNRB"
"","","B0C944R6SW","7Degobii Battery Operated Picture Lights with Remote and Timer,Wireless Art Light for Paintings with Adjustable Swing Arm Gold Gallery Lights 12in Rechargeable Wall Sconce","7Degobii","$34.99","361","9","$12,631","06/22/2023","$24.60","4.4","29","$10.39","39,691","6","FBA","1","Tools & Home Improvement","Standard","5.51 x 1.97 x 12.6 in","1.85 lb","https://www.amazon.com/dp/B0C944R6SW"
"","","B0C5T2MPPW","EAYOYAE Battery Operated Wireless Picture LightRechargeable/Plugged in 31.5inch Painting Display Light,Remote Control Wall Lights with Three Modes and Timing for Art Frame (Black)","EAYOYAE","$53.99","300","10","$16,197","05/19/2023","$36.12","4.6","29","$17.87","34,429","7","FBA","31","Tools & Home Improvement","Oversize","1.18 x 1.18 x 31.5 in","1.98 lb","https://www.amazon.com/dp/B0C5T2MPPW"
"","","B0CB4PF7MK","3-Pack Battery Operated Picture Light Magnetic Painting Light with 3 Lighting Modes,Remote and Dimmable Timer Art Display Light for Picture Artworking Frame Portrait,Wireless Wall Decor Puck Lights","Xuolder","$20.99","1,639","50","$34,403","07/03/2023","$14.07","4.4","146","$6.92","6,673","6","FBA","1","Tools & Home Improvement","Standard","1 x 1 x 1 in","6.4 oz","https://www.amazon.com/dp/B0CB4PF7MK"
"","","B0BV63BQJM","Arixinks Battery Picture Light 3Pack Gold,Wireless Painting Light with Remote,3 Lighting&Dimmable,Wall Art Light for Painting Accent Light &Timer for Pictures Frames Gallery Potrait Magnetic","Arixinks","$22.99","844","30","$19,404","02/07/2023","$15.02","4.5","48","$7.97","11,643","6","FBA","1","Tools & Home Improvement","Standard","2 x 4 x 3 in","14.39 oz","https://www.amazon.com/dp/B0BV63BQJM"
"","","B0BY1HNBZR","Wireless Picture Light 2pack 13inch with Remote Control,Rechargeable Battery Painting Light for Art Display,Wall Led Accent Art Light for Gallery Pictures Painting Dartboard Full Metal Dimmable Timer","Arixinks","$47.99","914","19","$43,863","03/09/2023","$35.65","4.4","1,004","$12.34","18,724","7","FBA","1","Tools & Home Improvement","Standard","3 x 3 x 3 in","1.87 lb","https://www.amazon.com/dp/B0BY1HNBZR"
"","","B0BR5KV7XQ","Joosenhouse Picture Light Battery Operated Dimmable Wireless Picture Light with Timer Remote Gold Painting Light Adjustable Swing Arm Wall Light 15.75' Inches Long 3000k","Joosenhouse","$46.88","181","3","$8,485","04/05/2023","$34.06","3.6","66","$12.82","106,984","6","FBA","3","Tools & Home Improvement","Standard","1.96 x 7.28 x 16.53 in","2.2 lb","https://www.amazon.com/dp/B0BR5KV7XQ"
"","","B0CJ29PNX8","XmnSoly Picture Lights for Wall Art 360 Rotation Picture Frame Lights Motion Sensor LED Picture Lighting USB Dimmable Rechargeable Painting Poster Lights for Wall Display Gallery (Black, 1 Pack)","XmnSoly","$16.90","30","1","$507.00","","","4.3","17","","183,087","","FBA","","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0CJ29PNX8"
"","","B0CJ6STQ79","Jeselry Wireless Picture Lights Battery Operated with Remote, Rechargeable RGB Light for Library Display, 14 Inch Art Light for Paintings with 3 Color & 15 Modes, Brightness Adjustable, Timer - Gold","Jeselry","$34.99","98","4","$3,429","09/15/2023","$23.01","4.3","20","$11.98","88,974","7","FBA","30","Tools & Home Improvement","Standard","7 x 7 x 14 in","1.3 lb","https://www.amazon.com/dp/B0CJ6STQ79"
"","","B0BVK668K4","jengush Wall Sconce Battery Operated Wall Lights Set of 2with Dimmable Battery Powered Bulb Non Hardwired Easy to Installfor Bedroom Farmhouse Bedside Reading Light (Color : Gold)  (Gold)","jengush","$115.00","174","6","$20,010","02/11/2023","$92.52","3.3","12","$22.48","57,116","6","FBM","3","Tools & Home Improvement","Standard","8 x 8 x 17 in","4.81 lb","https://www.amazon.com/dp/B0BVK668K4"
"","","B0BYX7135T","FUNCHDAY Picture Light Wireless, Rechargeable Battery Operated Painting Light with Remote, Dimmable 48 LED Art Lighting, 16' Picture Lights for Wall Paintings,Gallery Display,Dartboard (Bronze)","FUNCHDAY","$35.99","1,470","49","$52,905","03/18/2023","$27.68","4.3","227","$8.31","6,896","7","FBA","1","Tools & Home Improvement","Standard","1.6 x 6.9 x 16 in","1.28 lb","https://www.amazon.com/dp/B0BYX7135T"
"","","B0CM9V8K2X","MQOUO 24.4' Wireless Picture Lights, Rechargeable Battery Art Display Light with Remote Control, Dimmable/Timer Off Dartboard Light, 3 Lighting Modes Full Metal Painting Display Lights (Black-1Pack)","MQOUO","$69.99","390","13","$27,296","11/23/2023","$49.41","4.5","18","$20.58","27,216","7","FBA","31","Tools & Home Improvement","Oversize","4.33 x 4.5 x 24.4 in","2.09 lb","https://www.amazon.com/dp/B0CM9V8K2X"
"","","B0BWJH3126","JUSHENG Wireless Picture Light with Remote and Timer, Battery Operated Art Light with Swing Arm, Rechargeable Gallery Lighting Display Light for Frame Artwork-Golden Like Brass 16'' Inch","JUSHENG","$52.88","357","10","$18,878","05/19/2023","$39.81","3.8","47","$13.07","37,463","6","FBA","2","Tools & Home Improvement","Standard","1.97 x 7.5 x 15.8 in","1.42 lb","https://www.amazon.com/dp/B0BWJH3126"
"","","B0B3JQJZ4R","ZOCALOK Rechargeable Picture Light, Cordless Picture Light for Paintings with 2 Remotes, Metal Picture Frame Light with 16 LEDs Head, 3Modes, 300LM Dartboard Light with Timer for Display, Art-Gold","ZOCALOK","$19.49","815","19","$15,884","06/07/2022","$11.43","4.2","583","$8.06","18,826","7","FBA","1","Tools & Home Improvement","Standard","1 x 1 x 12 in","1 lb","https://www.amazon.com/dp/B0B3JQJZ4R"
"","","B098Q9F4PL","Joosenhouse LED Picture Light Fixtures Dimmable 24.4 Inches, Full Metal Artwork Display Lamp with Single Swing Arm, 14W (70W Eqv), Hardwired Connection, 3000K Warm White, Golden-Like Brass Finish","Joosenhouse","$73.88","493","21","$36,423","09/14/2021","$53.10","4.3","319","$20.78","17,429","7","FBA","4","Tools & Home Improvement","Oversize","6.8 x 25 x 2.3 in","2.299 lb","https://www.amazon.com/dp/B098Q9F4PL"
"","","B0B181481X","MIOBLUE Wireless Picture Lights with Remote, Full Metal Rechargeable Painting Light, 16' Display Lamp with 16 Color Changing,Dimmable Dartboard Light with Timer for Frame Portrait Art, Black","MIOBLUE","$29.99","1,723","50","$51,673","05/12/2022","$20.35","4.3","1,303","$9.64","6,703","7","FBA","1","Tools & Home Improvement","Standard","1.9 x 1.8 x 16 in","1.04 lb","https://www.amazon.com/dp/B0B181481X"
"","","B0C1W6R3YV","FUNCHDAY Wireless Picture Light,5000mAh Battery Operated Picture Light with Remote, Art Light with Timer,16 Full Metal Picture Frame Light for Paintings, Gallery,Wall (Brass)","FUNCHDAY","$36.99","210","7","$7,768","04/07/2023","$26.60","4.1","401","$10.39","50,612","7","FBA","1","Tools & Home Improvement","Standard","2.4 x 7 x 16 in","1.28 lb","https://www.amazon.com/dp/B0C1W6R3YV"
"","","B073FMD11Q","Situ Lighting: Wireless and Rechargeable LED Art Light - Touch Series USA Made (Brushed Brass, 3000K)","Situ Art Lighting","$29.99","30","1","$899.70","07/03/2017","","4.6","153","","202,413","7","FBM","1","Tools & Home Improvement","","","0.9 lb","https://www.amazon.com/dp/B073FMD11Q"
"","","B0CQ53NKKH","FULEN Picture Lights for Wall, Battery Operated Wall Sconce Rechargeable, Wireless Art Lights for Paintings&Frame, LED Wall Light with 3 Color Temperatures, Remote Control,Black","FULEN","$14.99","1,029","37","$15,425","12/12/2023","$9.82","4.5","44","$5.17","9,399","7","FBA","1","Tools & Home Improvement","Standard","6.3 x 0.59 x 7.09 in","4.23 oz","https://www.amazon.com/dp/B0CQ53NKKH"
"","","B0BS8YVKYB","VIGMOJ Rechargeable Picture Light Battery Operated,19.7' Wireless Painting Light with Remote Control,Metal Art Light Display Lamp,3 Modes,Dimmable Dartboard Light with Timer for Frame Picture Gallery","VIGMOJ","$36.99","226","10","$8,360","01/12/2023","$22.12","4.3","177","$14.87","36,904","7","FBA","1","Tools & Home Improvement","Oversize","1.97 x 2.36 x 19.69 in","1.1 lb","https://www.amazon.com/dp/B0BS8YVKYB"
"","","B08T7MG1LJ","Situ Lighting: Cordless and Rechargeable LED Art and Picture Light - Rechargeable Micro Series - 3000K - USA Made","Situ Art Lighting","$244.99","109","3","$26,704","07/12/2022","$202.45","4.7","334","$42.54","108,701","7","FBM","1","Tools & Home Improvement","Standard","6.5 x 1.5 x 11 in","2.25 lb","https://www.amazon.com/dp/B08T7MG1LJ"
"","","B0BQYLL3SZ","Ralbay Wireless Picture Light Battery Operated, Remote Control Picture Lights with Timer and Dimmer, 16in Black Painting Light for Picture Display Frame Dartboard","Ralbay","$49.99","98","1","$4,899","12/22/2022","$36.06","4.2","51","$13.93","212,923","6","FBA","30","Tools & Home Improvement","Standard","5.5 x 6.6 x 15 in","1.39 lb","https://www.amazon.com/dp/B0BQYLL3SZ"
"","","B0BY4DLGBW","Hapfish Battery Powered Operated Wall Strip Lights, Rechargeable Magnetic LED Light Bar with Remote, Dimmable Desk Lamp, Under Cabinet Lighting Wireless for Mirror Closet Picture Room Kitchen - Black","Hapfish","$27.98","1,138","36","$31,841","10/16/2023","$19.26","4.6","503","$8.72","9,686","7","FBA","1","Tools & Home Improvement","Standard","2.36 x 1.97 x 14.76 in","12.63 oz","https://www.amazon.com/dp/B0BY4DLGBW"
"","","B0C2ZL97Q9","JOOSENLUX Picture Lights for Wall Dimmable Wireless Picture Lights for Paintings Dual-Rods Swing Arm LED Wall Light Fixtures Adjustable 15.75' Long Gold Wall Sconce with Remote","JOOSENLUX","$46.88","282","6","$13,220","06/15/2023","$34.71","3.5","50","$12.17","57,711","7","FBA","1","Tools & Home Improvement","Standard","7.08 x 1.96 x 15.35 in","1.81 lb","https://www.amazon.com/dp/B0C2ZL97Q9"
"","","B0BNLJ3V2Q","OVICISK Led Picture Light, 13 Inch Picture Lights for Wall, Wireless Dartboard Light with 2 Remote, 300LM Picture Light for Paintings with 2 Magnetic Light Base for Art Work-Gold","OVICISK","$19.69","242","9","$4,765","11/28/2022","$11.60","4.2","146","$8.09","38,516","6","FBA","1","Tools & Home Improvement","Standard","2 x 2 x 13 in","1.12 lb","https://www.amazon.com/dp/B0BNLJ3V2Q"
