"Export time:  2/5/2024, 12:50:53 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BQQ7N495","Usefullstore Set of 3 Acrylic Display Boxes with Lids and Removable Dividers Acrylic Risers Acrylic Stand Nesting Risers Stands 5 Sided with Hollow bottoms Clear Display Buffet Risers, Food Display","Usefullstore","$42.00","60","2","$2,520","12/20/2022","","4.8","9","","414,799","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BQQ7N495"
"acrylic box","","B0B742R7NH","Yulejo 2 Pcs Acrylic Donation Box with Lock, Ballot Box with Sign Holder, Suggestion Box for Fundraising, Donation, Bar, School Voting, Raffle Box, Tip box(Clear)","Yulejo","$24.99","60","2","$1,499","12/05/2021","$15.60","4","45","$9.39","97,060","7","FBA","1","Office Products","Standard","4 x 6.25 x 4.5 in","2.27 lb","https://www.amazon.com/dp/B0B742R7NH"
"Average Monthly Sales: 501","","B07LC58HN7","Set of 3 Crystal Clear Acrylic Cube Display Nesting Risers with Hollow Bottoms, Transparent","Red Co","$38.95","925","34","$36,029","05/18/2019","$26.68","4.3","510","$12.27","27,174","5","FBA","5","Home & Kitchen","Standard","8.898 x 9.095 x 6.339 in","2.361 lb","https://www.amazon.com/dp/B07LC58HN7"
"Average Revenue: $12,460","","B0C9DKH95W","Attelite XX-Large Clear Stackable Plastic Storage Bins, 1 Pack Boot Shoe Box Organizers with an Adjustable Divider, Big Display Storage Box with Lids, Dustproof Protection Showcase","Attelite","$30.99","847","22","$26,249","06/25/2023","","4.4","410","","42,283","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C9DKH95W"
"Average Price: $26.68","","B0B2CYQ47N","Dayaanee Clear Acrylic Box with Lid, Clear Acrylic Plastic Square Cube containers Storage Box 7.9x7.9x3.9Inches/200X200X100mm for Candy Pill and Tiny Jewelry","Dayaanee","$25.99","221","7","$5,744","09/29/2021","","4.4","152","","121,166","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0B2CYQ47N"
"Average No. of Ratings: 408","","B09R3Y84S1","UNIQOOO Clear Acrylic Card Box w/Slot, Thick DIY Wedding Box Blank No Print, Large 10x10x5.5 in, for Reception Decoration Fundraiser Money Box Election Ballot Graduation Keepsake Party Favor","UNIQOOO","$36.99","463","16","$17,126","01/24/2022","$24.11","4.7","475","$12.88","59,522","6","FBA","2","Home & Kitchen","Standard","11.693 x 11.811 x 6.85 in","3.139 lb","https://www.amazon.com/dp/B09R3Y84S1"
"Average Sales Rank: 151,590","","B084QCBK8K","Hammont Clear Acrylic Boxes - 3 Pack - 8x4x4 - Lucite Boxes for Gifts, Weddings, Party Favors, Treats, Candies & Accessories, Plastic Storage Boxes","Hammont","$17.99","164","6","$2,950","02/10/2020","$10.15","4.3","118","$7.84","78,429","7","FBA","1","Health & Household","Standard","9 x 12 x 2 in","1.001 lb","https://www.amazon.com/dp/B084QCBK8K"
"Average Rating Number: 4.5","","B07YNW8TY8","mDesign Plastic Cosmetic Storage Organizer Box Containers, Hinged Lid for Bedroom, Bathroom Vanity Shelf or Cabinet, Holds Masks, Palettes, Nail Polish, Lumiere Collection, Light Pink/Clear","mDesign","$11.99","392","14","$4,700","10/02/2019","$6.42","4.7","1,026","$5.57","34,745","7","FBA","1","Beauty & Personal Care","Standard","6.5 x 3 x 5.61 in","8.4 oz","https://www.amazon.com/dp/B07YNW8TY8"
"","","B07WS32V5F","mDesign Plastic Household Stackable Storage Organizer Box Containers with Hinged Lid for Bedroom, Bathroom, Entryway, Hallway, Kitchen, Garage, Playroom, or Craft Room, Clear","mDesign","$13.99","300","10","$4,197","10/30/2019","$8.20","4.7","2,236","$5.79","94,960","7","FBA","1","Home & Kitchen","Standard","5.4 x 6.6 x 3.8 in","0.6 lb","https://www.amazon.com/dp/B07WS32V5F"
"","","B00X6DCVMS","mDesign Small Plastic Home Office Storage Organizer Box Containers w/Hinged Lid for Desktops - Holds Pens, Pencils, Sticky Notes, Highlighters, Staples, Supplies - Lumiere Collection - Clear","mDesign","$15.99","1,036","41","$16,566","05/04/2015","$9.82","4.7","2,686","$6.17","6,004","7","FBA","1","Office Products","Standard","6.65 x 5 x 5.62 in","11.04 oz","https://www.amazon.com/dp/B00X6DCVMS"
