"Export time:  2/14/2024, 2:17:22 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B002VWJZ8S","Drive Medical 13067 Adjustable Non Tilt Top Overbed Table With Wheels for Hospital and Home Use, Standing Desk, Walnut","Drive Medical","$54.61","4,683","143","$255,739","06/22/2006","$28.74","4.4","17,195","$25.87","620","6","AMZ","19","Industrial & Scientific","Oversize","23.8 x 32.5 x 3 in","23.1 lb","https://www.amazon.com/dp/B002VWJZ8S"
"adjustable side table","","B0CGL3FNMX","ZUJJAFY C-Shaped End Table, Small Side Table for Small Spaces, Portable Coffee Table Tray for Couch, Sofa Table with Adjustable Height for Living Room, Bedroom, Bedside and Bathtub","ZUJJAFY","$35.99","210","7","$7,558","03/31/2023","","3.8","25","","118,947","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CGL3FNMX"
"Average Monthly Sales: 1,087","","B09XGNQ3Y1","SANODESK Medical Adjustable Overbed Bedside Table with Hidden Casters, Pneumatic Mobile Laptop Computer Standing Desk Cart with Tray, Hospital and Home Use(27.6' W x 15.7' D, White)","SANODESK","$99.98","1,021","32","$102,080","04/07/2022","","4.6","364","","4,255","6","FBA","3","Industrial & Scientific","","","","https://www.amazon.com/dp/B09XGNQ3Y1"
"Average Revenue: $56,610","","B01FSGZ6A4","Able Life Universal Swivel TV Tray Table, Portable Laptop Desk, Adjustable Couch Desk for Computers,Brown","Able Life Comfortably Independent","$125.00","879","32","$109,875","05/19/2016","$59.64","4.4","2,911","$65.36","29,190","6","AMZ","1","Home & Kitchen","Oversize","18 x 24 x 25 in","20 lb","https://www.amazon.com/dp/B01FSGZ6A4"
"Average Price: $70.89","","B00QMNTMXA","Vaunn Adjustable Overbed Bedside Table With Wheels (Hospital and Home Use), Walnut Brown","Vaunn","$69.99","7,755","247","$542,772","12/04/2014","$-56.27","4.6","23,953","$126.26","3,673","6","FBA","3","Health & Household","Oversize","15 x 40.5 x 30 in","20.6 lb","https://www.amazon.com/dp/B00QMNTMXA"
"Average No. of Ratings: 2,173","","B09ZTL1BNK","wishacc Book Stand with Clamp, Aluminum Alloy and Bamboo Material Build, Table Side Design, Height Adjustable, Desktop Reading Mount Holder with Sturdy Page Clips (11 x 8.1 Inches)","wishacc","$47.99","235","8","$11,278","05/08/2022","$33.16","4.4","199","$14.83","27,477","6","FBA","1","Office Products","Standard","8.1 x 4.92 x 11 in","7.28 lb","https://www.amazon.com/dp/B09ZTL1BNK"
"Average Sales Rank: 143,815","","B0CLQZXLQB","FAGIGY C Shaped Adjustable Height Tables, C Table End Table for Couch, Couch Tables That Slide Under, Rolling Sofa Side Table with Storage, Snack Table for Living Room, Bedroom, Brown","FAGIGY","$39.99","390","13","$15,596","12/20/2023","","4.3","14","","68,640","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CLQZXLQB"
"Average Rating Number: 4.3","","B07DRGZMHQ","Adjustable TV Tray Table - TV Dinner Tray on Bed & Sofa, Comfortable Folding Table with 6 Height & 3 Tilt Angle Adjustments (Black)","HUANUO","$45.99","6,035","201","$277,550","06/14/2018","$27.49","4.3","21,605","$18.50","3,047","6","FBA","40","Home & Kitchen","Oversize","17.2 x 21 x 3 in","7.65 lb","https://www.amazon.com/dp/B07DRGZMHQ"
"","","B0CCR9QZK1","WHEARTED Adjustable C Shaped End Table - C Table Side Table forCouch and Sofa, Small Coffee Table with Metal Frame inLiving Room, Bedroom, Bedside Rustic Brown","WHEARTED","$40.96","90","2","$3,686","07/24/2023","","3.8","5","","312,397","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CCR9QZK1"
"","","B0CH886G95","LINGMI Adjustable Laptop Desk with Mouse Pad, Small Side Table for Couch,Rolling Computer Stand(Natural Color)","Generic","$47.99","90","3","$4,319","09/03/2023","","4.6","7","","141,868","6","FBA","1","Health & Household","","","","https://www.amazon.com/dp/B0CH886G95"
