"Export time:  2/5/2024, 2:45:14 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CLX8Y7NF","HITACTS Overbed Table Height Adjustable Desktop Bed Side Table with Wheels Lockable Rolling Standing Laptop Desk Hospital Bed Table - 27.5' L x 15.7' W x 28-43' H","HITACTS","$99.99","150","5","$14,999","12/24/2023","","4.8","7","","27,757","","FBA","1","Industrial & Scientific","","","","https://www.amazon.com/dp/B0CLX8Y7NF"
"adjustable side table","","B00QMNTMXA","Vaunn Adjustable Overbed Bedside Table With Wheels (Hospital and Home Use), Walnut Brown","Vaunn","$69.13","7,607","255","$525,872","12/04/2014","$-57.00","4.6","23,885","$126.13","3,541","6","AMZ","4","Health & Household","Oversize","15 x 40.5 x 30 in","20.6 lb","https://www.amazon.com/dp/B00QMNTMXA"
"Average Monthly Sales: 1,104","","B0BZ3LRG87","HITACTS Overbed Table Height Adjustable Pneumatic Hospital Bed Table with Lockable Wheels Rolling Bedside Table Standing Desk Bed Table for Home Office Height 29'-44'","HITACTS","$129.99","150","4","$19,499","03/20/2023","","4.2","106","","35,177","7","FBA","1","Industrial & Scientific","","","","https://www.amazon.com/dp/B0BZ3LRG87"
"Average Revenue: $60,596","","B07WZWSPD9","Vaunn Medical Adjustable Tilt Overbed Bedside Table with Wheels for Hospital and Home Use","Vaunn","$149.99","333","9","$49,947","08/27/2019","$101.07","4.4","2,387","$48.92","64,379","6","FBA","2","Health & Household","Oversize","26.5 x 16.14 x 15 in","22.4 lb","https://www.amazon.com/dp/B07WZWSPD9"
"Average Price: $64.56","","B002VWJZ8S","Drive Medical 13067 Adjustable Non Tilt Top Overbed Table With Wheels for Hospital and Home Use, Standing Desk, Walnut","Drive Medical","$54.61","4,826","137","$263,548","06/22/2006","$28.74","4.4","17,173","$25.87","660","6","AMZ","17","Industrial & Scientific","Oversize","23.8 x 32.5 x 3 in","23.1 lb","https://www.amazon.com/dp/B002VWJZ8S"
"Average No. of Ratings: 2,146","","B09XGNQ3Y1","SANODESK Medical Adjustable Overbed Bedside Table with Hidden Casters, Pneumatic Mobile Laptop Computer Standing Desk Cart with Tray, Hospital and Home Use(27.6' W x 15.7' D, White)","SANODESK","$99.98","930","49","$92,981","04/07/2022","","4.6","357","","2,593","6","FBA","3","Industrial & Scientific","","","","https://www.amazon.com/dp/B09XGNQ3Y1"
"Average Sales Rank: 108,559","","B0CGL3FNMX","ZUJJAFY C-Shaped End Table, Small Side Table for Small Spaces, Portable Coffee Table Tray for Couch, Sofa Table with Adjustable Height for Living Room, Bedroom, Bedside and Bathtub","ZUJJAFY","$35.99","270","9","$9,717","03/31/2023","","3.9","24","","104,784","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CGL3FNMX"
"Average Rating Number: 4.3","","B0962TGMJ5","Rolanstar End Table with Charging Station, Narrow Side Table with 2 Wooden Drawers, USB Ports and Power Outlets, Nightstand Sofa Table for Small Spaces, Living Room, Bedroom, Rustic Brown","Rolanstar","$69.99","1,200","49","$83,988","08/30/2021","$39.53","4.7","4,414","$30.46","18,249","7","FBA","30","Home & Kitchen","Oversize","14.764 x 27.559 x 6.693 in","29.013 lb","https://www.amazon.com/dp/B0962TGMJ5"
"","","B07TZ3LWZK","Armen Living Bentley Height Adjustable Swivel Pub Table with Black Wood Finish and Black Base","Armen Living","$98.98","160","8","$15,837","07/25/2018","$62.27","4","317","$36.71","113,730","6","AMZ","7","Home & Kitchen","Oversize","26 x 7 x 26 in","26 lb","https://www.amazon.com/dp/B07TZ3LWZK"
"","","B0CKQTTG3T","SYKIARIOL Metal Side Table,Cute Nightstand, 4-Tier Small End Table with Storage,Vintage Bedside Table,Girls Bedroom Furniture,Small Coffee Table for Living Room,Bedroom,Dorm,Pink","SYKIARIOL","$49.99","165","4","$8,248","12/24/2023","","4.7","27","","192,728","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CKQTTG3T"
"","","B0B461GPTP","Allpop TV Tray Table, TV Dinner Tray for Eating, Adjustable Folding Food Table with 6 Heights & 3 Tilt Angles, Cup Holder on Couch & Bed, Black","Allpop","$35.98","576","29","$20,724","09/11/2022","","4.4","681","","32,686","6","FBA","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0B461GPTP"
"","","B07DRGZMHQ","Adjustable TV Tray Table - TV Dinner Tray on Bed & Sofa, Comfortable Folding Table with 6 Height & 3 Tilt Angle Adjustments (Black)","HUANUO","$45.99","6,055","290","$278,469","06/14/2018","$28.56","4.3","19,277","$17.43","1,731","6","FBA","43","Home & Kitchen","Oversize","17.2 x 21 x 3 in","7.65 lb","https://www.amazon.com/dp/B07DRGZMHQ"
"","","B0CJR3PDZG","BTY C Shaped Side Table Adjustable Height End Table for Small Spaces C Table with Wheels Couch Table with Storage Laptop Side Table for Sofa Living Room Bedroom (Grey)","BTY","$39.99","480","16","$19,195","12/23/2023","","3.9","7","","59,504","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CJR3PDZG"
