"Export time:  2/1/2024, 1:41:22 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08CHFPM7L","Valante Set of Adult Game Toys Microfiber Drawstring Storage Bags (3 size set)","Valante","$19.99","1,309","37","$26,167","07/06/2020","$14.07","4.8","2,107","$5.92","21,248","6","FBA","1","Health & Household","Standard","0.2 x 12 x 9 in","5.6 oz","https://www.amazon.com/dp/B08CHFPM7L"
"adult toy storage","","B0C7Z22T52","Locking Storage Box Travel Bag for Toys Receive Bag Game Toys Storage Bags","EKRISON","$42.99","253","12","$10,876","06/13/2023","$29.51","4.5","25","$13.48","78,739","5","FBA","2","Home & Kitchen","Standard","8.6 x 7.2 x 11.4 in","1.63 lb","https://www.amazon.com/dp/B0C7Z22T52"
"Average Monthly Sales: 824","","B0CLLF9GD5","MUOUM Toy Storage Bags Toy Box Toy Bag Toy Organizer Toy Container Locking Storage Box Travel Bag For Toys Game Toys Storage Bags","MUOUM","$37.99","128","3","$4,863","10/24/2023","$25.26","3.8","25","$12.73","266,313","7","FBA","1","Home & Kitchen","Standard","9 x 6.7 x 11.8 in","1.76 lb","https://www.amazon.com/dp/B0CLLF9GD5"
"Average Revenue: $30,407","","B0BZCYGGP2","Storage Bins with Lids,78 Quart Plastic Bins with Lids,Large Closet Organizers, 3 Packs Collapsible Storage Bins with Wheels,Double Door Stackable Bins for Clothes,Home","KHNR","$86.18","3,771","121","$324,985","05/05/2023","","4.4","360","","6,208","7","FBA","6","Home & Kitchen","","","","https://www.amazon.com/dp/B0BZCYGGP2"
"Average Price: $34.32","","B08CHH5328","Valante Set of Adult Game Toys Microfiber Drawstring Storage Bags (Large size set)","Valante","$18.99","1,350","37","$25,636","07/06/2020","$13.07","4.8","2,107","$5.92","21,248","6","FBA","1","Health & Household","Standard","0.2 x 12 x 9 in","7 oz","https://www.amazon.com/dp/B08CHH5328"
"Average No. of Ratings: 1,020","","B0BG1JWDMV","9 Pcs Adult Game Toy Storage Bags Drawstring Gift Bags Pouches for Toys Lightweight Toy Organizer Stuff Sack Multi Purpose Foldable Ditty Bag Travel Pouch for Women, 3 Sizes","Amylove","$17.99","342","14","$6,153","09/20/2022","$11.52","4.5","91","$6.47","44,620","7","FBA","1","Health & Household","Standard","9.84 x 0.91 x 11.81 in","7.37 oz","https://www.amazon.com/dp/B0BG1JWDMV"
"Average Sales Rank: 139,185","","B07BKVN8S4","Bankers Box 30 Pack STOR/FILE Basic Duty File Storage Boxes, Standard Assembly, Lift-off Lid, Letter/Legal, White/Blue","Bankers Box","$69.99","4,744","129","$332,033","03/31/2018","$32.69","4.8","2,988","$37.30","1,574","7","AMZ","4","Office Products","Oversize","22.63 x 10.38 x 28.38 in","1.1 lb","https://www.amazon.com/dp/B07BKVN8S4"
"Average Rating Number: 4.4","","B075792GSH","Bankers Box 20 Pack R-KIVE Heavy-Duty File Storage Boxes, FastFold, Lift-Off Lid, Letter, White/Blue","Fellowes","$87.27","358","19","$31,243","08/28/2017","$42.44","4.7","790","$44.83","12,711","6","AMZ","38","Office Products","Oversize","21 x 28.5 x 14 in","33.1 lb","https://www.amazon.com/dp/B075792GSH"
"","","B0C26QYJ8S","Friday Monkey Large Under Bed Shoe Boot Storage Organizers for women and girls 2 Pack, Fit 14+4 Pairs, Sturdy Underbed Closet Shoes Bin Container Bag Organizer, 33.9x 23.6x5.9inch, Black, ZMBCUBS14S4","Friday Monkey","$21.99","797","28","$17,526","05/09/2023","","4.5","174","","33,630","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C26QYJ8S"
"","","B0CGTG8RY9","Rsobl Toy Storage Bag Organizer Case for Women and Men,Lock Box Travel Bag Game Toys Storage Bags","Rsobl","$42.99","135","5","$5,804","08/28/2023","$31.40","3.9","12","$11.59","181,356","6","FBA","1","Home & Kitchen","Standard","2 x 1 x 3 in","1.63 lb","https://www.amazon.com/dp/B0CGTG8RY9"
"","","B0C8CN6RC7","6 Pcs Adult Game Toy Storage Bags, Microfiber Drawstring Gift Bags Pouches Adjustable Toy Organizer Foldable Ditty Underwear Bag Sunglasses Case Home Travel Pouch (6)","NADUSEP","$7.99","209","7","$1,670","06/16/2023","$3.67","3.8","9","$4.32","71,394","7","FBA","1","Health & Household","Standard","4.8 x 1.14 x 5.79 in","2.39 oz","https://www.amazon.com/dp/B0C8CN6RC7"
"","","B0BG1HHMDX","20 Pcs Adult Game Toy Storage Bags Drawstring Gift Bags Pouches for Toys Lightweight Ditty Stuff Pouch Multi Purpose Foldable Compact Home Travel Toy Bag Sunglasses Pouch Case, 4 Sizes (Classic)","Amylove","$26.99","248","7","$6,694","09/20/2022","$17.80","4.5","70","$9.19","76,160","7","FBA","1","Health & Household","Standard","9.45 x 1.5 x 10.55 in","1.46 lb","https://www.amazon.com/dp/B0BG1HHMDX"
"","","B0CLG6RMBZ","GGGI Solution - Set of 4 Under bed Storage with See-Through PVC Window organization and storage for Closet and Bedroom clothes storage Underbed Clothes Storage & Reinforced Zipper","Generic","$24.45","","","$0.00","10/19/2023","","","","","1,274,146","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CLG6RMBZ"
