"Export time:  1/27/2024, 12:01:12 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B076Z5M1TV","Pinesman - Mouse Pad Notepad for Professionals, Executive's Desk Note Pad, Minimalist, Gold Foiled, Dotted Layout, 9.8' x 7.9, Eco-friendly, FSC Certified","Pinesman","$15.95","676","19","$10,782","10/28/2017","$10.49","4.8","262","$5.46","12,692","8","FBA","2","Office Products","Standard","9.84 x 0.39 x 7.87 in","8.8 oz","https://www.amazon.com/dp/B076Z5M1TV"
"aesthetic desk accessories","","B09L5NRWNF","iCasso Desk Mat, Desk Pad, XXL Large Gaming Mouse Pad + Keyboard Wrist Rest 3Pcs Memory Foam, Easy Typing Pain Relief Ultra Thick Mousepad Keyboard Mat for Computer (Weeds)","iCasso","$23.99","1,608","23","$38,576","09/10/2021","$15.25","4.7","2,645","$8.74","10,641","7","FBA","1","Office Products","Standard","3.15 x 0.01 x 17.32 in","1.59 lb","https://www.amazon.com/dp/B09L5NRWNF"
"Average Monthly Sales: 3,992","","B0CDQ4T2MG","AFIING Dual-Sided Desk Pad, Natural Cork & PU Leather Large Mouse mats for Office and Home Work, Desk Protector Non-Slip, Waterproof, Easy Clean (Light Green, 23.6' x 13.7')","AFIING","$9.99","3,897","129","$38,931","08/03/2023","$4.72","4.6","341","$5.27","1,569","7","FBA","1","Office Products","Standard","2.17 x 2.13 x 14.33 in","9.6 oz","https://www.amazon.com/dp/B0CDQ4T2MG"
"Average Revenue: $45,687","","B0BC8Q6W26","Niniubye Desk Mat, Large Mouse Pad, 32' x 12' XXL Extended Gaming Mousepad, Desktop Decor Desk Pad, Cute Men Women Office Supplies and Accessories, XL Mouse Pad for Laptop & Keyboard, White Flowers","Niniubye","$12.69","728","32","$9,238","08/28/2022","$1.85","4.6","342","$10.84","7,643","7","FBA","2","Office Products","Oversize","12 x 0.12 x 32 in","11.4 oz","https://www.amazon.com/dp/B0BC8Q6W26"
"Average Price: $14.66","","B0C8189NXN","Vanhench Gel Pens 0.5mm Aesthetic Fine Point Pen Black Cute Pens, Office Desk Accessories Japanese Stationary Home Work Essentials Nurse School Supplies, Christmas Birthday Gifts for Women Teen Girls","Vanhench","$9.99","4,361","157","$43,566","08/08/2023","$5.57","4.7","182","$4.42","1,219","8","FBA","1","Office Products","Standard","3.27 x 0.67 x 5.91 in","5 oz","https://www.amazon.com/dp/B0C8189NXN"
"Average No. of Ratings: 3,044","","B0BYNWYK8C","Aesthetic Pen Holder For Your Desk - The Perfect Modern Concrete Pencil Holder Easily Organizes All Pens and Desk Accessories - A Cute Natural Design And Must Have Pen Cup For Your Office Decor","KIBAGA","$9.99","1,481","35","$14,795","03/15/2023","$4.72","4.3","179","$5.27","7,026","7","FBA","1","Office Products","Standard","2.75 x 3.75 x 2.75 in","10.8 oz","https://www.amazon.com/dp/B0BYNWYK8C"
"Average Sales Rank: 14,980","","B0C6ZCNR4Q","INSTOME Pencil Pen Holder for Desk with 3 Drawers - All-In-One Desk Organizer - Perfect Desk Accessories for Office Use - Stylish & Convenient Desk Organizers and Accessories (Beige)","INSTOME","$16.99","212","4","$3,602","06/02/2023","$9.92","4.4","19","$7.07","51,869","6","FBA","1","Office Products","Standard","2.5 x 3 x 2.5 in","14.4 oz","https://www.amazon.com/dp/B0C6ZCNR4Q"
"Average Rating Number: 4.5","","B09P8B45DG","iCasso Keyboard Mouse Pad Set,Desk Pad + Keyboard Wrist Rest Support+Wrist Rest, Easy Typing Pain Relief, 3Pcs (35.415.7 in) Ergonomic XXL Ultra Thick Mousepad Desk Mat (Morlandi)","iCasso","$19.99","1,516","23","$30,305","09/08/2021","$11.85","4.7","2,645","$8.14","10,641","7","FBA","1","Office Products","Standard","3.15 x 0.01 x 17.32 in","1.65 lb","https://www.amazon.com/dp/B09P8B45DG"
"","","B082YFS8N3","STORi SimpleSort 10-Piece Stackable Clear Drawer Organizer Set | Multi-size Trays | Makeup Vanity Storage Bins and Office Desk Drawer Dividers | Made in USA","STORi","$20.99","2,268","79","$47,605","12/19/2019","$11.11","4.7","7,108","$9.88","10,596","7","FBA","1","Home & Kitchen","Standard","9.6 x 11.7 x 5.4 in","2.551 lb","https://www.amazon.com/dp/B082YFS8N3"
"","","B0744NP826","STORi SimpleSort 6-Piece Stackable Clear Drawer Organizer Set | Multi-size Trays | Small Makeup Vanity Storage Bins and Office Desk Drawer Dividers | Made in USA","STORi","$13.49","1,428","42","$19,264","07/20/2017","$5.68","4.8","11,297","$7.81","5,882","7","FBA","1","Office Products","Standard","6.8 x 9.6 x 4.3 in","1.349 lb","https://www.amazon.com/dp/B0744NP826"
"","","B08CXXHGY2","Welaxy Drawer organizers tray Felt storage bins office Desk Draw dividers Morandi Nordic Lifestyle Natural still life Interior Decor 8-Piece Valentine's Day gift (Glacier gray)","Welaxy","$29.99","1,296","28","$38,867","08/05/2018","$20.35","4.6","343","$9.64","9,004","7","FBA","1","Office Products","Standard","8 x 2.4 x 10.8 in","0.88 lb","https://www.amazon.com/dp/B08CXXHGY2"
"","","B07YFBYSQ4","Non-Slip Desk Pad,Mouse Pad,Waterproof PVC Leather Desk Table Protector,Ultra Thin Large Desk Blotter, Easy Clean Laptop Desk Writing Mat for Office Work/Home/Decor(Pink, 23.6' x 13.7')","YSAGi","$7.99","13,375","653","$106,866","07/21/2019","$-2.15","4.7","31,808","$10.14","126","6","FBA","1","Office Products","Oversize","13.7 x 0.5 x 23.6 in","11.3 oz","https://www.amazon.com/dp/B07YFBYSQ4"
"","","B0BXNPMXS6","ZHAIXIAONIAN Desk Pen Organizer, Pen Holder Organizer Storage, Pencil Organizer with 7 Compartments and 1 Drawer, Marker Desk Organizers and Accessories","ZHAIXIAONIAN","$16.99","396","10","$6,728","03/06/2023","","4.4","99","","24,108","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BXNPMXS6"
"","","B0BMTCFQV8","YSAGi Leather Desk Pad Protector, Office Desk Mat, Large Mouse Pad, Non-Slip PU Leather Desk Blotter, Laptop Desk Pad, Waterproof Desk Writing Pad for Home (23.6' x 13.8', Dark Green)","YSAGi","$9.99","47,057","1,688","$470,099","11/17/2022","$4.72","4.6","2,748","$5.27","18","7","FBA","1","Office Products","Standard","2.56 x 2.44 x 14.13 in","8.1 oz","https://www.amazon.com/dp/B0BMTCFQV8"
"","","B0BWTT3WK1","gianotter Paper Letter Tray Organizer with File Holder, 4-Tier Desk Accessories & Workspace Desk Organizers with Drawer and 2 Pen Holder for Office Supplies (Rose Gold)","gianotter","$32.99","5,530","122","$182,435","04/04/2023","","4.6","951","","1,690","6","FBA","2","Office Products","","","","https://www.amazon.com/dp/B0BWTT3WK1"
"","","B0C1YFNYFC","Cute Frog Mouse Pad Desk Pad Kawaii Green Desk Decor Mat, Large Gaming Mouse Pad for Desk Computer Keyboard Laptop, Desk Decor Home Office Accessories for Girl (31.5x15.7 in)-with Stitched Eges Pad","Mechanical Cattle","$17.99","2,081","66","$37,437","04/09/2023","$3.69","4.8","1,282","$14.30","3,526","","FBA","2","Office Products","Oversize","15.75 x 0.12 x 31.5 in","1.34 lb","https://www.amazon.com/dp/B0C1YFNYFC"
