"Export time:  2/5/2024, 12:46:47 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BNJWMD1B","Compendium ThoughtFulls Pop-Open Cards  2-Pack of Mindfulness, Live with Intention  60 Pop-Open Cards, Each with a Different Message Inside","Compendium","$13.74","2,366","99","$32,509","11/27/2022","$7.91","4.8","976","$5.83","2,187","7","AMZ","2","Office Products","Standard","2.5 x 2.5 x 2.5 in","6.1 oz","https://www.amazon.com/dp/B0BNJWMD1B"
"appreciation gifts","","B0CG31VKY7","Thank You Gifts for Women, 8pcs Employee Appreciation Gifts Baskets for Women Thank You Farewell Gifts for Coworkers Teacher Boss Hostess Secretary Nurse Mom Pastor- Best Spa Gratitude Box w/ Candle","Suhctuptx","$29.99","321","9","$9,627","11/09/2023","$19.06","4.7","11","$10.93","52,350","7","FBA","1","Beauty & Personal Care","Standard","8.27 x 3.94 x 8.27 in","3.31 lb","https://www.amazon.com/dp/B0CG31VKY7"
"Average Monthly Sales: 1,028","","B0C6ZB3MCD","BAUBLEDAZZ Thank You Gifts for Women, Thank You Candle- Handmade Lavender Natural Soy Wax Candle (7oz)- Appreciation Gifts for Friends, Coworker, Employee, Hostess Gifts","BaubleDazz","$15.99","185","5","$2,958","07/11/2023","$9.82","4.8","14","$6.17","161,052","7","FBA","1","Home & Kitchen","Standard","2.8 x 3.4 x 2.8 in","7 oz","https://www.amazon.com/dp/B0C6ZB3MCD"
"Average Revenue: $20,799","","B09272DMMW","MESMOS Fancy Pens for Women, Boss Day Gifts for Women, Nice Pens, Luxury Pen for Boss Lady, Vintage Writing Pens for Journaling, Pretty Cute Pens Set, Inspirational Motivational Pens, Executive Pen","MESMOS","$18.25","271","7","$4,946","07/20/2021","$12.56","4.5","746","$5.69","32,017","6","FBA","1","Office Products","Standard","2.09 x 0.71 x 7.09 in","0.705 oz","https://www.amazon.com/dp/B09272DMMW"
"Average Price: $26.28","","B0CB3YWZP1","Fulmoon Employee Appreciation Gifts Includes Thank You Wood Bamboo Pens May You Be Proud Sign Ballpoint Pen Employee Appreciation Cards with Twine for Teacher Office Coworker Colleague Team (20 Set)","Fulmoon","$16.99","347","14","$5,896","07/03/2023","$10.67","4.8","19","$6.32","17,507","7","FBA","2","Office Products","Standard","8.03 x 0.91 x 8.43 in","9.1 oz","https://www.amazon.com/dp/B0CB3YWZP1"
"Average No. of Ratings: 494","","B0BYTDY4PP","Lodeskee - Thank You Decorative Signage, Black Ceramic Plate with Wooden Base, 4.3 in x 4.3 in, Perfect for Birthday, Christmas, Thanksgiving, Teacher Appreciation","Lodeskee","$6.99","1,938","62","$13,547","03/16/2023","","4.8","658","","14,116","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BYTDY4PP"
"Average Sales Rank: 98,469","","B0BJYVMD6S","Sieral 6 Pcs Thank You Gift Appreciation Gift Succulent Pots Mini Ceramic Plant Pot with Bamboo Tray Succulent Planter Gift for Coworker Employee Teacher, Plants Excluded(Boho Style)","Sieral","$30.99","302","30","$9,359","10/20/2022","","4.5","50","","6,273","7","FBA","2","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0BJYVMD6S"
"Average Rating Number: 4.6","","B00VK5SG46","Burt's Bees Classics Valentines Day Gifts Set, 6 Products in Giftable Tin  Cuticle Cream, Hand Salve, Lip Balm, Res-Q Ointment, Hand Repair Cream and Foot Cream","Burt's Bees","$24.50","21,811","776","$534,370","09/05/2015","$15.69","4.7","9,734","$8.82","376","7","AMZ","1","Beauty & Personal Care","Standard","6.5 x 2.94 x 9.06 in","1.42 lb","https://www.amazon.com/dp/B00VK5SG46"
"","","B0BHSQL2HG","Sieral 10 Sets Thank You Gifts for Women Men, Thank You for Being Awesome 20oz Employee Appreciation Gifts Inspirational Tumblers Bulk for Coworker Christmas Graduation Wife (Multi Colors)","Sieral","$65.99","70","2","$4,619","10/09/2022","","4.7","101","","98,666","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BHSQL2HG"
"","","B0BFWLK62P","Employee Appreciation Gifts Wine Tumbler Team Gifts for Employee Thank You Gift for Coworker Women Men, 12 oz Wine Tumbler Insulated Stainless Steel Tumbler with Lid and Straw (Elegant Style, 12 Pcs)","Sieral","$54.99","60","2","$3,299","09/19/2022","","4.8","141","","118,784","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BFWLK62P"
