"Export time:  2/5/2024, 2:06:13 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BK8V1Q6Z","Solofish 1450 Lumens Tactical Flashlight with White LED, MLOK Mount Weapon Light with Anti-Slip Cover Design Compatible with M-Lok Rail, Magnetic Rechargeable","Solofish","$32.70","594","18","$19,424","06/21/2022","$24.26","4.6","190","$8.45","11,843","6","FBA","1","Sports & Outdoors","Standard","0.86 x 1.2 x 5 in","3.63 oz","https://www.amazon.com/dp/B0BK8V1Q6Z"
"ar foregrip","","B09SZ5LQJK","2-Packs Rubber Combat Butt Pad Snap-On Recoil Pad for 6-Position Adjustable Stocks","Anjilu","$18.99","269","12","$5,108","02/20/2022","$12.37","4.4","226","$6.62","18,582","5","FBA","1","Sports & Outdoors","Standard","5.08 x 1.65 x 5.94 in","0.22 kg","https://www.amazon.com/dp/B09SZ5LQJK"
"Average Monthly Sales: 1,411","","B0C4LMKZJB","Focuaim T2 Iron Sights, 45 Degree Offset Iron Sights with Green and Red Fiber Optics Dots, Flip Up Front and Rear Backup Sights for Picatinny Rail.","FocuAim","$27.99","581","17","$16,262","05/07/2023","$20.25","4.4","119","$7.74","13,173","6","FBA","1","Sports & Outdoors","Standard","2.87 x 1.14 x 3.66 in","0.1 kg","https://www.amazon.com/dp/B0C4LMKZJB"
"Average Revenue: $62,962","","B0CQ53V84R","2Pcs Flip Up Sight, 2nd Generation MB-US Front and Rear Flip Sights Back up Sight, 20mm Back Up Sight for Picatinny, Black","SVICCOOKQ","$13.99","60","1","$839.40","12/12/2023","$8.35","","","$5.64","171,874","7","FBA","1","Sports & Outdoors","Standard","1.09 x 0.77 x 1.79 in","0.09 lb","https://www.amazon.com/dp/B0CQ53V84R"
"Average Price: $30.98","","B0CBCB59R3","WPKOPYA WZD-002/003 Fixed Tactical Knife with Sheath Suitable for Outdoor Hiking, Fishing, Jungle Camping, Hunting, EDC, Gift for Both Men and Women (WZD-002)","WPKOPYA","$32.80","26","","$852.80","07/06/2023","","4.7","34","","254,642","7","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0CBCB59R3"
"Average No. of Ratings: 3,125","","B0CCNQ3SR8","X.Store 5000LM Rail Mount Flashlight, Airsoft Flashlight USB Picatinny Flashlight Rechargeable Weapon Light for Gift,5 Modes Rifle Flashlight - Remote Switch Included Rifle Light with Pressure Switch","X.Store","$23.79","120","4","$2,855","07/23/2023","$16.12","4.1","12","$7.67","62,133","7","FBA","1","Sports & Outdoors","Standard","1.57 x 1.18 x 6.1 in","11.68 oz","https://www.amazon.com/dp/B0CCNQ3SR8"
"Average Sales Rank: 84,970","","B0CPDHYF2Q","ZBULAR Fiber Optic Sights, Flip Up Front and Rear Backup Sights with Green Red Fiber Optics Dots, Tool-Free Adjustable Front Sight Rapid Transition","ZBULAR","$15.99","120","4","$1,919","12/03/2023","$9.75","3.5","66","$6.24","64,374","7","FBA","1","Sports & Outdoors","Standard","3.27 x 1.18 x 4.65 in","0.08 kg","https://www.amazon.com/dp/B0CPDHYF2Q"
"Average Rating Number: 4.4","","B0C868Z5N8","SHTALHST Iron Sights,45 Degree Offset Flip Up Sights,Flip Up Front and Rear Sights,Canted Iron Sights with Fiber Optic Red and Green Dots for Picatinny Rail,Flip Up Iron Sight","SHTALHST","$22.99","30","1","$689.70","06/14/2023","","4","7","","159,488","6","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0C868Z5N8"
"","","B0CC7PX23C","OLIGHT Sigurd 1450 Lumens Rechargeable Flashlight with White LED, 240 Meters Beam Distance, Built-in Battery, Black","OLIGHT","$89.48","449","14","$40,177","07/18/2023","$72.29","4.7","46","$17.19","15,361","4","AMZ","30","Sports & Outdoors","Standard","2.6 x 1.73 x 6.54 in","10.93 oz","https://www.amazon.com/dp/B0CC7PX23C"
"","","B0CGTML1QP","Darkfang Bore Sight 223/5.56mm/243/308/9mm/6.5 Creedmoor/7.62x39/45ACP Red Laser Easy Adjust and Zeroing Optics Bore Sighter with 2 Sets Batteries for Scope Sighting","DARKFANG","$13.99","1,645","80","$23,014","07/11/2023","$8.97","4.3","116","$5.02","1,986","7","FBA","1","Sports & Outdoors","Standard","1.97 x 0.67 x 2.56 in","0.03 kg","https://www.amazon.com/dp/B0CGTML1QP"
