"Export time:  2/5/2024, 2:37:48 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CH8KTMS1","SAYOK Outdoor Inflatable Arch Inflatable Archway Inflatable Start Finish Line Racing Arch Banners with Air Blower for Advertising/Sport Events(Black, 26.25FT)","SAYOK","$299.00","10","1","$2,990","01/11/2024","","4.5","35","","173,438","7","FBA","1","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0CH8KTMS1"
"arch","","B084XW1YH4","Adorox 7.8ft Backdrop Stand - Balloon Arch Kit, Stable Balloon Arch Frame, Metal Wedding Arch for Wedding Birthday Party Baby Shower Decoration(Black)","Adorox","$24.99","670","30","$16,743","08/10/2016","$11.16","4.1","5,529","$13.83","6,196","6","FBA","3","Patio, Lawn & Garden","Oversize","7 x 21.75 x 1.75 in","3.9 lb","https://www.amazon.com/dp/B084XW1YH4"
"Average Monthly Sales: 736","","B0CB3Q9ZN1","DABGIH 7.2ft Round Balloon Arch Stand,Wedding Arches for Ceremony, Circle Balloon Arch Frame for Party Background Decoration(Gold)","DABGIH","$42.99","63","2","$2,708","09/20/2023","","4.5","25","","100,886","7","FBA","1","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0CB3Q9ZN1"
"Average Revenue: $33,669","","B0BZKLN33H","Byjoph Inflatable Blower Bounce House Air Blower, 0.65HP 470CFM 110V 60Hz for Commercial Inflatable Arch, Jumper, Bouncy Castle","Byjoph","$51.89","83","1","$4,307","03/24/2023","$23.01","","","$28.88","107,621","7","FBA","30","Patio, Lawn & Garden","Oversize","15.31 x 8.5 x 15.83 in","5.44 kg","https://www.amazon.com/dp/B0BZKLN33H"
"Average Price: $53.54","","B0B395KW3C","KAIYUN Balloon Arch, Innovation Large Sturdy Balloon Arch Kit,10Ft Wide & 9FT Tall Adjustable Balloon Arch Stand with Water Fillable Bases, Manual Pump - for Wedding, Birthday, Baby Shower, Graduation","KAIYUN","$20.99","2,700","90","$56,673","07/01/2022","","4.3","647","","8,964","7","FBA","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0B395KW3C"
"Average No. of Ratings: 754","","B0BS3KXL3L","5.9Ft Arch Backdrop Stand Wedding Arch Stand Balloon Arch Frame Kit for Wedding Arch Flower Stand Party Background Decoration (Aluminum/Gold)","OFRAME STAND","$29.99","1,080","36","$32,389","02/15/2023","","4.6","379","","4,993","7","FBA","5","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0BS3KXL3L"
"Average Sales Rank: 36,505","","B0C232RP68","Putros Metal Arch Backdrop Stand Gold Wedding Arch Stand Set of 2 (7.2FT/6FT) Square Arched Frame for Birthday Party Graduation Ceremony Decoration","Putros","$66.99","3,433","38","$229,977","05/26/2023","","4.5","120","","4,768","7","FBA","3","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0C232RP68"
"Average Rating Number: 4.4","","B004AZ38Z0","Heavy Duty Muslin Clamps 4 1/2 inch 6 Pack","Cheaplights","$11.99","","","","11/04/2010","$7.26","4.6","18,879","$4.73","59","5","FBA","1","Photo Studio Equipment","Standard","4.9 x 10.1 x 1.1 in","0.75 lb","https://www.amazon.com/dp/B004AZ38Z0"
"","","B0C1Z7DWSX","Bounce House Blower, 370W 0.5HP Commercial Air Blower with Double-sided Fan Blade Design, Strong Wind and Great Heat Dissipation Properties for Small Bouncy Castle, Jump Slides, Inflatable Arch","ZAFIED","$52.99","218","4","$11,552","05/13/2023","","4.7","41","","54,077","7","FBA","2","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0C1Z7DWSX"
"","","B07JK93BW1","AAGUT 12 Inch Galvanized Landscape Staples 25 Pack 11 Gauge Garden Stakes Heavy-Duty Fence Stakes for Weed Barrier Fabric, Ground Cover, Dripper Irrigation Tubing Soaker Hose","AAGUT","$13.99","230","8","$3,218","04/27/2019","$6.75","4.6","2,376","$7.24","23,719","5","FBA","7","Patio, Lawn & Garden","Standard","2.87 x 13.07 x 1.1 in","1.96 lb","https://www.amazon.com/dp/B07JK93BW1"
