"Export time:  2/1/2024, 11:11:04 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CQCZ1YKM","Tumsmarg wrench for removal and installtion combo wrench multiple applications repair tools","Tumsmarg","$29.99","308","8","$9,237","12/14/2023","$20.35","","","$9.64","44,858","6","FBA","1","Tools & Home Improvement","Standard","2.91 x 1.26 x 13.46 in","1.19 lb","https://www.amazon.com/dp/B0CQCZ1YKM"
"armorers wrench","","B0CGJ9DTHZ","UNBRAN Wrench Spanner Hand Tool for Removal and Tighten","","$9.90","30","1","$297.00","01/26/2024","","","","","246,710","","FBA","","Beauty & Personal Care","","","","https://www.amazon.com/dp/B0CGJ9DTHZ"
"Average Monthly Sales: 941","","B0CLCXNZ5S","Spamer Wrench, Nut Wrench for Removal and Tighten,with Non-Slip Rubber Handle","Generic","$9.90","60","2","$594.00","10/18/2023","","5","1","","134,443","6","FBA","1","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0CLCXNZ5S"
"Average Revenue: $38,930","","B0CPS812RY","UNBRAN Wrench Tool - Removal and Installation","UNBRAN","$12.99","240","8","$3,118","12/28/2023","","4","1","","42,323","","FBA","1","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0CPS812RY"
"Average Price: $39.78","","B0CJ8TVBXD","UNBRAN Wrench for Removal and Installation Combo Wrench","UNBRAN","$31.99","1,879","42","$60,109","09/17/2023","$24.50","3.8","67","$7.49","8,248","5","FBA","3","Tools & Home Improvement","Standard","3.5 x 0.5 x 13.3 in","15.5 oz","https://www.amazon.com/dp/B0CJ8TVBXD"
"Average No. of Ratings: 1,568","","B09W28RVT3","TMR Lock nut Wrench for Nut Removal and Tighten collet nut","TMR","$13.99","1,857","84","$25,979","02/01/2022","$8.97","4.5","28","$5.02","3,557","5","FBA","1","Tools & Home Improvement","Standard","3 x 0.3 x 7 in","3.52 oz","https://www.amazon.com/dp/B09W28RVT3"
"Average Sales Rank: 120,936","","B0BBFKW9S4","WORKPRO Adjustable Wrench, 8-inch Heavy Duty Spanner with Inch/Metric Scale, Premium Cr-V Steel, Chrome Plated","WORKPRO","$8.99","1,058","45","$9,511","08/21/2022","$4.57","4.5","233","$4.42","7,467","6","FBA","6","Tools & Home Improvement","Standard","8.66 x 2.56 x 0.75 in","10.5 oz","https://www.amazon.com/dp/B0BBFKW9S4"
"Average Rating Number: 4.3","","B002YK9LA4","GEARWRENCH 17 Pc. GearBox 12 Pt. XL Double Box Ratcheting Wrench Set, Metric - 85989","GEARWRENCH","$246.48","175","4","$43,134","07/15/2009","$212.38","4.7","2,386","$34.10","51,643","6","AMZ","17","Automotive","Standard","1 x 1 x 1 in","16 oz","https://www.amazon.com/dp/B002YK9LA4"
"","","B0BX46BGGX","WORKPRO 3-piece Adjustable Wrench Set, Cr-V Wide Jaw Wrench With Rubber Anti-Slip Grip, 6-inch, 8-inch, 10-inch with Metric/SAE Scales, Chrome Plated","WORKPRO","$26.99","963","26","$25,991","07/19/2023","$17.15","4.6","84","$9.84","13,897","6","FBA","4","Tools & Home Improvement","Standard","3.31 x 1.69 x 11.57 in","2.44 lb","https://www.amazon.com/dp/B0BX46BGGX"
"","","B003L1ZZVY","GEARWRENCH 22 Pc. 12 Pt. Combination Wrench Set, Long Pattern, Metric - 81916","GEARWRENCH","$149.91","2,490","83","$373,276","05/19/2010","$115.84","4.8","2,659","$34.07","3,598","6","AMZ","25","Tools & Home Improvement","Oversize","4 x 4 x 19 in","5.99 kg","https://www.amazon.com/dp/B003L1ZZVY"
