"Export time:  1/30/2024, 12:37:25 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BR9J86N7","SPOPSOOD Bamboo Tea Bag Organizer, 3-Tier Tea Bag Holder Storage Organizer, Stackable Tea Packet Rack/Shelf, Tea Station Stand with Acrylic Partition for Counter, Cabinet and Pantry","SPOPSOOD","$39.99","194","7","$7,758","12/28/2022","","4.7","52","","128,101","6","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0BR9J86N7"
"bamboo tea organizer","","B09WN3RFQZ","    Tea Bag Organizer Storage Holder for Tea Bags Wood Tea Box Containers Tea Rack Teabag Station Stand for Cabinet Countertop Office(Patented Design)","TIOPGHAD","$39.99","1,950","47","$77,981","03/27/2022","$26.66","4.7","685","$13.33","19,124","7","FBA","2","Home & Kitchen","Standard","8.11 x 12.795 x 4.921 in","6.598 lb","https://www.amazon.com/dp/B09WN3RFQZ"
"Average Monthly Sales: 594","","B09SYSKQXQ","Small Tea Bag Holder by HTB, Bamboo Tea Organizer 3 Compartments for Beverage Suppliers, Sweeteners, Individual Packets, Portable Tea Bag Organizer for Small Space","HTB","$11.99","1,334","67","$15,995","05/24/2022","$6.42","4.7","1,488","$5.57","12,801","7","FBA","1","Home & Kitchen","Standard","9.45 x 2.6 x 3.11 in","10.8 oz","https://www.amazon.com/dp/B09SYSKQXQ"
"Average Revenue: $16,908","","B096LLDL74","Dicunoy 2 Pack Bamboo Tea Bag Organizer, Wood Hot Tea Bag Drawer Storage Organizer Holder with 6 Compartments, Tea Chest Box for Coffee Station, Sugar Packet, Sweeteners, Small Packets","Dicunoy","$25.99","345","11","$8,967","06/03/2021","$15.66","4.7","147","$10.33","83,319","7","FBA","1","Home & Kitchen","Standard","7.48 x 10.787 x 6.339 in","2.703 lb","https://www.amazon.com/dp/B096LLDL74"
"Average Price: $29.73","","B09PJ6147V","Merazi Living Sustainable Acacia Wood Tea Box - An Ideal Tea Box Organizer, Tea Storage Box, Gorgeous Wooden Tea Box and Tea Bag Organizer","Merazi Living","$39.00","45","2","$1,755","12/31/2021","$27.36","4","36","$11.64","408,110","6","FBA","1","Home & Kitchen","Standard","6.77 x 4.29 x 13.19 in","2.67 lb","https://www.amazon.com/dp/B09PJ6147V"
"Average No. of Ratings: 1,631","","B0823L58C1","Zen Earth Inspired Bamboo Tea Organizer Box Chemical Free Eco-Friendly Big, Tall, Adjustable Cubbies Natural Wooden Storage Chest (8-Slot 14.3' x 8.1' x 4.2' with TEA print design)","Zen Earth Inspired","$42.99","200","4","$8,598","11/27/2019","$29.21","4.7","645","$13.78","193,799","6","FBA","2","Home & Kitchen","Standard","9.6 x 15.9 x 5.9 in","4.5 lb","https://www.amazon.com/dp/B0823L58C1"
"Average Sales Rank: 208,289","","B0B8NW1Y41","X-cosrack Bamboo Tea Bag Organizer Storage Box 3 Tier Stackable Tea Bag Holder Tea Caddy Box Containers Tea Packet Rack Teabag Shelf for Office Kitchen Cabinet Pantry","X-cosrack","$29.99","810","27","$24,292","08/03/2022","","4.3","827","","35,176","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0B8NW1Y41"
"Average Rating Number: 4.6","","B07HGDHJ2T","Apace Living Tea Box - Luxury Wooden Tea Storage Chest from The Premier Collection - 8 Adjustable Compartment Tea Bags Organizer Container - Elegantly Handmade w/Scratch Resistant Window","Apace Living","$59.97","229","6","$13,733","08/28/2017","$44.54","4.8","1,821","$15.43","144,209","7","FBA","1","Home & Kitchen","Standard","8.504 x 13.307 x 4.882 in","3.671 lb","https://www.amazon.com/dp/B07HGDHJ2T"
"","","B0784VKM9M","Bambüsi Tea Bag Organizer - Tea Organizer: Wooden Tea Box with 8 Compartments, Acrylic Window, and Magnetic Lid, Made of Bamboo - Keeps Tea Bags Fresh (Tea Not Included) - Great Gift Idea","Bambüsi","$26.99","1,174","26","$31,686","11/27/2017","$16.51","4.7","3,291","$10.48","35,752","7","FBA","8","Home & Kitchen","Standard","9 x 4 x 13 in","3.25 lb","https://www.amazon.com/dp/B0784VKM9M"
"","","B0BWLMD1PZ","Bamboo Tea Organizer, Tea Bag Organizer for Cabinet, 3-Tier Tea Bag Holder Stores Over 240 Tea Bags, Tea Station for Coffee Capsules, Creamer, Sweetener, Sugar - Removable Divider (Self-assembly)","NUTUNI","$23.99","205","9","$4,918","02/22/2023","","4.2","65","","100,159","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BWLMD1PZ"
"","","B07GYPKZ5J","RoyalHouse Big Natural Bamboo Tea Storage Organizer with Clear Acrylic Top Window, 8 Compartments Eco-Friendly Tea Bag Holder, Multi-Functional Storage Box","RoyalHouse","$22.99","1,746","56","$40,141","08/29/2018","$13.90","4.8","6,359","$9.09","15,975","6","FBA","1","Home & Kitchen","Standard","7.7 x 12.4 x 4.2 in","2.5 lb","https://www.amazon.com/dp/B07GYPKZ5J"
