"Export time:  2/1/2024, 1:35:39 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C4L56PJB","3-Pack Picture Light Battery Operated, Magnetic Led Lights with Remote, Dimmable and Timer Painting Light, Art Display Light for Picture Frame Artworking Portrait, Home Wall Decor Puck Lights, Gold","yimaxps","$20.99","1,113","28","$23,362","05/07/2023","$13.32","3.8","505","$7.67","12,464","7","FBA","1","Tools & Home Improvement","Standard","3.9 x 3.9 x 3.9 in","13.44 oz","https://www.amazon.com/dp/B0C4L56PJB"
"battery operated picture lights","","B08JVCFZN6","LED Picture Light Fixtures 16.54 Inches, Modern Metal Artwork Wall Lamps with Single Swing Arm, 9W (50W Eqv.), Hardwire Connection, Non-Dimmable, 3000K Warm White, CRI80+, Golden-Like Brass Finish","Joosenhouse","$43.99","676","25","$29,737","11/11/2020","$31.60","4.4","821","$12.39","14,363","6","FBA","3","Tools & Home Improvement","Standard","8.5 x 17.5 x 2.5 in","1.799 lb","https://www.amazon.com/dp/B08JVCFZN6"
"Average Monthly Sales: 1,306","","B0CBBSJDZS","HAMVIDNE Picture Light, Battery Operated Picture Lights for Paintings with Remote, 15.7' Light Arm Stretchable Rechargeable Picture Light, Display Lights for Dartboard Artwork Portrait-Gold","HAMVIDNE","$32.99","30","1","$989.70","08/25/2023","$22.25","4.3","246","$10.74","195,955","7","FBA","1","Tools & Home Improvement","Standard","2.2 x 8 x 16.5 in","1.5 lb","https://www.amazon.com/dp/B0CBBSJDZS"
"Average Revenue: $44,392","","B0BVC1M892","Picture Light Battery Operated, 16In Wireless Picture Light for Paintings, Remote Control Display Art Light with Timer and Color Modes and Dimmable for Wall Paintings, Dartboard, Picture Frame","BETMONE","$27.99","360","12","$10,076","","","4.4","217","","29,340","","FBA","","Tools & Home Improvement","","","","https://www.amazon.com/dp/B0BVC1M892"
"Average Price: $51.46","","B0BBR2D5ZR","RAIFOOLLY Picture Light, 16in Battery Operated Picture Lights for Paintings,Metal Remote Control Display Art Light with Timer and Dimmable for Wall Painting,Frame, Portrait, Dartboard-Brass","RAIFOOLLY","$35.99","9,550","279","$343,705","08/23/2022","$24.80","4.3","821","$11.19","625","7","FBA","4","Tools & Home Improvement","Standard","3 x 6.5 x 16 in","1 lb","https://www.amazon.com/dp/B0BBR2D5ZR"
"Average No. of Ratings: 537","","B0CM5WZMK9","Yuichoy 2 Pack Picture Lights Battery Operated, Wireless Display Art Lights for Wall with Remote, 16' Dimmable 5200mAh Painting Light for Frame, Portrait, Gallery, Black","Yuichoy","$47.99","591","20","$28,362","10/30/2023","$34.36","4.6","3","$13.63","18,180","7","FBA","1","Tools & Home Improvement","Standard","16 x 2 x 14 in","2.51 lb","https://www.amazon.com/dp/B0CM5WZMK9"
"Average Sales Rank: 75,366","","B07NVZ5657","LUXSWAY Wireless Picture Light Battery Operated, Remote Control Painting Light with Rotatable Light Tube, Dimmable and Timer Off Art Display Light for Picture Frame Artworking Portrait -Orange Gold","LUXSWAY","$28.99","6,706","231","$194,407","02/17/2019","$20.12","4.3","7,677","$8.87","850","7","FBA","3","Tools & Home Improvement","Standard","6.97 x 1.55 x 17.3 in","12.8 oz","https://www.amazon.com/dp/B07NVZ5657"
"Average Rating Number: 4.3","","B0951YXJJ7","FUNCHDAY Picture Light,5000mAh Battery Operated Picture Light for Wall,Wireless Remote Painting Light with Timer and Dimmable,16Metal Art Light for Display,Artwork,Portrait,Gallery-Gold","FUNCHDAY","$33.99","5,776","176","$196,326","05/15/2021","$24.37","4.2","1,561","$9.62","1,291","6","FBA","3","Tools & Home Improvement","Standard","5 x 5 x 16 in","15.36 oz","https://www.amazon.com/dp/B0951YXJJ7"
"","","B0C61Z2Q8F","OPMRE Modern LED Picture Light Dimmable 15.75 'Brass Picture Light, lampshade can Rotate up and Down 270 Degrees, 3 Color Temperature, Display Wall Art Light Battery Powered.","OPMRE","$48.68","480","16","$23,366","06/21/2023","$36.84","4.3","22","$11.84","23,279","7","FBA","1","Tools & Home Improvement","Standard","5.9 x 2.2 x 15.75 in","1.87 lb","https://www.amazon.com/dp/B0C61Z2Q8F"
"","","B0C944R6SW","7Degobii Battery Operated Picture Lights with Remote and Timer,Wireless Art Light for Paintings with Adjustable Swing Arm Gold Gallery Lights 12in Rechargeable Wall Sconce","7Degobii","$34.99","367","10","$12,841","06/22/2023","$24.60","4.3","25","$10.39","34,982","6","FBA","1","Tools & Home Improvement","Standard","5.51 x 1.97 x 12.6 in","1.85 lb","https://www.amazon.com/dp/B0C944R6SW"
