"Export time:  2/1/2024, 1:43:20 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CBM4W7NS","Memorial Gifts for Loss of Loved One, Unique Sympathy Gift Idea Clear Crystal Ball Window Suncatcher, Rainbow Bereavement Grief Gift Box for Loss of Mother Father Husband Son Daughter Dog","Mooncraftlogy","$23.99","1,351","53","$32,410","07/31/2023","","4.9","52","","3,222","7","FBA","1","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0CBM4W7NS"
"bereavement gift","","B07YLWM89W","SOULSIO Soothe My Restless Soul Angel Prayer Cross- Faith Gifts For Women- Handheld, Comforting Design for Clutching, Clinging and Praying- Peaceful, Calming Bereavement Sympathy Gift- Marble Resin","SOULSIO","$15.99","373","16","$5,964","11/30/2019","$9.82","4.8","973","$6.17","59,449","7","FBA","1","Home & Kitchen","Standard","5 x 5.7 x 1.2 in","0.45 lb","https://www.amazon.com/dp/B07YLWM89W"
"Average Monthly Sales: 818","","B0B1MYWZHV","Sympathy Gift in Memory of Loved One Lavender Scented Candle Thoughtful Condolences Grief Gifts for Bereavement Funeral Remembrance Sorry for Your Loss Mother Father","MULCHUM","$15.99","245","9","$3,918","05/17/2022","$9.07","4.3","68","$6.92","95,483","7","FBA","1","Home & Kitchen","Standard","2.75 x 3.5 x 2.75 in","15.2 oz","https://www.amazon.com/dp/B0B1MYWZHV"
"Average Revenue: $22,140","","B0BDF7TBH5","HN HAIINAA Flameless Candle Real Wax LED Light with Timer Sympathy Gift for Loss of Loved One Memorial Gifts for Loss of Mother Father Bereavement Gifts Remembrance Gifts (6' x 4')","HN HAIINAA","$21.99","624","14","$13,722","09/06/2022","$13.55","4.8","140","$8.44","26,055","7","FBA","1","Tools & Home Improvement","Standard","4 x 6 x 4 in","1.48 lb","https://www.amazon.com/dp/B0BDF7TBH5"
"Average Price: $27.56","","B0BKSFP5P8","Memorial Gifts LED Shadow Box - Cardinal Gifts for Loss of Mother Father, Sympathy Gift in Memory of Loved One Gifts, Funeral Rememberance Condolences Bereavement Gift Ideas to Relieve Grief","Fabuday","$16.99","2,250","75","$38,228","12/21/2022","","4.8","516","","11,229","7","FBA","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0BKSFP5P8"
"Average No. of Ratings: 420","","B0BY227QW6","Sympathy Gift Baskets - Condolences Gift Basket for Loss of Loved One/Mom/Dad/Husband - Bereavement Grief Gifts - Sorry for Your Loss Grieving Care Package Gift Box for Women Men Friend (Ivory Pillow)","Frerdui","$39.99","490","17","$19,595","03/09/2023","","4.7","18","","54,752","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BY227QW6"
"Average Sales Rank: 58,322","","B0C36R1XTZ","LESEN Sympathy Gift Baskets,Sorry for Your Loss of Mother Father Brother Husband Sister Friend Loved One,Bereavement Grief Grieving Gifts,Condolence Gifts Box","LESEN","$32.98","263","17","$8,674","06/10/2023","$22.24","4.6","23","$10.74","16,706","7","FBA","1","Kitchen & Dining","Standard","9.37 x 4.09 x 9.45 in","2.8 lb","https://www.amazon.com/dp/B0C36R1XTZ"
"Average Rating Number: 4.7","","B09NN2X3FH","Sympathy Gifts Memorial Bereavement Gifts Acrylic Heart Condolence Remembrance Gifts for Loss of Loved One Father Mother(Butterfly Style, 6 x 6 x 0.6 Inch)","Jetec","$9.99","1,090","82","$10,889","12/14/2021","$5.57","4.6","1,582","$4.42","10,102","7","FBA","1","Home & Kitchen","Standard","0.63 x 6.299 x 6.299 in","0.181 lb","https://www.amazon.com/dp/B09NN2X3FH"
"","","B0B2ZLDCC9","Sympathy Gift Memorial Heart Present for Loss of Loved One Wooden Remembrance Bereavement Gift Condolence Sign Loss of Father Mother Son Brother Decor 6.3 x 6 x 0.7 Inches (Cardinal Style)","Jetec","$9.99","647","26","$6,464","06/13/2022","$4.72","4.8","413","$5.27","35,317","7","FBA","1","Home & Kitchen","Standard","6.772 x 7.677 x 0.984 in","0.503 lb","https://www.amazon.com/dp/B0B2ZLDCC9"
"","","B003OSSKWK","Willow Tree Remembrance Angel (Lighter Skin), MemoriesHold Each one Safely in Your Heart, A Gift to Express Sympathy, Comfort, Remembrance and Healing, Sculpted Hand-Painted Figurine","Willow Tree","$35.95","3,519","137","$126,508","05/30/2010","$27.69","4.9","6,805","$8.26","5,236","6","AMZ","13","Home & Kitchen","Standard","4.92 x 3.39 x 6.5 in","0.56 lb","https://www.amazon.com/dp/B003OSSKWK"
"","","B00OPYWGB8","Pavilion Gift Company 02969 Sympathy Angel Figurine, 9-Inch, Ivory","Pavilion Gift Company","$29.90","466","17","$13,933","03/21/2015","$20.90","4.9","948","$9.00","55,543","5","AMZ","5","Home & Kitchen","Standard","6.6 x 4.2 x 10.5 in","0.75 lb","https://www.amazon.com/dp/B00OPYWGB8"
