"Export time:  2/5/2024, 12:50:21 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CM2B5PN4","DEHITE Bible Covers for Women Large Size Bible Case Tote Bags 11.8 X 10 X 4.1 Inches - | Zippered Pocket | Pen Slots | Shoulder Strap | Floral Design |- XXL Milky Church Christian Gifts for Women","DEHITE","$25.99","189","3","$4,912","05/15/2023","$18.32","4.5","52","$7.67","73,313","7","FBA","1","Office Products","Standard","4.1 x 10 x 11.8 in","7.8 oz","https://www.amazon.com/dp/B0CM2B5PN4"
"bible covers","","B098K85YQN","DiverseBee Bible Cover with Handles, Zippered Bible Carrying Case for Women and Girls, Bible Tote Bag for Kids, Bible Book Cover, Bible Accessories, Christian Gifts 7.5 x 10 x 2.5in (Blossom)","DIVERSEBEE","$19.97","1,500","50","$29,955","07/01/2021","$13.43","4.7","1,580","$6.54","4,866","6","FBA","1","Office Products","Standard","7.5 x 2.5 x 10 in","5.3 oz","https://www.amazon.com/dp/B098K85YQN"
"Average Monthly Sales: 607","","B0C8LHHWGP","DEHITE Bible Covers for Women Bible Case Bag Fit Book Up to 8 x 7.3 x 2.2 IN - | Zippered Pocket | Stylish Carrying Church Bag - Violet PU Leather Christian Gift","DEHITE","$34.99","166","6","$5,808","06/18/2023","$24.60","4.6","127","$10.39","35,121","7","FBA","1","Office Products","Standard","8.02 x 2.6 x 11 in","1.04 lb","https://www.amazon.com/dp/B0C8LHHWGP"
"Average Revenue: $13,249","","B0B52TN9SR","Montana West Western Style Embroidered Bible Covers for Women Men Bible Carrying Case Church Bag Bible Protective","Montana West","$39.99","30","1","$1,200","07/09/2022","$23.53","4.8","987","$16.46","162,814","6","FBA","1","Office Products","Oversize","8.5 x 2.8 x 27 in","1.16 lb","https://www.amazon.com/dp/B0B52TN9SR"
"Average Price: $22.02","","B0CFC2GKW2","Bible Cases for Woman w/Detachable Wristlet Strap, PU Leather Bible Cover for Women, Minimalist Design, Water Resistant Bible Cover Case for Women, Floral Bible Cover Case, Debossed Bible Case","Ever, AJ","$32.99","615","46","$20,289","11/08/2023","","5","27","","5,281","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CFC2GKW2"
"Average No. of Ratings: 549","","B08Q3FNCC8","FINPAC Bible Cover, Carrying Book Case Church Bag Bible Protective with Handle and Zippered Pocket, Gift for Mother Lady Women Men, Black","FINPAC","$19.99","2,416","106","$48,296","05/24/2020","$13.22","4.7","3,762","$6.77","2,015","6","FBA","3","Office Products","Standard","10.39 x 1.93 x 12.17 in","6.7 oz","https://www.amazon.com/dp/B08Q3FNCC8"
"Average Sales Rank: 35,465","","B0BW52YT74","Gientten Bible Cover for Women with Flowers Printing, Bible Case,Bible Bag, Study Bible Case,Covers for Bible,Bible Boooks Covers for Kids, Bible Cover Case (White)","Gientten","$15.99","426","28","$6,812","02/17/2023","$10.05","4.7","59","$5.94","8,970","7","FBA","1","Office Products","Standard","6 x 2 x 11 in","5.3 oz","https://www.amazon.com/dp/B0BW52YT74"
"Average Rating Number: 4.7","","B09KGHHRLW","FINPAC Large Bible Cover w/Shoulder Strap, Carrying Book Case Church Bag Bible Protective w/Pen Slots and Zippered Pocket, Gift for Women Lady, Light Green","FINPAC","$24.99","1,869","91","$46,706","10/26/2021","$16.72","4.8","1,243","$8.27","2,424","6","FBA","7","Office Products","Standard","8.26 x 2.44 x 11.41 in","13.1 oz","https://www.amazon.com/dp/B09KGHHRLW"
"","","B0B67TJZ2T","HAWGON Bible Cover for Women - Bible Case for Men Multi-Functional Stationery Organizer - Large Pencil Case Organizers - Bible Study Supplies for Home, Office, Travel - 11'x8'x2.5' -Curry Base","HAWGON","$14.99","598","19","$8,964","07/27/2022","$8.97","4.7","428","$6.02","13,085","6","FBA","1","Office Products","Standard","8.27 x 2.5 x 11.02 in","9.1 oz","https://www.amazon.com/dp/B0B67TJZ2T"
"","","B0B421HQ2S","Bible Cover for Women, Bible Holder, Bible Cover Carrier Carrying Organizer Bag, God is Within Her She Will Not Fall, Zipper and Pockets for Standard Size Bible, Gift for Women Girl Kid (Pink1)","GUEER","$18.99","1,021","45","$19,389","01/09/2022","$12.37","4.8","794","$6.62","5,448","6","FBA","1","Office Products","Standard","9.09 x 1.61 x 11.34 in","7 oz","https://www.amazon.com/dp/B0B421HQ2S"
