"Export time:  1/30/2024, 12:50:31 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BQ6XYQZ9","INFUN All-in-one Telescoping Binder Notebook, Refillable 3 Ring Notebook Binder with 1 Plastic Movable Pocket Folder,5 Plastic Subject dividers and Graph Paper and College Ruled Paper- Black","INFUN","$12.99","3,960","132","$51,440","12/14/2022","$6.29","4.7","136","$6.70","1,525","7","FBA","1","Office Products","Standard","10.4 x 0.3 x 10.9 in","1.32 lb","https://www.amazon.com/dp/B0BQ6XYQZ9"
"binder with dividers","","B0BQ6MMRFX","INFUN Telescoping Project Organizer Binder -Black","INFUN","$12.99","2,109","113","$27,396","12/14/2022","$2.10","4.5","107","$10.89","1,872","6","FBA","1","Office Products","Oversize","9.8 x 10.74 x 11.41 in","13.7 oz","https://www.amazon.com/dp/B0BQ6MMRFX"
"Average Monthly Sales: 1,507","","B08BYH533R","8-Tab Binder Dividers, HERKKA 3 Ring Binder Dividers with Reinforced Edge, 3 Hole Punch Section Index Dividers for Binders, 1/8-Cut Tabs, Letter Size, White, 120 Dividers","HERKKA","$20.99","720","24","$15,113","06/27/2020","$14.15","4.6","211","$6.84","10,160","7","FBA","4","Office Products","Standard","10 x 11.339 x 1.654 in","0.1 lb","https://www.amazon.com/dp/B08BYH533R"
"Average Revenue: $19,913","","B0CJVF7XSX","Eersida 50 Set Binder Dividers 8 Tab Dividers Labeled Blank Binder Separators 3 Hole Punch Section Binder Index Dividers for 3 Ring Binders Bulk Notebook Page, 8.98 x 11.02 Inch, White","Eersida","$56.99","60","2","$3,419","12/30/2023","","","","","104,645","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CJVF7XSX"
"Average Price: $19.90","","B086M2LVBS","Five Star Flex Refillable Notebook + Study App, College Ruled Paper, 1 Inch TechLock Rings, Pockets, Tabs and Dividers, 200 Sheet Capacity, Purple (29328AB6)","Five Star","$13.99","8,483","286","$118,677","03/30/2020","$6.75","4.7","7,974","$7.24","512","7","AMZ","5","Office Products","Standard","10.75 x 1.38 x 11.5 in","1.1 lb","https://www.amazon.com/dp/B086M2LVBS"
"Average No. of Ratings: 1,176","","B092CM3KVX","Avery Durable Plastic 8-Tab Write & Erase Big Tab Dividers for 3 Ring Binders, Pastel Brights (16271)","AVERY","$5.20","20,346","645","$105,799","04/12/2021","$1.05","4.8","6,846","$4.16","129","6","AMZ","6","Office Products","Standard","1 x 1 x 1 in","4.6 oz","https://www.amazon.com/dp/B092CM3KVX"
"Average Sales Rank: 25,183","","B0C1RNZM5J","LETVPVOW Notebook Binder, 3 Ring Binder with 5 Dividers, Durable Metal Rings (Black)","LETVPVOW","$12.59","198","5","$2,493","04/06/2023","$5.56","3","33","$7.03","42,487","5","FBA","1","Office Products","Standard","11.57 x 1.42 x 12.2 in","1.17 lb","https://www.amazon.com/dp/B0C1RNZM5J"
"Average Rating Number: 4.5","","B01LWINANW","Numbered Dividers 1-50 3 Hole Punched","exhibitindexes","$26.99","390","13","$10,526","09/12/2016","","4.7","89","","18,706","1","FBA","2","Office Products","","","0.9 lb","https://www.amazon.com/dp/B01LWINANW"
"","","B0855G5TKH","Comix Durable1 inch 3 Ring Binder, Standard 1' View Binders for 200 Sheets of US Letter Size Paper, 8-Pack(White, A2130)","Comix","$32.99","1,885","69","$62,186","02/25/2020","$20.71","4.7","1,193","$12.28","3,374","6","FBA","3","Office Products","Standard","4 x 2 x 10 in","6.47 lb","https://www.amazon.com/dp/B0855G5TKH"
"","","B0BX44CPNQ","INFUN 5-Tab Plastic Binder Dividers with Front Pockets - 3 Sets,15 PCS Multicolor Binder Dividers with Tabs for Binders, 5 Tab Dividers with Pockets","INFUN","$12.59","374","16","$4,709","02/27/2023","$7.11","4.6","316","$5.48","15,218","7","FBA","1","Office Products","Standard","9.2 x 0.01 x 11.2 in","13.4 oz","https://www.amazon.com/dp/B0BX44CPNQ"
