"Export time:  2/8/2024, 3:49:59 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CRL3Y11H","TGLLM Music Boxing Machine with Boxing Gloves, Wall Mounted Smart Bluetooth Music Boxing Trainer, Electronic Boxing Target Training Punching Equipment for Home,Indoor and Gym","TGLLM","$99.99","1,002","38","$100,190","01/04/2024","$68.83","4.4","19","$31.16","5,138","7","FBA","1","Sports & Outdoors","Oversize","17.63 x 3.5 x 19.63 in","2.61 kg","https://www.amazon.com/dp/B0CRL3Y11H"
"boxing equipment","","B0CNPJ6SY9","Smart Music Boxing Machine USB Charging Boxing Equipment with Multifunctional Display and Bluetooth Connection Wall Mounted Lighting Target Boxing Trainer with Boxing Gloves for Kids and Adults","Wakbalxc","$70.00","60","2","$4,200","12/30/2023","","3.5","2","","110,156","","FBA","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0CNPJ6SY9"
"Average Monthly Sales: 1,951","","B0CJHLRWSF","GOENITZ Music Boxing Machine, Rechargeable Boxing Equipment Wall Mount, Home Smart Boxing Target Workout Machine, Electronic Focus Agility Training Digital Boxing for Kids and Adults","GOENITZ","$99.99","584","10","$58,394","09/20/2023","$69.21","4.6","20","$30.78","23,706","7","FBA","1","Sports & Outdoors","Oversize","17.1 x 3.9 x 17.2 in","2.31 kg","https://www.amazon.com/dp/B0CJHLRWSF"
"Average Revenue: $51,918","","B0CMQ5GRXG","GWF Music Boxing Machine Home Wall Mount Music Boxer, Electronic Smart Focus Agility Training Digital Boxing Wall Target Punching Pads Suitable for Kid","JOYDEF","$99.99","30","1","$3,000","11/05/2023","$75.14","4","15","$24.85","176,621","6","FBA","5","Sports & Outdoors","Oversize","16.93 x 3.54 x 16.93 in","2.5 kg","https://www.amazon.com/dp/B0CMQ5GRXG"
"Average Price: $48.93","","B07GW7CXHT","Valleycomfy Boxing Curved Focus Punching Mitts- Leatherette Training Hand Pads","Valleycomfy","$19.99","3,693","162","$73,823","08/27/2018","$13.22","4.6","10,734","$6.77","681","6","FBA","2","Sports & Outdoors","Standard","9.02 x 6.81 x 10.39 in","0.18 kg","https://www.amazon.com/dp/B07GW7CXHT"
"Average No. of Ratings: 2,946","","B006CV8UE4","Contender Fight Sports Heavy Hitter Boxing Body Protector PBP Black/White","Contender Fight Sports","$87.08","353","12","$30,739","02/23/2012","$46.46","4.8","1,491","$40.62","19,124","6","AMZ","7","Sports & Outdoors","Oversize","18.1 x 7 x 24.5 in","1.25 kg","https://www.amazon.com/dp/B006CV8UE4"
"Average Sales Rank: 33,542","","B07XZNWPLQ","Protocol Punching Bag with Stand - for Adults & Kids - Punching Bag with Stand Plus Boxing Gloves - Adjustable Height Stand - Standard Punching Bag","Protocol","$49.25","548","13","$26,989","09/16/2019","$18.48","4.1","8,830","$30.77","17,853","6","AMZ","11","Sports & Outdoors","Oversize","19.7 x 6 x 20.8 in","3.63 kg","https://www.amazon.com/dp/B07XZNWPLQ"
"Average Rating Number: 4.3","","B0BN9KP6MC","Neck Flex - The Original Head Harness, Neck Muscle Trainer, Workout Head Strap for Neck Relief, 3-in-1 Kit With Functional Trainer Attachments (Bodylastics Resistance Band + Door Anchor)","Neck Flex","$89.95","170","5","$15,292","11/23/2022","$68.83","4.2","45","$21.12","43,420","7","FBA","1","Sports & Outdoors","Standard","11.34 x 3.35 x 11.81 in","0.85 kg","https://www.amazon.com/dp/B0BN9KP6MC"
"","","B09DF9NWC7","Jump Rope, Tangle-Free Rapid Speed Jumping Rope Cable with Ball Bearings for Women, Men, and Kids, Adjustable Steel Jump Rope Workout with Foam Handles for Fitness, Home Exercise & Slim Body","Loocio","$8.99","24,792","1,024","$222,880","08/23/2021","$3.87","4.5","14,977","$5.12","15","7","FBA","1","Sports & Outdoors","Standard","4.76 x 1.46 x 6.77 in","0.19 kg","https://www.amazon.com/dp/B09DF9NWC7"
"","","B0BHT285K2","FitBeast Hand Grip Strengthener Workout Kit (5 Pack), 2 Forearm Grip Adjustable Resistance Hand Gripper, Finger Stretcher, Grip Ring & Stress Relief Grip Ball for Athletes","FitBeast","$15.99","488","6","$7,803","10/09/2022","$8.45","4.5","86","$7.54","36,036","7","FBA","1","Sports & Outdoors","Standard","4.41 x 2.52 x 7.56 in","0.45 kg","https://www.amazon.com/dp/B0BHT285K2"
