"Export time:  2/8/2024, 3:49:01 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CRL3Y11H","TGLLM Music Boxing Machine with Boxing Gloves, Wall Mounted Smart Bluetooth Music Boxing Trainer, Electronic Boxing Target Training Punching Equipment for Home,Indoor and Gym","TGLLM","$99.99","1,002","38","$100,190","01/04/2024","$68.83","4.4","19","$31.16","5,138","7","FBA","1","Sports & Outdoors","Oversize","17.63 x 3.5 x 19.63 in","2.61 kg","https://www.amazon.com/dp/B0CRL3Y11H"
"boxing","","B01E9EMXDY","Sanabul Essential Curved Punching Mitts for Boxing and MMA | Ultimate Boxing Mitts & Pads Training Gear for Athletes | High-Performance Focus Mitts Muay Thai Pads for Sparring & Training Boxing Pads","Sanabul","$27.99","2,052","66","$57,435","04/13/2016","$15.26","4.7","11,525","$12.73","2,557","6","FBA","1","Sports & Outdoors","Standard","8.54 x 7.17 x 10.98 in","0.43 kg","https://www.amazon.com/dp/B01E9EMXDY"
"Average Monthly Sales: 1,562","","B0CJHLRWSF","GOENITZ Music Boxing Machine, Rechargeable Boxing Equipment Wall Mount, Home Smart Boxing Target Workout Machine, Electronic Focus Agility Training Digital Boxing for Kids and Adults","GOENITZ","$99.99","584","10","$58,394","09/20/2023","$69.21","4.6","20","$30.78","23,706","7","FBA","1","Sports & Outdoors","Oversize","17.1 x 3.9 x 17.2 in","2.31 kg","https://www.amazon.com/dp/B0CJHLRWSF"
"Average Revenue: $41,847","","B0CBJDFMNH","Velocity Champion Youth Mouthguard, 2 Pack, Red & White - for Ages 10 to 14 - Ideal for Lacrosse, Football, Hockey, Basketball, Soccer, Boxing, Martial Arts, Field Hockey, and More","Velocity","$23.99","","","$0.00","07/09/2023","$16.85","4.5","32","$7.14","628,707","7","FBA","2","Sports & Outdoors","Standard","5 x 1 x 5 in","0.32 oz","https://www.amazon.com/dp/B0CBJDFMNH"
"Average Price: $52.11","","B07GW7CXHT","Valleycomfy Boxing Curved Focus Punching Mitts- Leatherette Training Hand Pads","Valleycomfy","$19.99","3,693","162","$73,823","08/27/2018","$13.22","4.6","10,734","$6.77","681","6","FBA","2","Sports & Outdoors","Standard","9.02 x 6.81 x 10.39 in","0.18 kg","https://www.amazon.com/dp/B07GW7CXHT"
"Average No. of Ratings: 3,323","","B0CNVN6VPX","SHPYIKYUEN Music Boxing Machine, Smart Boxing Machine Wall Mounted, Bluetooth Boxing Training Punching Equipment, Home Workout Musical Boxing Machine with Gloves","SHPYIKYUEN","$77.70","311","9","$24,165","11/22/2023","$50.27","4.4","4","$27.44","25,814","7","FBA","30","Sports & Outdoors","Oversize","17 x 4 x 17 in","2.29 kg","https://www.amazon.com/dp/B0CNVN6VPX"
"Average Sales Rank: 68,474","","B08HWH6DWQ","Boxing Slip Bag, Boxing Dodge Hide Speed Bag Maize Ball Leather Ball for Reflex Training, Boxing, Kickboxing, MMA Pendulum Training (Filler Already Included)","INNOLIFE","$19.98","245","13","$4,895","09/11/2020","$11.19","4.3","316","$8.79","17,733","6","FBA","2","Sports & Outdoors","Standard","4.72 x 4.02 x 7.09 in","1.13 kg","https://www.amazon.com/dp/B08HWH6DWQ"
"Average Rating Number: 4.4","","B0140JKN2G","Meister Glove Deodorizers for Boxing and All Sports - Absorbs Stink and Leaves Gloves Fresh","Meister","$12.99","5,365","191","$69,691","08/14/2015","$7.50","4.7","14,477","$5.49","516","5","FBA","2","Sports & Outdoors","Standard","4.76 x 1.93 x 10.28 in","0.14 kg","https://www.amazon.com/dp/B0140JKN2G"
"","","B07ZBLLP6N","Boxing Reflex Balls Set of 4  Boxing Ball MMA Gear of with Varying Weights with Adjustable Headband and 4 Spare Strings to Improve Speed and Hand-Eye Coordination for Men, Kids Boxing Equipment","Champs MMA","$22.99","2,206","77","$50,716","06/03/2019","$15.77","4.3","5,042","$7.22","2,073","6","FBA","5","Sports & Outdoors","Standard","5.12 x 2.83 x 5.84 in","0.27 kg","https://www.amazon.com/dp/B07ZBLLP6N"
"","","B09NCM5B65","Modest Vintage Player PRO Cream/Brown Leather Boxing Gloves (Strap-Up)","Modest Vintage Player Ltd","$125.00","10","","$1,250","08/31/2022","$114.37","3.7","5","$10.63","510,121","5","FBA","2","Sports & Outdoors","Standard","10.47 x 5.51 x 17.87 in","0.84 kg","https://www.amazon.com/dp/B09NCM5B65"
"","","B08XYF687C","Sanabul Lab Series Mesh Duffel Gym Bag for Men and Women | Sports, Workout, Boxing Gym Bag | Men's Gym Bag | Womens Gym Bag with Shoe Compartment (Black/White, Oversize)","Sanabul","$39.99","360","12","$14,396","03/15/2021","$23.15","4.7","263","$16.84","19,581","5","FBA","1","Sports & Outdoors","Oversize","15.276 x 22.008 x 2.362 in","1.806 lb","https://www.amazon.com/dp/B08XYF687C"
