"Export time:  1/30/2024, 12:38:59 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B094DYL1G8","2 X Bread Bags for Homemade Bread - Plastic Lined, Reusable Linen Cloth Saver Bag For Sourdough & Homemade Bread Storage - 17' x 13' XL","Balcove","$24.99","2,876","185","$71,871","03/23/2022","","4.6","1,647","","960","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B094DYL1G8"
"bread storage for homemade bread","","B0B2QFR517","Sonder Los Angeles, Modern Bamboo Fiber (Black) Bread Box for Kitchen Countertop with Reversible Wood Serving Lid, Homemade Bread Storage 14.25 x 9.25 x 7in, Storage Bin and Bread Container","Sonder Los Angeles","$59.95","959","39","$57,492","09/20/2022","$43.63","4.8","273","$16.32","6,955","7","FBA","1","Kitchen & Dining","Standard","9.25 x 7 x 14.25 in","4.99 lb","https://www.amazon.com/dp/B0B2QFR517"
"Average Monthly Sales: 908","","B09N3M4BDJ","GRIN BY GRIN- 2 Packs Bread Bags to Keep Fresh, Reusable Zipper for Homemade Loaf, Freezer Storage Bag, Container, Fresh Keeping Extra Large Bags, Food Bag","GRIN BY GRIN","$23.99","3,496","95","$83,869","12/05/2021","$16.62","4.4","907","$7.37","2,409","7","FBA","1","Kitchen & Dining","Standard","12 x 0.5 x 17 in","6.1 oz","https://www.amazon.com/dp/B09N3M4BDJ"
"Average Revenue: $24,667","","B087M4GGQ4","Bread Bags With Ties,100Pieces 18x4x8 Inches Reusable Plastic Bread Bags for Homemade Bread Gift Giving,Clear Bread Loaf Storage Bags","Morepack","$12.99","3,095","130","$40,204","04/22/2020","$5.90","4.7","2,267","$7.09","1,597","6","FBA","1","Kitchen & Dining","Standard","6.9 x 7.9 x 1.5 in","1.301 lb","https://www.amazon.com/dp/B087M4GGQ4"
"Average Price: $30.00","","B0CH7BBTBF","Tafura Bread Storage Container with Tray, Plastic Bread Box, Bread Container with Airtight Lid, Loaf Bread Keeper, Bread Holder for Homemade Bread, BPA Free","Tafura","$25.89","531","19","$13,748","12/25/2023","","5","6","","14,550","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CH7BBTBF"
"Average No. of Ratings: 1,342","","B0C3VFKGKZ","Tiawudi 2 Pack Bread Box, Plastic Bread Container, Large Sandwich Holder, Bread Storage Container for Kitchen Counter, Bread Keeper with Airtight Lid, Bread Saver, 9 Qt / 8.5L Each","Tiawudi","$24.99","716","38","$17,893","04/27/2023","$14.51","4.3","64","$10.48","7,151","7","FBA","1","Kitchen & Dining","Standard","7.25 x 6.25 x 15 in","3.08 lb","https://www.amazon.com/dp/B0C3VFKGKZ"
"Average Sales Rank: 28,515","","B07TWY7CQ3","LARS NYSM Bread Box I Metal bread box with linen bread bag for long lasting freshness I Bread box with bamboo lid usable as cutting board I 13.4x7.3x5.3In (Cool Grey)","LARS NYSM","$36.99","1,245","23","$46,053","07/27/2020","$25.01","4.5","5,377","$11.98","11,871","6","FBA","1","Kitchen & Dining","Standard","7.68 x 5.31 x 13.39 in","3.42 lb","https://www.amazon.com/dp/B07TWY7CQ3"
"Average Rating Number: 4.4","","B0BKZJ376F","LOHASOK Double Layer Bamboo Bread Box for Kitchen Counter-Large Capacity Bread Storage Container Farmhouse Bread Box with Window Bread Holder (Black)","LOHASOK","$45.99","1,276","34","$58,683","10/30/2022","$24.83","4.2","831","$21.16","8,099","6","FBA","4","Kitchen & Dining","Oversize","9.85 x 12.99 x 15.75 in","8.25 lb","https://www.amazon.com/dp/B0BKZJ376F"
"","","B0B2QKS6Z7","Sonder Los Angeles, Modern Bamboo Fiber Bread Box for Kitchen Countertop with Reversible Wood Serving Lid, Homemade Bread Storage 14.25 x 9.25 x 7in, Storage Bin and Bread Container","Sonder Los Angeles","$59.95","1,000","39","$59,950","09/20/2022","$43.63","4.8","273","$16.32","6,955","7","FBA","1","Kitchen & Dining","Standard","9.25 x 7 x 14.25 in","5 lb","https://www.amazon.com/dp/B0B2QKS6Z7"
"","","B08KGZ4Q8Q","Barnyard Designs Large Bread Box for Kitchen Countertop, Bread Storage Container, Stainless Steel Metal Bread Box, White Farmhouse Rustic Vintage Bread Box, Farmhouse Bread Holder Bin, 13' x 4.75'","Barnyard Designs","$24.95","176","6","$4,391","09/30/2020","$14.78","4.6","118","$10.17","43,404","7","FBA","1","Kitchen & Dining","Standard","7.5 x 4.75 x 13 in","2.55 lb","https://www.amazon.com/dp/B08KGZ4Q8Q"
