"Export time:  1/28/2024, 5:41:33 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CDPF4MX1","14Pcs Clear Bubble Out Bags&Pouches 18' x 22', Large Bubble Bags Wrap Pouches, Double Walled Shockproof Bubble Cushioning Wrap Bags for Packing, Shipping, Moving and Storage","YGPHO","$20.99","213","6","$4,471","08/03/2023","$8.90","5","3","$12.09","38,600","7","FBA","1","Office Products","Oversize","18 x 0.2 x 22 in","9.6 oz","https://www.amazon.com/dp/B0CDPF4MX1"
"bubble wrap bags","","B08FFK1L7S","200 Pack 4x8 Inch Bubble Cushion Wrap Bags for Shipping Packing Small Clear Bubble Out Pouches Double Walled Bubble Cushioning Bags for Moving Storage","MIVIDE","$21.99","780","26","$17,152","08/07/2020","$15.22","4.5","244","$6.77","9,620","7","FBA","1","Office Products","Standard","12.717 x 16.457 x 5.039 in","0.728 lb","https://www.amazon.com/dp/B08FFK1L7S"
"Average Monthly Sales: 861","","B0C8J8P24K","LOSYHU 9' x 12' Bubble Out Pouches Bags Wrap Cushioning Self Seal Clear Double Walled Bubble Cushioning Bags for Shipping, Packing, Storage, Moving (30 Pack)","LOSYHU","$18.99","15","","$284.85","06/18/2023","$12.75","3.8","4","$6.24","179,086","7","FBA","1","Office Products","Standard","9.09 x 6.69 x 11.46 in","0.62 oz","https://www.amazon.com/dp/B0C8J8P24K"
"Average Revenue: $20,649","","B0BKR9R1C9","ALTERNIUM self seal bubble pouches 7.5x7.5' 100 pack - individual bubble cushioning wrap pockets with adhesive - small bubble bags for shipping - quality packing material and moving supplies","Alternium","$32.99","630","21","$20,784","12/10/2022","$24.27","4.7","459","$8.72","11,723","6","FBA","1","Office Products","Standard","7.6 x 13.6 x 17.6 in","7.8 oz","https://www.amazon.com/dp/B0BKR9R1C9"
"Average Price: $22.22","","B098TFR62P","200Pcs Bubble Out Bags&Pouches, 6'x8' Clear Bubble Pouches Wrap Bag, Double Walled Bubble Cushioning Bags for Moving and Storage, Shipping and Packing Supplies for Dishes Glasses Plates","REDOVANT","$23.99","665","20","$15,953","07/06/2021","$16.62","4.5","180","$7.37","12,150","7","FBA","1","Office Products","Standard","12.83 x 6.46 x 15.63 in","10.1 oz","https://www.amazon.com/dp/B098TFR62P"
"Average No. of Ratings: 881","","B0CHYQTYS5","100 Pcs 5 Sizes Bubble Pouches Bags Bubble Bags for Shipping Packing Cushion Wrap Pockets Bubble Moving Supplies for Dishes and Glasses, China Cups, Glassware Mugs Packaging (Clear)","Jetec","$34.99","210","7","$7,348","09/12/2023","$22.26","4.1","5","$12.73","32,273","5","FBA","1","Office Products","Standard","12.4 x 7.4 x 14.41 in","1.33 lb","https://www.amazon.com/dp/B0CHYQTYS5"
"Average Sales Rank: 38,479","","B08TVTST3H","100Pack 6x8 Inch Bubble Out Bags Bubble Pouches Wrap Cushioning Packaging Bags, Double-Side Premium Small Bubble Out Pouch for Moving, Shipping, and Storage","Evadow","$16.99","922","21","$15,665","01/23/2021","$10.67","4.6","346","$6.32","11,680","7","FBA","1","Office Products","Standard","8.9 x 6.1 x 12.87 in","8.2 oz","https://www.amazon.com/dp/B08TVTST3H"
"Average Rating Number: 4.5","","B09PBBQCJP","MCfleet 15'x135' Honeycomb Packing Paper Wrap Roll, Eco Friendly Packaging Material for Moving Shipping Gift Wrapping with 20 Fragile Stickers, Protective Recycled Cushion Wrap Suppliers Kraft Brown","Mcfleet","$15.99","904","31","$14,455","12/27/2021","$7.80","4.6","513","$8.19","7,897","7","FBA","1","Office Products","Standard","3.35 x 3.27 x 15.28 in","2.86 lb","https://www.amazon.com/dp/B09PBBQCJP"
"","","B079KKT826","Stretch Wrap Industrial Strength 4 Pack 17.5' 1100 SqFt 80 Gauge Extra Thick (20 Micron) Shrink Wrap Roll for Moving Supplies, Furniture, Pallets, Plastic Wrap for Packing, Heavy Duty Stretch Film","Simply Cool","$89.99","739","17","$66,503","02/02/2018","$59.95","4.6","6,858","$30.04","14,264","7","FBA","1","Office Products","Oversize","10 x 10 x 18 in","20.8 lb","https://www.amazon.com/dp/B079KKT826"
"","","B0C2JNPRM5","Honeycomb Packing Paper Pacific Mailer 12' x 105' Packing Paper for Moving Paper Bubble Cushioning Wrap Moving Supplies 20 Fragile Sticker Labels, 2 Jute Ropes","Pacific Mailer","$9.99","217","8","$2,168","04/24/2023","$2.70","4.6","104","$7.29","27,596","7","FBA","1","Office Products","Standard","3.25 x 3.25 x 12 in","2.07 lb","https://www.amazon.com/dp/B0C2JNPRM5"
"","","B09V5M4FW3","onesimcr Honeycomb Packing Paper Wrap 15'x131' Sustainable Alternative to Bubble Wrap for Moving/shipping/packing Roll with 20 Fragile Sticker Biodegradable & Fully Recylable","onesimcr","$16.99","2,552","111","$43,358","03/08/2022","$8.65","4.6","1,019","$8.34","1,914","6","FBA","1","Office Products","Standard","3.2 x 15 x 3.2 in","2.85 lb","https://www.amazon.com/dp/B09V5M4FW3"
"","","B0B7WXYFSH","Honeycomb Packing Paper Wrap 12'x200' Recycled Cushioning Wrapping Roll Eco Friendly Shipping Moving Green Wrap Packing Material with 20 Fragile Sticker Labels","liirro","$20.99","320","13","$6,717","07/27/2022","$11.86","4.5","210","$9.13","18,383","6","FBA","1","Office Products","Standard","3.98 x 3.98 x 11.93 in","3.22 lb","https://www.amazon.com/dp/B0B7WXYFSH"
"","","B0C3LFY68R","50Pcs Clear Bubble Out Bags, 8x10 Bubble Pouches Bags for Shipping, Double Wall Bubble Cushioning Wrap Bags for Mailing Packing, Moving and Storage Fragile China Dishes Electronic Item","XHMAXE","$17.58","777","25","$13,660","06/08/2023","$12.02","4.5","113","$5.56","9,975","7","FBA","2","Office Products","Standard","8 x 0.08 x 10 in","0.16 oz","https://www.amazon.com/dp/B0C3LFY68R"
"","","B0C6KWMF7C","50Pcs Bubble Out Bags Pouches 8'x 12' Bubble Pouches Cushioning Packaging Bags, Double Walled Cushioning Bags Thickening Shockproof Foam Bags for Moving, Shipping, and Storage","Lswteiz","$16.99","1,180","42","$20,048","05/28/2023","$10.67","4.6","129","$6.32","5,895","6","FBA","1","Office Products","Standard","9.02 x 6.81 x 12.64 in","9.6 oz","https://www.amazon.com/dp/B0C6KWMF7C"
"","","B09MVQQ24H","12' x 12' Bubble Out Bags&Pouches, 50Pcs Bubble Pouches Wrap Bag, Double Walled Bubble Cushioning Bags for Moving and Storage, Shipping and Packing Supplies for Dishes Glasses Plates","REDOVANT","$19.99","870","25","$17,391","12/01/2021","$13.92","4.6","317","$6.07","9,886","7","FBA","2","Office Products","Standard","12 x 0.01 x 12 in","10.8 oz","https://www.amazon.com/dp/B09MVQQ24H"
"","","B09Y5CKW43","100 Pack Foam Pouches Bubble Out Bags 9.8'x11.8' Wrap Bubble Pouches Shipping Mailers Protective Bubble Packaging Bags Double Walled Cushioning Bags Thickening Shockproof Foam Bags for Shipping&Moving","Welecom","$21.99","131","4","$2,881","04/17/2022","$15.15","4.3","28","$6.84","51,622","7","FBA","2","Office Products","Standard","11.18 x 5.51 x 12.32 in","0.353 oz","https://www.amazon.com/dp/B09Y5CKW43"
"","","B0C7ZWT357","PerKoop 120 Pcs 6' x 8.5' Bubble Cushion Wrap Bags Bulk, Double Wall Bubble Cushion Wrap Pouches, Clear Bubble Bags Thickening Shockproof Bags for Shipping Packing Storage Moving","","$29.99","300","10","$8,997","","","5","9","","22,942","","FBA","","Office Products","","","","https://www.amazon.com/dp/B0C7ZWT357"
"","","B097LNKL78","EPHECH 50PCS 6' x 10' Bubble Out Bag Pouches, Self-Seal Clear Bubble Cushioning Wrap Bag, Double Wall Shockproof Bubble Pouches Bag Protective Storage Bag for Moving, Shipping, Packing and Storage","EPHECH","$20.99","389","8","$8,165","06/19/2021","$14.07","4.7","62","$6.92","28,138","6","FBA","1","Office Products","Standard","6 x 5 x 10 in","8.8 oz","https://www.amazon.com/dp/B097LNKL78"
"","","B08MFD4G2Y","100PCS Bubble Out Bags 7x 8-1/4Clear Bubble Mailers, Self-Sealing Double Walled Bubble Pouch Bags for Packing, Moving, Shipping, Mailing, Bubble Cushioning Wrap Bags","MIVIDE","$26.99","497","13","$13,414","11/01/2020","$14.11","4.6","150","$12.88","18,562","7","FBA","1","Office Products","Standard","12.4 x 7.76 x 16.06 in","1.41 lb","https://www.amazon.com/dp/B08MFD4G2Y"
"","","B09SZMB842","50PCS Clear Bubble Out Bag 12' x 16', Large Bubble Pouches Bag, Double Wall Shockproof Bubble Pouches Wrap Bag, Cushioning Protective Storage Bag for Moving, Shipping, Packing and Storage","EPHECH","$23.99","449","9","$10,772","02/20/2022","$15.87","4.7","185","$8.12","26,397","6","FBA","2","Office Products","Standard","12 x 7 x 16 in","15.8 oz","https://www.amazon.com/dp/B09SZMB842"
"","","B092LSMCV2","Mr. Pen- Bubble Cushion Wrap Pouches, 100 Pack, 4x6 Inches, Bubble Pouches, Bubble Out Wrap Bags, Bubble Bags, Bubble Bags for Shipping, Bubble Bags for Packing, Bubble Sleeves","Mr. Pen","$14.95","1,130","25","$16,894","04/13/2021","$9.64","4.7","679","$5.31","9,912","6","FBA","1","Office Products","Standard","4 x 0.01 x 6 in","7.4 oz","https://www.amazon.com/dp/B092LSMCV2"
"","","B0CCXRM8T9","14 Pack Clear Bubble Out Bag Pouches,18 x 22 inch Large Bubble Bag for Extra Protection,Double Walled Shockproof Bubble Cushioning Wrap Bag Pouches for Packing, Shipping, Moving and Storage","APOCHON","$19.99","150","5","$2,998","07/26/2023","$8.05","4.4","46","$11.94","43,943","7","FBA","1","Office Products","Oversize","18 x 0.39 x 22 in","8 oz","https://www.amazon.com/dp/B0CCXRM8T9"
"","","B08YNX8N5N","200Pack Bubble Out Bags Pouches 4'x 6' Bubble Pouches Cushioning Packaging Bags, Double Walled Cushioning Bags Thickening Shockproof Foam Bags for Moving, Shipping, and Storage","CEE","$18.99","600","20","$11,394","03/10/2021","$12.37","4.7","195","$6.62","12,441","7","FBA","1","Office Products","Standard","11.772 x 12.205 x 4.488 in","0.611 lb","https://www.amazon.com/dp/B08YNX8N5N"
"","","B097V2J5C9","Bubble Cushioning Wrap Bubble Rolls Perforated Every 12 Inches - 12 Inches x 72 Feet Total - Ideal for Shipping Packing Moving Bubble Packing Moving Wrap","WRAPPING MAILERS SOLUTION","$16.88","346","46","$5,840","06/23/2021","$10.58","4.5","1,203","$6.30","5,263","6","FBA","1","Office Products","Standard","12 x 7.2 x 14.2 in","8.4 oz","https://www.amazon.com/dp/B097V2J5C9"
"","","B0CM66W934","Frienda 300 Pcs 6' x 6' Clear Self Sealing Bubble Cushion Bags Double Wall Bubble Pouch Bag Plastic Shockproof Protective Packing Bags for Small Business Moving Shipping Packaging Storage","Frienda","$55.99","210","7","$11,758","12/22/2023","","4.9","11","","32,875","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CM66W934"
"","","B009LPXENA","Uboxes Bubble Out Bags Clear Protective Wrap Cushioning Pouches Self Sealing (4' x 5.5' - Pack of 50)","Uboxes","$8.99","103","1","$925.97","04/02/2014","$2.50","4.4","15","$6.49","107,511","6","AMZ","1","Office Products","Standard","4 x 5.5 x 5.5 in","1 lb","https://www.amazon.com/dp/B009LPXENA"
