"Export time:  1/28/2024, 5:41:57 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08FFK1L7S","200 Pack 4x8 Inch Bubble Cushion Wrap Bags for Shipping Packing Small Clear Bubble Out Pouches Double Walled Bubble Cushioning Bags for Moving Storage","MIVIDE","$21.99","780","26","$17,152","08/07/2020","$15.22","4.5","244","$6.77","9,620","7","FBA","1","Office Products","Standard","12.717 x 16.457 x 5.039 in","0.728 lb","https://www.amazon.com/dp/B08FFK1L7S"
"bubble wrap pouches 4x6","","B0C43WPVJ4","Quality Park Clear Bubble Pouches, Cushioned Packing and Shipping Bags, Great for Storage or Mailing, Reusable, 4'x 6', 200/box (QUA85921)","Quality Park","$18.99","93","6","$1,766","05/01/2023","$4.16","4.9","12","$14.83","36,144","7","AMZ","1","Office Products","Oversize","10.6 x 8.6 x 12.6 in","1.4 lb","https://www.amazon.com/dp/B0C43WPVJ4"
"Average Monthly Sales: 374","","B0C7ZWT357","PerKoop 120 Pcs 6' x 8.5' Bubble Cushion Wrap Bags Bulk, Double Wall Bubble Cushion Wrap Pouches, Clear Bubble Bags Thickening Shockproof Bags for Shipping Packing Storage Moving","","$29.99","300","10","$8,997","","","5","9","","22,942","","FBA","","Office Products","","","","https://www.amazon.com/dp/B0C7ZWT357"
"Average Revenue: $7,814","","B0CNXP384R","Honeycomb Packing Paper Roll 15''x230'-Goefun Recyclable Moving Supplies with 30 Fragile Sticker Labels, Shipping Supplies Substitute Alternative for Bubble Wrap for Packing Gift, Shipping, Moving","Goefun","$22.99","120","4","$2,759","11/23/2023","$12.81","","","$10.18","50,799","6","FBA","1","Office Products","Standard","4.33 x 4.33 x 14.96 in","4.5 lb","https://www.amazon.com/dp/B0CNXP384R"
"Average Price: $21.89","","B08YNX8N5N","200Pack Bubble Out Bags Pouches 4'x 6' Bubble Pouches Cushioning Packaging Bags, Double Walled Cushioning Bags Thickening Shockproof Foam Bags for Moving, Shipping, and Storage","CEE","$18.99","600","20","$11,394","03/10/2021","$12.37","4.7","195","$6.62","12,441","7","FBA","1","Office Products","Standard","11.772 x 12.205 x 4.488 in","0.611 lb","https://www.amazon.com/dp/B08YNX8N5N"
"Average No. of Ratings: 209","","B092LSMCV2","Mr. Pen- Bubble Cushion Wrap Pouches, 100 Pack, 4x6 Inches, Bubble Pouches, Bubble Out Wrap Bags, Bubble Bags, Bubble Bags for Shipping, Bubble Bags for Packing, Bubble Sleeves","Mr. Pen","$14.95","1,130","25","$16,894","04/13/2021","$9.64","4.7","679","$5.31","9,912","6","FBA","1","Office Products","Standard","4 x 0.01 x 6 in","7.4 oz","https://www.amazon.com/dp/B092LSMCV2"
"Average Sales Rank: 60,885","","B08FH6R722","200 PCS Clear Bubble Pouches Bags 4x6 inch, Protective Bubble Pouch, Double Walled Flush Cut Thickening Shockproof Foam Wrap Bags for Cushioning, Packing, Shipping, Moving and Storage","APACALI","$19.49","930","26","$18,126","08/08/2020","$12.80","4.6","764","$6.69","9,466","7","FBA","3","Office Products","Standard","4 x 6 x 6 in","9.1 oz","https://www.amazon.com/dp/B08FH6R722"
"Average Rating Number: 4.5","","B007PBKW5K","uBoxes Bubble Cushioning 24' wide Wrap x 100' Long Medium Bubbles 5/16',Clear,BUBBMED24100","Uboxes","$42.00","957","28","$40,194","03/21/2012","$-46.51","4.4","269","$88.51","8,895","5","AMZ","7","Office Products","Oversize","24 x 0.1 x 1,200 in","2.5 lb","https://www.amazon.com/dp/B007PBKW5K"
"","","B00B2MB1AS","Large Bubble 12' Wide (65-Feet)","Uboxes","$24.15","622","17","$15,021","05/12/2013","$1.33","4.4","45","$22.82","14,485","5","AMZ","11","Office Products","Oversize","18 x 18 x 12 in","1.55 lb","https://www.amazon.com/dp/B00B2MB1AS"
"","","B0B829YLF2","Honeycomb Packing Paper Wrap 12'x400' Sustainable Alternative to Bubble Cushioning Wrap Biodegradable & Fully Recylable for Moving/Shipping/Packing Roll with 20 Fragile Stickers","liirro","$32.99","325","13","$10,722","07/28/2022","$20.71","4.5","210","$12.28","18,383","6","FBA","1","Office Products","Standard","5.59 x 5.59 x 11.93 in","6.49 lb","https://www.amazon.com/dp/B0B829YLF2"
"","","B0BXFR93W7","Bubble Cushioning Protective Packaging - Small 3/16' (12' Wide x 175' Length)","UBMOVE","$24.50","183","6","$4,484","03/01/2023","$-60.59","4.6","84","$85.09","38,637","5","AMZ","2","Office Products","Oversize","12 x 0.19 x 2,100 in","2 lb","https://www.amazon.com/dp/B0BXFR93W7"
"","","B0BQXN6T58","100Pack Self-Seal Bubble Out Bag Pouches 4 x 6 Inch Small Bubble Pouches Bags, Double Walled Bubble Cushioning Bags, Self-Sealing Protective Wrap Cushioning Pouches for Shipping, Packing, Moving","CKVIHAV","$16.99","210","7","$3,568","12/22/2022","","4.8","30","","33,004","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BQXN6T58"
"","","B08FFK6LLH","200 Pack 4x6 Inch Bubble Cushion Wrap Bags for Shipping Packing Small Clear Bubble Out Pouches Double Walled Bubble Cushioning Bags for Moving Storage","MIVIDE","$20.99","600","26","$12,594","08/07/2020","$14.77","4.5","244","$6.22","9,620","7","FBA","1","Office Products","Standard","4 x 0.1 x 6 in","9.1 oz","https://www.amazon.com/dp/B08FFK6LLH"
