"Export time:  1/28/2024, 5:41:12 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09YZX7L44","Pacific Mailer Bubble Cushion Wrap Pouches 7.5x7.5 Inch Total 50 Packs Self Sealing Bubble Pouch Bags Roll for Packing, Shipping, Storage, Moving [Clear]","Pacific Mailer","$17.99","350","9","$6,296","05/05/2022","$12.22","4.4","111","$5.77","25,413","6","FBA","1","Office Products","Standard","7.5 x 0.01 x 7.5 in","9.4 oz","https://www.amazon.com/dp/B09YZX7L44"
"bubble wrap pouches","","B0BKR9R1C9","ALTERNIUM self seal bubble pouches 7.5x7.5' 100 pack - individual bubble cushioning wrap pockets with adhesive - small bubble bags for shipping - quality packing material and moving supplies","Alternium","$32.99","630","21","$20,784","12/10/2022","$24.27","4.7","459","$8.72","11,723","6","FBA","1","Office Products","Standard","7.6 x 13.6 x 17.6 in","7.8 oz","https://www.amazon.com/dp/B0BKR9R1C9"
"Average Monthly Sales: 432","","B08FFK1L7S","200 Pack 4x8 Inch Bubble Cushion Wrap Bags for Shipping Packing Small Clear Bubble Out Pouches Double Walled Bubble Cushioning Bags for Moving Storage","MIVIDE","$21.99","780","26","$17,152","08/07/2020","$15.22","4.5","244","$6.77","9,620","7","FBA","1","Office Products","Standard","12.717 x 16.457 x 5.039 in","0.728 lb","https://www.amazon.com/dp/B08FFK1L7S"
"Average Revenue: $8,970","","B08MFD4G2Y","100PCS Bubble Out Bags 7x 8-1/4Clear Bubble Mailers, Self-Sealing Double Walled Bubble Pouch Bags for Packing, Moving, Shipping, Mailing, Bubble Cushioning Wrap Bags","MIVIDE","$26.99","497","13","$13,414","11/01/2020","$14.11","4.6","150","$12.88","18,562","7","FBA","1","Office Products","Standard","12.4 x 7.76 x 16.06 in","1.41 lb","https://www.amazon.com/dp/B08MFD4G2Y"
"Average Price: $22.01","","B09YTZ53MN","100Pcs Bubble Out Bags Pouches 6' x 10' Protective Bubble Pouches Bags for Shipping, Double Walled Bubble Cushioning Bags Thickening Shockproof Foam Bags for Packing, Moving, Shipping, and Storage","Lswteiz","$18.99","1,143","42","$21,706","04/25/2022","$12.37","4.6","129","$6.62","5,895","6","FBA","1","Office Products","Standard","9.96 x 6.89 x 13.11 in","12 oz","https://www.amazon.com/dp/B09YTZ53MN"
"Average No. of Ratings: 203","","B09MVQQ24H","12' x 12' Bubble Out Bags&Pouches, 50Pcs Bubble Pouches Wrap Bag, Double Walled Bubble Cushioning Bags for Moving and Storage, Shipping and Packing Supplies for Dishes Glasses Plates","REDOVANT","$19.99","870","25","$17,391","12/01/2021","$13.92","4.6","317","$6.07","9,886","7","FBA","2","Office Products","Standard","12 x 0.01 x 12 in","10.8 oz","https://www.amazon.com/dp/B09MVQQ24H"
"Average Sales Rank: 38,561","","B098TFR62P","200Pcs Bubble Out Bags&Pouches, 6'x8' Clear Bubble Pouches Wrap Bag, Double Walled Bubble Cushioning Bags for Moving and Storage, Shipping and Packing Supplies for Dishes Glasses Plates","REDOVANT","$23.99","665","20","$15,953","07/06/2021","$16.62","4.5","180","$7.37","12,150","7","FBA","1","Office Products","Standard","12.83 x 6.46 x 15.63 in","10.1 oz","https://www.amazon.com/dp/B098TFR62P"
"Average Rating Number: 4.5","","B0BNXFN5JR","Parts3A Moving supplies,50 Pack Cushion Foam Pouches, 16' x 16' Packing Supplies for Moving, Packing, Transportation and Storage, Incidental Fragile Stickers","Parts3A","$21.99","554","15","$12,182","03/15/2022","$9.75","4.4","206","$12.24","16,007","7","FBA","1","Office Products","Oversize","16 x 0.2 x 16 in","0.25 oz","https://www.amazon.com/dp/B0BNXFN5JR"
"","","B0B7WXYFSH","Honeycomb Packing Paper Wrap 12'x200' Recycled Cushioning Wrapping Roll Eco Friendly Shipping Moving Green Wrap Packing Material with 20 Fragile Sticker Labels","liirro","$20.99","320","13","$6,717","07/27/2022","$11.86","4.5","210","$9.13","18,383","6","FBA","1","Office Products","Standard","3.98 x 3.98 x 11.93 in","3.22 lb","https://www.amazon.com/dp/B0B7WXYFSH"
"","","B09WT27QG4","6''x10'' Bubble Pouch Bags, 50Pcs Clear Bubble Pouches Wrap for Shipping, Double Walled Cushioning Bags for Cushioning, Packing, Moving and Storage Fragile China Dishes Electronic Item","XHMAXE","$13.99","761","25","$10,646","03/28/2022","$-68.74","4.5","113","$82.73","9,975","7","FBA","1","Office Products","Oversize","120 x 0.24 x 6 in","4.8 oz","https://www.amazon.com/dp/B09WT27QG4"
