"Export time:  2/5/2024, 2:41:09 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CP1RQNVK","Vanhench 36'x 2400' (200') Brown Wrapping Paper Large Roll, Valentines Wrapping Paper Roll for Bulletin Board Art Crafts Packing Wrap Moving Shipping Poster Floor Covering Crafting Drawing Craft Table","Vanhench","$39.99","13,267","326","$530,547","01/21/2024","","4.7","857","","137","7","FBA","1","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0CP1RQNVK"
"bulletin board paper","","B08DJ91D2D","Industrial Grade Paper for Moving & Packing | Shipping, Gift Wrapping, Arts, Crafts & Table Settings | Recycled Kraft Paper Roll | 17.75 inches x 150 feet | by Paper Pros","The Paper Factory LLC","$14.99","403","24","$6,041","07/22/2020","$6.24","4.7","513","$8.75","5,803","6","FBA","1","Arts, Crafts & Sewing","Standard","3.661 x 17.677 x 3.347 in","3.265 lb","https://www.amazon.com/dp/B08DJ91D2D"
"Average Monthly Sales: 1,278","","B0C3MKCWD2","Ctosree 12 Roll 630 ft Colorful Classroom Borders for Bulletin Board Bulk Scalloped Boho Bulletin Board Borders Trim Back to School Chalkboard Office Decoration (Advance Gray)","Ctosree","$42.99","148","2","$6,363","04/25/2023","$29.81","4.9","14","$13.18","76,424","6","FBA","1","Office Products","Standard","11.8 x 2.5 x 12.5 in","4.7 lb","https://www.amazon.com/dp/B0C3MKCWD2"
"Average Revenue: $26,329","","B0CD156F83","Wrapping Paper, Craft Paper, White Kraft Paper Roll 17.8'x 100ft for Gift Wrapping, Floor Covering, Bulletin Board, Arts Crafts, Bouquet Flower, Table Runner, Poster, Packing Paper for Moving Supplies","LOCONHA","$11.99","373","6","$4,472","07/27/2023","","4.2","96","","24,285","7","FBA","1","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0CD156F83"
"Average Price: $25.94","","B000SBX5IK","Fadeless Bulletin Board Paper, Fade-Resistant Paper for Classroom Decor, 48 x 12, White, 1 Roll","Fadeless","$17.99","566","17","$10,182","10/08/2007","","4.7","1,176","","8,493","4","AMZ","5","Arts, Crafts & Sewing","","","7.8 lb","https://www.amazon.com/dp/B000SBX5IK"
"Average No. of Ratings: 605","","B0BZC4LZ7P","Colarr 6 Rolls Fade Resistant Paper Roll Bulletin Board Papers 18 Inches x 50 Feet Arts and Crafts for Drawing Painting Finger Painting Bulletin Boards Kids Classroom Decor(Multi Color)","Colarr","$79.99","60","2","$4,799","03/22/2023","","5","3","","69,529","6","FBA","1","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0BZC4LZ7P"
"Average Sales Rank: 51,651","","B08VVDR6JS","Fun Size Vertical White Shiplap Better Than Paper Bulletin Board Roll","Teacher Created Resources","$14.74","269","8","$3,965","02/02/2021","$-68.10","4.4","622","$82.84","29,322","5","AMZ","9","Office Products","Oversize","144 x 0.2 x 18 in","11.2 oz","https://www.amazon.com/dp/B08VVDR6JS"
"Average Rating Number: 4.6","","B0792HCFTJ","Teacher Created Resources Better Than Paper Bulletin Board Roll, Black - 77314","Teacher Created Resources","$25.83","601","14","$15,524","01/30/2018","$12.64","4.8","3,157","$13.19","17,414","5","AMZ","10","Office Products","Oversize","2.4 x 47.5 x 2.1 in","1.9 lb","https://www.amazon.com/dp/B0792HCFTJ"
"","","B0015ZYD48","Rainbow Colored Kraft Duo-Finish Paper, Purple, 36' x 1,000', 1 Roll","Pacon","$75.99","2,577","32","$195,826","04/17/2006","$43.49","4.6","24","$32.50","4,185","6","AMZ","36","Arts, Crafts & Sewing","Oversize","7.8 x 36.5 x 7.6 in","32.3 lb","https://www.amazon.com/dp/B0015ZYD48"
"","","B09T9CZ3G6","Teacher Created Resources Fun Size Better Than Paper Bulletin Board Roll, 18' x 12', Black","Teacher Created Resources","$14.74","296","9","$4,363","02/23/2022","$8.76","4.7","162","$5.98","25,866","6","AMZ","6","Office Products","Standard","12 x 0.2 x 18 in","10.41 oz","https://www.amazon.com/dp/B09T9CZ3G6"
"","","B08N58R22Q","White Burlap Covered with Criss-Cross Twine Bulletin Picture & Memo Board, 19.75 x 15.75","ReLIVE","$29.95","240","8","$7,188","07/22/2020","$16.20","4","415","$13.75","27,699","6","FBA","1","Office Products","Oversize","16 x 20 x 1.26 in","2 lb","https://www.amazon.com/dp/B08N58R22Q"
"","","B07BS6N7BD","VIZ-PRO Notice Board Felt Gray, 36 X 24 Inches, Silver Aluminium Frame","VIZ-PRO","$29.90","30","1","$897.00","05/10/2015","$11.92","4.4","2,157","$17.99","130,937","5","FBA","1","Office Products","Oversize","23.62 x 0.2 x 35.43 in","4.62 lb","https://www.amazon.com/dp/B07BS6N7BD"
