"Export time:  2/8/2024, 9:18:49 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08D3SDPXT","Aromatherapy Candle Gift Set for Women- Scented Candles for Home- Unique Decor Present for Birthday, Bridesmaid, Housewarming Long Burning Candle Set for Her- Pampering Valentines Day Gifts for Her","ADELEGOURDAIN","$19.99","923","96","$18,451","07/15/2020","$11.20","4.1","2,851","$8.79","8,349","6","FBA","1","Home & Kitchen","Standard","7.87 x 2.76 x 7.87 in","2.82 lb","https://www.amazon.com/dp/B08D3SDPXT"
"candle for women","","B08XZ3HWF3","6 Pack Candles for Home Scented Aromatherapy Candles Gifts Set for Women Soy Wax Long Lasting Amber Jar Candles for Valentine Birthday Mother's Thanksgiving Day Present","YFYTRE","$25.99","3,796","135","$98,658","03/03/2021","$16.95","4.4","2,827","$9.04","6,764","6","FBA","1","Health & Household","Standard","0.01 x 3.35 x 9.3 in","1.31 lb","https://www.amazon.com/dp/B08XZ3HWF3"
"Average Monthly Sales: 2,669","","B07GH691SQ","Chesapeake Bay Candle Scented Candle, Serenity + Calm (Lavender Thyme), Medium Jar, Home Dcor, Orange","Chesapeake Bay Candle","$13.99","17,804","678","$249,078","08/14/2018","$8.12","4.5","42,450","$5.87","381","6","AMZ","2","Home & Kitchen","Standard","2.87 x 4.33 x 3.14 in","8.8 oz","https://www.amazon.com/dp/B07GH691SQ"
"Average Revenue: $47,814","","B09R1K4LP1","Lavender Scented Candles Gift for Women - Aromatherapy Candle with Crystals Inside, 10oz 100% Natural Soy Wax Candles for Home Scented 60H Burn, Candle Gift for Mothers Day Birthday Valentine's Day","AOOVOO","$18.99","1,171","47","$22,237","01/23/2022","$12.37","4.5","387","$6.62","17,496","7","FBA","1","Health & Household","Standard","4.21 x 4.09 x 4.61 in","10 oz","https://www.amazon.com/dp/B09R1K4LP1"
"Average Price: $20.41","","B0CN3Q97TF","Scented Candles for Home, YeeQue Vanilla Candle with Large Wooden Bowl Design for Women,Girl Birthday Gift","YeeQue","$29.99","162","5","$4,858","11/28/2023","$20.35","4.1","30","$9.64","165,661","6","FBA","1","Home & Kitchen","Standard","10 x 2 x 10 in","1.44 lb","https://www.amazon.com/dp/B0CN3Q97TF"
"Average No. of Ratings: 4,034","","B08CXQR6CM","12 Pack Scented Candles Gifts Set for Women, 2.5 oz Soy Wax Aromatherapy Candles for Home Decoration, Long Lasting Tin Jar Candles for Valentine Birthday Mother","YFYTRE","$24.99","981","34","$24,515","01/08/2021","$17.70","4.6","2,449","$7.29","27,221","6","FBA","3","Home & Kitchen","Standard","6.42 x 4.29 x 9.17 in","2.5 oz","https://www.amazon.com/dp/B08CXQR6CM"
"Average Sales Rank: 59,418","","B0C9M4KRLC","Scented Candles for Home - Enjoy Jar Candles, Natural Soy Wax with 3 Cotton Wicks, Housewarming Gift for Women and Men, Black Cherry Merlot","TALENT CANDLES","$22.99","180","6","$4,138","","","4.5","85","","154,328","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0C9M4KRLC"
"Average Rating Number: 4.5","","B0BRWLDL9L","Bel Composto Valentine's Day Present Pine Scented Aromatherapy Best Smelling Candle, Soy Wax 7.8 Oz,Romantic Bathroom Candle, All Natural Strong Scented Large Ceramic Jar Gift Candles for Women","Bel Composto","$29.99","","","$0.00","01/07/2023","","4.7","31","","824,446","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BRWLDL9L"
"","","B0CHSHTNPQ","AROZEN Ocean Beach Scented Candles Gift for Women, 10oz Aromatherapy Beach Soy Candles for Home Scented, Sea Candles with Healing Crystal Inside, 55H Burn for Birthday Valentine's Day Mother's Day","AROZEN","$25.99","300","10","$7,797","09/10/2023","$16.95","4.7","50","$9.04","58,297","7","FBA","1","Health & Household","Standard","4.33 x 5.11 x 4.33 in","1.68 lb","https://www.amazon.com/dp/B0CHSHTNPQ"
"","","B0CLPJ5JHH","TRINIDa Sleep Scented Candles Gift Set for Women - Lavender, Marjoram and Jasmine Essential Oils - Gift for Women, Promotes Sleep - 240g Long Burning Soy Candle","TRINIDa","$11.99","184","12","$2,206","11/29/2023","$5.05","4.4","31","$6.94","50,015","7","FBA","1","Health & Household","Standard","2.7 x 3.5 x 2.7 in","1.15 lb","https://www.amazon.com/dp/B0CLPJ5JHH"
"","","B0CHJXN6Z1","BlissfulOasis Scented Candles Set, 17.6 oz 4 Pack Home Scented Candles, 100-120 Hours Candle Gift for Men and Women, Scented Candles for Birthday, Valentine's Day, Christmas","BlissfulOasis","$11.99","643","26","$7,710","09/07/2023","$6.65","4.4","162","$5.34","27,906","7","FBA","1","Health & Household","Standard","7.24 x 2.64 x 7.32 in","4.4 oz","https://www.amazon.com/dp/B0CHJXN6Z1"
