"Export time:  2/1/2024, 1:38:20 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CBJLQ4HY","Bitlyle Dent Puller Hail Remover Kits,129pc Professional Car Paintless Dent Removal Tools,Slide Hammer 2 in 1 T-Bar, Adjustable Dent Lifter,Bridge Puller for Auto Dent Damage Removal, Door Dings","Bitlyle","$62.98","407","18","$25,633","07/08/2023","$48.39","4.1","36","$14.59","8,183","7","FBA","1","Automotive","Standard","8 x 5 x 11 in","6 lb","https://www.amazon.com/dp/B0CBJLQ4HY"
"car dent removal kit","","B0CSM783PW","Auronp Dent Puller,Dent Removal Kit,3 Pack Car Dent Puller Kit Handle Lifter,Powerful Car Dent Remover,Suction Cup Dent Puller and Paintless Dent Repair Kit for Car Body Dent,Glass,Tiles and Mirror","Auronp","$15.99","2,838","105","$45,380","01/17/2024","$10.30","4.7","152","$5.69","735","7","FBA","1","Automotive","Standard","4.92 x 4.17 x 5.16 in","10.8 oz","https://www.amazon.com/dp/B0CSM783PW"
"Average Monthly Sales: 546","","B0CJKV9VQT","Manelord Dent Puller - 53pcs Car Dent Puller, Car Dent Remover Puller, Dent Puller Kit with Double Pole Bridge Dent Puller for Car Dent Repair and Metal Surface Dent Removal","Manelord","$49.99","120","4","$5,999","09/21/2023","$37.56","3.9","28","$12.43","53,960","7","FBA","1","Automotive","Standard","8.5 x 4.25 x 9.57 in","3.34 lb","https://www.amazon.com/dp/B0CJKV9VQT"
"Average Revenue: $14,790","","B0C7MDVF7X","Bitlyle 3 Pack Powerful Dent Puller Car Dent reapir Tool,Auto Suction Cup Dent Removal Kit,Paintless Hail Remover Tool for Car Body Dent Repair, Glass,Screen,Tiles Lifting,Mirror and Objects Moving","Bitlyle","$16.99","127","2","$2,158","06/09/2023","$10.43","4","4","$6.56","92,889","7","FBA","1","Automotive","Standard","4.96 x 4.29 x 10.2 in","12.6 oz","https://www.amazon.com/dp/B0C7MDVF7X"
"Average Price: $41.69","","B0CMWS3JDY","LorSou Dent Puller,3 Pack Car Dent Puller Suction Cup Dent Puller Car Dent Removal Kit Dent Remover Tool and Dent Repair Kit Handle Lifter for Cars Body,Glass,Screen,Tiles Lifting,Objects Moving","LorSou","$15.99","1,885","32","$30,141","11/07/2023","$9.55","4.8","32","$6.44","3,970","7","FBA","1","Automotive","Standard","5.67 x 4.41 x 8.27 in","14 oz","https://www.amazon.com/dp/B0CMWS3JDY"
"Average No. of Ratings: 1,151","","B0CSCJ1WRK","WASAIQI Dent Puller,3 Pack Car Dent Puller Dent Remover Tool Dent Removal Kit for Car Suction Cup Dent Puller and Dent Repair Kit Handle Lifter for Cars Body,Glass,Screen,Tiles Lifting,Objects Moving","WASAIQI","$15.99","1,309","72","$20,931","01/14/2024","$10.30","5","23","$5.69","1,315","7","FBA","1","Automotive","Standard","5.75 x 4.33 x 8.27 in","11.7 oz","https://www.amazon.com/dp/B0CSCJ1WRK"
"Average Sales Rank: 65,386","","B07DDBXX2H","GLISTON Auto Dent Puller Kit - Adjustable Golden Dent Remover Tools Paintless Dent Repair Kit Dent Lifter Puller for Car Large & Small Ding Hail Dent Removal","GLISTON","$45.59","1,262","51","$57,535","05/28/2018","$34.33","4","6,044","$11.26","2,124","7","FBA","7","Automotive","Standard","8.19 x 3.82 x 9.41 in","2.66 lb","https://www.amazon.com/dp/B07DDBXX2H"
"Average Rating Number: 3.9","","B0BCJRKTWY","Super PDR 89 Pcs Paintless Dent Removal Kit, Reusable Car Dent Puller Kit with Suction Cups, Pull Tabs, PDR Light Board etc, Car Body Dent Puller Tools for Repair Dents, Hail Damage, Door Ding etc","Super PDR","$95.99","94","4","$9,023","09/29/2022","$76.84","4.1","296","$19.15","49,902","6","FBA","1","Automotive","Standard","9.65 x 5.94 x 13.3 in","7.39 lb","https://www.amazon.com/dp/B0BCJRKTWY"
"","","B0BN1CXZ5W","AUTOPDR Paintless Dent Repair Kits 100PCS Car Dent Removal Tools Come with 4 Kinds of Dent Puller and All Glue Tabs Removing Big dents Small Dents,Dings, Creases and Hail Damage All Without Painting","AUTOPDR","$78.99","295","10","$23,302","11/20/2022","$61.88","4.3","162","$17.11","16,276","7","FBA","3","Automotive","Standard","9.57 x 4.02 x 13.58 in","7.89 lb","https://www.amazon.com/dp/B0BN1CXZ5W"
"","","B07GBR9M16","GLISTON 45pcs Paintless Dent Repair Tool Dent Puller Kit, Adjustable Width, Pops a Dent Car Dent Removal Kit, Golden Lifter, Bridge Puller& Glue Gun for Automobile Body Motorcycle Refrigerator","GLISTON","$48.59","1,482","47","$72,010","05/01/2018","$36.97","4.1","8,425","$11.62","2,375","7","FBA","2","Automotive","Standard","9 x 4 x 9.8 in","2.89 lb","https://www.amazon.com/dp/B07GBR9M16"
