"Export time:  2/1/2024, 11:06:57 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CNRB8DC6","Liliantus Long Reach Hook, Professional Tool KitOutdoor Camping Set (24pcs)","Liliantus","$40.99","226","7","$9,264","11/20/2023","$30.28","4","2","$10.71","26,141","6","FBA","1","Automotive","Standard","6.1 x 3.11 x 17.44 in","2.2 lb","https://www.amazon.com/dp/B0CNRB8DC6"
"car lockout kit","","B0CNR8W8VP","Liliantus Long Reach Hook, Professional Tool KitOutdoor Camping Set (14pcs)","Liliantus","$34.99","122","2","$4,269","11/20/2023","$25.00","4.5","2","$9.99","102,546","6","FBA","1","Automotive","Standard","6.1 x 2.7 x 17.2 in","1.9 lb","https://www.amazon.com/dp/B0CNR8W8VP"
"Average Monthly Sales: 552","","B08B3GFW9J","TRADESAFE Lockout Tagout Station with Loto Devices - 14 Pack Safety Lock Set, 6 Hasps, 40 Do Not Operate Tags, Lock Out Tag Out Kit Board, Lockout Safety Supply for OSHA Compliance","TRADESAFE","$189.99","180","6","$34,198","06/10/2020","$154.07","4.7","79","$35.92","23,889","6","FBA","1","Industrial & Scientific","Oversize","16 x 2.63 x 22.25 in","11.56 lb","https://www.amazon.com/dp/B08B3GFW9J"
"Average Revenue: $15,452","","B08B36HZ6P","TRADESAFE Lockout Tagout Station With LOTO Devices - Lock Out Tag Out Kit Board With 4 Pack Safety Lock Set, Hasp For Padlocks, 20 Do Not Operate Tags For Lockout Safety Supply, OSHA Compliance","TRADESAFE","$99.95","118","4","$11,794","06/10/2020","$81.53","4.7","76","$18.42","33,541","6","FBA","2","Industrial & Scientific","Standard","10.158 x 14.606 x 3.071 in","3.364 lb","https://www.amazon.com/dp/B08B36HZ6P"
"Average Price: $37.87","","B0BN7CMY6W","EVYING Car Repair Tool Kit Portable Automotive Tool Set 13 PCS with Carrying Bag for Cars & Trucks","EVYING","$39.99","291","13","$11,637","11/23/2022","$29.40","4.6","37","$10.59","12,137","5","FBA","1","Automotive","Standard","7.09 x 2.09 x 17.76 in","2.48 lb","https://www.amazon.com/dp/B0BN7CMY6W"
"Average No. of Ratings: 624","","B0CLKCS8K8","VK Alldo Emergency Car Kit 33pcs Red","VK Alldo","$34.99","30","1","$1,050","10/21/2023","$28.90","5","1","$6.09","168,808","4","FBM","1","Automotive","Standard","5 x 4 x 17 in","2.76 lb","https://www.amazon.com/dp/B0CLKCS8K8"
"Average Sales Rank: 59,830","","B0BTP5T48J","Car Tool Kit, 24 PCS","Generic","$39.99","660","22","$26,393","02/01/2023","$29.40","4.6","168","$10.59","6,347","5","FBA","1","Automotive","Standard","7.09 x 2.05 x 17.72 in","2.68 lb","https://www.amazon.com/dp/B0BTP5T48J"
"Average Rating Number: 4.4","","B08B36R19B","TRADESAFE Circuit Breaker Lockout Device, 10 Pack, 120/277 Volt, Clamp-on Single Pole Breaker Lock Out Device, OSHA Compliant, Premium Grade, Medium","TRADESAFE","$64.95","440","20","$28,578","06/10/2020","$53.39","4.5","141","$11.56","7,055","6","FBA","30","Industrial & Scientific","Standard","5 x 2 x 6.5 in","6.38 oz","https://www.amazon.com/dp/B08B36R19B"
"","","B01C96AFWU","First Secure - 90 Piece Car Emergency Roadside & First Aid Kit Inside - Long-Lasting Quality - Essential Emergency Tool Kit - Survival & Safety Solution - Peace of Mind on the Road","FIRST SECURE","$69.95","1,401","40","$98,000","02/25/2016","$51.22","4.7","3,626","$18.73","2,942","7","FBA","1","Automotive","Standard","4.75 x 11 x 14.25 in","8.3 lb","https://www.amazon.com/dp/B01C96AFWU"
"","","B08P8ZHH7S","Lockout Tagout - Lock Out Tag Out Kit Safety Padlocks Lockout Hasp Breaker Lockout Ball Valve Lockout Steel Cable Lockout Plug Loto Valve Lockout Kit Loto Tags Lockout Set","OMGTMD","$149.99","72","5","$10,799","12/29/2020","$123.76","4.6","79","$26.23","30,820","6","FBA","1","Industrial & Scientific","Standard","8.75 x 7.5 x 16.25 in","9.63 lb","https://www.amazon.com/dp/B08P8ZHH7S"
"","","B0CH13RL8C","TUOSHUNGE Truck 5th Wheel Hook 1 Set - Long Distance Hook Tool 59'' Car Emergency Hook Tree Cleaning Hook Trailer Box Hook Heavy Duty","TUOSHUNGE","$31.99","492","18","$15,739","08/30/2023","$22.36","5","5","$9.63","8,050","7","FBA","1","Automotive","Standard","7.48 x 3.5 x 11.22 in","2.64 lb","https://www.amazon.com/dp/B0CH13RL8C"
"","","B0CPVFYYNR","Car Repair Tool Kit,Emergency Tool with Carrying Bag","H HOTMARS","","210","7","","01/05/2024","","4.5","193","","26,313","","","","Automotive","","","","https://www.amazon.com/dp/B0CPVFYYNR"
"","","B0CP9PQ979","PEPEYYML Stainless Steel Assorted 5th Wheel Pin Puller, 68 inches Pull Hook J-Hook","PEPEYYML","$39.99","1,076","40","$43,029","11/30/2023","$29.40","4.4","20","$10.59","2,897","6","FBA","1","Automotive","Standard","6.14 x 2.64 x 17.32 in","2.35 lb","https://www.amazon.com/dp/B0CP9PQ979"
"","","B0CP94M7X1","TUOSHUNGE Truck 5th Wheel Puller Hook 1 Set - Long Distance Hook/Tool Car Emergency Hook Tree Cleaning Hook Black Hook Trailer Box Heavy Duty","TUOSHUNGE","$31.99","251","6","$8,029","11/30/2023","$23.63","","","$8.36","29,962","6","FBA","1","Automotive","Standard","7.48 x 3.54 x 11.3 in","14.2 oz","https://www.amazon.com/dp/B0CP94M7X1"
"","","B0CR2ZFGF8","Xiangtai Complete Auto Repair Kit,Contains Body Dent Repair Rod,Plastic Interior Removal Kit,Air Wedge for Warehouse, Pickup, SUV, BoatFurniture, Window(17 PCS)","Xiangtai","$38.99","","","","12/27/2023","","","","","","6","FBA","1","","Standard","7.76 x 3.39 x 16.61 in","2.28 lb","https://www.amazon.com/dp/B0CR2ZFGF8"
"","","B0CNCGS79X","BAILABA 66 Inch Emergency Tool","BAILABA","$37.99","210","7","$7,978","11/14/2023","$27.52","4.3","5","$10.47","27,790","4","FBA","1","Automotive","Standard","6.46 x 2.72 x 17.17 in","2.75 lb","https://www.amazon.com/dp/B0CNCGS79X"
