"Export time:  1/28/2024, 3:23:29 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CG8T3XD2","24-Pack Desk Dividers for Students,Precis Eng Testing Privacy Shields,Teacher Stuff,Office Desk Divider,Teaching Supplies,Waterproof Desk Privacy Panel,Easy to Clean Privacy Shields for Student desks","Generic","$59.99","15","1","$899.85","08/21/2023","$37.11","","","$22.88","132,833","7","FBA","1","Office Products","Oversize","16.67 x 5.79 x 18.87 in","9.62 lb","https://www.amazon.com/dp/B0CG8T3XD2"
"cardboard dividers","","B00BT53K3E","AVIDITI Corrugated Cardboard Storage Bins Holder 4' x 12' x 4.5' (50 Pack), Open Top Durable and Ideal for Organizing Parts Bin Work Areas Packing Moving and Storage - White, 50 Pack","Aviditi","$37.33","433","15","$16,164","10/26/2011","$17.85","4.7","725","$19.48","15,748","7","AMZ","3","Office Products","Oversize","12.6 x 5.6 x 26.25 in","8.05 lb","https://www.amazon.com/dp/B00BT53K3E"
"Average Monthly Sales: 268","","B0CHRP4TG7","4 Sets Glass Divider Kits for Moving, Dish Packing Kitchen Moving Boxes Kit, Cardboard Dividers for Packing Shipping with Foam Pouches Fits, Box Not Included","itechpanda","$16.98","60","2","$1,019","09/10/2023","$8.09","5","2","$8.89","80,423","6","FBA","1","Office Products","Standard","4 x 5.01 x 10 in","1 lb","https://www.amazon.com/dp/B0CHRP4TG7"
"Average Revenue: $5,925","","B0BKLVNS11","Privacy Shields 2 Pack Durable Easy Carry Plastic Desk Dividers-Easy to Disinfect Classroom Dividers-Portable Divider-Re-usable Privacy Divider","LARREEDE","$13.98","315","9","$4,404","12/04/2022","","4.3","54","","25,695","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BKLVNS11"
"Average Price: $22.95","","B0BMLK7PH4","50 Packs 11x14 Inch Corrugated Cardboard Sheets, Rigid Kraft Cardboard Divider Inserts for Shipping, Mailing, DIY Dcor and Crafts. (11x14-50 Pack)","ANSSDO","$23.99","166","5","$3,982","05/06/2022","$13.96","4.6","23","$10.03","41,326","6","FBA","1","Office Products","Standard","11 x 0.1 x 14 in","3.35 lb","https://www.amazon.com/dp/B0BMLK7PH4"
"Average No. of Ratings: 362","","B09B6XSQYP","KnnRiim 10Pcs Drawer Dividers,14.18' x 3.55', Thick, DIY Storage Organizer Separator, Large Adjustable Drawer Organizer for Underwear, Socks, Makeup, Kitchen, Bedroom, Dresser,Desk,Office(Cut at Will)","KNNRIIM","$22.78","279","10","$6,356","07/25/2021","$14.84","3.9","105","$7.94","87,139","7","FBA","1","Home & Kitchen","Standard","3.35 x 2.2 x 12.99 in","15 oz","https://www.amazon.com/dp/B09B6XSQYP"
"Average Sales Rank: 176,801","","B088FNR1W7","Qozary 42 Pack Adjustable Drawer Organizer Dividers for Socks, Underwear, Makeup, Kitchen, Dresser","Qozary","$23.99","576","21","$13,818","05/10/2020","$15.25","4.3","1,205","$8.74","45,298","6","FBA","4","Home & Kitchen","Standard","4.41 x 2.83 x 12.99 in","1 lb","https://www.amazon.com/dp/B088FNR1W7"
"Average Rating Number: 4.4","","B0B6FFFSDY","codree 4 Sets Glass Divider Kits for Kitchen Moving Box Dish Packing Moving Boxes-Glass Cell Divider Corrugate Dividers with 48 pcs Foam Pouches Fits in 16x12x12 Inch Box (Box Not Included)","codree","$26.99","220","6","$5,938","07/12/2022","$7.92","4.5","189","$19.07","36,507","6","FBA","1","Office Products","Oversize","12 x 12 x 16 in","2.14 lb","https://www.amazon.com/dp/B0B6FFFSDY"
"","","B0C994JWCK","WEIRUIFANZHI 5 Packs Moving Box Glass Cell Divider Kits for Kitchen Dish Packing Wine Glassware Cardboard Box compartments Dividers with 60 foam pouches(Box Not Included) (A-Fits in 16x 12x 12 Box)","WEIRUIFANZHI","$21.99","120","2","$2,639","06/25/2023","$11.72","4.3","12","$10.27","77,306","7","FBA","1","Industrial & Scientific","Standard","11.5 x 5.5 x 17.5 in","1.1 lb","https://www.amazon.com/dp/B0C994JWCK"
"","","B09L875XCF","200 Packs 3.5x4.5 Inch Corrugated Cardboard Sheets, Premium Kraft Brown Corrugated Pads Cardboard Inserts Bulk Flat for T-Shirts, Shipping, Mailing, Cardboard Divider Backing and Cardboard Crafts","ANSSDO","$19.99","288","8","$5,757","11/07/2021","$11.20","4.6","83","$8.79","29,253","6","FBA","1","Office Products","Standard","4.5 x 4 x 3.5 in","2.16 lb","https://www.amazon.com/dp/B09L875XCF"
"","","B0CL768R8M","aromeili 2 Sets Glass Divider Kits for Moving, Dish Packing Moving Boxes Kitchen Moving Box Kit,with 24 Pieces Foam Pouches Fits in 16 x 12 x 12 Inch Box for Packing Shipping(Box Not Included)","aromeili","$13.59","53","2","$720.27","10/16/2023","$-3.47","4.7","23","$17.06","92,780","7","FBA","1","Office Products","Oversize","12 x 12 x 16 in","1.12 lb","https://www.amazon.com/dp/B0CL768R8M"
"","","B0BBG1571R","100 Pieces Index Card Dividers Set Alphabet Sticker Plastic Index Card Dividers Self Adhesive Number Stickers Index Card Dividers with Tabs for Office Business Classroom (Colorful, 4 x 6 Inch)","Lewtemi","$22.99","132","6","$3,035","08/21/2022","$14.40","4.7","43","$8.59","36,543","7","FBA","1","Office Products","Standard","4 x 0.01 x 6 in","1.52 lb","https://www.amazon.com/dp/B0BBG1571R"
"","","B0CPLGPTD3","iplusmile Glass Dividers for Moving Boxes, 16pcs Cardboard Moving Box Dividers Dish Packing Moving Boxes Glass Dish Dividers Corrugate Dividers fits in Box for Packing Shipping","iplusmile","$13.39","","","$0.00","12/31/2023","","","","","389,120","","FBM","1","Office Products","","","","https://www.amazon.com/dp/B0CPLGPTD3"
"","","B09YHGZBSG","100 Pcs Corrugated Cardboard Sheets Set Corrugated Packaging Pads Paper Flat Cardboard Filler Inserts Sheet Pads Rectangle for Delivering Packing Separators Art Crafts Supplies (Brown, 4 x 6 Inch)","Yexiya","$20.99","102","3","$2,141","04/20/2022","$4.34","4.5","50","$16.65","63,915","6","FBA","1","Office Products","Oversize","12.2 x 11.81 x 12.2 in","1.48 lb","https://www.amazon.com/dp/B09YHGZBSG"
"","","B091L263GH","50 Pack Brown Corrugated Cardboard Sheets Flat Cardboard Sheets Cardboard Inserts Flat Cardboard Squares Separators for Art Projects DIY Crafts Supplies (9 x 6 Inch)","Zonon","$17.99","730","25","$13,133","01/22/2021","$9.50","4.5","315","$8.49","5,632","6","FBA","1","Arts, Crafts & Sewing","Standard","7.2 x 9.57 x 5.98 in","1.56 lb","https://www.amazon.com/dp/B091L263GH"
