"Export time:  2/5/2024, 12:46:27 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BKK6D6PC","UsProBy Cat Wall Furniture, Cat Climbing Wall Set, Indoor Cat Activity Wall Mounted Climbing Shelves, Four Step Cat Hammock Stairs, Jute Scratching Post, Cat Jumping Platform","UsProBy","$89.00","32","2","$2,848","10/25/2022","$65.92","4","18","$23.08","52,839","7","FBA","1","Pet Supplies","Standard","13.19 x 7.36 x 16.61 in","14.33 lb","https://www.amazon.com/dp/B0BKK6D6PC"
"cat climbing wall","","B087LRB4XG","FUKUMARU Hammock Mounted Cat Beds and Perches, Wooden Wall Furniture, Stable Shelves for Sleeping, Playing, Climbing, and Lounging, Black Stripe","FUKUMARU","$28.79","599","22","$17,245","04/23/2020","$16.84","4.6","2,644","$11.95","10,650","7","FBA","2","Pet Supplies","Standard","13.8 x 4.75 x 15.7 in","3.58 lb","https://www.amazon.com/dp/B087LRB4XG"
"Average Monthly Sales: 718","","B0BNWSYKN5","TAKEKIT Cat Wall Shelves, Cat Wall Hammock with Scratching Post and Cat Step, Cat Wall Furniture for Climbing, Playing and Sleeping, Cat Shelves and Perches for Wall for Indoor Large Cats or Kittens","TAKEKIT","$69.99","60","3","$4,199","12/02/2022","$45.61","4.5","13","$24.38","45,252","7","FBA","1","Pet Supplies","Oversize","17.87 x 5.98 x 17.95 in","10.36 lb","https://www.amazon.com/dp/B0BNWSYKN5"
"Average Revenue: $23,549","","B0BWGZGPZK","Cat Scratching Post 23.6 inch Cute Cat Scratcher Kitten Scratching Post with Sisal Rope for Indoor Cats Palm Tree Cat Scratching Post with Dangling Balls for Small Cats","Meowoou","$22.99","3,390","113","$77,936","02/21/2023","","4.6","1,527","","2,446","6","FBA","1","Pet Supplies","","","","https://www.amazon.com/dp/B0BWGZGPZK"
"Average Price: $46.86","","B0CBS6P4KY","SHENGOCASE 67'x 23.6' Thickened Cat Wall Climbing Carpet, Cat Wall Furniture, Wall Scratcher, Scratching Post, Couch Sofa Protector (Grey)","SHENGOCASE","$49.99","270","9","$13,497","07/21/2023","$14.80","4.3","35","$35.19","21,583","6","FBA","1","Pet Supplies","Oversize","23.6 x 3 x 67 in","4.4 lb","https://www.amazon.com/dp/B0CBS6P4KY"
"Average No. of Ratings: 419","","B0B4NPZD3T","Cat Wall Shelves/Furniture, Shelves, Perches and Steps Set with 2 Cat Condos House, 6 Shelves, 2 Ladder, 1 Sisal Cat Scratching Post","Canormpet","$109.99","182","10","$20,018","06/20/2022","$73.15","4.4","147","$36.84","19,403","7","FBA","1","Pet Supplies","Oversize","14 x 10 x 20.5 in","30.65 lb","https://www.amazon.com/dp/B0B4NPZD3T"
"Average Sales Rank: 37,678","","B0BY8LQZ5Z","MIUZMORE Pine Cat Wall Frame for Climbing, Set of 5 Furniture, Shelves and Perches, House, Sisal Post Ladder, Steps and Travel Platform","MIUZMORE","$129.99","304","10","$39,517","03/16/2023","$93.19","4.6","173","$36.80","20,034","6","FBA","1","Pet Supplies","Oversize","15.75 x 8 x 23.62 in","22.05 lb","https://www.amazon.com/dp/B0BY8LQZ5Z"
"Average Rating Number: 4.2","","B087LR5LWP","FUKUMARU Cat Climbing Shelf Wall Mounted, Four Step Cat Stairway with Jute Scratching for Cats Perch Platform Supplies","FUKUMARU","$26.79","1,212","43","$32,469","04/23/2020","$16.98","4.5","3,653","$9.81","6,047","7","FBA","1","Pet Supplies","Standard","2.7 x 15.7 x 8.7 in","2.6 lb","https://www.amazon.com/dp/B087LR5LWP"
"","","B0CGTBSWSK","Sandpeak 2-Pack Cat Wall Steps - Wooden Cat Shelves for Wall Mounting, Cat Wall Shelves and Perches for Kittens & Adult Cats - Cat Wall Furniture Set with Jute Rope for Scratching, Kneading, Climbing.","SANDPEAK","$27.98","60","2","$1,679","12/11/2023","","4.8","15","","55,963","","FBA","1","Pet Supplies","","","","https://www.amazon.com/dp/B0CGTBSWSK"
"","","B0CLNN1FYX","Cat Hammock Cat Wall Shelves with 3 Cat Wall Steps, Wall Mounted Cat Shelves and Perches with Hemp Rope Scratching, Cat Wall Furniture Climbing Shelves for Indoor Cats Set","Zecela","$41.99","277","9","$11,631","10/23/2023","$28.51","5","2","$13.48","21,499","7","FBA","1","Pet Supplies","Standard","13.6 x 3.15 x 17.13 in","6.74 lb","https://www.amazon.com/dp/B0CLNN1FYX"
