"Export time:  1/30/2024, 12:01:21 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08JQ9P5L6","Cereal Container Set, MCIRCO Airtight Food Storage Containers ((4L /135.2oz) Set of 6, BPA Free Cereal Dispensers with Measuring Tools","M MCIRCO","$27.99","1,005","25","$28,130","09/21/2020","$15.86","4.6","2,413","$12.13","10,966","7","FBA","1","Kitchen & Dining","Standard","10.12 x 15.31 x 7.76 in","5.071 lb","https://www.amazon.com/dp/B08JQ9P5L6"
"cereal containers","","B0822JNHFY","Airtight Food Storage Container Set - 24 Piece, Kitchen & Pantry Organization, BPA-Free, Plastic Canisters with Durable Lids Ideal for Cereal, Flour & Sugar - Labels, Marker & Spoon Set","Chef's Path","$59.98","4,970","122","$298,101","02/10/2020","$38.24","4.7","74,464","$21.74","1,727","6","FBA","10","Kitchen & Dining","Oversize","8.02 x 8.09 x 9.2 in","10.43 lb","https://www.amazon.com/dp/B0822JNHFY"
"Average Monthly Sales: 1,306","","B01BN8TEP4","OXO Good Grips 3-Piece POP Cereal Dispenser Set","OXO","$51.99","4,501","157","$234,007","02/09/2016","$31.07","4.8","14,650","$20.92","1,224","5","AMZ","8","Kitchen & Dining","Oversize","12.8 x 11.3 x 10.9 in","5 lb","https://www.amazon.com/dp/B01BN8TEP4"
"Average Revenue: $40,955","","B0B827HHFY","Airtight Food Storage Containers with Lids, Clear Pantry Canister Set for Kitchen Organization, Stackable Organizers for Flour, Sugar, Cereal, Rice, BPA Free Plastic 24 Pack with Different Sizes","FreshKeeper","$31.99","3,467","102","$110,909","07/28/2022","$17.01","4.7","3,357","$14.98","2,210","6","FBA","1","Kitchen & Dining","Standard","7 x 3 x 6 in","11.36 lb","https://www.amazon.com/dp/B0B827HHFY"
"Average Price: $29.81","","B07X3XTRQC","Rubbermaid Premium Modular Food Lids, Cereal Keeper, 2-Pack, 18-Cup Stacking, Space Saving Plastic Storage Containers, Clear","Rubbermaid","$15.99","4,920","164","$78,671","09/18/2019","$1.99","4.8","21,227","$14.00","1,144","6","AMZ","1","Kitchen & Dining","Oversize","9.88 x 11.13 x 9.88 in","2.35 lb","https://www.amazon.com/dp/B07X3XTRQC"
"Average No. of Ratings: 5,644","","B083GQS9JR","Chef's Path Food Storage Containers - Airtight Lids for Kitchen and Pantry Organization - Set of 12 - Essential for Flour - Sugar and Dry Food Storage - BPA Free Plastic Canisters with Accessories","Chef's Path","$35.99","3,404","134","$122,510","01/03/2020","$22.66","4.7","56,887","$13.33","1,534","7","FBA","2","Kitchen & Dining","Standard","11.89 x 15.98 x 6.1 in","4.22 lb","https://www.amazon.com/dp/B083GQS9JR"
"Average Sales Rank: 51,940","","B07P6FLRPV","HeloGreen 24 oz. 50 Count 100% Compostable Bowls  Paper Bowls, Eco Friendly Biodegradable, Disposable Bowls, Hot Soup and Cold Food, Heavy-Duty Quality, Natural, Made of Bagasse Sugar Cane Fibers","HeloGreen","$27.99","81","2","$2,267","03/14/2019","$18.00","4.6","284","$9.99","157,386","7","FBA","1","Health & Household","Standard","6.5 x 7.1 x 6.5 in","2.05 lb","https://www.amazon.com/dp/B07P6FLRPV"
"Average Rating Number: 4.4","","B081F6X2W2","Cereal Containers Storage Set Large (4L,135.2 Oz), Airtight Food Storage Containers for Kitchen & Pantry Organization, Cereal Storage Container Set for Crunchiness, BPA Free Dispenser Keepers (4)","Chef's Path","$21.99","3,345","134","$73,557","11/12/2019","$12.41","4.7","56,887","$9.58","1,534","6","FBA","3","Kitchen & Dining","Standard","9.3 x 3.9 x 9.6 in","3.71 lb","https://www.amazon.com/dp/B081F6X2W2"
"","","B0CFLJCJSF","Skroam 4PCS Cereal Containers Storage [4L/135.2 oz], Airtight Food Storage Containers with Pour Spout for Kitchen & Pantry Organization Storage, Plastic Cereal Dispensers, Measuring Cup & 20 Labels","Skroam","$21.99","701","17","$15,415","08/13/2023","$11.06","4.4","58","$10.93","16,627","7","FBA","1","Kitchen & Dining","Standard","7.24 x 14.96 x 9.45 in","3.58 lb","https://www.amazon.com/dp/B0CFLJCJSF"
"","","B077NMWWM7","Progressive International PKS-150 BPA-Free Plastic 3-Quart ProKeeper Cereal Keeper, 1 Piece","Progressive International","$14.39","1,225","43","$17,628","11/20/2017","$6.44","4.8","580","$7.95","6,280","6","AMZ","10","Kitchen & Dining","Standard","9 x 9.75 x 4.38 in","1.151 lb","https://www.amazon.com/dp/B077NMWWM7"
