"Export time:  1/30/2024, 5:10:03 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0B76QGGPV","Gamtik Individual Storage Bag Organizer for Kitchen Drawer, with Foil and Plastic Wrap Organizer for Kitchen Organizers and Storage, for Gallon, Quart, Sandwich, Snack","Gamtik","$39.95","5,655","177","$225,917","07/20/2022","","4.4","742","","1,024","6","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0B76QGGPV"
"classroom organizer","","B07TJR88RG","HIIMIEI Acrylic Slant Sign Holder 8.5x11 6 Pack, Plastic Table Menu Display Stand Holder, Plexi Single Ad Frame for Restaurants,Hotels,Stores","HIIMIEI","$28.99","310","22","$8,987","07/16/2019","$17.91","4.6","730","$11.08","11,156","7","FBA","1","Office Products","Standard","9.33 x 4.57 x 12.58 in","4.22 lb","https://www.amazon.com/dp/B07TJR88RG"
"Average Monthly Sales: 1,973","","B079N39MFY","Angeles Value Line Kids Bookshelf Organizer, Narrow 2-Shelf Classroom Bookshelf for Kids and Toddlers","Angeles","$183.01","30","1","$5,490","02/05/2018","$105.87","4.3","27","$77.14","618,440","6","AMZ","2","Home & Kitchen","Oversize","36 x 26 x 12 in","41 lb","https://www.amazon.com/dp/B079N39MFY"
"Average Revenue: $57,229","","B0CMYX45BK","Auchq Magnetic Write  Wipe Paper Organization Chart, Dry Erase Objectives Learning Magnets for Classroom Whiteboard, Great for Classroom Goals Targets, Including 6 Magnets.","Auchq","$19.99","180","6","$3,598","12/17/2023","","4.4","7","","34,893","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CMYX45BK"
"Average Price: $42.46","","B0CHFHM9T5","Colarr 12 Pack Plastic Magazine File Holder Desk Organizer Foldable File Folder for Office Classroom Organization and Storage Desktop Binder Rack for Office Classroom Supplies","Colarr","$32.99","60","3","$1,979","09/05/2023","$21.01","","","$11.98","61,303","7","FBA","1","Office Products","Standard","10 x 11.8 x 4.13 in","5.37 lb","https://www.amazon.com/dp/B0CHFHM9T5"
"Average No. of Ratings: 4,023","","B0BKVX9DV8","YEMUNY 5 Tier Rolling Book Cart, Movable Storage Bookshelf Bookcase with Wheels, File Folder Utility Organizer for Study Office Living Room Classroom School, Light Green","YEMUNY","$35.87","750","25","$26,902","10/28/2022","","4","225","","10,048","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BKVX9DV8"
"Average Sales Rank: 52,115","","B0CBCF8HDX","Noamus 9 Pack Metal Pen Holder, Mini Pencil Bucket with Handle, Desktop Pencil Cup Makeup Brush Organizer, Desk Colorful Small Pails, Stationary Supplies Container for Office Classroom School Crafts","Noamus","$21.99","60","2","$1,319","07/06/2023","$12.26","5","1","$9.73","79,572","7","FBA","1","Office Products","Standard","3.9 x 4.7 x 3.9 in","3.01 lb","https://www.amazon.com/dp/B0CBCF8HDX"
"Average Rating Number: 4.4","","B08LMMNG74","Simple Houseware 2 Pack Closet Socks Organizer, 24 Cell Drawer Divider, Grey","Simple Houseware","$9.96","6,300","271","$62,748","10/20/2020","$4.70","4.6","10,074","$5.26","1,925","4","FBA","1","Home & Kitchen","Standard","12 x 4.25 x 12 in","10.9 oz","https://www.amazon.com/dp/B08LMMNG74"
"","","B01GKHFQNW","EAI Education NeatSeat Classroom Chair Organizer | Name-Tag Card, Dual Inner Pockets, Set of 4","EAI Education","$39.95","","","$0.00","09/20/2016","$27.53","4.4","110","$12.42","233,307","6","FBA","1","Office Products","Standard","3 x 10.5 x 14 in","2.1 lb","https://www.amazon.com/dp/B01GKHFQNW"
"","","B08JTHFJ2L","SAVERHO 2 Pack 36 Pockets Classroom Pocket Chart for Cell Phone Calculator Holder,Clear Pocket Chart Organizer for Classroom Cellphone Storage with 36 Number Sticker Size:38.5x25.7 Inch (White-2pack)","SAVERHO","$22.99","1,155","39","$26,553","09/22/2020","$5.28","4.7","984","$17.71","6,356","7","FBA","1","Office Products","Oversize","25.7 x 0.2 x 38.5 in","1.61 lb","https://www.amazon.com/dp/B08JTHFJ2L"
"","","B07YKTVT3Y","KEEPJOY Classroom Pocket Charts for Cell Phone Calculator Holders, Pocket Organizer for Cell Phone Jail with 30 Clear Pockets Chart Size 33.5 x 24.5 Inch Classroom Pocket Storage (Beige)","KEEPJOY","$11.99","900","30","$10,791","06/02/2019","$6.42","4.6","1,137","$5.57","8,260","7","FBA","1","Office Products","Standard","5.98 x 1.69 x 12.28 in","9.6 oz","https://www.amazon.com/dp/B07YKTVT3Y"
"","","B000S12SII","Advantus, AVT34004, 10-Drawer Organizer, 1 Each, Multi","Advantus","$55.70","218","5","$12,143","04/20/2004","$28.91","4.6","696","$26.79","41,515","6","AMZ","49","Office Products","Oversize","16.6 x 5.8 x 37.3 in","13.9 lb","https://www.amazon.com/dp/B000S12SII"
"","","B0CL4TDFNJ","OUTWOLF 10 Tier Rolling File Cart, Paper Trays Cart Organizer for Classroom Homeschool Office Organization and Storage","OUTWOLF","$39.99","60","2","$2,399","10/15/2023","","3.7","5","","96,002","7","FBA","1","Office Products","Standard","11.51 x 4.42 x 12.41 in","6.86 lb","https://www.amazon.com/dp/B0CL4TDFNJ"
"","","B0C1BT76DQ","HOOBRO Mail Sorter Organizer, 27 Compartments Wooden Literature Organizer, Student Mailbox for Classroom, Desktop Paper Bill Organizer for Home, Office, School, Greige BG27WF01","HOOBRO","$109.99","274","10","$30,137","07/17/2023","","4.7","28","","23,266","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C1BT76DQ"
"","","B01N1ISUZ0","Board Geeks Dry Erase Board 9'x12'- Small 25 Classroom Mini White Boards for Students, Teachers | Double Sided Small White Board Bulk (25 Pk)","Board Geeks","$34.99","1,585","73","$55,459","11/21/2016","$25.92","4.8","1,518","$9.07","3,176","6","FBA","4","Office Products","Standard","9 x 0.1 x 12 in","6.4 oz","https://www.amazon.com/dp/B01N1ISUZ0"
"","","B0C1FVGWVN","Really Good Stuff Durable Book and Binder Holders - Boho, Set of 6","Really Good Stuff","$37.79","315","11","$11,904","04/03/2023","$24.79","4.6","469","$13.00","21,427","6","AMZ","2","Office Products","Standard","12.5 x 5.25 x 13.5 in","2.7 lb","https://www.amazon.com/dp/B0C1FVGWVN"
"","","B0CHYRS3K1","Drawer Organizer Clothes,16 Pack Underwear Drawer Organizers, Foldable Closet Organizers and Storage Dresser Drawer Dividers Clothing Organizer for Clothes, Socks, Scarves, Bra, Ties (Grey)","Criusia","$59.99","5,391","163","$323,406","09/12/2023","","4.7","2,447","","4,130","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CHYRS3K1"
"","","B0C6F2BCJD","AFMAT Heavy Duty Electric Pencil Sharpener, Classroom Pencil Sharpeners for 6-11mm No.2/Colored Pencils, Pencil Sharpener for Large Pencils, Auto Stop, Sharp Point, Save Pencils, Teachers Must Have","AFMAT","$32.99","2,539","94","$83,762","05/25/2023","$22.90","4.7","1,455","$10.09","2,333","6","FBA","1","Office Products","Standard","5.55 x 4.29 x 8.43 in","1.68 lb","https://www.amazon.com/dp/B0C6F2BCJD"
"","","B0CMZMSPMV","Lavatino 8 Compartments Paper Organizer for Desk, Mesh Literature Organizer, Mail File Sorter Tray with Handle, Desktop Mailbox for Office Classroom Home, Black","Lavatino","$43.99","153","4","$6,730","11/08/2023","","4.8","7","","48,030","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CMZMSPMV"
"","","B002OHDTMI","Honey-Can-Do Rolling Storage Cart and Organizer with 12 Plastic Drawers","Honey-Can-Do","$74.99","4,122","101","$309,109","06/11/2007","$40.36","4.5","22,968","$34.63","2,151","6","AMZ","5","Office Products","Oversize","16.38 x 31.1 x 10.55 in","18.75 lb","https://www.amazon.com/dp/B002OHDTMI"
"","","B000J07KHM","Safco, Vertical Desktop Sorter, Wooden Paper Organizer for Home Office and Classroom, 11 Adjustable, Letter-Size Compartments, Gray","Safco","$40.70","229","12","$9,320","06/20/2007","$25.66","4.2","1,211","$15.05","20,754","7","AMZ","9","Office Products","Oversize","10.75 x 16 x 12 in","0.16 oz","https://www.amazon.com/dp/B000J07KHM"
"","","B0C8592KT3","2 Pack 10-Tier Desktop File Sorter Desk Organizer Letter Tray Paper Organizer for Desk, Mesh Desk File Holder Storage Organization for Home Office School","Kuntine.B","$52.99","250","7","$13,248","06/14/2023","","3.9","11","","31,615","6","FBA","2","Office Products","","","","https://www.amazon.com/dp/B0C8592KT3"
"","","B09F6WVWY1","Simple Houseware Closet Drawer Organizer for Clothes, Socks and Underware, 3 Pack, Grey","Simple Houseware","$12.86","6,154","271","$79,140","08/31/2021","$7.16","4.6","10,074","$5.70","1,925","5","FBA","1","Home & Kitchen","Standard","12 x 3.75 x 12 in","10.9 oz","https://www.amazon.com/dp/B09F6WVWY1"
"","","B07CG2R9ST","Simple Houseware 24 Pockets Large Clear Pockets Over The Door Hanging Shoe Organizer, Gray (56' x 22.5')","Simple Houseware","$9.97","28,371","884","$282,859","04/12/2018","$-9.59","4.7","122,779","$19.56","223","5","FBA","1","Home & Kitchen","Oversize","22.5 x 56 x 2.75 in","1 lb","https://www.amazon.com/dp/B07CG2R9ST"
"","","B0C6MD63M5","BOHDK Wall File Organizer 10 Pockets, Hanging File Organizer, Foldable Mesh Hanging File Holder with Label Panel | 2 Hooks | Wall Mount & Door Hanging for Office Home","BOHDK","$49.99","428","13","$21,396","05/29/2023","$29.75","4.3","249","$20.24","18,611","7","FBA","1","Office Products","Oversize","3.7 x 31.8 x 13 in","4.8 lb","https://www.amazon.com/dp/B0C6MD63M5"
"","","B0CHFG22TK","Colarr 6 Pack Plastic Magazine File Holder Desk Organizer Foldable File Folder for Office Classroom Organization and Storage Desktop Binder Rack for Office Classroom Supplies","Colarr","$21.99","75","3","$1,649","09/05/2023","","","","","61,303","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CHFG22TK"
"","","B0CJC5L3N5","Gueevin 8 Pcs Stackable Paper Trays Colorful Letter Trays Plastic File Organizer Tray File Storage for Classroom Teacher Office Desk Supplies, 13 x 10 x 2.76 Inch(Dark Color)","Gueevin","$32.99","30","1","$989.70","09/18/2023","$20.71","","","$12.28","166,346","7","FBA","1","Office Products","Standard","7.08 x 12.99 x 10.23 in","3.46 lb","https://www.amazon.com/dp/B0CJC5L3N5"
"","","B0C3G8T3XS","Marbrasse Desktop Literature Organizer, Mesh Paper Organizer, Desk Organizers, File Sorter Mail Center Paper Storage Cabinet Classroom Keepers Mailbox for Office Home School, Black","Marbrasse","$69.99","9,129","321","$638,939","04/24/2023","$46.37","4.7","2,888","$23.62","427","6","FBA","2","Office Products","Oversize","2 x 17 x 19 in","11.62 lb","https://www.amazon.com/dp/B0C3G8T3XS"
"","","B0C1BZFRN1","HOOBRO Wooden Literature Organizer, 12 Compartments Mail Sorter, Mail Organizer, File Organizer with Adjustable Shelves, Mailbox for Office, Study, Classroom, Rustic Brown FG43WF01","HOOBRO","$49.99","190","8","$9,498","07/24/2023","","4.8","10","","30,277","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C1BZFRN1"
"","","B0B39N7R52","Cesil 3Pcs Accordian File Organizer Expanding File Folder, 13 Pockets File Holder Organizer, A4 Letter Size Paper Document Receipt Organizer Accordion Filing Folder for Classroom, Home, Office","Cesil","$23.99","3,829","119","$91,858","06/05/2022","$15.25","4.6","704","$8.74","1,755","7","FBA","1","Office Products","Standard","9.44 x 1.18 x 13.38 in","1.76 lb","https://www.amazon.com/dp/B0B39N7R52"
