"Export time:  1/29/2024, 5:28:24 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BFRX46G9","Amazon Basic Care (7-Day) AM/PM Pill Organizer, Vitamin Case, And Medicine Box, Large Compartments, 2 Times a Day, Black and Clear Lids","Amazon Basic Care","$7.97","3,780","116","$30,127","06/11/2023","$3.79","4.4","878","$4.18","7,861","6","AMZ","1","Health & Household","Standard","3.75 x 1.45 x 7.5 in","3.84 oz","https://www.amazon.com/dp/B0BFRX46G9"
"clear supply box","","B0CHYJ8BHJ","Citylife 3 PCS Plastic Storage Bins with Lids and Latches, Portable Project Case for Drawers, Clear Stackable File Box for Organizing A4 Paper, Letters, Documents, Art Supplies, and Crafts","ITYLIFE CITYLIFE","$39.97","249","6","$9,953","09/12/2023","","4.6","8","","35,957","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CHYJ8BHJ"
"Average Monthly Sales: 857","","B0B9NMGRFF","Leelosp 12 Pack Plastic Box Clear Case with Lid Snap Closure Hard Large Capacity Box Storage Organizer Box Holder for Kid Adult(Clear)","Leelosp","$36.99","271","4","$10,024","08/14/2022","","4.5","15","","47,918","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0B9NMGRFF"
"Average Revenue: $36,990","","B0B84RJXLN","BTSKY 3 Pack Long Plastic Pencil Box Portable Clear Home Utility Boxes with Black Handle Stationery Storage Organizer Painting Tool Storage Container for Pencils Markers Sticky-Notes Craft Supplies","BTSKY","$20.99","120","4","$2,519","","","4.7","29","","54,949","","FBA","","Office Products","","","","https://www.amazon.com/dp/B0B84RJXLN"
"Average Price: $27.79","","B0CGWC76RF","Pencil Box, Plastic Clear Pencil Case, 1 Pack Large Capacity Hard Pencil Case, Clear Crayon Box with Snap-tight Lid Stackable Design, Plastic Storage Box for Office Supplies, Pink Style 2","BOEIAC","$5.99","995","43","$5,960","08/29/2023","$2.17","5","1","$3.82","5,715","7","FBA","1","Office Products","Standard","0.1 x 0.1 x 0.1 in","1.6 oz","https://www.amazon.com/dp/B0CGWC76RF"
"Average No. of Ratings: 817","","B07B4KY45Y","mDesign Plastic Arts and Crafts Organizer Storage Bin - Hobby Supply Box Container with Handles for School and Home - Holds Paint, Fabric, and Art/Craft Supplies - Ligne Collection - 2 Pack - Clear","mDesign","$27.99","60","3","$1,679","02/27/2018","$17.36","4.8","564","$10.63","52,678","7","FBA","1","Arts, Crafts & Sewing","Standard","6 x 5 x 16 in","1.29 lb","https://www.amazon.com/dp/B07B4KY45Y"
"Average Sales Rank: 48,290","","B0BPTK9S6Z","Rubbermaid Roughneck Variety Pack Storage Totes, Durable Stackable Storage Containers, Great for Garage Storage, Moving Boxes, and More, 10pk","Rubbermaid","$150.00","6,652","207","$997,800","05/01/2019","","4.6","9,190","","2,910","7","AMZ","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0BPTK9S6Z"
"Average Rating Number: 4.5","","B0CFFHGD2D","JUJIAJIA 19 Quart Plastic Storage Bins with Lids, 6-Pack Stackable Clear Storage Organizing Box with Handle","JUJIAJIA","$54.99","1,808","52","$99,422","08/10/2023","","4.3","593","","17,020","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CFFHGD2D"
"","","B09X9TKYSD","HAIXIN Plastic Storage Boxes with Lids - 45L Stackable Organisers, Foldable Boxes with Door, Toy Storage (1 Pack)","HAIXIN","$49.99","8,791","250","$439,462","04/05/2022","$26.33","4.5","3,495","$23.66","2,188","6","FBA","2","Home & Kitchen","Oversize","12.2 x 11.81 x 19.29 in","5 lb","https://www.amazon.com/dp/B09X9TKYSD"
"","","B0BYSD5YDV","MaxGear Clear Pencil Box, 6 Pack Pencil Cases Plastic Boxes, Large Capacity Plastic Storage Box, Office Supplies Storage Organizer Box, Pencil Boxes for School Bulk Stackable Design","MaxGear","$17.69","210","7","$3,715","03/16/2023","","4.4","46","","33,074","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BYSD5YDV"
