"Export time:  2/5/2024, 1:19:34 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0711RQMNF","Amazon Basics Collapsible Fabric Storage Cubes Organizer with Handles, 10.5'x10.5'x11', Beige - Pack of 6","Amazon Basics","$19.68","","","","11/13/2017","$9.70","4.7","100,106","$9.98","134","6","AMZ","9","Our Brands","Standard","10.94 x 11.61 x 4.61 in","5.56 lb","https://www.amazon.com/dp/B0711RQMNF"
"closet basket","","B07SCJTJ42","StorageWorks Extra Large Storage Bins, Fabric Storage Bins for Shelves, Storage Baskets with Metal Frame, Closet Baskets and Bins with Handles, Beige, 2-Pack","StorageWorks","$23.19","9,448","363","$219,099","05/23/2019","$13.28","4.6","4,771","$9.91","1,194","6","FBA","1","Home & Kitchen","Standard","13.1 x 17.9 x 2 in","3.4 lb","https://www.amazon.com/dp/B07SCJTJ42"
"Average Monthly Sales: 1,686","","B07G5C36H1","GRANNY SAYS Linen Closet Organizers and Storage Baskets for Organizing Shirts, Decorative Shelves Bins Wardrobe Cabinet, Gray, 3-Pack","GRANNY SAYS","$24.99","1,506","43","$37,635","09/10/2018","$7.74","4.7","5,846","$17.25","21,280","6","FBA","2","Home & Kitchen","Oversize","11 x 8 x 19.75 in","3.56 lb","https://www.amazon.com/dp/B07G5C36H1"
"Average Revenue: $45,530","","B09B73QXGC","GRANNY SAYS Storage Baskets and Bins for Closet Shelves, Gray Handles, Organize Closet, 2-Pack","GRANNY SAYS","$19.99","2,371","77","$47,396","07/25/2021","$11.20","4.7","1,335","$8.79","10,821","6","FBA","1","Home & Kitchen","Standard","10.83 x 15.47 x 1.85 in","2.359 lb","https://www.amazon.com/dp/B09B73QXGC"
"Average Price: $28.71","","B07QB8NZJ1","DECOMOMO Storage Bins | Fabric Storage Baskets for Shelves for Organizing Closet Shelf Nursery Toy | Decorative Large Linen Closet Organizer Bins with Handles (Grey and White, Large - 3 Pack)","DECOMOMO","$25.99","3,236","30","$84,104","04/03/2019","$8.97","4.7","23,174","$17.02","31,552","7","FBA","1","Home & Kitchen","Oversize","11 x 9.5 x 15 in","2.88 lb","https://www.amazon.com/dp/B07QB8NZJ1"
"Average No. of Ratings: 5,522","","B0BQC3SRHC","Fordonral 4 Pack Linen Storage Bins, Storage Containers for Organizing Clothing, Jeans, Toys, Books, Shelves, Closet, Wardrobe - Closet Organizers and Storage, Large Storage Boxes Baskets with Window","Fordonral","$20.98","2,156","84","$45,233","12/15/2022","$9.90","4.7","222","$11.08","9,854","6","FBA","4","Home & Kitchen","Standard","10.63 x 6.69 x 15.75 in","1 lb","https://www.amazon.com/dp/B0BQC3SRHC"
"Average Sales Rank: 50,679","","B09MK7KMP8","StorageWorks Large Storage Baskets for Shelves, Rectangular Closet Organizers with Handles, Foldable Closet Storage Baskets for Utility Room, 3-Pack, Beige Stripes","StorageWorks","$25.99","5,588","162","$145,232","06/06/2021","$15.36","4.7","13,967","$10.63","4,146","6","FBA","1","Home & Kitchen","Standard","9.13 x 10.67 x 4.88 in","4.169 lb","https://www.amazon.com/dp/B09MK7KMP8"
"Average Rating Number: 4.6","","B0C49M439F","6 Pack Closet Storage Bins for Shelves, Shelf Baskets for Organization, Closet Organizers and Storage, Trapezoid Storage Bin Closet Shelf Organizer for Clothes,Toy,Towel,Book,Baby Clothing (6PC-Gray)","Fordonral","$29.99","585","22","$17,544","05/03/2023","$17.26","4.4","49","$12.73","41,972","7","FBA","2","Home & Kitchen","Standard","11.4 x 7.9 x 15 in","4.65 lb","https://www.amazon.com/dp/B0C49M439F"
"","","B098B4V9XJ","Fab totes Storage Bins [3-Pack], Foldable Storage Baskets for Organizing Toys, Books, Shelves, Closet, Large Storage Box with Rope Handles, Sturdy Organizer Bins, White & Grey","Fab totes","$21.99","4,419","92","$97,174","06/29/2021","$12.26","4.6","2,082","$9.73","8,734","6","FBA","1","Home & Kitchen","Standard","10.24 x 15.43 x 2.48 in","3.569 lb","https://www.amazon.com/dp/B098B4V9XJ"
"","","B0C7V8NT35","CubesLand Toys Closet Storage Organizer Baskets Bins for Cube Ogranizer/Shelving,Woven Basket for Organizing,Decor Basket for Living Room,Bedroom,Perfect for Pet Toy&Food Storage,2pack Brick Red","CubesLand","$19.99","1,450","39","$28,985","08/15/2023","","4.6","118","","3,315","6","FBA","1","Baby","","","","https://www.amazon.com/dp/B0C7V8NT35"
"","","B0BLP79YPW","NaturalCozy Storage Cubes 11 Inch Cotton Rope Woven Baskets for Organizing, 3-Pack | Cube Storage Bin | Square Storage Baskets for Shelves Organizer, Classroom, Kids Toy Bins, Closet, Baby Nursery","NaturalCozy","$37.99","2,970","99","$112,830","11/06/2022","","4.7","287","","1,367","2","FBA","1","Baby","","","","https://www.amazon.com/dp/B0BLP79YPW"
"","","B0C3RH1KNW","Bagnizer Storage Bins Large Fabric Storage Baskets for Shelves 3 Pack, Decorative Linen Closet Baskets with Handles for Organizing, Shelf, Clothes, Home, Office, 15x11x9.5Inches (Grey&White)","Bagnizer","$25.99","2,746","70","$71,369","05/06/2023","$8.97","4.5","175","$17.02","12,208","7","FBA","1","Home & Kitchen","Oversize","11 x 9.5 x 15 in","3.03 lb","https://www.amazon.com/dp/B0C3RH1KNW"
"","","B0BDRCDPS8","StorageWorks Closet Storage Bins with Clear Window and 2 Handles, Foldable Clothing Bins for Shelves, Large Fabric Organizer, Beige, 3 Pack","StorageWorks","$20.79","1,788","78","$37,173","09/08/2022","","4.7","410","","10,741","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BDRCDPS8"
"","","B07TTTCGJ6","Amazon Basics Rectangular Wire Storage Baskets, Set of 3, Standard, Black","Amazon Basics","$28.93","","","","02/25/2020","$12.99","4.7","2,047","$15.94","4,690","6","AMZ","7","Our Brands","Oversize","10.315 x 12.835 x 8.15 in","3.27 lb","https://www.amazon.com/dp/B07TTTCGJ6"
"","","B0CP4D8BRX","MINTWOOD Design 3-Pack Storage Baskets for Shelves, Decorative Baskets for Organizing, Woven Baskets for Storage, Book Basket Cube Storage Bin Box, Pantry Closet and Shoe Organizers, Sky Blue","MINTWOOD Design","$36.95","540","18","$19,953","01/25/2024","$18.67","","","$18.28","6,298","7","FBA","1","Baby","Oversize","10 x 10 x 15 in","4 lb","https://www.amazon.com/dp/B0CP4D8BRX"
"","","B09Y5NZ4YZ","CubesLand Woven Basket for Organizing/Storage,Cube Shelf Closet Storage Baskets Bins Set 3,Long-Lasting &Skin-Friendly Toy Storage Basket Bin,Stylish Room Decor Basket,Woven Cotton Rope Cute Basket","CubesLand","$31.99","1,341","46","$42,899","01/03/2023","$20.16","4.6","828","$11.83","19,651","6","FBA","1","Home & Kitchen","Standard","8.74 x 17.68 x 4.84 in","3.419 lb","https://www.amazon.com/dp/B09Y5NZ4YZ"
"","","B0B7VP5Q97","OIAHOMY Cotton Rope Baskets, Woven Baskets for Storage, Nursery Storage Baskets, Rectangle Storage Basket with Handles, Storage Baskets for Shelves, Pack of 3, Brown Variegated","OIAHOMY","$29.99","923","34","$27,681","07/27/2022","$18.76","4.5","182","$11.23","27,491","7","FBA","1","Home & Kitchen","Standard","9.06 x 5.51 x 12.99 in","2.72 lb","https://www.amazon.com/dp/B0B7VP5Q97"
"","","B097MPKV1L","Storage Bins Closet Organizers and Storage 3 Pack, Rustic Stackable Metal Wire Basket for Clothes Toys Snacks, Open Pantry Baskets for Countertop Cabinet Living Room Black, 11.5x11.5x21inch","Sonyabecca","$29.99","344","12","$10,317","06/20/2021","$9.33","4.5","279","$20.66","79,473","7","FBA","4","Home & Kitchen","Oversize","11.5 x 11.5 x 21 in","5.68 lb","https://www.amazon.com/dp/B097MPKV1L"
"","","B0C1Z2LRL8","efluky Storage Baskets for Organizing, Fabric Storage Bins with Bamboo Handles, Collapsible Storage Baskets for Shelves and Closet, Grey Set of 2","efluky","$24.99","993","29","$24,815","05/13/2023","$13.31","4.7","194","$11.68","32,488","6","FBA","1","Home & Kitchen","Standard","10.24 x 7.87 x 14.96 in","2.2 lb","https://www.amazon.com/dp/B0C1Z2LRL8"
"","","B0BZMFVLGK","Pack of 3 Large Capacity Storage Bins Closet Organizer System, Sturdy Foldable Storage Boxes for Organizing Clothing, Sheets, Toys, Books - Shelf Organizer Shelves Basket Storage Bin","Fordonral","$21.98","2,386","49","$52,444","04/29/2023","$5.56","4.4","166","$16.42","18,377","7","FBA","4","Home & Kitchen","Oversize","11 x 7.9 x 18.9 in","1 lb","https://www.amazon.com/dp/B0BZMFVLGK"
"","","B0CPPJJ4GS","CubesLand Clothes Closet Organizing Basket Bins,Cubes Storage Bins for Shelves Woven Baskets for Organizing,Decorative Storage Baskets for Toys,Towels 4 Packs 11x11'' Mixed Black","CubesLand","$41.99","488","16","$20,491","01/31/2024","","4.7","561","","57,789","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CPPJJ4GS"
"","","B0CG5XJHYP","Kriitools Cubes Woven Baskets Bins for Shelf Storage &Organizing,Cotton Rope Cube Bins for Toys, Decor Woven Storage Bins, Rectangular Storage Basket for Living Room, 2 Packs Apricot-pink","Kriitools","$25.99","1,159","33","$30,122","08/20/2023","","4.7","27","","28,028","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CG5XJHYP"
"","","B0C9PVJ5Z8","BIORM Bed Sheet Set Organizer 4 Pack, Foldable Storage Box for Queen/King Size Duvet Cover Set, Grey Linen Closet Organizer for Bed Sheets, Duvet Covers and Pillowcases","BIORM","$39.99","83","","$3,319","07/27/2023","$26.66","4.3","5","$13.33","745,132","7","FBA","2","Home & Kitchen","Standard","4.5 x 12.75 x 15 in","6.23 lb","https://www.amazon.com/dp/B0C9PVJ5Z8"
"","","B06XWNXQD5","StorageWorks Closet Storage Bins, Trapezoid Storage Box, Fabric Bins and Baskets, 3-Pack, Jumbo, Mixing of Beige, White & Ivory","StorageWorks","$30.99","2,689","99","$83,332","03/26/2017","$19.61","4.7","6,178","$11.38","8,003","6","FBA","3","Home & Kitchen","Standard","10.94 x 11.61 x 4.02 in","4.98 lb","https://www.amazon.com/dp/B06XWNXQD5"
"","","B0CD45XMBX","Linen Closet Organizers And Storage, 4 Pack Closet Storage Bins Linen Closet Baskets for Closet Organization Foldable Closet Organizer Bins with Clear Window For Organizing Clothing, Jeans, Shelves","Pradnel","$25.59","570","16","$14,586","07/28/2023","$15.32","4.2","80","$10.27","58,843","7","FBA","2","Home & Kitchen","Standard","8.46 x 4.72 x 10.98 in","2.25 lb","https://www.amazon.com/dp/B0CD45XMBX"
"","","B0BVM156HL","StorageWorks Storage Baskets for Shelves, Fabric Closet Storage Bins with Handles, Rectangle Basket Organizer, Beige, White & Ivory, 4-Pack","StorageWorks","$34.99","313","6","$10,952","03/29/2023","","4.7","79","","144,460","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BVM156HL"
"","","B0BZ7BJYNL","TheWarmHome Storage Bins for Shelves - 13.8L9.8W6.7H inch 3 Pack Medium Collapsible Storage Baskets for Organizing | Fabric Storage Cubes for Linen Closet Toy Home (White&Grey)","TheWarmHome","$26.99","5,487","330","$148,094","07/14/2023","","4.6","18,596","","1,398","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BZ7BJYNL"
"","","B0C33MJHL3","4 PCS Linen Storage Baskets with Metal Frame, Shelf Organizer Bins, Fabric Baskets Foldable Storage Bin, Closet Organizers and Storage, Storage Basket for Organizing Wardrobe, Shelves, Bedroom","","$25.99","300","10","$7,797","06/20/2023","","4.6","15","","87,705","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0C33MJHL3"
"","","B0CM5FL5DS","4 Pack Large Storage Baskets for Shelves | Fabric Closet Organizers and Storage Bins with Handles for Home Organization | Decorative Collapsible Baskets for Organizing Clothes Toy Nursery(14'x10'x9.5'","Criusia","$24.99","1,010","26","$25,240","12/15/2023","$8.88","4.9","31","$16.11","35,631","7","FBA","1","Home & Kitchen","Oversize","10 x 9.5 x 14 in","2.43 lb","https://www.amazon.com/dp/B0CM5FL5DS"
"","","B0BW11TGH2","OrganiHaus Large Fabric Storage Baskets for Shelves 3 Pack | 15x11in Closet Storage Bins for Shelves | Cloth Baskets for Organizing | Linen Closet Organizers | Fabric Basket - Gray/White","OrganiHaus","$32.99","6,411","179","$211,499","05/24/2023","","4.7","810","","3,597","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BW11TGH2"
