"Export time:  2/5/2024, 12:59:34 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07JJCHNH2","Amazon Basics 6-Tier Hanging Shelf Closet Storage Organizer with Removable Drawers, Grey, 6.9'D x 13.6'W x 12.2'H","Amazon Basics","$24.98","","","","01/05/2020","$14.20","4.4","6,712","$10.78","4,021","6","AMZ","10","Our Brands","Standard","13.1 x 14.7 x 3.8 in","4.5 lb","https://www.amazon.com/dp/B07JJCHNH2"
"closet storage","","B0BZCTXKPZ","Vtopmart 4 Pack Large Stackable Storage Drawers,Clear Acrylic Drawer Organizers with Handles, Easily Assemble for Bathroom,Kitchen Undersink,Cabinet,Closet,Makeup,Pantry organization and Storage","Vtopmart","$34.99","14,218","393","$497,488","03/22/2023","$21.51","4.6","308","$13.48","1,042","6","FBA","6","Home & Kitchen","Standard","7.5 x 7 x 12 in","9.81 lb","https://www.amazon.com/dp/B0BZCTXKPZ"
"Average Monthly Sales: 6,224","","B097PVKRYM","SEE SPRING Large 12 Pack Shoe Storage Box, Clear Plastic Stackable Shoe Organizer for Closet, Space Saving Foldable Shoe Rack Sneaker Container Bin Holder","SEE SPRING","$39.99","24,893","748","$995,471","06/21/2021","$26.36","4.2","24,438","$13.63","313","7","FBA","4","Home & Kitchen","Standard","13.7 x 15.24 x 4.41 in","7.39 lb","https://www.amazon.com/dp/B097PVKRYM"
"Average Revenue: $212,257","","B0C69J13Y7","KOKOIN Magnetic Acrylic Clear Shoe Boxes  360 Clear Plastic Stackable Sneaker Storage Box shoe Display Box Professional Grade Shoe Display Case, Shoe Organizer for Closet (Transparent 6pc)","KOKOIN","$69.99","90","3","$6,299","","","4.4","461","","248,173","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0C69J13Y7"
"Average Price: $42.88","","B0BNKYX83H","Gsiekare 4 Pack Stackable Plastic Storage Bins with Lid, 18 Qt Foldable Closet Organizers, Storage Drawers for Clothes Toys","Gsiekare","$29.97","3,070","121","$92,008","11/28/2022","$17.54","3.8","696","$12.43","6,194","7","FBA","2","Home & Kitchen","Standard","10.63 x 6.18 x 17.4 in","1 lb","https://www.amazon.com/dp/B0BNKYX83H"
"Average No. of Ratings: 8,388","","B0CGZ9ZK4Z","4 Tier Collapsible Storage Bins with Wheels and Lids - 23QT Stackable Closet Organizers, Foldable Plastic Containers for Home, Office, Dorm Room","Wise Oannes","$49.99","6,099","152","$304,889","08/30/2023","$33.96","4.3","169","$16.03","4,540","7","FBA","4","Home & Kitchen","Standard","11.34 x 7.8 x 17.24 in","7.8 lb","https://www.amazon.com/dp/B0CGZ9ZK4Z"
"Average Sales Rank: 27,337","","B0CHVKCWS7","4 Pack Folding Closet Organizers Storage Box, Stackable Plastic Storage Basket, Closet Organizers and Storage Drawer Shelf Storage, Storage Container for Cupboard Kitchen Bathroom Bedroom (4L) White","caktraie","$24.99","2,640","88","$65,974","09/11/2023","$9.26","4.8","44","$15.73","9,206","6","FBA","1","Home & Kitchen","Standard","5 x 5 x 5 in","6.58 lb","https://www.amazon.com/dp/B0CHVKCWS7"
"Average Rating Number: 4.4","","B08RJH86MC","GRANNY SAYS 5-Shelf Hanging Closet Organizers and Storage, Hanging Shelves for Closet Storage, Collapsible Hanging Shelf Organizer for Clothes Organization, Beige, 12 ' D X 12 ' W X 45 ' H","GRANNY SAYS","$15.99","3,942","36","$63,033","02/08/2021","$7.16","4.6","2,126","$8.83","25,592","6","FBA","1","Home & Kitchen","Standard","12.9 x 2.7 x 12.9 in","1.739 lb","https://www.amazon.com/dp/B08RJH86MC"
"","","B09Y5NZ4YZ","CubesLand Woven Basket for Organizing/Storage,Cube Shelf Closet Storage Baskets Bins Set 3,Long-Lasting &Skin-Friendly Toy Storage Basket Bin,Stylish Room Decor Basket,Woven Cotton Rope Cute Basket","CubesLand","$31.99","1,341","46","$42,899","01/03/2023","$20.16","4.6","828","$11.83","19,651","6","FBA","1","Home & Kitchen","Standard","8.74 x 17.68 x 4.84 in","3.419 lb","https://www.amazon.com/dp/B09Y5NZ4YZ"
"","","B0BNL1Y5FM","Vailando 6-Shelf Hanging Closet Organizer, Hanging Shelves for Closet with 2 Large Drawer&1 Drawer w/Compartment, 12'' x 12'' x 48.8'', Baby Organizer for Nursery","Vailando","$29.99","1,530","51","$45,885","11/28/2022","","4.5","84","","17,747","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BNL1Y5FM"
"","","B0BRQ9XVPC","Volnamal Legging Organizer for Closet, Metal Yoga Pants Hanger w/Rubber Coated 2 Pack w/10 Clips Hold 20 Leggings, Hangers Space Saving Hanging Closet Organizer for Closet Organizers and Storage-Grey","Volnamal","$15.99","7,953","265","$127,168","01/04/2023","","4.4","828","","1,995","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BRQ9XVPC"
"","","B0B825RMNF","CTSNSLH 4 Pack Folding Closet Organizers Storage Box, Stackable Plastic Drawer Basket for Clothing(White)","CTSNSLH","$37.99","4,708","77","$178,857","07/28/2022","","4.4","775","","10,933","7","FBA","5","Home & Kitchen","","","","https://www.amazon.com/dp/B0B825RMNF"
