"Export time:  2/1/2024, 1:47:19 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B096VQF9FR","Fobule 48 Wall Mounted Clothes Rack, Industrial Pipe Black Iron Garment Bar, Heavy-Duty Detachable Clothing Rod, Multi-Purpose Metal Wall display Hanging Pole for Closet Storage, Laundry Room 2 Base","Fobule","$37.99","267","6","$10,143","06/07/2021","$21.83","4.4","199","$16.16","139,136","7","FBA","1","Home & Kitchen","Oversize","22.8 x 2.8 x 3.5 in","4.04 lb","https://www.amazon.com/dp/B096VQF9FR"
"clothing display","","B0CFF1HNT1","Simple Houseware Clothing Garment Rack With Shelve, Black","Simple Houseware","$39.87","60","2","$2,392","","","","","","301,094","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0CFF1HNT1"
"Average Monthly Sales: 1,090","","B0CJ6TJQH3","hanvate Adjustable T Shirt Display Child for Vendors,Flexible Shirt Rack Shoulder Stand, Portable Hanging Black Metal Clothes Display, Hanger Rack for Clothing Dress Garment Coat Retail","hanvate","$20.99","90","3","$1,889","09/15/2023","","5","2","","296,524","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CJ6TJQH3"
"Average Revenue: $33,314","","B0CNYRMB4D","2 Pcs Adjustable T Shirt Display Adult/Child Flexible Shoulder Stand Shirt Rack for Vendors, Portable Hanging Metal Clothing Display, Garment Hanger Rack Coat Holder for Retail -31.5 Inch Height","Ketofa","$34.99","129","5","$4,514","11/24/2023","","4.5","2","","172,905","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CNYRMB4D"
"Average Price: $45.72","","B0CP7VF7J1","GIPOBUY T Shirt Display Stand Clothing Display Rack, Portable Adjustable Pant Shirt Rack Jersey Hanger Stand, Shoulder Stand For Retail, Boutique, Vendors, Trade Shows, Store, Events (Non-Heavy Duty)","GIPOBUY","$29.99","60","2","$1,799","11/29/2023","","","","","326,254","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CP7VF7J1"
"Average No. of Ratings: 1,126","","B0B5DG6Q3H","JIUYOTREE Metal 43.3 Inches Garment Rack with Bottom Shelf Clothing Rack for Hanging Clothes Coats Skirts Shirts Sweaters Gold","JIUYOTREE","$22.97","12,212","386","$280,510","06/28/2022","","3.8","7,957","","1,077","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0B5DG6Q3H"
"Average Sales Rank: 235,795","","B08C5795MS","Finnhomy Rustic Clothes Rack, Clothing Rack for Hanging Clothes Heavy Duty Garment Rack with 5 Wood Shelves Freestanding Portable Closet Organizer for Bedroom/Entryway/BoutiquesMatte Black","Finnhomy","$69.99","343","10","$24,007","06/30/2020","$40.67","4.5","722","$29.32","94,677","7","FBA","5","Home & Kitchen","Oversize","15 x 4 x 35 in","26.85 lb","https://www.amazon.com/dp/B08C5795MS"
"Average Rating Number: 4.3","","B0C27C4WFL","Ripeng 2 Way Clothing Rack with Straight and Slant Arms Heavy Duty Clothes Rack Garment Rack for Retail Restaurants Storage Display, Adjustable from 48 Inch to 72 Inch (Black)","Ripeng","$78.99","90","3","$7,109","04/11/2023","","4.2","3","","298,195","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C27C4WFL"
"","","B0BYMY9GZ4","Qunclay Adjustable T Shirt Display Flexible Shoulder Stand Shirt Rack Portable Hanging Black Metal Clothes Hanger Rack for Clothing Garment Coat Retail Vendor, Height 16-27.9 Inch (2 Pcs)","Qunclay","$35.99","614","26","$22,098","03/15/2023","","4","61","","36,125","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BYMY9GZ4"
"","","B0CJPX9R4W","Adjustable Adult T Shirt Display Flexible Shoulder Stand 2 Pcs, Portable Hanging Clothing Display Rack Garment Coat Holder for Retail Vendor, Metal Clothing Display Rack, Height 17.3-31.3 Inch","Bsenogou","$34.99","50","2","$1,750","09/23/2023","$24.44","","","$10.55","411,895","7","FBA","1","Home & Kitchen","Standard","1 x 1 x 10 in","2.53 lb","https://www.amazon.com/dp/B0CJPX9R4W"
"","","B0CFXQ1BS4","ikloo Clothing Rack with Wheels for Hanging Clothes | Extendable and Adjustable Garment Racks | Freestanding Rolling Closet Laundry Racks for Drying | Portable Clothes Organizer with Shelves | Chrome","ikloo","$29.99","","","$0.00","08/21/2023","","5","10","","1,010,999","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CFXQ1BS4"
"","","B0B93TC1Z8","Smlttel Gold Clothing Rack With Shelves, Gold Coat Rack Freestanding with Marble Base, Coat Hanger Rack,Hat Tree Coat Rack Standing Clothes Racks for BoutiqueBedroom","Smlttel","$95.99","180","6","$17,278","08/30/2022","","4.5","192","","148,441","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0B93TC1Z8"
"","","B0BYJSJS56","Aolohomy Metal Coat Rack, Modern Clothing Tree with Heavy-weight Slate Base, Small Coat Stand for Entryway/Bedroom/Hallway, Standing Plant Hanger, Matte Black","Aolohomy","$66.99","135","4","$9,044","03/14/2023","","3.8","89","","202,718","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0BYJSJS56"
"","","B0CGX6BBW8","cenryusa Adjustable T-Shirt Display Flexible Shoulder Stand Metal Clothes Hanger, Black, 16-28 Inches","cenryusa","$19.99","88","5","$1,759","08/29/2023","","3.4","3","","158,351","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CGX6BBW8"
"","","B0BN2YN2JN","Metal Body Shape Clothing Display Hangers with Adjustable Waist and Arms, Female Mannequin Torso for Retail Boutique Photography Show, Fashionable Dress Form to Hang Coat Jackets Sweater Tops","ZOUXIKOU","$79.99","30","1","$2,400","01/08/2023","","4.2","5","","103,564","6","FBA","1","Industrial & Scientific","","","","https://www.amazon.com/dp/B0BN2YN2JN"
"","","B0CJQV59ZP","Hlimior 4 Pack Adjustable T Shirt Display Flexible Shoulder StandPortable T Shirt Display Stand for Clothing Garment Coat Retail VendorShirt RackMetal Clothing Display Rack,17.3 x 31.3 Inch","Hlimior","$49.99","188","12","$9,398","11/04/2023","","3.5","5","","75,525","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CJQV59ZP"
"","","B0B8ZGRQG1","Sywhitta Clothes Rack on wheels, Clothing Rack with Bottom Mesh Storage Shelf,Sturdy Metal Frame,Rolling Garment Rack for Hanging Clothes,Coats,Skirts,39.76' L x 16' W x 64.56' H,Golden","Sywhitta","$28.99","2,924","89","$84,767","12/21/2022","","4.2","878","","9,138","6","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0B8ZGRQG1"
"","","B0CH85T94G","purplemaple Adjustable T-Shirt Display Stand - Portable Black Metal Clothes Hanger Rack for Shirts, Coats, and Garments - Ideal for Retail Vendors","purplemaple","$33.99","30","1","$1,020","09/05/2023","$11.21","4.6","6","$22.78","547,531","6","FBA","1","Home & Kitchen","Oversize","16 x 28 x 7.4 in","1.6 lb","https://www.amazon.com/dp/B0CH85T94G"
"","","B00V9FN8LI","STORAGE MANIAC Hanging Closet Rod, Adjustable Width and Height Closet Hanging Organizer, Space-Saving Clothes Hanging Bar, Closet Extender Hanging Rod Double Closet Hanging Rod, 2 Pack Chrome","STORAGE MANIAC","$28.99","1,677","46","$48,616","06/21/2016","$13.42","4.4","4,033","$15.57","19,484","6","FBA","1","Home & Kitchen","Oversize","16.93 x 0.04 x 28.74 in","2.9 lb","https://www.amazon.com/dp/B00V9FN8LI"
"","","B09P7FZ5SD","MDEPYCO Industrial Vintage Pipe Wall Mounted Towel Clothing Hanging Shelves System,Laundry Room Type E Storage Rod,Metal Garment Rack for Clothes Retail Display Stand (47' L x 11.8' D, Gold)","MDEPYCO","$41.00","30","1","$1,230","07/05/2021","$24.01","4.3","9","$16.99","539,207","7","FBA","1","Home & Kitchen","Oversize","5 x 21 x 3 in","5.3 lb","https://www.amazon.com/dp/B09P7FZ5SD"
"","","B07K1KW2F6","SSWBasics Adjustable Black Costumer - Showcase Single Outfits - 48' to 72' Height - 25lb Capacity - Ideal for Thrift Shops and Large Retail Stores","SSWBasics","$55.00","287","9","$15,785","10/29/2018","$39.87","4.7","275","$15.13","15,934","6","FBA","1","Industrial & Scientific","Standard","4 x 4 x 4 in","10.8 lb","https://www.amazon.com/dp/B07K1KW2F6"
"","","B0CM9JDWJK","Menkxi 6 Pcs Wall Mounted Metal Garment Rack Black Clothes Rack with 5 Hanging Rings Clothing Organizer Bedroom Closet Retail Garment Display Hanger for Laundry Bedroom Bathroom Balcony Room","Menkxi","$36.99","30","1","$1,110","12/24/2023","","5","1","","510,093","","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CM9JDWJK"
