"Export time:  1/30/2024, 12:40:59 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08P2RK5DT","TreeLen Coffee K Cup Holder, K Pod Storage Organizer, Keurig Cup Holder for Countertops, Kcup Holders for 35 K cups  Matte Bronze","TreeLen","$24.69","904","25","$22,320","11/23/2020","$14.56","4.9","5,288","$10.13","11,242","6","FBA","4","Kitchen & Dining","Standard","7.126 x 7.52 x 7.992 in","1.541 lb","https://www.amazon.com/dp/B08P2RK5DT"
"coffee pod holders for counter","","B0BN71NWXG","Coffee Pod Holder - Large Capacity Black Wire Kup Storage with Wooden Base - Modern Coffee Basket Decor for Kitchen Countertop for Pods & Espresso Capsules","MosJos","$19.99","826","28","$16,512","11/22/2022","$11.85","4.8","402","$8.14","9,961","6","FBA","5","Kitchen & Dining","Standard","4.8 x 6 x 7.5 in","1.43 lb","https://www.amazon.com/dp/B0BN71NWXG"
"Average Monthly Sales: 1,081","","B07VHRHW51","Nifty Coffee Pod Drawer  Black Satin Finish, Compatible with K-Cups, 90 Pod Pack Capacity Rack, 5-Tier Holder, XXL Storage, Stylish Home or Office Kitchen Counter Organizer","Nifty Solutions","$38.99","2,372","60","$92,484","07/16/2019","$25.21","4.8","5,233","$13.78","4,213","6","FBA","2","Kitchen & Dining","Standard","7 x 13.2 x 12.8 in","7.76 lb","https://www.amazon.com/dp/B07VHRHW51"
"Average Revenue: $23,721","","B07ZRZ7HW9","Coffee Pod Holder for Counter, K-cup Coffee Station for Keurig Pods - Coffee Bar Accessories - Caddy Dispenser with Sliding Drawer for Kitchen Organizer - Holds 36 Cups | The Mesh Collection, Black","Mindspace","$24.97","300","10","$7,491","10/29/2019","$14.49","4.6","1,073","$10.48","27,644","7","FBA","1","Kitchen & Dining","Standard","12.677 x 13.622 x 3.504 in","4.134 lb","https://www.amazon.com/dp/B07ZRZ7HW9"
"Average Price: $25.08","","B07DBCCBHL","K Cups Holder,K Cup Carousel, Coffee Pods Storage Organizer Stand,Comes All in One Piece,No Assembly Required,1 Count,Black (Capacity of 40 Pods, Black)","BLACKSMITH FAMILY","$22.97","11,741","314","$269,691","07/09/2018","$13.09","4.9","15,609","$9.88","416","7","FBA","2","Kitchen & Dining","Standard","6.13 x 13.13 x 6.13 in","2.6 lb","https://www.amazon.com/dp/B07DBCCBHL"
"Average No. of Ratings: 3,410","","B0C6F45VJ9","Coffee Pod Holders for Counter - K Cup Holders for Counter - Coffee Pods Storage Organizer - Coffee Bar Accessories - Large Capacity Black Wire Kup Storage with Wooden Base.","BYTEAIDREX","$15.99","1,797","56","$28,734","07/05/2023","$9.07","4.9","189","$6.92","4,575","7","FBA","1","Kitchen & Dining","Standard","6.45 x 6.85 x 6.9 in","15.7 oz","https://www.amazon.com/dp/B0C6F45VJ9"
"Average Sales Rank: 61,412","","B09B36C3D9","QUTHZZHY Coffee Pod Holder for K Cups, Coffee Capsule Holder, K Cup Holders for Counter, Coffee Pod Storage Organizer, Kpod Container","QUTHZZHY","$15.99","193","6","$3,086","07/22/2021","$9.82","4.5","189","$6.17","41,356","7","FBA","1","Kitchen & Dining","Standard","5 x 6 x 5 in","10.1 oz","https://www.amazon.com/dp/B09B36C3D9"
"Average Rating Number: 4.6","","B08P2T8T4Q","TreeLen K Cup Holder Coffee Pod Holders for 35 Kcups Keurig Storage Organizer Coffee Bar Accessories for Counter - Matte Black","TreeLen","$24.69","871","25","$21,505","11/23/2020","$17.22","4.9","5,288","$7.47","11,242","6","FBA","1","Kitchen & Dining","Standard","7.126 x 7.52 x 7.992 in","0.507 lb","https://www.amazon.com/dp/B08P2T8T4Q"
"","","B0BLV1CHDF","Coffee Pod Holder For Counter, Coffee Pod Drawer for K Cup Storage Drawer Holder, 72 Capacity Pods Storage Organizer for K Cups Capsule Storage with Sliding Baskets for Coffee Station, Brown","NANANARDOSO","$35.99","1,329","43","$47,831","11/08/2022","","4.6","1,248","","6,200","7","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0BLV1CHDF"
"","","B09QG127YY","ITHSKUILL Coffee Pod Holder,Large Capacity K Cup Holder,K Cup Organizer for Kitchen Countertop,Coffee Bar Accessories,Pod Holder for Keuring Espresso Capsule Coffee Creamer","ITHSKUILL","$22.99","456","13","$10,483","01/13/2022","$15.02","4.8","938","$7.97","21,170","7","FBA","1","Kitchen & Dining","Standard","6.9 x 7.2 x 6.9 in","14.4 oz","https://www.amazon.com/dp/B09QG127YY"
"","","B09DZVRJR9","Coffee Pod Holder For Counter, Coffee Pod Drawer for K Cup Storage Drawer Holder, 72 Capacity Pods Storage Organizer for K Cups Capsule Storage with Sliding Baskets for Coffee Station, Black","NANANARDOSO","$35.99","1,304","43","$46,931","08/29/2021","$22.66","4.6","1,248","$13.33","6,200","7","FBA","4","Kitchen & Dining","Standard","12.8 x 6.5 x 13.4 in","6.58 lb","https://www.amazon.com/dp/B09DZVRJR9"
