"Export time:  1/29/2024, 12:58:41 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07TTCSBZW","Amazon Basics Collapsible Fabric Storage Cubes with Oval Grommets - 6-Pack, Trellis","Amazon Basics","$19.68","","","","12/18/2019","$7.79","4.8","2,114","$11.89","620","6","AMZ","5","Our Brands","Oversize","10.5 x 11 x 10.5 in","15 oz","https://www.amazon.com/dp/B07TTCSBZW"
"collapsible desk organizer","","B08HGPNCVT","Deli Collapsible Magazine File Holder, Desk Organizer Document Folder for Office Organization and Storage, 4 Vertical Compartments, Gray","deli","$21.99","145","4","$3,189","10/06/2020","$12.90","4.6","651","$9.09","49,054","6","FBA","2","Office Products","Standard","11.46 x 12.2 x 2.64 in","2.271 lb","https://www.amazon.com/dp/B08HGPNCVT"
"Average Monthly Sales: 896","","B0CLXWXPQH","FACULX 6 Pack Pastel Crates, Small Crates for Storage Foldable Collapsible Organizing Storage Crates for Bedroom Decor Classroom Supplies Office Kitchen Home(9.1 x 6.1 x 3.7 inches)","FACULX","$19.99","68","3","$1,359","11/07/2023","$11.85","3.5","2","$8.14","59,989","6","FBA","1","Office Products","Standard","5.8 x 3.4 x 8.6 in","1.58 lb","https://www.amazon.com/dp/B0CLXWXPQH"
"Average Revenue: $31,601","","B07ZVQ2DW3","Leven/Deli Collapsible Magazine File Holder/Desk Organizer for Office Organization and Storage with 3 Vertical Compartments,Polystyrene ,Light Gray","Leven","$16.98","2,182","70","$37,050","05/26/2019","$3.21","4.7","3,528","$13.77","3,341","6","FBA","1","Office Products","Oversize","9.84 x 9.56 x 10 in","1.72 lb","https://www.amazon.com/dp/B07ZVQ2DW3"
"Average Price: $26.19","","B09SBBRW6G","MONKISS 5-Pack Mini Baskets Plastic for Desk Organizers, Collapsible Crate Stacking Folding Storage Baskets for Home Kitchen Bedroom Bathroom Office (9.8' x 6.5' x 3.8')","MONKISS","$20.48","454","4","$9,298","02/10/2022","$12.27","4.6","222","$8.21","57,362","7","FBA","1","Office Products","Standard","3.8 x 9.8 x 6.5 in","1 lb","https://www.amazon.com/dp/B09SBBRW6G"
"Average No. of Ratings: 983","","B09P17GCX8","Weraher Plastic Storage Baskets for Desk Organizing, Office Drawer Organizer, 2 Medium+2 Small Durable Folding Storage Crate for Home Kitchen Classroom Office Bedroom and Bathroom Storage (Blue)","Weraher","$13.99","609","18","$8,520","12/21/2021","$8.35","4.6","400","$5.64","51,771","7","FBA","1","Home & Kitchen","Standard","6.7 x 3.9 x 10 in","1.45 oz","https://www.amazon.com/dp/B09P17GCX8"
"Average Sales Rank: 73,696","","B088PW8S1P","Leven/Deli High Impact Polystyrene Collapsible Magazine File Holder/Desk Organizer for Office Organization and Storage with 4 Vertical Compartments Dark Gray","Leven","$19.98","2,259","70","$45,135","05/26/2019","$11.19","4.7","3,528","$8.79","3,341","6","FBA","3","Office Products","Standard","11.2 x 1.4 x 11.4 in","2.33 lb","https://www.amazon.com/dp/B088PW8S1P"
"Average Rating Number: 4.5","","B0BY8V2VMS","Makeup Organizer With 16 Drawers, 4 Pcs Desktop Office Supplies, Desk Organizers, Clear Desk Accessories, Dustproof Drawer Storage for Make Up, Jewelry, Pen, Stationary","caktraie","$39.99","4,205","106","$168,158","03/12/2023","$19.73","4.7","527","$20.26","2,012","7","FBA","5","Office Products","Oversize","9.84 x 28.29 x 7 in","2.2 lb","https://www.amazon.com/dp/B0BY8V2VMS"
"","","B06ZZY3YBV","SimpleHouseware Mesh Desk Organizer with Sliding Drawer, Double Tray and 5 Stacking Sorter Sections, Black","Simple Houseware","$24.97","218","10","$5,443","04/18/2017","$13.89","4.6","10,158","$11.08","22,707","6","FBA","2","Office Products","Standard","9.4 x 6.7 x 13.4 in","4.85 lb","https://www.amazon.com/dp/B06ZZY3YBV"
"","","B08573PYQ7","Simple Houseware Drawer Organizer Tray with 9 Adjustable Compartments, Black","Simple Houseware","$13.87","3,441","109","$47,727","02/25/2020","$8.02","4.7","2,708","$5.85","1,955","5","FBA","1","Office Products","Standard","12.01 x 1.97 x 9.06 in","12 oz","https://www.amazon.com/dp/B08573PYQ7"
