"Export time:  1/31/2024, 10:43:53 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B071225BBS","Amazon Basics Collapsible Fabric Storage Cubes Organizer with Handles, 10.5'x10.5'x11', Pack of 6, Gray","Amazon Basics","$18.90","","","","11/13/2017","$9.04","4.7","99,890","$9.86","192","6","AMZ","6","Our Brands","Standard","11.024 x 11.772 x 4.449 in","5.468 lb","https://www.amazon.com/dp/B071225BBS"
"collapsible storage bins","","B0CBM5QY1T","OlarHike 48QT Storage Bins with Lids - Folding Storage box with Doors and Wheels, Collapsible Plastic Storage Bins for Closets, Stackable Storage Organizer, Storage Containers for Closet, 3 Pack Cubes","OlarHike","$99.99","1,290","43","$128,987","","","4.4","153","","21,369","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0CBM5QY1T"
"Average Monthly Sales: 3,734","","B085ZV98JM","90L Large Storage Bags, 6 Pack Clothes Storage Bins Foldable Closet Organizers Storage Containers with Durable Handle for Clothing, Blanket, Comforters, Bed Sheets, Pillows and Toys (Gray)","Budding Joy","$24.99","53,912","1,332","$1.35M","03/16/2020","$13.31","4.3","44,641","$11.68","92","6","FBA","4","Home & Kitchen","Standard","11.54 x 14.45 x 6.77 in","2.69 lb","https://www.amazon.com/dp/B085ZV98JM"
"Average Revenue: $177,756","","B078WP8YQH","CleverMade Collapsible Storage Bin (With Lid), Charcoal, 3PK - 46L (12 Gal) Folding Plastic Stackable Utility Crates, Holds 75lbs Per Bin - Solid Wall CleverCrates for Organizing, Storage, Moving","CleverMade","$69.99","726","31","$50,813","01/09/2018","$44.09","4.5","3,450","$25.90","29,899","7","AMZ","10","Home & Kitchen","Oversize","14.5 x 8 x 20.7 in","12.5 lb","https://www.amazon.com/dp/B078WP8YQH"
"Average Price: $68.16","","B0CHRNM2YF","4 Tier Plastic Storage Bins and Boxes Organizer - Stackable with Lids for Bedroom, Living Room, Kitchen, Office - Foldable Containers","CTSNSLH","$38.99","12,180","323","$474,898","09/10/2023","$14.57","4.5","1,874","$24.42","1,452","7","FBA","2","Home & Kitchen","Oversize","10.95 x 7.4 x 17.06 in","3.57 kg","https://www.amazon.com/dp/B0CHRNM2YF"
"Average No. of Ratings: 3,794","","B0BXC1LBNK","Homeforce Collapsible Plastic Storage Containers 3PACK 69 Gal - Stackable Storage Bins with Lids and Wheels, Closet Organizers and Storage, Foldable Storage Box for Dorm Bedroom Organizing,Blue","Homeforce","$95.99","433","15","$41,564","03/05/2023","$58.97","4.5","110","$37.02","61,018","7","FBA","2","Home & Kitchen","Oversize","16.5 x 13 x 23.6 in","21.1 lb","https://www.amazon.com/dp/B0BXC1LBNK"
"Average Sales Rank: 74,690","","B015PIRBDU","CleverMade Collapsible Storage Bin, Royal Blue, 3PK - 32L (8 Gal) Stackable Storage Containers, Holds 66lbs Per Bin - Plastic Storage Bins for Organizing, Closet Storage, Garage Storage","CleverMade","$39.18","860","28","$33,695","09/08/2015","$12.14","4.7","4,338","$27.04","33,043","7","AMZ","1","Home & Kitchen","Oversize","15 x 9 x 21.5 in","3.5 lb","https://www.amazon.com/dp/B015PIRBDU"
"Average Rating Number: 4.5","","B0CGZSL791","Kmiectse 102 QT Large Storage Bins with Lid, Plastic Storage Organizer for Living Room Bedroom, Foldable Stackable Toy Storage, Storage Containers for House Organizing, 4 Tier","Kmiectse","$149.99","750","25","$112,493","08/30/2023","","4","10","","37,757","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CGZSL791"
"","","B0B4G4X43M","HAIXIN Storage Bins with Lids, Collapsible Storage Bins, Wardrobe Closet Organizer, 19 Gal Stackable Toy Storage, Foldable Plastic Storage Container with Door, Crate for Book Storage (3 Pack)","HAIXIN","$199.99","8,656","319","$1.73M","07/28/2022","$106.22","4.5","3,507","$93.77","1,482","6","FBA","2","Home & Kitchen","Oversize","15 x 43 x 25 in","14 lb","https://www.amazon.com/dp/B0B4G4X43M"
"","","B07FB3NJRP","Posprica 3X Thicker Fabric Storage Cubes 13 inch Collapsible Storage Bins for Organization, Cubby Storage Baskets for Organizing Shelf Cabinet Bookcase Boxes, Set of 4, Sliver Grey","Posprica","$34.99","2,832","90","$99,092","11/29/2016","$21.51","4.8","11,022","$13.48","8,963","6","FBA","3","Home & Kitchen","Standard","13.4 x 13.4 x 4.5 in","9.101 lb","https://www.amazon.com/dp/B07FB3NJRP"
