"Export time:  2/4/2024, 11:40:46 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CDPS2WL5","Famyards Acrylic Display Risers, Perfume Stand Organizer 3 Tiered Cupcake Stand Black Acrylic Display Stands Shelf Risers for Amiibo Funko POP Figures Food Desserts Holder Collection Cosmetic Toys","Famyards","$11.99","189","5","$2,266","08/03/2023","$6.03","4","42","$5.96","28,595","7","FBA","1","Industrial & Scientific","Standard","3.7 x 1.89 x 9.8 in","14.07 oz","https://www.amazon.com/dp/B0CDPS2WL5"
"cologne organizer","","B01LYTW60X","Uncluttered Designs Large Black Vanity Organizer - Countertop Mens Organizer With Drawers for Cologne, Deodorant, Beard, Shaving Lotion, Perfume & Skincare - Perfect for Bathroom & Bedroom Storage","Uncluttered Designs","$29.99","475","23","$14,245","12/05/2016","$19.06","4.5","9,748","$10.93","23,513","6","FBA","1","Beauty & Personal Care","Standard","7.244 x 11.614 x 5.591 in","0.904 lb","https://www.amazon.com/dp/B01LYTW60X"
"Average Monthly Sales: 1,050","","B0BZ7XTHBJ","Sephyroth Wooden Cologne Organizer for Men 3 Tier of Elevated Cologne Display Shelf with Drawer Storage Perfume Organization and Storage Display Risers,Great Gift for Man(Walnut Black)","Sephyroth","$42.98","1,211","38","$52,049","05/09/2023","$28.90","4.6","195","$14.08","24,034","7","FBA","1","Home & Kitchen","Standard","8.6 x 4.1 x 12.6 in","1.5 kg","https://www.amazon.com/dp/B0BZ7XTHBJ"
"Average Revenue: $28,151","","B0CGCZQBVN","Wooden Cologne Organizer for Men 3-4 Tier | Designed Gift Box and Bottom Filled Perfume Travel Bottle | Large Cologne Stand Display Shelf | Long Matt Black Perfume Storage | Cologne Holder Tray","SeLuM","$39.99","150","5","$5,999","08/22/2023","","4.2","5","","175,067","5","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CGCZQBVN"
"Average Price: $28.92","","B0BZ7ZK3K8","Sephyroth 3 Tier Wooden Cologne Organizer for Men - Elevated Display Shelf with Drawer Storage for Perfumes, Great Gift for Man (Black Walnut)","Sephyroth","$42.98","1,205","38","$51,791","05/09/2023","$28.90","4.6","195","$14.08","24,034","7","FBA","1","Home & Kitchen","Standard","8.6 x 4.1 x 12.6 in","1.43 kg","https://www.amazon.com/dp/B0BZ7ZK3K8"
"Average No. of Ratings: 1,015","","B0C1YLFYZR","upcessory Cologne Organizer for Men, 3 Tier Wood Perfume Organizer with Felt Lining Drawer and Hidden Compartment, Perfume Display Holder, A Great Gift for Men - Black","upcessory","$42.99","425","12","$18,271","04/09/2023","$29.81","4.7","67","$13.18","78,770","7","FBA","2","Home & Kitchen","Standard","10 x 4.5 x 12.9 in","3.27 lb","https://www.amazon.com/dp/B0C1YLFYZR"
"Average Sales Rank: 186,301","","B0C5CLJHG3","Cologne Organizer for Men Valentine's Day Gift 3 Tier Cologne Stand with Drawer and Hidden Compartment Cologne Holder for Men, Wood, Cologne Shelf for Men Gift Perfume Mens Cologne Tray","Iswabard","$32.89","440","12","$14,472","05/15/2023","$21.53","4.6","85","$11.36","40,113","6","FBA","1","Beauty & Personal Care","Standard","8.85 x 3.93 x 12.6 in","2 lb","https://www.amazon.com/dp/B0C5CLJHG3"
"Average Rating Number: 4.5","","B0CHWL79JB","360 Rotating Makeup Organizer, Spinning Bathroom Organizer Countertop, Makeup Organizer for Vanity, Large Capacity Make up Caddy Shelf, Fits Cosmetics, Perfume, Skin Care, Lipsticks (2 Tiers, Green)","Vemoky","$20.99","330","11","$6,927","","","4.6","30","","42,270","","FBA","","Beauty & Personal Care","","","","https://www.amazon.com/dp/B0CHWL79JB"
"","","B07KN5G9CQ","NIUBEE 2 Set Acrylic Risers Display for Funko POP Figures,Clear Cake Stands for Candy Dessert Table Decorations-3'x4'x5'","NIUBEE","$19.98","743","20","$14,845","11/16/2018","$11.84","4.6","2,312","$8.14","46,336","6","FBA","1","Home & Kitchen","Standard","4 x 3 x 5 in","1 lb","https://www.amazon.com/dp/B07KN5G9CQ"
"","","B0BJQNBGPF","ACRYLISH (9*6 inch Display Shelf, 4 Tier Acrylic Display Riser, Perfume Organizer, Compatible with Funko Pop Figures, Display shelf for collectibles, 2 Pack Acrylic Display for Decoration & Organizer","ACRYLISH","$15.99","248","6","$3,966","01/07/2023","","4.2","57","","147,732","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BJQNBGPF"
"","","B098N8LDST","Acrylic Display Risers,Clear Display Risers Stand Small Mini Shelf 3 Tiered Cupcake Stand for Food Desserts Stand Perfume Organizer Toys Collections Cosmetic Products Tabletop Use (9 x 8 x 6 Inch)","AZEAM","$9.95","939","37","$9,343","09/06/2021","$3.94","4.3","698","$6.01","24,613","7","FBA","1","Home & Kitchen","Standard","8.189 x 10.669 x 1.26 in","0.756 lb","https://www.amazon.com/dp/B098N8LDST"
"","","B0CKMVJYYS","Decolore Vintage Wooden Cologne Organizer for Men 3 Tier Cologne Display Shelf with Drawer and Hidden Compartment for Organizing and Storing Colognes, Key, Jewelry","Decolore","$28.99","357","13","$10,349","11/20/2023","","4.4","46","","69,260","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CKMVJYYS"
"","","B0BSD76DDV","NiHome Acrylic Perfume Display Organizer, 2-Tier Cologne Organizer, Makeup Holder with Self-Adhesive Rhinestone Ribbon,Handmade Vanity Storage Versatile Countertop Tray for Cosmetics Toiletries(Grey)","NiHome","$19.99","169","13","$3,378","01/14/2023","$11.85","4","17","$8.14","70,000","7","FBA","1","Home & Kitchen","Standard","9.69 x 1.38 x 14.84 in","1.26 lb","https://www.amazon.com/dp/B0BSD76DDV"
"","","B0C8PB3YYQ","Acrylic Cologne Organizer for Men, Perfume Display Shelf,Perfume Stand with Drawer for Mens Room Essentials,Watch,Accessories, Mens Organizer Station for Dresser,Beside,Night Stand,Best Gifts For Men","FOLUODRAY","$39.99","60","2","$2,399","06/19/2023","$27.56","4.9","14","$12.43","358,091","7","FBA","1","Home & Kitchen","Standard","9 x 3.8 x 12.5 in","2 lb","https://www.amazon.com/dp/B0C8PB3YYQ"
"","","B0C5ZQGNKJ","MOCAS Cologne Organizer for Men 3 Tier Cologne Stand Cologne Holder with 2 Hidden Compartment, Wooden Perfume Organizer Cologne Display Shelf, Perfume Holder, Dresser Organizer, Ideal Gift for Men","MOCAS","$37.99","122","7","$4,635","05/22/2023","$26.50","4.4","33","$11.49","119,623","7","FBA","1","Home & Kitchen","Standard","15 x 2.9 x 9.4 in","2.84 lb","https://www.amazon.com/dp/B0C5ZQGNKJ"
"","","B0CKBKSDYP","Nidnest Cologne Organizer for Men | 3 Tier Wooden Perfume Organizer With a Drawer and Hidden Compartments, Perfume Stand and Display Shelf, Bathroom Countertop Organizer, Perfume Holder, Black","Nidnest","$36.99","180","6","$6,658","10/02/2023","$30.26","","","$6.73","155,701","7","FBA","1","Home & Kitchen","Standard","9.3 x 3.55 x 12.6 in","3.64 lb","https://www.amazon.com/dp/B0CKBKSDYP"
