"Export time:  2/5/2024, 2:41:40 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B01LYTW60X","Uncluttered Designs Large Black Vanity Organizer - Countertop Mens Organizer With Drawers for Cologne, Deodorant, Beard, Shaving Lotion, Perfume & Skincare - Perfect for Bathroom & Bedroom Storage","Uncluttered Designs","$29.99","475","23","$14,245","12/05/2016","$19.06","4.5","9,748","$10.93","23,513","6","FBA","1","Beauty & Personal Care","Standard","7.244 x 11.614 x 5.591 in","0.904 lb","https://www.amazon.com/dp/B01LYTW60X"
"cologne organizer for men","","B09N97BBK8","Acrylic Risers Display Stands, 9 Perfume Organizer, Clear Diaplay Riser Shelf Compatible with Funko POPs Amiibo Nendoroids, Lotion Holder Cupcake Stand Shot Glass Display Tiered Table Shelf Stand","Kcrystenia","$15.79","1,559","44","$24,617","02/16/2022","$7.63","4.6","2,114","$8.16","20,650","7","FBA","1","Home & Kitchen","Standard","10 x 11.22 x 2.52 in","0.86 lb","https://www.amazon.com/dp/B09N97BBK8"
"Average Monthly Sales: 2,121","","B0CGCZQBVN","Wooden Cologne Organizer for Men 3-4 Tier | Designed Gift Box and Bottom Filled Perfume Travel Bottle | Large Cologne Stand Display Shelf | Long Matt Black Perfume Storage | Cologne Holder Tray","SeLuM","$39.99","150","5","$5,999","08/22/2023","","4.2","5","","175,067","5","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CGCZQBVN"
"Average Revenue: $54,436","","B0CKBKSDYP","Nidnest Cologne Organizer for Men | 3 Tier Wooden Perfume Organizer With a Drawer and Hidden Compartments, Perfume Stand and Display Shelf, Bathroom Countertop Organizer, Perfume Holder, Black","Nidnest","$36.99","180","6","$6,658","10/02/2023","$30.26","","","$6.73","155,701","7","FBA","1","Home & Kitchen","Standard","9.3 x 3.55 x 12.6 in","3.64 lb","https://www.amazon.com/dp/B0CKBKSDYP"
"Average Price: $30.22","","B0BZ7ZK3K8","Sephyroth 3 Tier Wooden Cologne Organizer for Men - Elevated Display Shelf with Drawer Storage for Perfumes, Great Gift for Man (Black Walnut)","Sephyroth","$42.98","1,205","38","$51,791","05/09/2023","$28.90","4.6","195","$14.08","24,034","7","FBA","1","Home & Kitchen","Standard","8.6 x 4.1 x 12.6 in","1.43 kg","https://www.amazon.com/dp/B0BZ7ZK3K8"
"Average No. of Ratings: 981","","B0C1YLFYZR","upcessory Cologne Organizer for Men, 3 Tier Wood Perfume Organizer with Felt Lining Drawer and Hidden Compartment, Perfume Display Holder, A Great Gift for Men - Black","upcessory","$42.99","425","12","$18,271","04/09/2023","$29.81","4.7","67","$13.18","78,770","7","FBA","2","Home & Kitchen","Standard","10 x 4.5 x 12.9 in","3.27 lb","https://www.amazon.com/dp/B0C1YLFYZR"
"Average Sales Rank: 249,462","","B0C5CLJHG3","Cologne Organizer for Men Valentine's Day Gift 3 Tier Cologne Stand with Drawer and Hidden Compartment Cologne Holder for Men, Wood, Cologne Shelf for Men Gift Perfume Mens Cologne Tray","Iswabard","$32.89","440","12","$14,472","05/15/2023","$21.53","4.6","85","$11.36","40,113","6","FBA","1","Beauty & Personal Care","Standard","8.85 x 3.93 x 12.6 in","2 lb","https://www.amazon.com/dp/B0C5CLJHG3"
"Average Rating Number: 4.5","","B0C3M76XCB","Wooden Cologne Organizer for Men, Perfume Organizer for Dresser, Cologne Stand with Hidden Storage and Drawer, Cologne Holder Tray Shelf, Fragrance Organizer Display Stand Rack, Gifts for Men","ONUEMP","$69.99","73","1","$5,109","04/25/2023","$52.76","4.6","34","$17.23","544,964","6","FBA","1","Home & Kitchen","Standard","12.6 x 5.1 x 9.4 in","3.76 lb","https://www.amazon.com/dp/B0C3M76XCB"
"","","B0BNPVSNGF","Cathyeen Cologne Organizer for Men Wood Perfume Organizer 4 Tiered Perfume Holder Stand with 3 Hidden Compartment Black","Cathyeen","$29.96","317","11","$9,497","11/30/2022","","4.4","107","","82,083","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BNPVSNGF"
"","","B0C5M4K6VR","upsimples Acrylic Riser Display Shelf, 4 Tier Perfume Organizer & Decoration, 9x6 in Makeup Organizer, Clear Display Stand for Funko Pop & Collection, Cupcake Holder, Cologne Stand,1 pack","upsimples","$10.99","1,280","4","$14,067","09/05/2023","","4.4","39","","194,626","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C5M4K6VR"
"","","B0BVQDGPJR","shuang qing Bathroom Counter Organizer Countertop Storage, Cosmetics Skincare Shelf Organizer, Makeup Organizer Perfume for Dresser Vanity Tray, Spice Rack Organizer for Kitchen(2 Tier-Green)","shuang qing","$25.99","2,772","71","$72,044","02/13/2023","$10.87","4.7","415","$15.12","12,105","7","FBA","1","Home & Kitchen","Oversize","6 x 8 x 18.5 in","1.96 lb","https://www.amazon.com/dp/B0BVQDGPJR"
"","","B098NLPFQX","AZEAM Acrylic RiserBlack Acrylic Shelf Riser 3 Tier Perfume Display Stand Large Collection Organizer Shelf Stand for Cologne Cupcake Funko POP Desserts Holder Cosmetic Products Tabletop Use 12'X8'X6'","AZEAM","$13.95","1,740","58","$24,273","07/04/2021","$7.34","4.4","1,208","$6.61","15,115","7","FBA","1","Home & Kitchen","Standard","3.189 x 11.89 x 0.984 in","0.924 lb","https://www.amazon.com/dp/B098NLPFQX"
"","","B0CKMVJYYS","Decolore Vintage Wooden Cologne Organizer for Men 3 Tier Cologne Display Shelf with Drawer and Hidden Compartment for Organizing and Storing Colognes, Key, Jewelry","Decolore","$28.99","357","13","$10,349","11/20/2023","","4.4","46","","69,260","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CKMVJYYS"
"","","B0CLGPMBYF","MOCAS Cologne Organizer for Men 3 Tier Wooden Cologne Stand with Drawer and 2 Hidden Compartment, Perfume Organizer for DresserCologne Display Shelf, Cologne Tray Holder, Ideal Gift for Men","MOCAS","$36.99","90","3","$3,329","10/19/2023","","4.4","33","","242,111","7","FBA","1","Clothing, Shoes & Jewelry","","","","https://www.amazon.com/dp/B0CLGPMBYF"
"","","B0CDGXJ77T","hismocal 3 Tier Wood Cologne Organizer for Men Christmas Gift,Cologne Stand Display Shelf, Great Men's Gift for Men with Drawer Holder Of Hidden Compartment Organizer,Wooden Stand Black","hismocal","$34.99","15","","$524.85","08/01/2023","$23.01","4.4","22","$11.98","181,749","6","FBA","1","Office Products","Standard","12.6 x 3.93 x 8.85 in","4.44 lb","https://www.amazon.com/dp/B0CDGXJ77T"
"","","B0BZ7XTHBJ","Sephyroth Wooden Cologne Organizer for Men 3 Tier of Elevated Cologne Display Shelf with Drawer Storage Perfume Organization and Storage Display Risers,Great Gift for Man(Walnut Black)","Sephyroth","$42.98","1,211","38","$52,049","05/09/2023","$28.90","4.6","195","$14.08","24,034","7","FBA","1","Home & Kitchen","Standard","8.6 x 4.1 x 12.6 in","1.5 kg","https://www.amazon.com/dp/B0BZ7XTHBJ"
"","","B0BJQNBGPF","ACRYLISH (9*6 inch Display Shelf, 4 Tier Acrylic Display Riser, Perfume Organizer, Compatible with Funko Pop Figures, Display shelf for collectibles, 2 Pack Acrylic Display for Decoration & Organizer","ACRYLISH","$15.99","248","6","$3,966","01/07/2023","","4.2","57","","147,732","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BJQNBGPF"
"","","B0C4H9SKWB","D.S.Exthefic 5 Tier Cologne Organizer for Men, Wooden Cologne Stand Rack Display Risers Shelf with Drawer Storage, Large Capacity Perfume Organizer Holder Stand for Man Women Dresser Room Decor","D.S.Exthefic","$36.99","206","8","$7,620","05/05/2023","$17.56","5","3","$19.43","110,230","7","FBA","1","Home & Kitchen","Oversize","13 x 9.8 x 15 in","3.1 lb","https://www.amazon.com/dp/B0C4H9SKWB"
