"Export time:  2/1/2024, 11:02:52 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0CDPS2WL5","Famyards Acrylic Display Risers, Perfume Stand Organizer 3 Tiered Cupcake Stand Black Acrylic Display Stands Shelf Risers for Amiibo Funko POP Figures Food Desserts Holder Collection Cosmetic Toys","Famyards","$11.99","195","3","$2,338","08/03/2023","$6.03","4","41","$5.96","42,408","7","FBA","1","Industrial & Scientific","Standard","3.7 x 1.89 x 9.8 in","14.07 oz","https://www.amazon.com/dp/B0CDPS2WL5"
"cologne organizer","","B0CP6934TF","Cologne Organizer for Men, 3 Tier Wooden Mens Cologne Stand with Drawer and Hidden Compartment Mens Cologne Organizer Perfume Organization and Storage Display Risers Great Gift Choice for Men-Black","Yikaroeli","$33.99","30","1","$1,020","11/28/2023","$21.71","3.4","3","$12.28","551,560","6","FBA","1","Home & Kitchen","Standard","9.76 x 5.24 x 13.39 in","4.3 lb","https://www.amazon.com/dp/B0CP6934TF"
"Average Monthly Sales: 777","","B0CKMVJYYS","Decolore Vintage Wooden Cologne Organizer for Men 3 Tier Cologne Display Shelf with Drawer and Hidden Compartment for Organizing and Storing Colognes, Key, Jewelry","Decolore","$28.99","352","12","$10,204","11/20/2023","","4.3","43","","76,489","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CKMVJYYS"
"Average Revenue: $15,415","","B0C1YLFYZR","upcessory Cologne Organizer for Men, 3 Tier Wood Perfume Organizer with Felt Lining Drawer and Hidden Compartment, Perfume Display Holder, A Great Gift for Men - Black","upcessory","$42.99","425","15","$18,271","04/09/2023","$29.81","4.7","65","$13.18","60,425","7","FBA","2","Home & Kitchen","Standard","10 x 4.5 x 12.9 in","3.27 lb","https://www.amazon.com/dp/B0C1YLFYZR"
"Average Price: $28.76","","B0BZ7ZK3K8","Sephyroth 3 Tier Wooden Cologne Organizer for Men - Elevated Display Shelf with Drawer Storage for Perfumes, Great Gift for Man (Black Walnut)","Sephyroth","$42.98","1,157","32","$49,728","05/09/2023","$28.90","4.6","192","$14.08","29,398","7","FBA","1","Home & Kitchen","Standard","8.6 x 4.1 x 12.6 in","1.43 kg","https://www.amazon.com/dp/B0BZ7ZK3K8"
"Average No. of Ratings: 818","","B07KN5G9CQ","NIUBEE 2 Set Acrylic Risers Display for Funko POP Figures,Clear Cake Stands for Candy Dessert Table Decorations-3'x4'x5'","NIUBEE","$19.98","744","26","$14,865","11/16/2018","$11.84","4.6","2,311","$8.14","36,644","6","FBA","1","Home & Kitchen","Standard","4 x 3 x 5 in","1 lb","https://www.amazon.com/dp/B07KN5G9CQ"
"Average Sales Rank: 186,968","","B082XX2LPV","YestBuy 2 Pack Acrylic Risers Display Stand For Pop Figure, 3 Tier Clear Acrylic cupcake stand, Half Moon Dessert Stand for Display Or Collections (Acrylic Rods 2 set)","YestBuy","$24.99","948","48","$23,691","12/19/2019","$15.45","4.5","2,513","$9.54","18,917","6","FBA","13","Home & Kitchen","Standard","8.268 x 16.024 x 1.181 in","2.604 lb","https://www.amazon.com/dp/B082XX2LPV"
"Average Rating Number: 4.5","","B0BZ7XTHBJ","Sephyroth Wooden Cologne Organizer for Men 3 Tier of Elevated Cologne Display Shelf with Drawer Storage Perfume Organization and Storage Display Risers,Great Gift for Man(Walnut Black)","Sephyroth","$42.98","1,192","32","$51,232","05/09/2023","$28.90","4.6","192","$14.08","29,398","7","FBA","2","Home & Kitchen","Standard","8.6 x 4.1 x 12.6 in","1.5 kg","https://www.amazon.com/dp/B0BZ7XTHBJ"
"","","B0783QJST4","Sorbus 360 Makeup Organizer - Bamboo Wood Make Up Storage Carousel for Cosmetics, Skin Care Rotating Makeup Organizer for Vanity, Bathroom Storage","Sorbus","$27.99","722","26","$20,209","11/19/2017","$16.46","4.7","3,766","$11.53","21,254","7","FBA","8","Beauty & Personal Care","Standard","10.354 x 12.284 x 7.638 in","3.988 lb","https://www.amazon.com/dp/B0783QJST4"
"","","B0C5CLJHG3","Cologne Organizer for Men Valentine's Day Gift 3 Tier Cologne Stand with Drawer and Hidden Compartment Cologne Holder for Men, Wood, Cologne Shelf for Men Gift Perfume Mens Cologne Tray","Iswabard","$31.89","478","12","$15,243","05/15/2023","$20.68","4.7","82","$11.21","41,313","6","FBA","1","Beauty & Personal Care","Standard","8.85 x 3.93 x 12.6 in","2 lb","https://www.amazon.com/dp/B0C5CLJHG3"
