"Export time:  1/29/2024, 4:11:21 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07ZVQ2DW3","Leven/Deli Collapsible Magazine File Holder/Desk Organizer for Office Organization and Storage with 3 Vertical Compartments,Polystyrene ,Light Gray","Leven","$16.98","2,182","70","$37,050","05/26/2019","$3.21","4.7","3,528","$13.77","3,341","6","FBA","1","Office Products","Oversize","9.84 x 9.56 x 10 in","1.72 lb","https://www.amazon.com/dp/B07ZVQ2DW3"
"coloring book organizers and storage","","B0BP6XJK4R","DALTACK Desk Organizers Magazine Binder Folder Holder with 5 Vertical Compartments File Organizer for Office Home School Organization, Metal Mesh, Black","DALTACK","$29.99","265","8","$7,947","12/05/2022","$11.23","4.5","37","$18.76","28,562","6","FBA","1","Office Products","Oversize","9.84 x 12.6 x 16.14 in","4.5 lb","https://www.amazon.com/dp/B0BP6XJK4R"
"Average Monthly Sales: 1,767","","B0B45ZH9M2","Citylife 17 QT Plastic Storage Bins Clear Storage Box with Lids Multipurpose Stackable Storage Containers for Organizing Tool, Craft, Lego, Crayon","ITYLIFE CITYLIFE","$34.97","864","45","$30,214","11/13/2022","","4.8","137","","20,259","6","FBA","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0B45ZH9M2"
"Average Revenue: $50,409","","B0CDBLLSC1","DTK 5 Tier Rolling Book Cart, Multi-Functional Mobile Bookshelf Cart with Wheels, File Folder Magazine Storage with Pen Holder, Slim Rolling Cart for Teachers, Office, Dorm, Classroom, Pink","DTK","$37.99","514","16","$19,527","07/31/2023","","4.2","9","","15,276","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CDBLLSC1"
"Average Price: $28.21","","B0BKVX9DV8","YEMUNY 5 Tier Rolling Book Cart, Movable Storage Bookshelf Bookcase with Wheels, File Folder Utility Organizer for Study Office Living Room Classroom School, Light Green","YEMUNY","$35.87","1,170","39","$41,968","10/28/2022","","4","224","","6,266","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BKVX9DV8"
"Average No. of Ratings: 1,608","","B01BWJLZBK","ArtBin 6955AA Super Satchel 1-Compartment Box, Art & Craft Organizer, 1-Pack, Translucent Aqua","ArtBin","$26.94","836","26","$22,522","02/16/2016","$15.87","4.6","1,033","$11.07","5,284","7","AMZ","7","Arts, Crafts & Sewing","Standard","14 x 15.25 x 3.5 in","1.451 lb","https://www.amazon.com/dp/B01BWJLZBK"
"Average Sales Rank: 32,957","","B08TBQ6N7K","Cupohus Art Organizer Craft Storage Tote Bag with Pockets and Hadles, Oxford Fabric Carrying Caddy for Teacher, Officer, Artist, Students, Traveler, and more  Black with Red Edge","Cupohus","$14.59","600","20","$8,754","04/08/2021","$5.61","4.6","201","$8.98","7,082","6","FBA","1","Arts, Crafts & Sewing","Standard","9.252 x 13.268 x 1.693 in","0.875 lb","https://www.amazon.com/dp/B08TBQ6N7K"
"Average Rating Number: 4.5","","B0C1FVGWVN","Really Good Stuff Durable Book and Binder Holders - Boho, Set of 6","Really Good Stuff","$37.79","310","10","$11,715","04/03/2023","$24.79","4.6","469","$13.00","23,113","6","AMZ","2","Office Products","Standard","12.5 x 5.25 x 13.5 in","2.7 lb","https://www.amazon.com/dp/B0C1FVGWVN"
"","","B075792GSH","Bankers Box R-KIVE Heavy-Duty Storage Boxes; FastFold; 20 (0724314); White; Blue","Fellowes","$87.27","330","21","$28,799","08/28/2017","$42.48","4.7","788","$44.79","11,767","6","AMZ","39","Office Products","Oversize","21 x 28.5 x 14 in","33.1 lb","https://www.amazon.com/dp/B075792GSH"
"","","B0BJ1FQ6BP","Dunwell White Magazine File Holder (2 Pack) - Sturdy Cardboard Magazine Holder, Vertical File Folder Holder, Magazine Holder for Desk, Shelves, Office or Classroom Book Organizer, Paper Book Bins","Dunwell","$6.95","979","34","$6,804","03/19/2023","$2.14","4.4","1,845","$4.81","7,251","6","FBA","1","Office Products","Standard","3.75 x 10 x 10 in","7 oz","https://www.amazon.com/dp/B0BJ1FQ6BP"
