"Export time:  1/29/2024, 5:32:34 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B085RVCWN4","EUSOAR B5 Spiral Journal Notebook, 3 Pack 7.3'x10.2' 120 Pages Hardcover Lined Travel Writing Notebooks Journal, Students College Office Business Subject Diary Ruled Spiral Book Journal","EUSOAR","$19.99","541","14","$10,815","03/10/2020","$11.20","4.6","279","$8.79","17,329","6","FBA","1","Office Products","Standard","9.09 x 1.26 x 10.63 in","2.02 lb","https://www.amazon.com/dp/B085RVCWN4"
"computation notebook spiral","","B0BBF5VXZ4","ALIMITOPIA Spiral Notebook Journal,College Ruled Thick Paper Hardcover Wirebound Notepad Diary Memo Sketch Note Book for School Office Business Supplies,100gsm Thick Inner Paper,A5 Size(8.3X5.7') & 80","ALIMITOPIA","$18.99","224","6","$4,254","08/21/2022","$9.71","4.6","75","$9.28","37,245","","FBA","1","Office Products","Standard","6.7 x 3.1 x 8.7 in","3.3 lb","https://www.amazon.com/dp/B0BBF5VXZ4"
"Average Monthly Sales: 1,272","","B09124FC13","Coopay 4 Pack A5 Hardcover Spiral Notebook College Ruled Notebooks Journal Diary Planner Lined Notebook with Removable dividers for School Office Business Supplies, 8.3 x 5.5 inch","Coopay","$20.99","75","4","$1,574","03/24/2021","$14.30","4.6","132","$6.69","51,518","7","FBA","1","Office Products","Standard","5.91 x 3.15 x 8.27 in","3.53 oz","https://www.amazon.com/dp/B09124FC13"
"Average Revenue: $16,233","","B08DR82F22","EUSOAR Students Ruled Spiral Notebook, A5 3packs 5.5'X8.3' 120 Pages Lined Writing Journal, Memo Notepad Sketchbook, Students College Office Subject Diary Ruled Spiral Book Journal- Green Cover","EUSOAR","$15.99","1,433","54","$22,914","07/27/2020","$10.05","4.7","2,412","$5.94","4,453","6","FBA","1","Office Products","Standard","7.76 x 1.57 x 9.13 in","3.53 oz","https://www.amazon.com/dp/B08DR82F22"
"Average Price: $17.19","","B0C1BR13CM","Colarr Engineering Computation Pad 8.5' x 11' Engineering Wirebound Spiral Notebook Grid Pad 5 Squares Per Inch Graph Paper 100 Sheets Per Pad for Drafting Drawing Blueprint Sketching (Blue,3 Pads)","Colarr","$26.99","180","6","$4,858","04/02/2023","","4.4","10","","38,516","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C1BR13CM"
"Average No. of Ratings: 608","","B085DRVSJK","Roaring Spring Engineering Wirebound Spiral Notebook, 8.5'x11', 80 Sheets Per book, Heavy 20 Green Tinted Paper, Computation Pad, Proudly Made in The USA, Heavyweight Backer Board","ROARING SPRING","$17.57","164","2","$2,881","03/01/2020","$9.79","4.7","82","$7.78","94,151","6","FBA","1","Office Products","Standard","9 x 0.42 x 11 in","1.01 lb","https://www.amazon.com/dp/B085DRVSJK"
"Average Sales Rank: 132,161","","B000F78JLU","Tops TOP35061 Computation Book, 11.75 x 9.5 Inches, Double Wire, 152 Numbered Pages, Quadrille Ruled, 76 Sheets, Buff, (35061)","Tops","$11.68","42","1","$490.56","06/27/2006","$3.31","4.6","400","$8.37","111,440","6","FBM","1","Office Products","Standard","9.5 x 0.88 x 11.75 in","1.31 lb","https://www.amazon.com/dp/B000F78JLU"
"Average Rating Number: 4.5","","B07VN7KFKT","Emraw Graph Paper Notebooks Spiral Quad Ruled Grid Notebook Heavy Duty White Paper 100 Sheets Assorted Colors Wire Bound Graphing Books (Pack of 4)","Emraw","$16.99","424","13","$7,204","07/22/2019","$8.01","4.6","848","$8.98","18,202","7","FBA","2","Office Products","Standard","9.33 x 1.38 x 10.67 in","3.43 lb","https://www.amazon.com/dp/B07VN7KFKT"
"","","B07Q6KFNKM","YUREE Softcover Spiral Notebook/Spiral Journal, 50 Sheets (100 Pages) Dot Grid Notebook, 10 Notebooks Per Pack, A5, 8.5' x 5.7', Brown","YUREE","$19.99","300","10","$5,997","03/27/2019","$13.45","4.6","485","$6.54","22,872","6","FBA","1","Office Products","Standard","6.5 x 2.56 x 8.46 in","3.53 oz","https://www.amazon.com/dp/B07Q6KFNKM"
"","","B08R39MYN1","YUREE Spiral Notebook A5/Softcover Spiral Journal Lined, Wide Ruled Pages, 50 Sheets (100 Pages), 8.45' x 5.8', Brown, 20 Pack","YUREE","$38.86","161","3","$6,256","12/20/2020","$29.49","4.5","123","$9.37","62,797","6","FBA","1","Office Products","Standard","6.3 x 5.12 x 8.46 in","3.53 oz","https://www.amazon.com/dp/B08R39MYN1"
