"Export time:  2/1/2024, 1:40:41 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0B3XW9DFB","Soopau Memorial Sympathy Wind Chimes , Sympathy Gift Baskets in Memory of a Loved One Mother Father For Memorial/Bereavement/Condolence , 30' Wooden","Soopau","$23.99","5,829","326","$139,838","06/12/2022","","4.8","1,505","","208","7","FBA","1","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0B3XW9DFB"
"condolences gift basket for loss","","B0BMW48H2H","Memorial Lantern, Sympathy Gifts for Loss of Mom/Dad/Loved One, Bereavement Gifts, Celebration of Life,in Memory of Loved One Gifts, Remembrance Gifts for Loss, Memorial Gifts, Funeral Gifts","ETERNITY","$31.99","120","4","$3,839","11/17/2022","$20.76","4.9","27","$11.23","78,548","7","FBA","1","Tools & Home Improvement","Standard","7.32 x 5.43 x 12.8 in","2.94 lb","https://www.amazon.com/dp/B0BMW48H2H"
"Average Monthly Sales: 680","","B0CGZTYKDR","Sympathy Gift Baskets, Sympathy Gift, Sympathy Gifts For Loss Of Loved One, Bereavement Gifts, Sympathy Gifts, Grief Gifts, Sorry For Your Loss Gift Basket, Sympathy Gifts For Loss Of Mom, Friend","Ithmahco","$34.99","290","8","$10,147","08/30/2023","","4.8","25","","34,446","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CGZTYKDR"
"Average Revenue: $23,317","","B0CGZSXTMW","Ithmahco Sympathy Gift Baskets, Sympathy Gifts For Loss Of Loved One, Sympathy Gift, Bereavement Gifts, Condolences Gift Basket For Loss, Grief Gifts, Sorry For Your Loss Gift Basket, Sympathy Basket","Ithmahco","$34.99","316","10","$11,057","08/30/2023","","4.4","22","","26,366","7","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CGZSXTMW"
"Average Price: $35.19","","B0BY227QW6","Sympathy Gift Baskets - Condolences Gift Basket for Loss of Loved One/Mom/Dad/Husband - Bereavement Grief Gifts - Sorry for Your Loss Grieving Care Package Gift Box for Women Men Friend (Ivory Pillow)","Frerdui","$39.99","490","17","$19,595","03/09/2023","","4.7","18","","54,752","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BY227QW6"
"Average No. of Ratings: 235","","B0C6SSW8TG","Sympathy Gift Baskets, Condolences Gifts for Bereavement Grief - Sorry for Your Loss of Loved One/Mom/Dad/Husband, Thinking of You Box, Grieving Care Package for Women Men Friends(Ivory Pillow)","PuGez","$45.99","463","15","$21,293","05/31/2023","","4.8","16","","62,472","7","FBA","3","Home & Kitchen","","","","https://www.amazon.com/dp/B0C6SSW8TG"
"Average Sales Rank: 58,658","","B0C142PCYS","Self Care Gifts for Women, Get Well Gifts for Women, Sympathy Gift Baskets, Get Well Soon Care Package, Inspirational Gifts for Women, Encouragement Gifts Baskets for Women, Sending Hug Gifts (Grey)","Frerdui","$41.99","1,812","94","$76,086","03/30/2023","","4.9","30","","8,533","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C142PCYS"
"Average Rating Number: 4.6","","B0CFTWWT97","LESEN Sympathy Gift Baskets, Grief Gifts for Women, Condolence Gifts Bereavement Box Gift Sorry for Your Loss of Loved One Mother Father Husband Friend","LESEN","$28.98","326","12","$9,447","08/15/2023","$17.60","4.9","21","$11.38","77,314","6","FBA","1","Home & Kitchen","Standard","9.3 x 4 x 9.3 in","1.04 kg","https://www.amazon.com/dp/B0CFTWWT97"
"","","B0C36R1XTZ","LESEN Sympathy Gift Baskets,Sorry for Your Loss of Mother Father Brother Husband Sister Friend Loved One,Bereavement Grief Grieving Gifts,Condolence Gifts Box","LESEN","$32.98","263","17","$8,674","06/10/2023","$22.24","4.6","23","$10.74","16,706","7","FBA","1","Kitchen & Dining","Standard","9.37 x 4.09 x 9.45 in","2.8 lb","https://www.amazon.com/dp/B0C36R1XTZ"
"","","B0CDF6LRCN","Boxzie Sympathy Gifts, Condolence Gift Box, Bereavement Basket, Sorry for Your Loss Care Package, Thinking of You Grief Boxes for Women, Men, Friend  Condolences Navy Pillow, Candle & Soap","Boxzie","$39.95","243","9","$9,708","07/31/2023","","4.8","26","","105,653","6","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CDF6LRCN"
"","","B0BMW27C7N","Memorial Lantern, Bereavement Gifts,Sympathy Gifts for Loss of Mom/Dad/Loved One, in Memory of Loved One Gifts, Remembrance Gifts for Loss, Celebration of Life, Memorial Gifts, Funeral Gifts","HSENYEKUM","$29.99","60","2","$1,799","11/17/2022","$19.06","4.7","25","$10.93","141,415","7","FBA","1","Tools & Home Improvement","Standard","7.4 x 5.39 x 12.99 in","2.84 lb","https://www.amazon.com/dp/B0BMW27C7N"
"","","B0CDB8LW9D","Sympathy Gift in Heaven LED Memorial Shadow Boxes, Memorial Gifts for Loss of Loved One, Bereavement Gifts Condolences Gifts for Loss of Mother Father Cousin Grandparents Friend","Vetbuosa","$15.99","142","4","$2,271","09/08/2023","","3.7","12","","190,272","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CDB8LW9D"
"","","B0CM65H3LH","SteadStyle Memorial Gifts, Sympathy Wind Chimes for Loss of Loved One,Gifts for Who Loss of Dad, Mom,Brother,Friends, Sympathy Gift Baskets Home Decor Outdoor Garden Patio","SteadStyle","$19.99","90","3","$1,799","10/30/2023","","5","1","","56,429","7","FBA","1","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0CM65H3LH"
"","","B0B9XQ8DY3","TRIROCKS Memorial Lantern 11'' High Walk Beside Us Remembrance Lantern With Automatic Timer LED Candle And Love Pattern Bereavement Sympathy Gifts For Funeral Memorial Service Loss of Loved One(Black)","TRIROCKS","$29.99","140","5","$4,199","08/16/2022","","4","36","","181,132","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0B9XQ8DY3"
"","","B0CFKR31NQ","WOODEXPE Sympathy Gift LED Memorial Shadow Box 11x11 Memorial Gifts for Loss of Loved One (Dandelion White)","WOODEXPE","$19.99","385","18","$7,696","09/28/2023","","4.9","58","","51,472","8","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CFKR31NQ"
"","","B0CHRPPKSC","Churika Sympathy Gift Baskets, Memorial Sympathy Wind Chimes for Loss of Loved One, Memorial Gift Sorry for Your Loss of Mother Father Husband Friend Loved One","Churika","$33.99","226","7","$7,682","10/06/2023","","4.7","5","","27,817","7","FBA","1","Patio, Lawn & Garden","","","","https://www.amazon.com/dp/B0CHRPPKSC"
"","","B0CDRB9PZ7","Sympathy Gift Baskets - Thinking of You Care Package Get Well Soon Gifts for Women, For Sick Friend After Surgery Gifts Feel Better Gifts, Memorial Gift, Get Well Gifts for Best Friend BFF Mom Sister","Frerdui","$21.99","445","12","$9,786","08/04/2023","","4.3","46","","23,497","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CDRB9PZ7"
"","","B0C9FK1Y2B","Sympathy Gift Baskets - Unique Sorry for Your Loss Gifts, Sympathy Gifts for Loss of Loved One, Mom, Dad. In Loving Memory Condolences Gift Basket for Loss, Memorial, Bereavement &GrievingGifts","GOLDMUS","$29.99","162","6","$4,858","06/25/2023","$19.70","5","6","$10.29","145,027","7","FBA","2","Home & Kitchen","Standard","7.5 x 6.3 x 7.5 in","1.68 lb","https://www.amazon.com/dp/B0C9FK1Y2B"
"","","B0BZRHSDL3","Sending Sunshine Gift, 9 Pcs Sunflower Gifts for Women, Get Well Soon Gifts Basket Care Package Birthday Gifts Box Thinking of You Gift for Women with Inspirational Blanket Candle for Mom, Sister, Her","Mollywatr","$48.99","574","20","$28,120","03/27/2023","$30.42","4.9","101","$18.57","13,613","7","FBA","2","Kitchen & Dining","Oversize","9.6 x 9.6 x 9.6 in","3.56 lb","https://www.amazon.com/dp/B0BZRHSDL3"
"","","B0BLBF6JDD","A Limb Has Fallen from The Family Tree Sympathy Plaque with Wooden Stand In loving memory of loved Wall Decor Table Decor Bereavement Condolences Gifts","Generic","$19.99","640","33","$12,794","12/02/2022","","4.6","108","","28,399","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BLBF6JDD"
"","","B0BVPWCKQW","HN HAIINAA Memorial Lantern - Bereavement Sympathy Gifts for Loss of Loved One Memorial Gifts for Loss of Mother Remembrance Gifts for Loss of Father","HN HAIINAA","$30.47","84","3","$2,559","02/13/2023","$19.47","4.6","25","$11.00","115,488","7","FBA","1","Tools & Home Improvement","Standard","5.9 x 14 x 5.9 in","2.55 lb","https://www.amazon.com/dp/B0BVPWCKQW"
"","","B0CFKJHB8D","HN HAIINAA Memorial Lantern - Bereavement Sympathy Gifts for Loss of Loved One Memorial Gifts for Loss of Mother Remembrance Gifts Thoughtful Funeral Gifts for Loss of Mom with LED Candle and Remote","HN HAIINAA","$46.99","400","21","$18,796","08/13/2023","$33.51","4.5","41","$13.48","44,591","7","FBA","1","Home & Kitchen","Standard","5.9 x 14 x 5.9 in","2.35 lb","https://www.amazon.com/dp/B0CFKJHB8D"
"","","B0CCV627LH","Sympathy Gift Baskets- Crystal Glass Heart Condolence Memorial Gift for Bereavement Grief for Loss of Loved One, Sorry for Your Loss Thinking of You Grieving Care Package Gift Box for Women Men Friend","FACOYANS","$21.99","195","12","$4,288","07/25/2023","","4.5","12","","79,691","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CCV627LH"
"","","B0CNL65D6P","Sympathy Gift Baskets, Sympathy Gifts For Loss Of Loved One, Condolences Gift Basket For Loss, Bereavement Gifts, Grief Gifts, Sorry For Your Loss Gifts, Condolences Gift For Loss, Grieving Gifts","Ithmahco","$34.99","120","4","$4,199","12/28/2023","","4.5","5","","61,195","","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CNL65D6P"
