"Export time:  1/30/2024, 12:00:56 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B09VP8ZYDP","Sunday Merry Plastic Storage Boxes with Hinged Lids for Multi Use in Bedroom,Kitchen, Bathroom, Office, Reinforced-Strong Durable Stackable Storage Bin, Pack of 3, 35 Quart/each (Brown)","Sunday Merry","$89.99","60","2","$5,399","11/27/2022","","4.1","50","","314,187","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B09VP8ZYDP"
"containers for storage","","B0BZVL7RTD","SIRIRIC Stackable Storage Bins with Lids, 23 Gal Plastic Storage Containers, Closet Organizers and Storage, 3 Packs Collapsible Storage Bins, Large Folding Storage box with Doors and Wheels for Home","SIRIRIC","$122.39","281","12","$34,392","03/28/2023","","4.2","226","","76,133","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BZVL7RTD"
"Average Monthly Sales: 6,493","","B08HR4K9Y5","Rubbermaid Cleverstore 41 Quart Stackable Plastic Storage Container Organizer Bin with Latching Lids for Garage, Closet, and Classroom, Clear (4 Pack)","Rubbermaid","$79.89","15,003","346","$1.20M","09/08/2020","$41.87","4.3","15,506","$38.02","1,297","7","AMZ","9","Home & Kitchen","Oversize","18.4 x 29.3 x 11.7 in","17.099 lb","https://www.amazon.com/dp/B08HR4K9Y5"
"Average Revenue: $301,785","","B0B4G4X43M","HAIXIN Storage Bins with Lids, Collapsible Storage Bins, Wardrobe Closet Organizer, 19 Gal Stackable Toy Storage, Foldable Plastic Storage Container with Door, Crate for Book Storage (3 Pack)","HAIXIN","$199.99","8,624","254","$1.72M","07/28/2022","$106.22","4.5","3,496","$93.77","2,131","6","FBA","2","Home & Kitchen","Oversize","15 x 43 x 25 in","14 lb","https://www.amazon.com/dp/B0B4G4X43M"
"Average Price: $48.85","","B0BQ3H7PT8","Clear Storage Bin with Lid 3 Pack 【Stackable & Sturdy】Plastic Bins for Storage, Multifunctional Folding Storage Bins for Bedroom, Living Room, Study, Toy Room, 24 QT Folding Box with Magnetic door","Kmiectse","$40.99","4,075","109","$167,034","12/28/2022","$17.54","4.7","866","$23.45","7,038","7","FBA","4","Home & Kitchen","Oversize","11.02 x 8.66 x 14.96 in","4.72 kg","https://www.amazon.com/dp/B0BQ3H7PT8"
"Average No. of Ratings: 5,020","","B0B985DTT7","Rubbermaid Roughneck Clear 95 Qt/23.75 Gal Storage Containers, Pack of 4 with Latching Grey Lids, Visible Base, Sturdy and Stackable, Great for Storage and Organization","Rubbermaid","$145.00","3,362","55","$487,490","08/09/2022","","4.2","1,001","","15,990","7","AMZ","13","Home & Kitchen","","","","https://www.amazon.com/dp/B0B985DTT7"
"Average Sales Rank: 48,211","","B07PR9NM54","Rubbermaid Cleverstore 95 Quart Clear Stackable Large Plastic Storage Containers with Lids for Office and Home Organization, Clear (4 Pack)","Rubbermaid","$101.99","16,262","346","$1.66M","03/17/2019","$42.28","4.3","15,506","$59.71","1,297","7","AMZ","18","Home & Kitchen","Oversize","19 x 28.8 x 18.4 in","21.301 lb","https://www.amazon.com/dp/B07PR9NM54"
"Average Rating Number: 4.5","","B01F445OLG","Homz Snaplock 6-Quart Plastic Multipurpose Stackable Storage Container Bins with Blue Latching Lid for Home and Office Organization, Clear (10 Pack)","HOMZ","$32.99","2,158","81","$71,192","05/02/2016","$24.27","4.4","5,074","$8.72","10,253","7","AMZ","5","Home & Kitchen","Standard","8.25 x 4.75 x 13.63 in","9.4 oz","https://www.amazon.com/dp/B01F445OLG"
"","","B0BLHBSV2P","eWonLife Large Shoe Storage Organizers Box with Magnetic Door, 12 Pack Clear Plastic Stackable Sneaker Containers for Closet, Connect Left and Right Shoe Bins for Entryway, Drop Front, Under Bed,Black","eWonLife","$33.98","1,368","69","$46,485","11/03/2022","","4.4","1,250","","12,516","7","FBA","6","Home & Kitchen","","","","https://www.amazon.com/dp/B0BLHBSV2P"
"","","B0BNR4QSZ1","WestonBasics Stackable Plastic Storage Bins with Wheels | Folding Storage Box with Safety Latch Doors | Collapsible Storage Bins with Lids for Organizing Home Items | Cream - 3 Pack - 25 Gallon","WestonBasics","$154.45","230","5","$35,524","11/30/2022","","4.5","107","","157,830","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0BNR4QSZ1"
