"Export time:  1/30/2024, 5:16:24 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07TYP2ZW5","Amazon Basics Collapsible Fabric Storage Cubes with Oval Grommets - 6-Pack, Linked","Amazon Basics","$19.68","","","","12/18/2019","$7.79","4.8","2,370","$11.89","667","6","AMZ","4","Our Brands","Oversize","10.5 x 11 x 10.5 in","15 oz","https://www.amazon.com/dp/B07TYP2ZW5"
"craft organizers and storage","","B07K6VF8GJ","SimpleHouseware Utility Cart with 12 Drawers Rolling Storage Art Craft Organizer on Wheels","Simple Houseware","$72.87","1,238","35","$90,213","11/04/2018","$47.30","4.4","2,819","$25.57","7,105","5","FBA","4","Office Products","Oversize","2 x 1 x 19 in","16 lb","https://www.amazon.com/dp/B07K6VF8GJ"
"Average Monthly Sales: 4,301","","B09YHZHV53","SimpleHouseware Utility Cart with 10 Drawers Rolling Storage Art Craft Organizer on Wheels, Metal","Simple Houseware","$59.87","1,572","46","$94,116","04/20/2022","","4.3","822","","5,259","6","FBA","2","Office Products","","","","https://www.amazon.com/dp/B09YHZHV53"
"Average Revenue: $168,517","","B0B4FZWRVR","HAIXIN Closet Organizers and Storage, Plastic Trunk Organizer, Dorm Room Essentials, 8.4 Gal Collapsible Storage Bins, Stackable Closet Organizer, 3 Pack Dorm Storage Bins with Lids and Doors","HAIXIN","$129.99","8,598","241","$1.12M","07/28/2022","$79.13","4.5","3,499","$50.86","2,311","6","FBA","3","Home & Kitchen","Oversize","12.2 x 35.43 x 19.29 in","10 lb","https://www.amazon.com/dp/B0B4FZWRVR"
"Average Price: $44.46","","B09XB5G91C","Panana 5-Drawer Chest with 1 Door, Wooden Chest of Drawers Storage Dresser Cabinet with Wheels, Office Organization and Storage, Bedroom Furniture","Panana","$105.99","1,006","40","$106,626","04/05/2022","","4.3","217","","23,147","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B09XB5G91C"
"Average No. of Ratings: 2,144","","B0BC8Y1W77","Citylife 17 QT Plastic Storage Box with Removable Tray Craft Organizers and Storage Clear Storage Container for Organizing Lego, Bead, Tool, Sewing, Playdoh","ITYLIFE CITYLIFE","$34.99","4,385","136","$153,431","08/28/2022","","4.8","215","","617","6","FBA","1","Arts, Crafts & Sewing","","","","https://www.amazon.com/dp/B0BC8Y1W77"
"Average Sales Rank: 17,918","","B00W8KDR0A","Creative Options 1363-83 Grab N' Go Rack System, Soft Blue,Medium","Creative Options","$54.29","191","4","$10,369","05/19/2014","$33.03","4.7","4,735","$21.26","34,640","5","AMZ","9","Arts, Crafts & Sewing","Oversize","12.99 x 9.06 x 13.07 in","5.34 lb","https://www.amazon.com/dp/B00W8KDR0A"
"Average Rating Number: 4.5","","B09TFWSNB3","ClearSpace Plastic Storage Bins with Lids  Perfect Kitchen Organization or Pantry Fridge Organizer, and Bins, Cabinet Organizers","ClearSpace","$49.99","849","24","$42,442","02/24/2022","$34.56","4.7","1,414","$15.43","11,802","7","FBA","11","Kitchen & Dining","Standard","12.48 x 13.03 x 7.09 in","6.64 lb","https://www.amazon.com/dp/B09TFWSNB3"
"","","B09GW2D25T","ClearSpace Plastic Pantry Organization and Storage Bins With Lids  Perfect Kitchen Storage  Fridge, Refrigerator, Cabinet Organizers","ClearSpace","$59.99","763","27","$45,772","04/17/2022","","4.7","575","","10,322","6","FBA","3","Kitchen & Dining","","","","https://www.amazon.com/dp/B09GW2D25T"
"","","B0BFD7NKWY","Kuject X-Large Shoe Storage Boxes Organizers for Closet 12 Pack, Clear Plastic Stackable Sneaker Containers/Bins for Entryway, Space Saving Shoe Rack Bin Holder, White","Kuject","$39.99","20,917","974","$836,471","09/14/2022","","4.4","9,430","","182","6","FBA","22","Home & Kitchen","","","","https://www.amazon.com/dp/B0BFD7NKWY"
"","","B0BBCH5H7Y","SEE SRPING XX-Large 12 Pack Shoe Storage Box, Clear Plastic Stackable Shoe Organizer for Closet, Shoe Rack Sneaker Containers Bins Holders Fit up to Size 14 (Clear)","SEE SPRING","$53.99","26,215","761","$1.42M","08/20/2022","$37.66","4.2","24,342","$16.33","303","7","FBA","6","Home & Kitchen","Standard","6.02 x 10.12 x 14.17 in","1 lb","https://www.amazon.com/dp/B0BBCH5H7Y"
"","","B0CL9NDKLQ","AHEONLAR 4 Tier Plastic Storage Bins with Drawers - Foldable Stackable Storage Bins with Lids - Closet Craft Organizers and Storage - 24QT Plastic Drawer Storage for Bedroom Study Toy Room Office","AHEONLAR","$33.99","3,667","121","$124,641","10/17/2023","$16.15","3.9","105","$17.84","6,156","7","FBA","1","Home & Kitchen","Oversize","11.2 x 8.7 x 15.6 in","7.61 lb","https://www.amazon.com/dp/B0CL9NDKLQ"
"","","B0CG66KQ1Q","TOOLF Utility Cart with Drawers and Wooden Tabletop,4 Drawers Rolling Storage Cart,Arts and Crafts Organizer Storage Cart for Bedroom,Kid's Room,Dorm,Classroom,Office,Brown","TOOLF","$44.99","424","12","$19,076","08/20/2023","","3.9","26","","19,566","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CG66KQ1Q"
