"Export time:  2/1/2024, 1:44:56 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0792H4HFM","Amazon Basics Room Darkening Blackout Curtain Rod - 48' to 88', Black","Amazon Basics","$15.99","","","","06/29/2019","$1.56","4.7","10,276","$14.43","211","6","AMZ","16","Our Brands","Oversize","6.4 x 50.6 x 3 in","2.2 lb","https://www.amazon.com/dp/B0792H4HFM"
"curtain rods for bay windows","","B09YMDJ22X","HOTOZON 1 Inch Bay Window Curtain Rods, 36-72 Inch Center Rod for window (24 to 68 Inch), 20-36 Inch Side Rods for windows (16-32 Inch), Antique Bronze, End Cap Finials","HOTOZON","$47.99","1,357","40","$65,122","04/21/2022","$30.33","4.6","565","$17.66","23,207","7","FBA","1","Home & Kitchen","Oversize","4 x 4 x 36 in","4.84 lb","https://www.amazon.com/dp/B09YMDJ22X"
"Average Monthly Sales: 2,124","","B0CC1H5SSL","TONIAL Bay Window Curtain Rods, 36-72 Inch Center Rod for window, 20-36 Inch Side Rods for windows 3/4 Inch Decorative Drapery Rods with Small Cap Finial, Light Black","TONIAL","$36.99","750","32","$27,743","07/16/2023","","4.6","53","","28,886","7","FBA","2","Home & Kitchen","","","","https://www.amazon.com/dp/B0CC1H5SSL"
"Average Revenue: $49,880","","B0CM38MTVN","YAJUXIU Industrial Curtain Rod Adjustable 1 Inch Black Curtain Rods for Windows 30 to 168 Inch - Perfect Indoor/Outdoor, Room Divider Curtain Rod (30-168')","YAJUXIU","$39.99","1,040","27","$41,590","10/29/2023","$-45.52","4.6","39","$85.51","34,338","7","FBA","1","Home & Kitchen","Oversize","72 x 72 x 1 in","2.53 lb","https://www.amazon.com/dp/B0CM38MTVN"
"Average Price: $44.72","","B0BMZZ7F1P","HOTOZON 1 Inch Heavy Duty Bay Window Curtain Rods, 36-72 Inch Center Rod for window (24 to 68 Inch), 20-36 Inch Side Rods for windows (16-32 Inch), Black, End Cap Finials","HOTOZON","$48.99","1,340","40","$65,647","11/20/2022","$31.18","4.6","565","$17.81","23,207","7","FBA","6","Home & Kitchen","Oversize","4 x 4 x 36 in","4.84 lb","https://www.amazon.com/dp/B0BMZZ7F1P"
"Average No. of Ratings: 2,878","","B0C61SMQK1","KAMANINA 1 Inch Bay Window Curtain Rods, Telescoping Center Curtain Rod for Bay Windows 36 to 72 Inch, Black Decorative Side drapery Rods 20 to 36 Inch, Twisted Cage Finials","KAMANINA","$39.99","329","8","$13,157","05/22/2023","$20.38","4.5","26","$19.61","116,298","7","FBA","2","Home & Kitchen","Oversize","1 x 1 x 72 in","2.79 lb","https://www.amazon.com/dp/B0C61SMQK1"
"Average Sales Rank: 451,807","","B0BN193X23","HOTOZON 1 Inch Heavy Duty Bay Window Curtain Rods, 36-72 Inch(Center Rod for window (24 to 68 Inch), 20-36 Inch Side Rod for windows (16-32 Inch), Antique Silver, End Cap Finials","HOTOZON","$47.99","1,277","40","$61,283","12/28/2022","$30.33","4.6","565","$17.66","23,207","7","FBA","3","Home & Kitchen","Oversize","4 x 4 x 36 in","4.89 lb","https://www.amazon.com/dp/B0BN193X23"
"Average Rating Number: 4.4","","B0CC5JYDG1","Curtain Rods for windows,1' Diameter Curtain Rod, 32-240' Standard Decorative Window Curtain Rod Set with Brackets for bathroom Kitchen Bedroom Window, Black","","$48.99","450","15","$22,046","","","4.6","85","","62,926","","FBA","","Home & Kitchen","","","","https://www.amazon.com/dp/B0CC5JYDG1"
"","","B0BWJ34JY2","USFOOK 3/4 Inch Bay Window Curtain Rods, Telescoping Silver Curtain Rods for Bay Windows 36-72 Inch(Center Rod), 20-36 Inch(Side Rods), Translucent Finials","USFOOK","$42.99","348","11","$14,961","04/25/2023","$22.93","4.6","95","$20.06","86,017","6","FBA","1","Home & Kitchen","Oversize","2 x 2 x 72 in","2.5 lb","https://www.amazon.com/dp/B0BWJ34JY2"
"","","B0C61NNDFZ","USFOOK 1 Inch Bay Window Curtain Rods, Telescoping Bronze Curtain Rods for Bay Windows 36-72 Inch(Center Rod), 20-36 Inch(Side Rods) with Leaf Finials","USFOOK","$39.99","145","4","$5,799","07/29/2023","$20.38","4.5","39","$19.61","222,259","6","FBA","1","Home & Kitchen","Oversize","2 x 2 x 72 in","3 lb","https://www.amazon.com/dp/B0C61NNDFZ"
