"Export time:  1/29/2024, 5:23:57 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B095HMR12W","KOTEMON Acrylic Wall Name Plate Holder, Office Name Plate with Adhesive Tapes, Door Name Plate Wall Nameplate Clear Sign Holder Frame, 2'x8', 10 Pack","KOTEMON","$21.99","146","5","$3,211","07/16/2021","$13.55","4.5","64","$8.44","42,821","6","FBA","1","Office Products","Standard","2 x 0.01 x 8 in","1.06 lb","https://www.amazon.com/dp/B095HMR12W"
"custom engraved plaque","","B0C182PCYN","PixArts Personalized Acrylic Song Plaque | Personalized Album Cover, Personalized Gift For First Anniversary, Valentine's Day Gift and Best Friend Gift","PixArts","$10.39","","","$311.70","03/31/2023","","5","1","","685,278","7","FBM","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0C182PCYN"
"Average Monthly Sales: 171","","B0CFNH2NLR","EGD Personalized Acrylic Award or Trophy for Activities I Custom Trophy Plaque I Make Your Own Acrylic Award I Multiple Options for Customization (Wide 7.5 x 10 Height)","EGD","$13.99","120","4","$1,679","08/25/2023","","4.7","62","","58,086","7","FBM","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B0CFNH2NLR"
"Average Revenue: $3,023","","B07VPGWM45","Personalized Crystal Employee Retirement Appreciation Gift Plaque, Customized with Retiree's name and Retirement date, Unique retirement gift for Manager, Staff, Coworker, Colleague and Friend(XL-10')","Crystal Central","$189.99","51","2","$9,689","04/19/2020","","4.8","91","","104,444","6","FBM","1","Office Products","","","6.8 lb","https://www.amazon.com/dp/B07VPGWM45"
"Average Price: $25.08","","B0C1X9P6VW","Leader Gifts, Leadership Gifts for Women Men, Appreciation Gifts for Boss, Manager, Mentor, Supervisor, Glass Award Plaque 5.7 * 5.1 Inch","MAMAGIFTREE","$22.99","119","4","$2,736","06/11/2023","","4.2","18","","52,735","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C1X9P6VW"
"Average No. of Ratings: 312","","B01D0HDWI6","Crystal Etch - Custom Personalized Award Plaque, Recognition, Graduation, Appreciation, Achievement, Sandblasted Etched Glass Crescent","Crystal Etch","$11.69","","","$1,169","05/13/2016","","4.8","328","","772,499","6","FBM","1","Home & Kitchen","","","2 lb","https://www.amazon.com/dp/B01D0HDWI6"
"Average Sales Rank: 149,302","","B07T6JJ4HG","Ravanox Personalized 7 1/4' Cosmic Glass with Silver Base Award, Custom Reverse Engraved Glass Plaque for Employee Appreciation, Recognition, Retirement and More","Ravanox","$59.99","30","1","$1,800","10/20/2020","","4.4","35","","224,005","6","FBM","1","Sports & Outdoors","","","","https://www.amazon.com/dp/B07T6JJ4HG"
"Average Rating Number: 4.5","","B099KMRPL7","2.5' H x 6' W, Custom Elegant Engraved Plate, Personalized Memorial Plaque, Brushed Stainless Steel or Brass Laser Engraved Name Plates with Adhesive Backing or Screws, Notched Corner (Silver, Gold)","SINYUDUN","$16.99","104","3","$1,767","07/14/2021","","4.7","273","","72,449","6","FBM","1","Office Products","","","","https://www.amazon.com/dp/B099KMRPL7"
"","","B01M5GI9V0","Personalized Plate, 4.5' x 2.5' Black Name Plate with Gold inscription, Plaque, custom engraving","NWA","$7.99","","","$0.00","03/14/2017","$-0.90","4.5","103","$8.89","350,186","5","FBM","1","Office Products","Standard","5 x 5 x 6 in","1 lb","https://www.amazon.com/dp/B01M5GI9V0"
"","","B0CNT5QVHR","Yaocom 12 Pcs Name Plates Laser Engraved Brushed Solid Metal Plate Personalized Plaque Blank Custom Name Tag Frame Name Label with Adhesive Backing and Screws for DIY (Gold,1'' X 3'')","Yaocom","$13.99","72","2","$1,007","11/21/2023","$8.82","","","$5.17","80,285","7","FBA","1","Office Products","Standard","3.94 x 0.63 x 5.91 in","7.1 oz","https://www.amazon.com/dp/B0CNT5QVHR"
"","","B0C3TNZ58K","Therwen 30 Pcs Name Plates Laser Engraved Brushed Solid Brass Plate Personalized Plaque Blank Custom Name Tag Frame Name Label with Adhesive Backing for DIY(1''x 3'', Gold Notched Corner)","Therwen","$22.99","450","15","$10,346","04/27/2023","$16.62","4.2","57","$6.37","16,345","6","FBA","2","Office Products","Standard","2.68 x 0.67 x 3.94 in","10.2 oz","https://www.amazon.com/dp/B0C3TNZ58K"
"","","B07RR37TPB","ExcelMark Blank Name Tag/Badge with Magnetic Backing - 1' x 3' (25 Pack - Black)","ExcelMark","$30.99","211","7","$6,539","10/09/2017","$21.82","4.5","597","$9.17","33,095","5","FBA","1","Office Products","Standard","3.15 x 1.1 x 5.79 in","12.6 oz","https://www.amazon.com/dp/B07RR37TPB"
"","","B09BB2JDTV","NEMOCI Size: 6' W x 2-1/2' H, Personalized, Custom Engraved, Brushed Gold Solid Brass Plate Picture Frame Name Label Art Tag for Frames, with Adhesive Backing or Screws - Indoor use only","NEMOCI","$12.99","71","1","$922.29","04/22/2020","","4.7","217","","136,623","7","FBM","1","Office Products","","","","https://www.amazon.com/dp/B09BB2JDTV"
"","","B0B2DPK8PV","3'W x 1'H, Custom Elegant Engraved Plate, Personalized Memorial Name Plate for Trophy, Frames, Urn, Brass or Stainless Steel Laser Engraved Plaque with Adhesive Backing or Screws (Silver, Gold)","SINYUDUN","$7.99","547","14","$4,371","05/25/2022","","4.7","529","","17,688","7","FBM","1","Office Products","","","","https://www.amazon.com/dp/B0B2DPK8PV"
"","","B0891QD1XT","Laser Engraving Blank Plate Assortment 15 piece Aluminum Gold, Silver, & Black","Custom Engraving Plates","$18.95","60","2","$1,137","05/20/2020","$11.98","4","15","$6.97","67,092","6","FBA","1","Arts, Crafts & Sewing","Standard","4 x 0.5 x 6 in","0.2 lb","https://www.amazon.com/dp/B0891QD1XT"
"","","B0CBJGN649","Therwen 30 Pcs Name Plates Laser Engraved Brushed Solid Brass Plate Personalized Plaque Blank Custom Name Tag Frame Name Label with Adhesive Backing for DIY (Silver Notched Corner,1''x 3'')","Therwen","$19.99","563","15","$11,254","07/09/2023","$13.22","4.2","57","$6.77","16,345","6","FBA","1","Office Products","Standard","1.65 x 1.61 x 3.39 in","7.8 oz","https://www.amazon.com/dp/B0CBJGN649"
"","","B09YRLCFTD","Demissle 6 x 3 Inch Clear Acrylic Wall Name Plate Holders Office Door Mount Name Plate Holder with Stainless Steel Standoff Screws for Office Home Store Restaurant (4 Sets)","Demissle","$11.99","113","3","$1,355","04/24/2022","$7.12","4.3","33","$4.87","59,169","7","FBA","1","Office Products","Standard","2.95 x 0.01 x 5.91 in","11.5 oz","https://www.amazon.com/dp/B09YRLCFTD"
"","","B0BMX6BTX6","PATIKIL 3'x1'x0.02' Anodized Aluminium Laser Engraved Mount Metal Plate, 20 Pack Blank Plate DIY Custom Round Corner Sign for Personalized Printing, Black","PATIKIL","$9.49","48","2","$455.52","11/18/2022","$5.15","5","5","$4.34","84,611","6","FBA","1","Office Products","Standard","2.4 x 0.55 x 3.58 in","1.76 oz","https://www.amazon.com/dp/B0BMX6BTX6"
"","","B084D4H9LL","Assistant to The Regional Manager Desk Plate  2 x 8 Novelty Name Plate  Gold Name Plate with Black Desk Holder","ExcelMark","$13.99","30","1","$419.70","01/29/2020","","4.7","229","","153,966","5","FBA","1","Office Products","","","","https://www.amazon.com/dp/B084D4H9LL"
"","","B00JZRGWWE","SHOP AWARDS AND GIFTS 8.5 x 11 Certificate Frame Holder, Slide in Wall Plaque Display, 10.5 x 13 Inch Board, Multiple Colors (Walnut)","SHOP AWARDS AND GIFTS","$39.50","78","1","$3,081","04/27/2014","$27.79","4.4","75","$11.72","106,969","6","FBA","1","Office Products","Standard","13 x 10.5 x 0.75 in","2.76 lb","https://www.amazon.com/dp/B00JZRGWWE"
