"Export time:  1/29/2024, 5:23:16 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B000LRNERI","Rackulator","RACKULATOR","$84.99","235","7","$19,973","11/12/2008","$68.47","4.3","179","$16.52","34,699","4","FBA","2","Sports & Outdoors","Standard","6.93 x 2.24 x 8.66 in","0.24 kg","https://www.amazon.com/dp/B000LRNERI"
"deer scoring tape","","B0C5J6NP2X","Hoolerry Flagging Tape Assorted Colors, Non Adhesive Marking Tape, Multipurpose Neon Surveyors Tape 1 Inch Wide for Tree Marking, Hunting Trail Tape, Boundaries and Hazardous Areas Marking (60 Pcs)","Hoolerry","$60.99","60","1","$3,659","05/16/2023","$45.44","4.1","14","$15.55","93,100","7","FBA","1","Industrial & Scientific","Standard","9.21 x 6.42 x 11.18 in","9.52 lb","https://www.amazon.com/dp/B0C5J6NP2X"
"Average Monthly Sales: 1,898","","B005FYNUZS","Trophy Deer Weigh Tape - 54'","Coburn","$12.75","","","$0.00","03/25/2012","$7.92","3.6","8","$4.83","550,349","3","FBM","2","Sports & Outdoors","Standard","3.11 x 0.43 x 10.94 in","0.01 kg","https://www.amazon.com/dp/B005FYNUZS"
"Average Revenue: $13,089","","B005FYNUT4","Coburn 44555 Holstein Dairy Weigh Tape-English/Spanish","Coburn","$10.12","","","$0.00","02/24/2022","$5.68","4.7","15","$4.44","269,573","3","AMZ","4","Patio, Lawn & Garden","Standard","2.717 x 8.583 x 0.512 in","0.04 lb","https://www.amazon.com/dp/B005FYNUT4"
"Average Price: $20.68","","B01BE8FHU4","Wildgame Innovations 424 Trophy Tape, Orange, 5X9X1 (WGI-WLD424)","Wildgame Innovations","$11.78","180","7","$2,120","04/28/2016","$5.24","4.4","437","$6.54","31,731","4","AMZ","2","Sports & Outdoors","Standard","1 x 6 x 2 in","1.6 oz","https://www.amazon.com/dp/B01BE8FHU4"
"Average No. of Ratings: 2,649","","B07WFJRT85","Prinko 24-Rolls Ultra Clear 2.0 MIL Tape 3'' X 110 Yards Heavy Duty Carton Packing Packaging Sealing Tape","AM-Ink","$62.99","210","7","$13,228","08/12/2019","","4.4","43","","32,500","5","FBA","2","Office Products","","","","https://www.amazon.com/dp/B07WFJRT85"
"Average Sales Rank: 100,755","","B0C4KXPWZC","BOMEI PACK Tan Packing Tape Refills, Bulk Brown Packing Tape with Dispenser for Shipping, Moving and Packaging, 12Rolls 2.4 Mil 1.88 Inch x 60 Yards","BOMEI PACK","$22.85","190","8","$4,342","05/07/2023","$12.69","4.8","55","$10.16","29,223","6","FBA","1","Office Products","Standard","8.42 x 4.3 x 12.4 in","4.82 lb","https://www.amazon.com/dp/B0C4KXPWZC"
"Average Rating Number: 4.5","","B0BPJV27JV","Scotch Magic Tape, 12 Roll Cabinet Pack, Great for Gift Wrapping, Numerous Applications, Invisible, Engineered for Repairing, 3/4 x 1000 Inches, Boxed","Scotch","$28.48","4,318","326","$122,977","12/07/2022","$18.95","4.8","13,360","$9.53","418","6","AMZ","12","Office Products","Standard","5 x 2.56 x 5.24 in","1.3 lb","https://www.amazon.com/dp/B0BPJV27JV"
"","","B09YR9KM4K","BOMEI PACK Brown Packing Tape Refills, Heavy Duty 12Rolls with 1 Dispenser for Packaging, Shipping and Moving, 2.4Mil 1.88 Inch x 60 Yard","BOMEI PACK","$22.85","412","13","$9,414","04/24/2022","$12.69","4.3","287","$10.16","18,261","6","FBA","1","Office Products","Standard","8.5 x 4.21 x 12.6 in","4.78 lb","https://www.amazon.com/dp/B09YR9KM4K"
"","","B0C8CJ7HHV","BOMEI PACK Strapping Tape 2Inch with Dispenser, Mono Fiberglass Reinforced Packing Tape with String for Shipping, 3Rolls x 5.5Mil x 35Yds, Total 105Yds","BOMEI PACK","$18.95","253","8","$4,794","06/16/2023","$12.57","4.4","38","$6.38","27,611","6","FBA","1","Office Products","Standard","6.02 x 2.4 x 13.03 in","1.58 oz","https://www.amazon.com/dp/B0C8CJ7HHV"
