"Export time:  1/29/2024, 5:14:31 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B00X4SCCFG","Amazon Basics Rectangular Adjustable Computer Monitor Riser Desk Stand for Reduced Neck Strain - Fits Monitors, Laptops Up to 22lbs, Black","Amazon Basics","$16.14","","","","08/14/2015","$7.84","4.7","22,322","$8.30","1,058","7","AMZ","4","Our Brands","Standard","4.88 x 11 x 16.1 in","2.56 lb","https://www.amazon.com/dp/B00X4SCCFG"
"desk accessories & workspace organizers","","B0B76QGGPV","Gamtik Individual Storage Bag Organizer for Kitchen Drawer, with Foil and Plastic Wrap Organizer for Kitchen Organizers and Storage, for Gallon, Quart, Sandwich, Snack","Gamtik","$39.95","5,635","217","$225,118","07/20/2022","","4.4","732","","752","6","FBA","2","Kitchen & Dining","","","","https://www.amazon.com/dp/B0B76QGGPV"
"Average Monthly Sales: 4,540","","B08KXKVT4K","Vtopmart 25 PCS Clear Plastic Drawer Organizers Set, 4-Size Versatile Bathroom and Vanity Drawer Organizer Trays, Storage Bins for Makeup, Bedroom, Kitchen Gadgets Utensils and Office","Vtopmart","$15.29","84,768","3,122","$1.30M","10/08/2020","$6.09","4.7","29,196","$9.20","12","7","FBA","4","Home & Kitchen","Standard","2 x 9 x 6 in","3.92 lb","https://www.amazon.com/dp/B08KXKVT4K"
"Average Revenue: $69,116","","B0CNRKC8B3","MINDEPOT 6 Tier Mesh Desk Organizer Paper Tray, Metal File Holder Desktop Organizers and Accessories for School Office Organization Rack","MINDEPOT","$16.99","510","17","$8,665","01/03/2024","","4.2","11","","14,280","","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CNRKC8B3"
"Average Price: $28.13","","B0BWTT3WK1","gianotter Paper Letter Tray Organizer with File Holder, 4-Tier Desk Accessories & Workspace Desk Organizers with Drawer and 2 Pen Holder for Office Supplies (Rose Gold)","gianotter","$26.99","5,344","107","$144,235","04/04/2023","","4.6","954","","2,007","6","FBA","2","Office Products","","","","https://www.amazon.com/dp/B0BWTT3WK1"
"Average No. of Ratings: 1,998","","B0BZ4396D5","OPNICE Desk Organizers and Accessories, Desk Organizer with Drawer, 4-Tier Paper Tray Organizer with 2 Pen Holders + File Holder, Office Desk Accessories for Office Supplies(Rose Gold)","OPNICE","$26.99","4,495","223","$121,320","04/24/2023","$14.00","4.5","541","$12.99","744","6","FBA","3","Office Products","Oversize","16.13 x 9.05 x 9.44 in","1.6 oz","https://www.amazon.com/dp/B0BZ4396D5"
"Average Sales Rank: 28,378","","B0C8N1VX44","LEKETREE Desk Organizers and Accessories, 3-Tier Paper Organizer with 5 Vertical File Holders, File Organizer for Desk, Desk Accessories & Workspace Organizers (Black)","LEKETREE","$23.99","2,296","87","$55,081","08/04/2023","","4.5","165","","2,585","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C8N1VX44"
"Average Rating Number: 4.6","","B07TSCSMZB","SANQIANWAN Remote Control Holders Organizer Box with 5 Compartment PU Leather Multi-functional Office Desk Storage Caddy Store Tv Remote for Media Player,Brush,Pencil,Glassees&Office Supplies Black","SANQIANWAN","$9.99","1,840","61","$18,382","07/02/2019","$4.72","4.8","5,801","$5.27","3,872","6","FBA","1","Office Products","Standard","4.961 x 8.898 x 3.11 in","0.542 lb","https://www.amazon.com/dp/B07TSCSMZB"
"","","B0C5T2YL3Q","Spacrea Pencil Holder for Desk - 360Degree Rotating Pen Organizer, Desk Organizer with 4 Compartments, Pen Holder for Desk, For School, Classroom, Office, Art Supplies(Black)","Spacrea","$14.99","1,339","27","$20,072","07/09/2023","$6.95","4.6","149","$8.04","9,300","7","FBA","1","Office Products","Standard","6.8 x 9 x 6.8 in","1.3 lb","https://www.amazon.com/dp/B0C5T2YL3Q"
"","","B07XP4TPY2","Wellerly Desk Organizer, Office Supplies Pen Holder Organizers Multi-Functional Mesh Desk Organization Storage with 8 Compartments and 1 Drawer Stationery Caddy Oval for Office School Home Supply","Wellerly","$12.96","159","3","$2,061","09/08/2019","$5.88","4.8","419","$7.08","66,207","6","FBA","1","Office Products","Standard","4.6 x 8.9 x 4.5 in","1.1 lb","https://www.amazon.com/dp/B07XP4TPY2"
"","","B09BF87DSM","Rotating Pencil Holder - Pen Holder for Desk - 360 Degree Rotating Pen Caddy Holders Desk Organizer with 5 Compartments - Mesh Desktop Stationary Organizer for Home, Office with 10 Clips (Black)","EZESO ESSENTIAL SKINCARE","$18.88","73","2","$1,378","07/28/2021","","4.6","108","","91,667","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B09BF87DSM"
"","","B07X1SX35M","Welaxy Office Drawer organizers trays storage bins dividers felt bin office desk trays shallow organizing box draw dividers for Socks organize 8-piece gift idea (Turquoise)","Welaxy","$32.99","79","1","$2,606","11/11/2019","$22.90","4.7","141","$10.09","107,278","7","FBA","1","Office Products","Standard","8 x 11 x 2.3 in","0.95 lb","https://www.amazon.com/dp/B07X1SX35M"
"","","B0B9Y3YL58","BOHDK Desk Organizer with Hanging File Holder, Paper Letter Tray Organizer with Drawer and Pen Holder, Mesh Desktop Organizer and Storage for Office Supplies(Black)","BOHDK","$29.99","593","24","$17,784","08/16/2022","","4.6","671","","10,365","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0B9Y3YL58"
"","","B07G78QN54","Welaxy Drawer organizers bins trays drawers dividers storage bins shallow organizing box for office supplies gift guide cozy room decor 8 pack (Orange)","Welaxy","$29.99","1,321","39","$39,617","11/14/2018","$20.97","4.6","344","$9.02","6,341","6","FBA","1","Office Products","Standard","7.48 x 1.77 x 10.63 in","13.6 oz","https://www.amazon.com/dp/B07G78QN54"
