"Export time:  1/27/2024, 2:35:17 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0BH9C7QXK","Amazon Basics Square Sticky Notes, 3 x 3-Inch, Assorted Colors, 24-Pack","Amazon Basics","$14.24","6,375","157","$90,780","04/12/2023","$9.18","4.5","458","$5.06","1,218","6","AMZ","1","Office Products","Standard","3 x 0.31 x 3 in","1.09 oz","https://www.amazon.com/dp/B0BH9C7QXK"
"desk accessories aesthetic","","B01GS20IFU","Daylight Company Unolamp, Standing Lamp for Living Room, Bedroom, Salon, Office, Touch Control, Flexible Arm, Sleek Design, Multipurpose [Energy Class A]","Daylight Company","$44.83","368","15","$16,497","06/07/2016","$30.48","4.4","1,036","$14.35","23,410","8","AMZ","9","Tools & Home Improvement","Standard","10.512 x 16.89 x 5 in","7.8 lb","https://www.amazon.com/dp/B01GS20IFU"
"Average Monthly Sales: 3,436","","B08NB7RZB7","Leather Desk Pad Protector,Mouse Pad,Office Desk Mat, Non-Slip PU Leather Desk Blotter,Laptop Desk Pad,Waterproof Desk Writing Pad for Office and Home (31.5' x 15.7',Olive Green)","Aothia","$13.99","23,952","763","$335,088","11/11/2020","$2.95","4.7","71,753","$11.04","94","7","FBA","1","Office Products","Oversize","15.75 x 0.08 x 31.5 in","11.3 oz","https://www.amazon.com/dp/B08NB7RZB7"
"Average Revenue: $43,885","","B0CJ9XCZVK","Bostitch Office Konnect Desk Organizer Accessory Tray & Storage Cup Bundle, Stacks for Desktop Storage, White","Bostitch Office","$24.99","","","","09/17/2023","$17.06","4.6","1,354","$7.93","489","7","AMZ","1","Computer Monitor Stands","Standard","9.84 x 3.15 x 16.5 in","2.69 lb","https://www.amazon.com/dp/B0CJ9XCZVK"
"Average Price: $21.32","","B0CG9FFX8M","QIUODO Cute Chair Cushion, Gaming Chair Cushion with Backrest Non-Slip, Comfy Seat Cushion for Office Desk, Kawaii Chair Cushions for Gamer, Soft Chair Cushion for Room Bedroom Decor","QIUODO","$24.99","466","19","$11,645","08/21/2023","","4.1","66","","14,857","7","FBA","1","Kitchen & Dining","","","","https://www.amazon.com/dp/B0CG9FFX8M"
"Average No. of Ratings: 4,807","","B0C8189NXN","Vanhench Gel Pens 0.5mm Aesthetic Fine Point Pen Black Cute Pens, Office Desk Accessories Japanese Stationary Home Work Essentials Nurse School Supplies, Christmas Birthday Gifts for Women Teen Girls","Vanhench","$9.99","4,361","157","$43,566","08/08/2023","$5.57","4.7","182","$4.42","1,219","8","FBA","1","Office Products","Standard","3.27 x 0.67 x 5.91 in","5 oz","https://www.amazon.com/dp/B0C8189NXN"
"Average Sales Rank: 13,897","","B0BRMX3SWH","MDOZQ Office Desk Accessories 2pcs Monitor Memo Board Computer Message Board Office Supplies for Women Men Computer Sticky Note Holder Home Office Accessories Desktop Message Office Decor","MDOZQ","$6.98","11,037","473","$77,038","01/03/2023","$3.01","4.4","645","$3.97","225","7","FBA","4","Office Products","Standard","0.39 x 0.2 x 0.39 in","3.84 oz","https://www.amazon.com/dp/B0BRMX3SWH"
"Average Rating Number: 4.6","","B09G9K8N7K","Dual Sided Leather Desk Mat - Waterproof Desk Pad for Office and Home - Desk Organization and Accessories - Ideal for Large Mouse Pad and Desk Mats on Top of Desks(White+Silver,31.5'x 15.7')","HOMIEAZICOZI","$13.99","1,043","32","$14,592","09/14/2021","$2.95","4.5","1,423","$11.04","7,634","6","FBA","1","Office Products","Oversize","15.7 x 0.08 x 31.5 in","14.4 oz","https://www.amazon.com/dp/B09G9K8N7K"
"","","B0976YJTMZ","HOPONY Ergonomic Mouse Pad with Wrist Support Gel Rest, Comfortable for Computer, Laptop, Pain Relief with Non-Slip Rubber Base, 9 x 10 in,Modern Abstract","HOPONY","$8.99","1,383","41","$12,433","06/13/2021","$4.72","4.7","4,270","$4.27","6,001","7","FBA","3","Office Products","Standard","9.1 x 0.01 x 10 in","4.2 oz","https://www.amazon.com/dp/B0976YJTMZ"
"","","B091F3Y53V","Leather Desk Pad Protector,Mouse Pad,Office Desk Mat, Non-Slip PU Leather Desk Blotter,Laptop Desk Pad,Waterproof Desk Writing Pad for Office and Home (Turquoise,23.6' x 13.7')","Aothia","$9.99","21,584","763","$215,624","06/27/2021","$-0.45","4.7","71,753","$10.44","94","7","FBA","1","Office Products","Oversize","23.6 x 0.01 x 13.7 in","7.4 oz","https://www.amazon.com/dp/B091F3Y53V"
