"Export time:  1/27/2024, 11:59:24 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07RY2ZY4V","Amazon Basics Rectangular Plastic Desk Organizer, letter size Tray, Black, 2-Pack","Amazon Basics","$14.37","6,929","226","$99,570","09/24/2019","$6.42","4.5","1,312","$7.95","728","6","AMZ","5","Office Products","Standard","10.118 x 13.465 x 2.402 in","1.713 lb","https://www.amazon.com/dp/B07RY2ZY4V"
"desk accessories","","B09PBJBN86","TSJ OFFICE Desktop Whiteboard Dry-Erase-Board - Computer Keyboard Stand White Board Surface Pad with Drawer, Desk Organizers with Accessories for Office, Home, School Supplies","TSJ OFFICE","$27.99","4,852","179","$135,807","05/20/2022","$17.36","4.8","3,251","$10.63","1,015","7","FBA","1","Office Products","Standard","0.01 x 6 x 7.1 in","3.01 lb","https://www.amazon.com/dp/B09PBJBN86"
"Average Monthly Sales: 6,958","","B09VR5THGP","Upright Ergonomic Foot Rest | Gel Ventilated Memory Foam Stool for Under Desk","Upright GO","$29.95","134","3","$4,013","02/28/2022","$17.53","4.4","42","$12.42","65,734","5","FBA","1","Office Products","Standard","11.81 x 5.91 x 16.93 in","1.66 lb","https://www.amazon.com/dp/B09VR5THGP"
"Average Revenue: $108,174","","B0C3M9723C","Gold Desk Accessories, Office Supplies Set with Acrylic Stapler, Tape Dispenser, Staple Remover, Pen Holder, Scissor, Binder/Paper Clips, 1 Ballpoint Pen, 1 Clear Tape and 1000pcs Staples","yuun","$19.98","287","8","$5,734","07/05/2023","$11.84","4.4","91","$8.14","30,034","7","FBA","1","Office Products","Standard","6.57 x 4.96 x 6.85 in","1.59 lb","https://www.amazon.com/dp/B0C3M9723C"
"Average Price: $22.75","","B0BMTPC44X","YSAGi Leather Desk Pad Protector, Office Desk Mat, Large Mouse Pad, Non-Slip PU Leather Desk Blotter, Laptop Desk Pad, Waterproof Desk Writing Pad for Office and Home (23.6' x 13.8', Black)","YSAGi","$9.99","47,385","1,610","$473,376","11/17/2022","$-0.45","4.6","2,735","$10.44","20","7","FBA","1","Office Products","Oversize","13.8 x 0.01 x 23.6 in","7.7 oz","https://www.amazon.com/dp/B0BMTPC44X"
"Average No. of Ratings: 6,013","","B0C9GRJGR7","SUPERDANNY LED Desk Lamp for Office Home, Eye-Caring Desk Light with Adjustable Gooseneck, 12W Touch Control Dimmable Brightness, Architect Clamp Lamp with USB Adapter for Reading Study Workbench","SUPERDANNY","$29.99","4,725","239","$141,703","08/10/2023","$15.39","4.6","357","$14.60","804","7","FBA","1","Tools & Home Improvement","Oversize","17 x 32 x 2 in","1.87 lb","https://www.amazon.com/dp/B0C9GRJGR7"
"Average Sales Rank: 18,893","","B0BYMRJD7R","Marbrasse Pen Organizer with 2 Drawer, Multi-Functional Pencil Holder for Desk, Desk Organizers and Accessories with 5 Compartments + Drawer for Office Art Supplies (White)","Marbrasse","$9.99","12,383","448","$123,706","03/15/2023","$3.97","4.5","9,063","$6.02","247","7","FBA","1","Office Products","Standard","4.2 x 6.3 x 8.2 in","14.4 oz","https://www.amazon.com/dp/B0BYMRJD7R"
"Average Rating Number: 4.6","","B09QL9G8Q1","Wrist Support Mouse Pad Anti Slip Rubber Wrist Rest Mousepad 8.75in X7.5in Small Desktop Notebook Mouse Mat for Working and Gaming (Pink Floral Wrist)","NNAKAPAKA","$8.99","1,020","34","$9,170","01/16/2022","$4.10","4.7","726","$4.89","7,317","7","FBA","1","Office Products","Standard","7.28 x 8.78 x 0.98 in","0.351 lb","https://www.amazon.com/dp/B09QL9G8Q1"
"","","B008VLH39Q","Dacasso Bonded Set Luxury Leather Desk Pad & Desk Organization Essentials, 5 Piece, Dark Brown","Dacasso","$138.25","103","3","$14,240","06/06/2012","$104.19","4.6","118","$34.06","59,939","7","FBM","10","Office Products","Oversize","18 x 1 x 30 in","11.05 lb","https://www.amazon.com/dp/B008VLH39Q"
"","","B0C1GS9XXY","VIVSOL 5-Tier Office Supplies Desk Organizer, Desk Organizers and Accessories with 2-File Organizer with Sliding Drawer, 4 Trays and Large Capacity Pen Holder, Mesh Desk Accessories, Black (5-Tier)","VIVSOL","$34.99","210","7","$7,348","04/03/2023","","4.7","170","","31,238","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C1GS9XXY"
"","","B0B3R719RH","Hemudu Dual Monitor Stand -Adjustable Length and Angle Dual Monitor Riser, Desktop Organizer for PC, Computer, Laptop (Clear)","Hemudu","$39.99","","","","06/08/2022","$29.66","4.7","643","$10.33","47","6","FBA","1","Computer Monitor Stands","Standard","10.83 x 3.23 x 16.38 in","8.8 lb","https://www.amazon.com/dp/B0B3R719RH"
"","","B0BR3B6BWB","Leather Desk Pad, Mouse Pad, Non-Slip Desk Protector Mat, Leather Desk Blotter, Computer Desk Pad, Waterproof Desk Mat for Home Office and Decor - Beige (31.515.7 Inches)","Bloss","$9.99","960","28","$9,590","12/25/2022","$4.72","4.6","275","$5.27","8,806","7","FBA","2","Office Products","Standard","1 x 1 x 15.7 in","11.4 oz","https://www.amazon.com/dp/B0BR3B6BWB"
