"Export time:  1/29/2024, 12:55:12 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07RWK4LRT","Amazon Basics Rectangular Plastic Desk Organizer, Half Accessory Tray, White","Amazon Basics","$5.75","3,978","116","$22,874","09/24/2019","$1.35","4.6","12,792","$4.40","1,809","6","AMZ","1","Office Products","Standard","5.55 x 9.88 x 1.26 in","0.24 lb","https://www.amazon.com/dp/B07RWK4LRT"
"desk organizer","","B01N9HQM9F","Simple Houseware Mesh Desk Organizer with Sliding Drawer, Double Tray and 5 Upright Sections, Black","Simple Houseware","$24.97","4,207","159","$105,049","12/13/2016","$8.10","4.7","33,798","$16.87","1,196","6","FBA","5","Office Products","Oversize","13 x 9 x 13.25 in","1 lb","https://www.amazon.com/dp/B01N9HQM9F"
"Average Monthly Sales: 3,367","","B07D5MKDQP","Simple Houseware Desk Organizer 3 Tray w/Sliding Drawer, Hanging File Holder and Pen Holder Accessory, Black","Simple Houseware","$24.97","373","15","$9,314","05/17/2018","$14.19","4.6","10,327","$10.78","16,150","6","FBA","2","Office Products","Standard","11.732 x 12.992 x 4.803 in","4.696 lb","https://www.amazon.com/dp/B07D5MKDQP"
"Average Revenue: $61,648","","B07V1Z3N7P","My Space Organizers White Desk Organizer, 9 Compartments, Office Supplies and Desk Accessories Organizer, Pen Holder, Office Decor Desktop Organizer (White)","My Space Organizers","$29.99","994","34","$29,810","07/07/2019","$19.06","4.6","873","$10.93","7,299","7","FBA","1","Office Products","Standard","7.9 x 10.8 x 5.6 in","1.7 lb","https://www.amazon.com/dp/B07V1Z3N7P"
"Average Price: $24.00","","B0BYMRJD7R","Marbrasse Pen Organizer with 2 Drawer, Multi-Functional Pencil Holder for Desk, Desk Organizers and Accessories with 5 Compartments + Drawer for Office Art Supplies (White)","Marbrasse","$9.99","12,533","470","$125,205","03/15/2023","$3.97","4.5","9,078","$6.02","228","7","FBA","1","Office Products","Standard","4.2 x 6.3 x 8.2 in","14.4 oz","https://www.amazon.com/dp/B0BYMRJD7R"
"Average No. of Ratings: 2,619","","B0BZ4396D5","OPNICE Desk Organizers and Accessories, Desk Organizer with Drawer, 4-Tier Paper Tray Organizer with 2 Pen Holders + File Holder, Office Desk Accessories for Office Supplies(Rose Gold)","OPNICE","$26.99","4,495","223","$121,320","04/24/2023","$14.00","4.5","541","$12.99","744","6","FBA","3","Office Products","Oversize","16.13 x 9.05 x 9.44 in","1.6 oz","https://www.amazon.com/dp/B0BZ4396D5"
"Average Sales Rank: 14,723","","B088NHGC48","Simple Trending 2 Tier Metal Monitor Stand Monitor riser and Computer Desk Organizer with Drawer and Pen Holder for Laptop, Computer, iMac, Black","Simple Trending","$30.57","","","","05/13/2020","$22.31","4.7","2,108","$8.26","4","6","FBA","1","Computer Monitor Stands","Standard","10.3 x 16.3 x 1.4 in","3.75 lb","https://www.amazon.com/dp/B088NHGC48"
"Average Rating Number: 4.6","","B09XCFX6L5","Delifox Inclined Desk File Organizer, 5-Section Vertical File Folder Holder Stand Metal Rack File Sorter for Office Classroom Desktop Organization, Black","Delifox","$24.99","2,119","56","$52,954","04/06/2022","$13.61","4.8","254","$11.38","4,308","6","FBA","7","Office Products","Standard","11.5 x 7.5 x 12 in","4 lb","https://www.amazon.com/dp/B09XCFX6L5"
"","","B0BN3YHMZR","VIVSOL Desk Organizer with Mesh File Holder, 4-Tier Office Supplies Desk Organizers and Accessories with Sliding Drawers & Pen Holder, Desk File Organizer and Storage for Office, School, Home, Black","VIVSOL","$34.99","727","26","$25,438","11/21/2022","$17.38","4.6","396","$17.61","9,691","7","FBA","4","Office Products","Oversize","11.22 x 11.02 x 11.2 in","4 lb","https://www.amazon.com/dp/B0BN3YHMZR"
"","","B01DP9ZDR2","UnionBasic Desk Organizer - Multifunctional Leather Desktop Pen Holder Storage Box - Business Card/Pen/Pencil/Mobile Phone/Stationery Holder (Blue)","UnionBasic","$19.99","318","12","$6,357","03/31/2016","$11.20","4.7","1,581","$8.79","19,389","7","FBA","2","Office Products","Standard","6 x 11.4 x 6 in","1.951 lb","https://www.amazon.com/dp/B01DP9ZDR2"
