"Export time:  1/27/2024, 12:59:09 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B087B69492","Amazon Basics Mesh Desk Organizer with Sliding Drawer, Double Tray and 5 Upright Sections, Black","Amazon Basics","$27.89","","","","03/15/2021","$16.68","4.4","1,334","$11.21","3,008","6","AMZ","6","Our Brands","Standard","9.4 x 13 x 6.8 in","5.249 lb","https://www.amazon.com/dp/B087B69492"
"desktop file organizer","","B0B2F14PDF","Youbetia Rose Gold Desk organizer, Desk Organizers and Desk Accessories with File Sorters+ Drawer, Workspace Organizers Desktop Storage File Organizer with Paper Tray for Office Supplies","Youbetia","$21.99","2,010","48","$44,200","08/08/2022","$11.21","4.7","1,581","$10.78","5,029","6","FBA","1","Office Products","Standard","10.197 x 13.622 x 4.291 in","3.858 lb","https://www.amazon.com/dp/B0B2F14PDF"
"Average Monthly Sales: 1,455","","B0B434T3YX","SUPEASY Fan Shaped Desk File Organizer, 6 Compartments for Filing Paper Bills, Letters, Desk Accessories for Workspace, School, Office, Waiting Room, Classroom Storage, Black","SUPEASY","$25.99","260","8","$6,757","06/13/2022","$9.35","4.6","203","$16.64","29,880","6","FBA","2","Office Products","Oversize","10.5 x 10.5 x 13.5 in","5.5 lb","https://www.amazon.com/dp/B0B434T3YX"
"Average Revenue: $35,309","","B07M71BGQ4","SimpleHouseware Mesh Hanging File Organizer, Black","Simple Houseware","$19.87","1,061","38","$21,082","01/03/2019","$2.63","4.6","5,923","$17.24","6,449","4","FBA","4","Office Products","Oversize","12.52 x 10.24 x 15.24 in","2.53 lb","https://www.amazon.com/dp/B07M71BGQ4"
"Average Price: $25.66","","B0CF5D4Z1V","LEKETREE Desk Organizers and Accessories, 5-Tier Paper Letter Tray Organizer with File Holder, Desktop Organizer for Office Supplies, Office Desk Accessories & Workspace(Black)","LEKETREE","$24.99","3,153","86","$78,793","09/12/2023","","4.3","147","","2,615","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CF5D4Z1V"
"Average No. of Ratings: 2,146","","B07PYFD78Z","Mind Reader Vertical File Storage, Desktop Organizer, Workspace, Office, Metal Mesh, 12.5' L x 3.75' W x 11.5' H, Black","Mind Reader","$17.99","649","20","$11,676","03/18/2019","$8.56","4.6","115","$9.43","12,265","7","AMZ","1","Office Products","Standard","13 x 13 x 4 in","1.799 lb","https://www.amazon.com/dp/B07PYFD78Z"
"Average Sales Rank: 18,539","","B06ZYJ9MWW","3 Pack - Stackable Desk File Document Letter Tray Organizer, Black","Simple Houseware","$21.87","826","37","$18,065","04/18/2017","$12.16","4.5","4,802","$9.71","6,640","4","FBA","1","Office Products","Standard","11.1 x 3.5 x 13.8 in","2.7 lb","https://www.amazon.com/dp/B06ZYJ9MWW"
"Average Rating Number: 4.6","","B06ZZD2DRQ","Simple Houseware 6 Tier Wall Mount Document Letter Tray Organizer, Black","Simple Houseware","$22.87","260","10","$5,946","04/18/2017","$12.11","4.7","6,839","$10.76","23,201","5","FBA","1","Office Products","Standard","12.75 x 16.5 x 4.25 in","3.97 lb","https://www.amazon.com/dp/B06ZZD2DRQ"
"","","B0BP18NB3D","DALTACK 9-Tier Paper Letter Tray Desk Organizer with Handles, Mesh File Holder Organization, Paper Sorter Desk Organizer for Office Home School,Black","DALTACK","$28.99","1,367","45","$39,629","12/04/2022","","4.7","474","","5,452","6","FBA","3","Office Products","","","","https://www.amazon.com/dp/B0BP18NB3D"
"","","B07J5X56Z5","2 Pack - SimpleHouseware 5 Section Upright File Sorter Organizer, Black","Simple Houseware","$24.87","4,847","210","$120,545","01/02/2018","$14.41","4.4","7,858","$10.46","812","5","FBA","4","Office Products","Standard","8.74 x 17.13 x 3.03 in","4.341 lb","https://www.amazon.com/dp/B07J5X56Z5"
"","","B09K5927B5","Marbrasse Desk Organizer with File Holder, 5-Tier Paper Letter Tray Organizer with Drawer and 2 Pen Holder, Mesh Desktop Organizer and Storage with Magazine Holder for Office Supplies(Black)","Marbrasse","$33.99","6,681","195","$227,087","10/22/2021","$21.56","4.5","3,199","$12.43","902","7","FBA","4","Office Products","Standard","13 x 4.72 x 15.7 in","6.6 lb","https://www.amazon.com/dp/B09K5927B5"
"","","B0CN38172Y","Jucoan Bamboo Countertop File Organizer 4 Slot Vertical Wall Mounted Hanging File Holder, Desktop File Documents Magazine Organizer Stand for Home Office School Organization No Assembly Required","Jucoan","$28.99","165","5","$4,783","11/09/2023","$16.71","","","$12.28","41,955","6","FBA","1","Office Products","Standard","10.5 x 6.5 x 16.5 in","2.99 lb","https://www.amazon.com/dp/B0CN38172Y"
"","","B09XCFX6L5","Delifox Inclined Desk File Organizer, 5-Section Vertical File Folder Holder Stand Metal Rack File Sorter for Office Classroom Desktop Organization, Black","Delifox","$24.99","2,174","71","$54,328","04/06/2022","$13.61","4.8","251","$11.38","3,251","6","FBA","4","Office Products","Standard","11.5 x 7.5 x 12 in","4 lb","https://www.amazon.com/dp/B09XCFX6L5"
"","","B07RY2ZPK6","Amazon Basics Plastic Desk Organizer - Pen Cup, White","Amazon Basics","$7.36","3,761","103","$27,681","09/24/2019","$2.72","4.6","12,793","$4.64","2,085","5","AMZ","1","Office Products","Standard","3.3 x 3.9 x 3.3 in","4.2 oz","https://www.amazon.com/dp/B07RY2ZPK6"
"","","B0CFVYSC1M","Youbetia 5 Tier Paper Letter Tray Organizer with Mesh File Holder, Desk Accessories & Workspace Desktop Organizers with Drawer and Pen Holder, Office Supplies Desk Organizer (Rose Gold)","Youbetia","$32.99","1,627","60","$53,675","09/21/2023","$14.54","4.6","136","$18.45","3,967","7","FBA","1","Office Products","Oversize","9.45 x 11.25 x 16.15 in","5.58 lb","https://www.amazon.com/dp/B0CFVYSC1M"
"","","B0CPLQZPFW","Turfson Desktop Organizer, Desk Organizer And Accessories With Drawer, 4-Tier Office Supplies With File Paper Storage For Document Magazine & 2 Pen Pencil Holder Caddy Rack For School Workspace","Turfson","$32.99","60","2","$1,979","12/05/2023","","4.7","9","","89,808","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CPLQZPFW"
