"Export time:  1/30/2024, 12:58:54 AM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B07K92HF9K","Amazon Basics Two Pocket Plastic Dividers, 5 Tab Set, Pack of 3, Letter Size, Assorted Color","Amazon Basics","$8.96","1,706","63","$15,286","03/23/2019","$4.03","4.8","2,870","$4.93","3,764","6","AMZ","3","Office Products","Standard","11.6 x 0.63 x 9.85 in","13.4 oz","https://www.amazon.com/dp/B07K92HF9K"
"dividers","","B0C1YFZHBW","HABGP 16Pcs/2 Set 8 Tab Dividers for 3 Ring Binder, 16 Pcs Clear Color 3 Ring Binder Dividers with Tabs, Page Folder Dividers, Plastic Tabbed File Dividers with Tabs, Three Ring Binder Index Dividers","habgp","$6.99","1,425","41","$9,961","04/09/2023","$2.87","4.5","103","$4.12","5,963","7","FBA","1","Office Products","Standard","8.5 x 0.1 x 11.5 in","10.5 oz","https://www.amazon.com/dp/B0C1YFZHBW"
"Average Monthly Sales: 1,970","","B07J5C8FJD","Blue Summit Supplies 3 Ring Binder Dividers with Reinforced Edge, 1/8 Cut Tabs, Letter Size, 3 Hole Punch Section Index Dividers for Binders, White, 96 Pack","Blue Summit Supplies","$23.99","1,638","66","$39,296","10/07/2018","$16.85","4.7","922","$7.14","3,557","6","FBA","10","Office Products","Standard","10.31 x 1.22 x 11.26 in","0.32 oz","https://www.amazon.com/dp/B07J5C8FJD"
"Average Revenue: $23,010","","B07J5CGR9R","Blue Summit Supplies 3 Ring Binder Dividers with Reinforced Edge, 1/5 Cut Tabs, Letter Size, 3 Hole Punch Section Index Dividers for Binders, White, 100 Page Divider Pack","Blue Summit Supplies","$23.99","1,340","53","$32,147","10/07/2018","$14.60","4.7","849","$9.39","4,544","6","FBA","9","Office Products","Standard","9.29 x 1.46 x 11.26 in","2.68 lb","https://www.amazon.com/dp/B07J5CGR9R"
"Average Price: $19.68","","B092CM3KVX","Avery Durable Plastic 8-Tab Write & Erase Big Tab Dividers for 3 Ring Binders, Pastel Brights (16271)","AVERY","$5.20","20,346","645","$105,799","04/12/2021","$1.05","4.8","6,846","$4.16","129","6","AMZ","6","Office Products","Standard","1 x 1 x 1 in","4.6 oz","https://www.amazon.com/dp/B092CM3KVX"
"Average No. of Ratings: 1,999","","B08WBYPVGJ","Oxford Blank Write On Binder Dividers, 1/5 Cut Tabs, 3 Hole Punch Dividers in 5 Tab Sets, 100 Dividers, 20 Sets, White (89981)","Oxford","$12.64","5,058","125","$63,933","02/08/2021","$5.60","4.6","1,347","$7.04","1,639","7","AMZ","3","Office Products","Standard","1 x 12 x 10 in","1.99 lb","https://www.amazon.com/dp/B08WBYPVGJ"
"Average Sales Rank: 21,892","","B009NKVG6K","Avery Big Tab Insertable Dividers, Buff Paper, 5 Multicolor Tabs, Case Pack of 48 Sets (11109)","AVERY","$27.39","3,499","127","$95,838","04/02/2017","$20.66","4.7","374","$6.73","1,614","6","AMZ","18","Office Products","Standard","9 x 0.05 x 11 in","1.8 oz","https://www.amazon.com/dp/B009NKVG6K"
"Average Rating Number: 4.6","","B08BYH533R","8-Tab Binder Dividers, HERKKA 3 Ring Binder Dividers with Reinforced Edge, 3 Hole Punch Section Index Dividers for Binders, 1/8-Cut Tabs, Letter Size, White, 120 Dividers","HERKKA","$20.99","720","24","$15,113","06/27/2020","$14.15","4.6","211","$6.84","10,160","7","FBA","4","Office Products","Standard","10 x 11.339 x 1.654 in","0.1 lb","https://www.amazon.com/dp/B08BYH533R"
"","","B01LWINANW","Numbered Dividers 1-50 3 Hole Punched","exhibitindexes","$26.99","390","13","$10,526","09/12/2016","","4.7","89","","18,706","1","FBA","2","Office Products","","","0.9 lb","https://www.amazon.com/dp/B01LWINANW"
"","","B08W98JDNC","Oxford Plastic Binder Dividers, 8 Tab, Insertable Multicolor Tabs, Letter Size, 6 Sets (89601)","Oxford","$9.65","4,091","125","$39,478","02/08/2021","$4.61","4.6","635","$5.04","1,638","6","AMZ","3","Office Products","Standard","0.6 x 11 x 9 in","13.4 oz","https://www.amazon.com/dp/B08W98JDNC"
