"Export time:  1/29/2024, 5:30:39 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B08584Y2FS","SimpleHouseware Stackable Mesh Hanging File Organizer with Wheels, Black","Simple Houseware","$22.87","569","19","$13,013","02/26/2020","$4.80","4.3","1,651","$18.07","13,208","4","FBA","2","Office Products","Oversize","12.52 x 11.5 x 15.31 in","4.31 lb","https://www.amazon.com/dp/B08584Y2FS"
"document storage box","","B07X3FPZ16","JSungo File Box with 5 Hanging Filing Folders, Document Organizer Storage for Office, Collapsible Linen Storage Box with Lids, Home Portable Storage with Handle, Letter Size Legal Folder, Grey","JSungo","$21.99","982","31","$21,594","03/18/2020","$12.26","4.6","2,245","$9.73","7,882","6","FBA","3","Office Products","Standard","13.3 x 16.4 x 1.8 in","3.999 lb","https://www.amazon.com/dp/B07X3FPZ16"
"Average Monthly Sales: 2,298","","B0C6TCV44J","Huolewa Upgraded File Organizer Box with Lid, Collapsible Faux Leather Document Organizer, Hanging File Folder Box with Plastic Slide, Decorative Filing Box Cabinet for File and Folders Storage(Green)","Huolewa","$21.83","9,874","342","$215,549","05/31/2023","","4.5","4,208","","387","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0C6TCV44J"
"Average Revenue: $75,582","","B07M71BGQ4","SimpleHouseware Mesh Hanging File Organizer, Black","Simple Houseware","$19.87","1,088","40","$21,619","01/03/2019","$2.63","4.6","5,924","$17.24","6,077","4","FBA","5","Office Products","Oversize","12.52 x 10.24 x 15.24 in","2.53 lb","https://www.amazon.com/dp/B07M71BGQ4"
"Average Price: $31.77","","B08D6HHHNC","DocSafe Document Bag with Lock,Fireproof 3-Layer File Storage Case with Water-Resistant Zipper,Document Safe Portable Travel Home Organizer Bag for Laptop,Files,Certificates,Gifts for Him,Black","DocSafe","$31.98","5,903","197","$188,778","07/16/2020","$20.45","4.4","7,000","$11.53","891","7","FBA","3","Office Products","Standard","10.64 x 4 x 14.18 in","1.2 lb","https://www.amazon.com/dp/B08D6HHHNC"
"Average No. of Ratings: 1,675","","B0CGHFJLCK","MSHOMELY 2 Packs A4 File Box Portable Project Case with Handle Clear File Box Magazine Protector File Holder Board Game Storage Plastic Stackable Storage Box for Paper, Document, Photo, Scrapbook","MSHOMELY","$24.99","229","7","$5,723","08/23/2023","","4.3","18","","31,575","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CGHFJLCK"
"Average Sales Rank: 20,554","","B08D6JLTXJ","ENGPOW File Box with Lock,Fireproof Box File Storage Organizer Anti-Static Box,Collapsible Fireproof Document Box Filing Box with Handle,Portable Home Office Safe for Hanging Letter/Legal Folder","ENGPOW","$39.99","5,292","172","$211,627","07/16/2020","$28.20","4.6","3,509","$11.79","1,079","7","FBA","2","Office Products","Standard","12 x 2 x 15.5 in","2.5 lb","https://www.amazon.com/dp/B08D6JLTXJ"
"Average Rating Number: 4.5","","B07CQ919KP","IRIS USA Letter/Legal File Tote Box, 4 Pack, BPA-Free Plastic Storage Bin Tote Organizer with Durable and Secure Latching Lid, Stackable and Nestable, Black/Clear","IRIS","$44.99","12,855","404","$578,346","05/06/2018","$21.70","4.3","11,326","$23.29","295","7","AMZ","10","Office Products","Oversize","10.82 x 14.26 x 18.08 in","2.48 lb","https://www.amazon.com/dp/B07CQ919KP"
"","","B0B7N3PQ53","Noiposi Document Organizer with 5200 Heat Insulated,15.0'x11.0'x4.3' Waterproof and Fireproof Document Box,Portable Home Travel Safe Storage Box for Important Documents,File and Birth Certificate","Noiposi","$36.88","2,501","78","$92,237","07/25/2022","$24.32","4.5","1,554","$12.56","2,930","7","FBA","2","Office Products","Standard","4.3 x 11 x 15 in","2.25 lb","https://www.amazon.com/dp/B0B7N3PQ53"
"","","B09VJSH9F9","Citylife 3 PCS Plastic Storage Bins with Latching Lids Portable Project Case Clear File Box Stackable Storage Containers for Organizing A4 Paper, Photo, Document, Scrapbook","ITYLIFE CITYLIFE","$28.97","2,525","118","$73,149","03/14/2022","$18.19","4.6","543","$10.78","1,774","6","FBA","3","Office Products","Standard","10.43 x 2.87 x 14.65 in","0.86 lb","https://www.amazon.com/dp/B09VJSH9F9"
"","","B07JH5Q1JF","Amazon Basics Medium Moving Boxes with Lid and Handles, 10 Pack, Brown, 19 x 14.5 x 15.5 inches","Amazon Basics","$45.82","1,813","64","$83,072","08/16/2019","$18.61","4.7","6,141","$27.21","3,686","6","AMZ","6","Office Products","Oversize","14.5 x 15.5 x 19 in","1.8 lb","https://www.amazon.com/dp/B07JH5Q1JF"
"","","B07BKVN8S4","Bankers Box STOR/FILE Boxes With Lids For File Storage, White/Blue, Letter/Legal, 16.25 x 12.5 x 10.5 In, 30 Pack (0071304)","Bankers Box","$69.99","4,692","101","$328,393","03/31/2018","$32.69","4.8","2,983","$37.30","2,151","7","AMZ","5","Office Products","Oversize","22.63 x 10.38 x 28.38 in","1.1 lb","https://www.amazon.com/dp/B07BKVN8S4"
"","","B0CFVM5ZBK","File Organizer Box - Collapsible File Storage Organizer Box with Lid and Plastic Slide, Portable Hanging Document Filing System Box for Home Office Cabinet Hand Embroidery File Folders box, White","NEWFOM","$19.99","220","4","$4,398","08/28/2023","","4.5","41","","50,444","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CFVM5ZBK"
"","","B0CGXT9PGR","ClearSpace Oversized Moving Bags or Storage Bag  Large Moving Boxes with Backpack Straps, Zippers & Handles  Heavy-Duty Packing Bags for Moving, College Dorm, Christmas Decorations, 6 Pack","ClearSpace","$34.99","3,636","103","$127,224","08/29/2023","","4.8","125","","7,644","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CGXT9PGR"
"","","B09HCHT3LH","Huolewa Collapsible File Storage Organizer Box with Lid, Linen Document Storage, Universal Hanging Filing Organization Box for Letter/Legal Folder, Decorative Office/Home File Bins - only box","Huolewa","$16.93","9,991","342","$169,148","09/28/2021","$8.14","4.5","4,208","$8.79","387","7","FBA","1","Office Products","Standard","13.268 x 15.158 x 1.535 in","1.922 lb","https://www.amazon.com/dp/B09HCHT3LH"
"","","B0C6KR9X2M","ENGPOW 5200 Fireproof File Organizer Bag with 13 Pocket Accordion File Folder,Document Organizer Box with Lock&Labels,Multi-Layer Portable Home Travel Safe Storage Box for Important Documents,Files","ENGPOW","$35.99","1,350","50","$48,587","05/28/2023","$23.56","4.4","289","$12.43","4,862","7","FBA","1","Office Products","Standard","11.2 x 4.3 x 15.1 in","2 lb","https://www.amazon.com/dp/B0C6KR9X2M"
"","","B00PXN078O","Bigso Oskar Canvas Fiberboard Document Letter Box | File Organizer Document Box for Important Paperwork | Document Storage Box with a Lid & Leather Handle | 3.3x10.2x13.8 | Blue","Bigso","$22.98","247","6","$5,676","11/16/2014","$13.10","4.7","773","$9.88","40,104","7","FBA","5","Office Products","Standard","10.51 x 13.89 x 3.39 in","0.93 lb","https://www.amazon.com/dp/B00PXN078O"
"","","B01H2NWHXU","IRIS USA 6Pack 8.5' x 11' Portable Project Case Container with Snap-Tight Latch, Clear","IRIS USA, Inc.","$39.99","10,564","184","$422,454","06/13/2016","$15.93","4.7","2,059","$24.06","382","6","AMZ","5","Arts, Crafts & Sewing","Oversize","13.54 x 19.29 x 13.03 in","7.52 lb","https://www.amazon.com/dp/B01H2NWHXU"
"","","B0BQRNWWFC","25 Pockets Accordion File Organizer with Handle, Expanding File Folders,Important Papers,A4/Letter Size Document Organizer,Portable,Expandable,Durable,Perfect Filing Box for Office,Home,a-z Tab","Vanulee","$17.99","421","14","$7,574","12/20/2022","$3.31","4.5","216","$14.68","17,748","7","FBA","1","Office Products","Oversize","9.6 x 9.6 x 13 in","1.41 lb","https://www.amazon.com/dp/B0BQRNWWFC"
"","","B0BS23NZMV","PLAXBOX Portable File Organizer Box with Lid - Plastic Hanging Filing Storage Boxes with Handles - Sturdy Home/Office Filing System for Folders, Paper & Document Box, Cardboard File Box Alternative","PLAXBOX","$39.89","367","8","$14,640","05/10/2023","","3.8","73","","27,426","7","FBA","3","Office Products","","","","https://www.amazon.com/dp/B0BS23NZMV"
"","","B074JKK1G5","Bankers Box 0071301 STOR/File Storage Box with Lift-Off Lid, Letter/Legal, 12 x 10 x 15 Inches, White, 12 Pack","Bankers Box","$29.24","8,242","234","$240,996","08/02/2017","$8.73","4.8","1,912","$20.51","693","6","AMZ","14","Office Products","Oversize","19.2 x 28.6 x 5 in","14.65 lb","https://www.amazon.com/dp/B074JKK1G5"
"","","B09W572512","Forlogic File Organizer Box with Lid, Collapsible Linen File Box for Letter/Legal Folder, Filing Box, File Folder Organizer with Hanging Folders for File Storage in Office/Home","Forlogic","$17.99","1,248","62","$22,452","10/15/2021","","4.5","450","","3,791","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B09W572512"
"","","B09MFPBJ7C","Fireproof Document Box with Lock, ETRONIK 2 Layer File Organizer with 5 Tab Inserts, Portable Office Collapsible File Storage with Reflective Strip for Hanging Letter/Legal Size Folder/Certificate","ETRONIK","$49.99","2,506","82","$125,275","11/22/2021","$35.76","4.4","1,541","$14.23","2,775","7","FBA","3","Office Products","Standard","13.7 x 17.24 x 2.13 in","4.63 lb","https://www.amazon.com/dp/B09MFPBJ7C"
"","","B0CHYJ8BHJ","Citylife 3 PCS Plastic Storage Bins with Lids and Latches, Portable Project Case for Drawers, Clear Stackable File Box for Organizing A4 Paper, Letters, Documents, Art Supplies, and Crafts","ITYLIFE CITYLIFE","$39.97","249","6","$9,953","09/12/2023","","4.6","8","","35,957","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CHYJ8BHJ"
"","","B000Y2ZGI0","BANKERS BOX STOR/FILE Storage Boxes, Standard Set-Up, Lift-Off Lid, Letter/Legal, 4 Pack (0070308)","BANKERS BOX","$20.55","5,157","95","$105,976","12/31/2015","$4.73","4.8","3,203","$15.82","2,303","6","AMZ","46","Office Products","Oversize","23.5 x 28.2 x 2.1 in","5.351 lb","https://www.amazon.com/dp/B000Y2ZGI0"
"","","B08ZXLB5P7","Denkee 4 Pack A4 File Portable Project Case, Plastic Storage Box for 8.5' x 11' Letter Paper, Scrapbook Paper Storage Boxes Documents Magazines Holder (Inner Size 12.2 x 8.9 x 0.7 in)","Denkee","$25.99","757","29","$19,674","03/23/2021","$15.66","4.7","680","$10.33","8,637","7","FBA","1","Office Products","Standard","10 x 4.1 x 13 in","2.6 lb","https://www.amazon.com/dp/B08ZXLB5P7"
"","","B09GXHMGKT","iBune 4 Pack A4 File Portable Project Case, Scrapbook Paper Storage Boxes for 8.5 x 11 Paper, Plastic Storage Box Office Documents Holder, Inner Size 12.2 x 8.9 x 0.7 in","iBune","$23.99","286","8","$6,861","09/22/2021","$13.66","4.8","167","$10.33","29,932","6","FBA","2","Office Products","Standard","10.71 x 13.39 x 4.76 in","2.401 lb","https://www.amazon.com/dp/B09GXHMGKT"
"","","B014HY1QY8","Bigso Oskar Fiberboard Label Frame Document Letter Box | File Organizer Document Box for Important Paperwork | Document Storage Box with a Lid & Metal Label Window | 3.3x10.2x13.8 | Dark Grey","Bigso","$22.98","306","9","$7,032","02/23/2016","$13.10","4.7","286","$9.88","26,917","7","FBA","2","Office Products","Standard","10.669 x 3.583 x 14.134 in","0.948 lb","https://www.amazon.com/dp/B014HY1QY8"
"","","B09JQ5NHLB","IRIS USA 6 Quart Large Clip Box, 4 Pack, Clear Plastic Storage Container Bins with Latching Lids, Organizing Container for Home, Office and School Supplies, Stackable, Seafoam Blue Buckles","IRIS","$26.99","6,303","253","$170,118","10/17/2021","$9.06","4.6","2,156","$17.93","619","7","AMZ","14","Office Products","Oversize","16.12 x 9.38 x 12.87 in","4.08 lb","https://www.amazon.com/dp/B09JQ5NHLB"
"","","B004S6QSB2","Whitmor Plastic Document Boxes, Set of 5, Multicolor, 5 Count","Whitmor","$16.15","750","25","$12,112","06/28/2013","$8.59","3.9","4,555","$7.56","9,985","6","AMZ","2","Office Products","Standard","12.7 x 0.8 x 15.2 in","1.88 lb","https://www.amazon.com/dp/B004S6QSB2"
"","","B0013Z9EBC","Pioneer Jumbo Scrapbook Storage Box, Black, 14.75 Inch x 13 Inch x 3.75 Inch","Pioneer Photo Albums","$28.69","1,285","48","$36,867","08/09/2008","$18.47","4.6","3,353","$10.22","2,552","6","AMZ","7","Arts, Crafts & Sewing","Standard","12.9 x 3.7 x 14.8 in","1.1 lb","https://www.amazon.com/dp/B0013Z9EBC"
"","","B0BHNSXXPQ","Oterri File Organizer Box with Lid, Portable Hanging File Box with Mesh Pocket, Collapsible Filing Storage Box for Letter Size, File Organizer for Office/Home/School(1 PCS, Green)","Oterri","$19.99","1,945","86","$38,881","06/01/2022","","4.3","323","","2,601","7","FBA","2","Office Products","","","","https://www.amazon.com/dp/B0BHNSXXPQ"
"","","B09W5B4B8V","DocSafe File Box Fireproof Document Box with Lock,File Storage Organizer Box with Mesh Pockets,Collapsible Portable File Box Home Office File Cabinet with Handle for Hanging Letter/Legal Folder,Black","DocSafe","$31.99","4,326","195","$138,389","03/21/2022","$19.26","4.6","3,383","$12.73","903","7","FBA","3","Office Products","Standard","13.94 x 17.09 x 2.4 in","3.199 lb","https://www.amazon.com/dp/B09W5B4B8V"
"","","B0CCF827PK","GEKJDMER 4 Pack Paper Storage Box for 8.5'x11' Letter FilePlastic Portable Project CaseScrapbook Paper Storage BoxesSlim Documents Magazines Paper Protector","GEKJDMER","$21.99","58","1","$1,275","07/18/2023","","5","3","","143,007","6","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0CCF827PK"
"","","B08XK3THTQ","Oterri File Organizer Box,Filing Box with Lid,File Box for Letter/Legal File Folder Storage, Portable Hanging File Box for Office/Decor/Home,1 Pack,Green-Box only","Oterri","$19.99","2,607","86","$52,114","02/24/2021","$10.56","4.6","1,803","$9.43","2,610","6","FBA","1","Office Products","Standard","13.032 x 16.102 x 1.496 in","3.217 lb","https://www.amazon.com/dp/B08XK3THTQ"
"","","B0CB57W859","Lifewit 4 Pack Plastic Multi-Purpose Storage Box with Latching Lids, Clear A4 Paper Storage, Classroom Organization, Storage Containers for Board Game, Craft, Document, Magazine, Art Supplies","Lifewit","$29.99","1,000","28","$29,990","10/04/2023","","4.8","47","","32,969","7","FBA","1","Home & Kitchen","","","","https://www.amazon.com/dp/B0CB57W859"
"","","B094J982JS","AMBOR File Box with Lock, Fireproof Document Box with 5 Tabs, Collapsible File Organizer with Handle for Letter & Legal Size Folder/Certifications/Books Storage, Black","AMBOR","$29.99","1,957","91","$58,690","05/09/2021","$18.16","4.4","2,222","$11.83","2,431","7","FBA","2","Office Products","Standard","13.189 x 16.929 x 2.205 in","3.946 lb","https://www.amazon.com/dp/B094J982JS"
"","","B09CYQ3G1Q","DEEGO Fireproof Document Box, Water-Resistant File Organizer Box with Lock, Portable File Box with Handle Document Safe Collapsible File Cabinets for Home Office for Hanging Letter/Legal Folder, Black","DEEGO","$39.99","2,446","78","$97,816","01/17/2022","$27.26","4.4","1,067","$12.73","2,907","7","FBA","4","Office Products","Standard","12.559 x 15.945 x 2.284 in","4.985 lb","https://www.amazon.com/dp/B09CYQ3G1Q"
"","","B0B69YDNJV","Soul & Lane Gray Kraft Decorative Storage Boxes with Lids - Set of 3, Sage Cardboard Photo and Scrapbook Storage Boxes, Document and Memory Boxes for Keepsakes, Nesting Paperboard Letter Storage","Soul & Lane","$40.80","235","7","$9,588","07/10/2022","$27.65","4.8","78","$13.15","119,325","7","FBA","1","Home & Kitchen","Standard","12.99 x 3.7 x 14.68 in","2.97 lb","https://www.amazon.com/dp/B0B69YDNJV"
"","","B0CC26GCP5","PerKoop 6 Pcs Clear A4 File Box Document Plastic Storage Box Paper Plastic Case Board Game Storage Containers Magazine Protector File Holder with Buckle (12.4 x 9.84 x 1.18 Inches, Red)","PerKoop","$29.99","503","7","$15,085","07/16/2023","$18.76","4.3","27","$11.23","33,550","6","FBA","1","Office Products","Standard","9.84 x 1.18 x 12.4 in","4.09 lb","https://www.amazon.com/dp/B0CC26GCP5"
"","","B0BC8G2FK8","Fireproof Document Box with Lock, File Organizer 2-Layer Collapsible File Safe with Reflective Strip, Portable Travel Home Office File Cabinet for Hanging Letter/Legal Size Folder/Certificate Black","ARUQO","$49.99","376","9","$18,796","09/26/2022","","4.3","402","","24,918","7","FBA","3","Office Products","","","","https://www.amazon.com/dp/B0BC8G2FK8"
"","","B0BF4Y5WCS","ZOOPIP Fireproof File Box with Lock, Document Box Storage Organizer, Suitable for Hanging File Folders in Letter Size, Collapsible File Box, Reflective Strip for Fast Find (12.2'*6'*10.2, Black)","ZOOPIP","$24.99","2,056","60","$51,379","11/02/2022","","4.5","397","","3,985","7","FBA","1","Office Products","","","","https://www.amazon.com/dp/B0BF4Y5WCS"
"","","B0895F26DL","JUNDUN Document Organizer, Fireproof Document Box with Lock, Home Important, with 7 Pockets File Folder,Portable Fire Safe Storage Box Holder for Documents and Passport,Black","JUNDUN","$35.99","224","6","$8,062","02/24/2021","$24.80","4.5","691","$11.19","35,460","7","FBA","1","Office Products","Standard","11 x 2 x 15 in","1.54 lb","https://www.amazon.com/dp/B0895F26DL"
