"Export time:  2/1/2024, 1:44:32 PM","","ASIN","Product Name","Brand","Price","Monthly Units Sold","Daily Units Sold","Monthly Revenue","Date First Available","Net Revenue","Star Rating","Reviews","Amazon Fees","BSR","LQS","Seller Type","Sellers","Category","Product Tier","Dimensions","Weight","Link"
"","","B0C2GT3TVF","The 'PallyPad' Scratch Square for Dogs - Dog Scratch Pad with Treat Box - Dog Nail File Toy - Nail Grinder Self Scratcher - Dog Scratching Board with Treats","LOVE YOU Studio","$25.99","1,499","70","$38,959","04/13/2023","$16.95","4.2","286","$9.04","3,880","7","FBA","1","Pet Supplies","Standard","9 x 1 x 13 in","1.92 lb","https://www.amazon.com/dp/B0C2GT3TVF"
"dog scratch board","","B0BD29R4YR","FEARNOTNAILS - Dog Nail Scratch Board - Extra Large - 26 in x11 in x .6 in - Fear Free Nail Care Positive Reinforcement - Ultra Max Bonded Sandpaper Double Sided (Soft and Coarse Grit)","FEARNOTNAILS","$26.99","224","5","$6,046","09/07/2022","$12.48","4.4","135","$14.51","31,836","6","FBA","1","Pet Supplies","Oversize","9 x 0.75 x 20 in","4.17 lb","https://www.amazon.com/dp/B0BD29R4YR"
"Average Monthly Sales: 260","","B0C973WMN2","BrunoCoco Dog Scratch Pad for Nails (with Treat Box) | Stress-Free Nail Filing Scratch Board with Extra Sandpapers | Dog Treat Emery Board Scratcher | Easy Alternative to Dog Nail Grinders & Clippers","BrunoCoco","$32.99","364","7","$12,008","06/23/2023","$13.56","4.1","25","$19.43","25,960","7","FBA","1","Pet Supplies","Oversize","9.84 x 13.78 x 13.78 in","4.39 lb","https://www.amazon.com/dp/B0C973WMN2"
"Average Revenue: $6,840","","B0C9LBHZ2C","Dog Scratch Pad for Nails,Scratch Square for Dogs Nails Dog Nail Scratch Board with Treat Box Anxiety Free Sandpaper Dog Nail File Toy for Large Medium Small Dogs","LileZbox","$23.99","123","4","$2,951","06/27/2023","$14.60","3.7","31","$9.39","35,033","6","FBA","1","Pet Supplies","Standard","10.75 x 1.89 x 14.29 in","1.98 lb","https://www.amazon.com/dp/B0C9LBHZ2C"
"Average Price: $28.69","","B0C2GKM49Y","Dog Paw Nail Scratch Pad - Pet Nail File Board Trimming Scratcher Trimmer Box Emery Sandpaper Filing Scratchboard Polish Pads Anxiety Free for Sensitive Dogs (Nail Filing Board)","PEJOYT","$20.99","2,105","52","$44,184","04/13/2023","$12.70","3.8","422","$8.29","5,128","6","FBA","1","Pet Supplies","Standard","9 x 1.18 x 13 in","1.83 lb","https://www.amazon.com/dp/B0C2GKM49Y"
"Average No. of Ratings: 99","","B0BR3MVM5H","Dog Nail Scratch Board File - Scratcher Pad Mat Square Scratching Scratchboard Scratchpad Sandpaper Treat Trimming Emery Sand Trimmer Puppy","SPAKITCHCE","$20.99","1,020","33","$21,410","12/25/2022","$12.70","3.8","528","$8.29","7,573","6","FBA","2","Pet Supplies","Standard","9.84 x 1.18 x 13.78 in","1.74 lb","https://www.amazon.com/dp/B0BR3MVM5H"
"Average Sales Rank: 43,040","","B0CG9X8SMX","PAWELOUS Dog Scratch Pad for Nails - Self Standing Design - Includes Very Detailed User Manual - Dog Nail Scratch Board - Replaceable and Adhesive Sparepart Sandpaper Available (Scratch pad)","PAWELOUS","$29.99","159","7","$4,768","08/22/2023","$15.03","4.5","29","$14.96","25,347","6","FBA","1","Pet Supplies","Oversize","12.87 x 1.73 x 18.42 in","4.41 lb","https://www.amazon.com/dp/B0CG9X8SMX"
"Average Rating Number: 3.9","","B0B967851C","Deck the Door Decor | Dog Scratch Door Protection Plate - Anodized Aluminum - 3M Adhesive Mount - Multiple Finish Colors - Sizes for All Doors (4 x 22, Satin Black)","Deck the Door Decor","$79.99","156","6","$12,478","08/17/2022","","4.4","77","","28,893","6","FBA","2","Pet Supplies","","","","https://www.amazon.com/dp/B0B967851C"
"","","B0C39DZCTD","Foam Padded Dog Scratch Pad for Nails | Dog Nail File Solution - Essential in Dog Products & Pet Supplies | Dog Grooming & Dog Training & Behavior Aids | Dog Gifts & Pet Care | Dog Nail Scratch Board","Tiatailtoys","$29.99","103","4","$3,089","08/06/2023","$19.06","4.2","58","$10.93","40,715","6","FBA","1","Pet Supplies","Standard","11.81 x 0.59 x 15.74 in","3.22 lb","https://www.amazon.com/dp/B0C39DZCTD"
"","","B0C5Q53D2G","ZENLY PAWS Dog Nail File Toy | Dog Scratch Pad For Nails | Dog Nail Scratch Board | Scratch Pad For Dogs | Dog Nail File Board | Dog Scratch Board | Nail File For Dogs | Scratch Boards For Dogs","Zenly Paws","$34.99","1,047","38","$36,635","05/18/2023","$23.31","4.4","114","$11.68","6,635","6","FBA","1","Pet Supplies","Standard","10.47 x 4.49 x 10.55 in","1.64 lb","https://www.amazon.com/dp/B0C5Q53D2G"
"","","B0C2VPBMXC","LovIntry M-Shaped Dog Scratch Pad for Nails, Dog Nail File Toy for Dog Nail Maintenance, Shortened Dogs Side Nails Easily and Stress Free (L)","LovIntry","$28.99","573","24","$16,611","04/17/2023","$18.21","4.5","86","$10.78","9,988","7","FBA","1","Pet Supplies","Standard","9.6 x 2.7 x 16.9 in","3.33 lb","https://www.amazon.com/dp/B0C2VPBMXC"
"","","B0C5M6DSX4","Bamboo Dog Scratch Pad for Nails, Stress/Fear Free Nail Care, Nail Scissors Grinder Alternative, Dog Nail Grinding Trainer, Dog Nail Scratch Board for Dogs Paw (15'x 9.8'x 0.4', Purple)","Generic","$5.89","","","","05/17/2023","","3","2","","","7","FBA","1","","Standard","10.39 x 0.75 x 15.83 in","1.57 lb","https://www.amazon.com/dp/B0C5M6DSX4"
"","","B0C6TFQ2M5","ATESON Dog Scratch Pad for Nails Care, Fear Free Nail Trimming, Nail Clipper Grinder Alternative, Stress Free Dog Nail Scratch Board (S)","ATESON","$9.99","64","1","$639.36","05/31/2023","$3.35","4","4","$6.64","73,702","7","FBA","1","Pet Supplies","Standard","10.2 x 0.78 x 15.7 in","1.5 lb","https://www.amazon.com/dp/B0C6TFQ2M5"
"","","B0CHVL3S3N","KXK Dog Scratch Pad for Nails, Dog Nail Scratch Board for Small Medium Dogs Puppies, Sandpaper Dog Nail File Board with Treat Box for Puppy Nail Trimmer, Stress-Free Dog Scratch Pad for Sensitive Dogs","KXK","$27.19","512","12","$13,921","09/11/2023","$16.92","4","45","$10.27","17,144","6","FBA","1","Pet Supplies","Standard","10 x 2.2 x 13.9 in","2.88 lb","https://www.amazon.com/dp/B0CHVL3S3N"
"","","B0C8VKJX9D","TERSY | Dog Scratch Pad for Nails - Dog Nail File - Dog Nail Grinder - Dog Scratch Board with Treat Box - Nail Trimmer for Dog Anxiety - Stress Free Dog Nail Scratch Board","TERSY","$29.99","179","4","$5,368","06/08/2023","$18.01","4.4","20","$11.98","36,783","7","FBA","1","Pet Supplies","Standard","10.5 x 1.6 x 14.4 in","4.01 lb","https://www.amazon.com/dp/B0C8VKJX9D"
"","","B0C5YW867C","ZOOMIES Dog Nail Scratch Board - Premium Dog Scratch Pad for Nails, Dog Scratch Pad Perfect Pet Pedicure for All Dog Sizes! Compact & Easy to Use with Beginner's Guide & Free Extra Sandpaper","ZOOMIES","$19.99","524","21","$10,475","05/31/2023","$11.85","3.9","56","$8.14","11,157","6","FBA","1","Pet Supplies","Standard","9.8 x 1.45 x 13.8 in","1.9 lb","https://www.amazon.com/dp/B0C5YW867C"
"","","B0C6643TFQ","Skuun Dog Scratch Board for Large Dogs, Dog Nail Trimmer for Large Breed, Stress-Free Dog Nail Grinder Large Breed","Skuun","$69.99","","","","05/23/2023","","4.6","13","","","7","FBA","1","","Standard","13.89 x 2.48 x 13.94 in","3.28 lb","https://www.amazon.com/dp/B0C6643TFQ"
"","","B0BMZSFYVT","Monciysn Scratch Square for Dogs Nails File Treats Toy - Stress Free Dog Scratch Pad for Dogs, Dog Nail Scratch Board","Monciysn","$23.99","346","13","$8,301","11/20/2022","$15.25","3.5","378","$8.74","16,289","6","FBA","1","Pet Supplies","Standard","11.57 x 1.54 x 14.48 in","1.57 lb","https://www.amazon.com/dp/B0BMZSFYVT"
"","","B0C9LD3S7P","LIANTRAL Dog Paw Nail Scratch Pad, Dog Scratch Board with Treat Box, Pet Nail File Board Trimming Scratcher Trimmer Box, Stress/Fear Free Nail Care Nail Filing Board for Large/Medium/Small Dogs","LIANTRAL","$26.99","78","2","$2,105","06/27/2023","$16.21","","","$10.78","59,351","7","FBA","1","Pet Supplies","Standard","9.8 x 1.4 x 13.5 in","4.08 lb","https://www.amazon.com/dp/B0C9LD3S7P"
"","","B08L39D87D","ComSaf Cat Scratcher Cardboard, Oval Corrugated Scratch Pad, Cat Scratching Lounge Bed, Durable Recycle Board for Furniture Protection, Cat Scratcher Bowl, Cat Kitty Training Toy","ComSaf","$29.99","179","6","$5,368","10/10/2020","$18.16","4.7","1,020","$11.83","29,897","6","FBA","1","Pet Supplies","Standard","13.19 x 3.94 x 17.13 in","2.01 lb","https://www.amazon.com/dp/B08L39D87D"
"","","B0BV2BMPTX","EOICCEOH Dog Scratching Board,Scratch Square for Dogs Nails File, Fear Free Dog Nail File Pad Scratchboard for Large, Medium & Small Dogs (17.2 x 10 inches)","EOICCEOH","$19.97","218","7","$4,353","02/06/2023","$11.18","4.2","68","$8.79","25,959","6","FBA","1","Pet Supplies","Standard","10 x 0.5 x 17 in","2.18 lb","https://www.amazon.com/dp/B0BV2BMPTX"
"","","B0BMZSNXMQ","Dog Scratch Pad for Nails - Stress Free Scratch Square for Dogs Nail Treat Box, Dog Nail Scratch Board, Nail File Dog Toy Alternative to Dog Nail Clippers","Monciysn","$23.99","353","13","$8,468","11/20/2022","$15.25","3.5","378","$8.74","16,289","6","FBA","1","Pet Supplies","Standard","11.8 x 1 x 15.7 in","1.63 lb","https://www.amazon.com/dp/B0BMZSNXMQ"
"","","B0BZPNFQPD","Rundik Scratch Square for Dogs with Treat Box, Stress Free Dog Scratch Pad for Dogs, Bamboo Nail File Dog Toy Alternative to Dog Nail Clippers for Large/Medium/Small Dogs","Rundik","$29.95","389","14","$11,651","03/26/2023","$18.73","4","115","$11.22","14,947","7","FBA","1","Pet Supplies","Standard","10 x 2.2 x 14 in","4.45 lb","https://www.amazon.com/dp/B0BZPNFQPD"
"","","B0CJ4NM86Q","BLATA Dog Nail Scratch Pad, 2 Extra Sandpaper, Three Ramp Angles, Alti-Slip, Wooden Square Board, Treat Box Door Open Pet Paw Files Pad, Cat Claw Care, Puppy Nail Sandpaper Grinding Manicure","Blata","$31.99","34","1","$1,088","11/03/2023","$20.46","4.2","3","$11.53","87,117","7","FBA","1","Pet Supplies","Standard","11.61 x 1.97 x 15.75 in","4.01 lb","https://www.amazon.com/dp/B0CJ4NM86Q"
"","","B0BKBJYFPD","ZENLY PAWS Dog Scratch Board for Nails, Double Sided, File Paper Coarse and Fine Grit, Any Size Dog, Dog Nail File Board 16' x 12', Calming NailCare, Scratch Square for Dogs, Dog Scratch Pad For Nails","Zenly Paws","$19.99","153","5","$3,058","10/14/2022","$11.20","4","147","$8.79","34,000","6","FBA","1","Pet Supplies","Standard","11.8 x 0.4 x 15.7 in","2.1 lb","https://www.amazon.com/dp/B0BKBJYFPD"
"","","B0C6F6K5M2","FL Falatier Dog Scratch Board Large Dog Scratching Pad with Dog Treat Drawer Multi-Functional Trimming Tool Alternative to Dog Nail Clippers and Dog Nail Grinders Easy Nail Care","FL Falatier","$35.99","183","2","$6,586","05/25/2023","$24.16","4","69","$11.83","53,615","7","FBA","1","Pet Supplies","Standard","10.55 x 2.64 x 15.91 in","3.51 lb","https://www.amazon.com/dp/B0C6F6K5M2"
"","","B0BLCZ2RW5","SKUUN Dog Scratch Pad for Nails, Stress-Free and Fun Dog Scratch Board, Dog Nail Scratchboard for Every Dog Size, Easy to Use and Compact Scratch Board for Dogs, Dog Nail File Board with Anti-Slip","Skuun","$69.99","107","3","$7,489","11/02/2022","$53.06","3.9","114","$16.93","45,007","6","FBA","1","Pet Supplies","Standard","11.81 x 1.97 x 11.81 in","3.32 lb","https://www.amazon.com/dp/B0BLCZ2RW5"
"","","B0CML4RDX9","BringingJoyHome Dog Nail Scratch Board - Dog Nail File Dog Scratch Board Dog Scratch Pad for Nails Dog Nail File Board Nail File for Dogs Scratch Boards for Dogs with Treats Inside Treadmill for Dogs","BringingJoyHome","$20.99","116","8","$2,435","11/03/2023","$12.05","5","5","$8.94","22,877","6","FBA","1","Pet Supplies","Standard","9.84 x 1.57 x 13.78 in","2.14 lb","https://www.amazon.com/dp/B0CML4RDX9"
"","","B0CHWG16VP","The SCRATCHEASE Scratch Square for Dogs - Dog Scratch Pad with Treat Box - Dog Nail File Toy - Nail Grinder Self Scratcher - Scratch Pad for Dogs - Added Adhesive Tape for Stability","SCRATCHEASE","$20.99","244","6","$5,122","09/11/2023","$11.45","4.2","5","$9.54","29,379","6","FBA","1","Pet Supplies","Standard","10.6 x 2 x 13.7 in","2.01 lb","https://www.amazon.com/dp/B0CHWG16VP"
"","","B0CJMNZ24D","HAPAX CENTER Dog Scratch Pad for Nails with Hidden Treat Drawer, Dogs Favorite Scratch Pad, Dog Nail Scratch Board, Dog Scratch Board, Stress-Relief Dog Nail File Board, Dog Scratcher Square","HAPAX CENTER","$21.99","90","3","$1,979","12/29/2023","","3","3","","49,033","","FBA","1","Pet Supplies","","","","https://www.amazon.com/dp/B0CJMNZ24D"
"","","B0C6QGR8FT","LrqzHsyl Scratch Square for Dogs with Hidden Snack Drawer Training Your DogSuitable for All Kinds of Small, Medium and Large DogsBring a Set of Replacement Sandpaper and Nail Clippers, Nail Files","LrqzHsyl","$14.99","228","5","$3,418","07/08/2023","$6.95","3.5","47","$8.04","32,351","7","FBA","1","Pet Supplies","Standard","10.3 x 1.5 x 14.6 in","2.14 lb","https://www.amazon.com/dp/B0C6QGR8FT"
"","","B0CD68WKKH","Jango Paws Dog Scratch Pad for Nails - Dog Scratch Board with Treat Box - Fear Free Alternative to Nail Clippers and Grinders - Nail Care Solution for Dogs","Jango Paws","$39.99","33","1","$1,320","07/28/2023","$27.56","4.3","4","$12.43","71,542","7","FBA","1","Pet Supplies","Standard","10.43 x 2.32 x 16.45 in","3.73 lb","https://www.amazon.com/dp/B0CD68WKKH"
